Orthogroup	Prag	Syat
OG0000001	Prag.g_01374	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prag.g_01682	Syat.g_03065
OG0000005	Prag.g_01566	Syat.g_03105
OG0000006	Prag.g_00234, Prag.g_01231	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prag.g_00476	Syat.g_03191
OG0000007	Prag.g_01669	Syat.g_03124
OG0000008	Prag.g_01655	Syat.g_02626
OG0000008	Prag.g_01656	Syat.g_02627
OG0000009	Prag.g_00098	Syat.g_01567
OG0000010	Prag.g_01043	Syat.g_01372
OG0000012	Prag.g_00601	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prag.g_00318	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prag.g_00297	Syat.g_02104
OG0000015	Prag.g_00765	Syat.g_00775, Syat.g_01677
OG0000016	Prag.g_00013	Syat.g_02329
OG0000017	Prag.g_00576	Syat.g_00015
OG0000018	Prag.g_01134	Syat.g_01334
OG0000019	Prag.g_00242, Prag.g_00786	Syat.g_01876
OG0000021	Prag.g_01633, Prag.g_00359	Syat.g_00964
OG0000022	Prag.g_01116	Syat.g_00210
OG0000024	Prag.g_00740, Prag.g_00653	Syat.g_03394
OG0000025	Prag.g_00322, Prag.g_00839	Syat.g_00719
OG0000026	Prag.g_00031, Prag.g_01050	Syat.g_02306
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syat.g_00850
OG0000028	Prag.g_01270, Prag.g_00311	Syat.g_02126
OG0000030	Prag.g_01871	Syat.g_00307, Syat.g_00308
OG0000031	Prag.g_01446	Syat.g_03199, Syat.g_02243
OG0000032	Prag.g_01416	Syat.g_02237
OG0000034	Prag.g_01365	Syat.g_01165, Syat.g_02902
OG0000035	Prag.g_01490, Prag.g_01488	Syat.g_01227, Syat.g_01226
