Orthogroup	Prbk	Prbf
OG0000000	Prbk.g_02574	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbk.g_01649	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000002	Prbk.g_00561, Prbk.g_02701, Prbk.g_00630, Prbk.g_01196, Prbk.g_00170	Prbf.g_00068
OG0000003	Prbk.g_00166	Prbf.g_00880
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prbf.g_00052
OG0000006	Prbk.g_00907	Prbf.g_00693
OG0000007	Prbk.g_01820, Prbk.g_01819	Prbf.g_00793, Prbf.g_00792
OG0000009	Prbk.g_01004	Prbf.g_00894, Prbf.g_01588
OG0000011	Prbk.g_02565	Prbf.g_01707
OG0000012	Prbk.g_01150	Prbf.g_01887
OG0000012	Prbk.g_01142	Prbf.g_01880
OG0000013	Prbk.g_02558	Prbf.g_00708
OG0000016	Prbk.g_01746	Prbf.g_00864
OG0000016	Prbk.g_01786	Prbf.g_00254
OG0000017	Prbk.g_01230	Prbf.g_00748, Prbf.g_00178
OG0000018	Prbk.g_02695	Prbf.g_01580
OG0000019	Prbk.g_01137	Prbf.g_01259
OG0000020	Prbk.g_00405	Prbf.g_00039
OG0000024	Prbk.g_00454	Prbf.g_01647
OG0000026	Prbk.g_01613	Prbf.g_00808
OG0000028	Prbk.g_00259	Prbf.g_00157
OG0000031	Prbk.g_01709	Prbf.g_00340
OG0000032	Prbk.g_00534, Prbk.g_00539	Prbf.g_00116
OG0000034	Prbk.g_00499	Prbf.g_01380
OG0000036	Prbk.g_01122	Prbf.g_01867, Prbf.g_00704
OG0000037	Prbk.g_02610	Prbf.g_01905, Prbf.g_00272
OG0000038	Prbk.g_01667	Prbf.g_00248
OG0000039	Prbk.g_00773	Prbf.g_01500
OG0000040	Prbk.g_02448	Prbf.g_00287
OG0000042	Prbk.g_00619, Prbk.g_01835	Prbf.g_01253
OG0000043	Prbk.g_01642, Prbk.g_01644	Prbf.g_01153
OG0000044	Prbk.g_01019	Prbf.g_00918
OG0000045	Prbk.g_00479	Prbf.g_00117
OG0000046	Prbk.g_00919	Prbf.g_00822, Prbf.g_00701
OG0000047	Prbk.g_00237	Prbf.g_00496
OG0000048	Prbk.g_01495, Prbk.g_00140	Prbf.g_00487
OG0000050	Prbk.g_01617	Prbf.g_01354
OG0000051	Prbk.g_00764	Prbf.g_01491
OG0000052	Prbk.g_00925	Prbf.g_00320
OG0000053	Prbk.g_01094	Prbf.g_01820
OG0000054	Prbk.g_01468	Prbf.g_01922
OG0000055	Prbk.g_02493	Prbf.g_01222
OG0000056	Prbk.g_00694	Prbf.g_00862
OG0000058	Prbk.g_02113	Prbf.g_01758
OG0000059	Prbk.g_01765	Prbf.g_01261
OG0000062	Prbk.g_02195	Prbf.g_00788
OG0000063	Prbk.g_01496	Prbf.g_00945
OG0000065	Prbk.g_01183	Prbf.g_00026
OG0000066	Prbk.g_00477	Prbf.g_00115
OG0000068	Prbk.g_00796, Prbk.g_00944	Prbf.g_00558
OG0000069	Prbk.g_01209	Prbf.g_00196
OG0000071	Prbk.g_02290	Prbf.g_00382
OG0000072	Prbk.g_00472	Prbf.g_01661
OG0000073	Prbk.g_00709	Prbf.g_01018
OG0000074	Prbk.g_01815	Prbf.g_01271
OG0000075	Prbk.g_02475	Prbf.g_01238
OG0000076	Prbk.g_00056	Prbf.g_01170
OG0000078	Prbk.g_00476	Prbf.g_00118
OG0000079	Prbk.g_00931	Prbf.g_00242
OG0000080	Prbk.g_02012	Prbf.g_00346
OG0000081	Prbk.g_00512	Prbf.g_00524
OG0000082	Prbk.g_02204	Prbf.g_00351
OG0000083	Prbk.g_02281	Prbf.g_00390
OG0000084	Prbk.g_02284	Prbf.g_00387
OG0000085	Prbk.g_01626	Prbf.g_01345
OG0000087	Prbk.g_02126	Prbf.g_01374
OG0000088	Prbk.g_00191	Prbf.g_01443
OG0000089	Prbk.g_00206	Prbf.g_01452
OG0000090	Prbk.g_00559	Prbf.g_01469
OG0000091	Prbk.g_00776	Prbf.g_01503
OG0000092	Prbk.g_00777	Prbf.g_01504
OG0000093	Prbk.g_01280	Prbf.g_01518
OG0000094	Prbk.g_01251	Prbf.g_01537
OG0000095	Prbk.g_00632	Prbf.g_01542
OG0000096	Prbk.g_01001	Prbf.g_01590
OG0000097	Prbk.g_00409	Prbf.g_01614
OG0000098	Prbk.g_00422	Prbf.g_01625
OG0000099	Prbk.g_00434	Prbf.g_01635
OG0000100	Prbk.g_00438	Prbf.g_01638
OG0000101	Prbk.g_00361	Prbf.g_01703
OG0000102	Prbk.g_02209	Prbf.g_00044
OG0000103	Prbk.g_02114	Prbf.g_01759
OG0000104	Prbk.g_02061	Prbf.g_01763
OG0000105	Prbk.g_01862	Prbf.g_01783
OG0000106	Prbk.g_01078	Prbf.g_01813
OG0000107	Prbk.g_01080	Prbf.g_01814
OG0000108	Prbk.g_02684	Prbf.g_01824
OG0000109	Prbk.g_01890	Prbf.g_01833
OG0000110	Prbk.g_01871	Prbf.g_01850
OG0000111	Prbk.g_00740	Prbf.g_00999
OG0000112	Prbk.g_00739	Prbf.g_01000
OG0000113	Prbk.g_02370	Prbf.g_01050
OG0000114	Prbk.g_02466	Prbf.g_01247
OG0000115	Prbk.g_02324	Prbf.g_01117
OG0000116	Prbk.g_02316	Prbf.g_01113
OG0000117	Prbk.g_00059	Prbf.g_01167
OG0000118	Prbk.g_02271	Prbf.g_00873
OG0000119	Prbk.g_02197	Prbf.g_00785
OG0000120	Prbk.g_00144	Prbf.g_00924
OG0000121	Prbk.g_00138	Prbf.g_00947
OG0000122	Prbk.g_00185	Prbf.g_00967
OG0000123	Prbk.g_00121	Prbf.g_01915
OG0000124	Prbk.g_00066	Prbf.g_00253
OG0000125	Prbk.g_01169	Prbf.g_00013
OG0000126	Prbk.g_02052	Prbf.g_00095
OG0000127	Prbk.g_00243	Prbf.g_00145
OG0000128	Prbk.g_00260	Prbf.g_00158
OG0000129	Prbk.g_01212	Prbf.g_00194
OG0000130	Prbk.g_00913	Prbf.g_00696
OG0000131	Prbk.g_01417	Prbf.g_00657
OG0000132	Prbk.g_01414	Prbf.g_00654
OG0000133	Prbk.g_00987	Prbf.g_00600
OG0000134	Prbk.g_00950	Prbf.g_00564
OG0000135	Prbk.g_00948	Prbf.g_00562
OG0000136	Prbk.g_00528	Prbf.g_00512
OG0000137	Prbk.g_01540	Prbf.g_00477
OG0000138	Prbk.g_02168	Prbf.g_00443
OG0000139	Prbk.g_02252	Prbf.g_00412
OG0000140	Prbk.g_02279	Prbf.g_00392
OG0000141	Prbk.g_02280	Prbf.g_00391
OG0000142	Prbk.g_02282	Prbf.g_00389
OG0000143	Prbk.g_02283	Prbf.g_00388
OG0000144	Prbk.g_02285	Prbf.g_00386
OG0000145	Prbk.g_02287	Prbf.g_00385
OG0000146	Prbk.g_02288	Prbf.g_00384
OG0000147	Prbk.g_02289	Prbf.g_00383
OG0000148	Prbk.g_02291	Prbf.g_00381
OG0000149	Prbk.g_01639	Prbf.g_01336
OG0000150	Prbk.g_01638	Prbf.g_01337
OG0000151	Prbk.g_01633	Prbf.g_01338
OG0000152	Prbk.g_01632	Prbf.g_01339
OG0000153	Prbk.g_01631	Prbf.g_01340
OG0000154	Prbk.g_01630	Prbf.g_01341
OG0000155	Prbk.g_01629	Prbf.g_01342
OG0000156	Prbk.g_01628	Prbf.g_01343
OG0000157	Prbk.g_01627	Prbf.g_01344
OG0000158	Prbk.g_01625	Prbf.g_01346
OG0000159	Prbk.g_01624	Prbf.g_01347
OG0000160	Prbk.g_01623	Prbf.g_01348
OG0000161	Prbk.g_01622	Prbf.g_01349
OG0000162	Prbk.g_01621	Prbf.g_01350
OG0000163	Prbk.g_01619	Prbf.g_01352
OG0000164	Prbk.g_01614	Prbf.g_01355
OG0000165	Prbk.g_01609	Prbf.g_01358
OG0000166	Prbk.g_01608	Prbf.g_01359
OG0000167	Prbk.g_01607	Prbf.g_01360
OG0000168	Prbk.g_01606	Prbf.g_01362
OG0000169	Prbk.g_01604	Prbf.g_01364
OG0000170	Prbk.g_02158	Prbf.g_01366
OG0000171	Prbk.g_02156	Prbf.g_01367
OG0000172	Prbk.g_02155	Prbf.g_01368
OG0000173	Prbk.g_02148	Prbf.g_01371
OG0000174	Prbk.g_02141	Prbf.g_01372
OG0000175	Prbk.g_02133	Prbf.g_01373
OG0000176	Prbk.g_02125	Prbf.g_01375
OG0000177	Prbk.g_02124	Prbf.g_01376
OG0000178	Prbk.g_02123	Prbf.g_01378
OG0000179	Prbk.g_01326	Prbf.g_01390
OG0000180	Prbk.g_01324	Prbf.g_01391
OG0000181	Prbk.g_01323	Prbf.g_01392
OG0000182	Prbk.g_01320	Prbf.g_01396
OG0000183	Prbk.g_01319	Prbf.g_01397
OG0000184	Prbk.g_01315	Prbf.g_01400
OG0000185	Prbk.g_01309	Prbf.g_01404
OG0000186	Prbk.g_01308	Prbf.g_01405
OG0000187	Prbk.g_01665	Prbf.g_00291
OG0000188	Prbk.g_01307	Prbf.g_01406
OG0000189	Prbk.g_01304	Prbf.g_01407
OG0000190	Prbk.g_01303	Prbf.g_01408
OG0000191	Prbk.g_01302	Prbf.g_01409
OG0000192	Prbk.g_01301	Prbf.g_01410
OG0000193	Prbk.g_01300	Prbf.g_01411
OG0000194	Prbk.g_01299	Prbf.g_01412
OG0000195	Prbk.g_01295	Prbf.g_01414
OG0000196	Prbk.g_01294	Prbf.g_01415
OG0000197	Prbk.g_00035	Prbf.g_01416
OG0000198	Prbk.g_00031	Prbf.g_01417
OG0000199	Prbk.g_00026	Prbf.g_01420
OG0000200	Prbk.g_00025	Prbf.g_01421
OG0000201	Prbk.g_00024	Prbf.g_01422
OG0000202	Prbk.g_00022	Prbf.g_01424
OG0000203	Prbk.g_00021	Prbf.g_01425
OG0000204	Prbk.g_00020	Prbf.g_01426
OG0000205	Prbk.g_00018	Prbf.g_01428
OG0000206	Prbk.g_00017	Prbf.g_01429
OG0000207	Prbk.g_00016	Prbf.g_01430
OG0000208	Prbk.g_00015	Prbf.g_01431
OG0000209	Prbk.g_00014	Prbf.g_01432
OG0000210	Prbk.g_00012	Prbf.g_01433
OG0000211	Prbk.g_00011	Prbf.g_01435
OG0000212	Prbk.g_00010	Prbf.g_01436
OG0000213	Prbk.g_00007	Prbf.g_01437
OG0000214	Prbk.g_00001	Prbf.g_01441
OG0000215	Prbk.g_00190	Prbf.g_01442
OG0000216	Prbk.g_00192	Prbf.g_01444
OG0000217	Prbk.g_00194	Prbf.g_01445
OG0000218	Prbk.g_00196	Prbf.g_01446
OG0000219	Prbk.g_00197	Prbf.g_01447
OG0000220	Prbk.g_00202	Prbf.g_01450
OG0000221	Prbk.g_00207	Prbf.g_01453
OG0000222	Prbk.g_00208	Prbf.g_01454
OG0000223	Prbk.g_00209	Prbf.g_01455
OG0000224	Prbk.g_00542	Prbf.g_01457
OG0000225	Prbk.g_00544	Prbf.g_01459
OG0000226	Prbk.g_00547	Prbf.g_01461
OG0000227	Prbk.g_00549	Prbf.g_01462
OG0000228	Prbk.g_00550	Prbf.g_01463
OG0000229	Prbk.g_00551	Prbf.g_01464
OG0000230	Prbk.g_00552	Prbf.g_01465
OG0000231	Prbk.g_00554	Prbf.g_01055
OG0000232	Prbk.g_00555	Prbf.g_01467
OG0000233	Prbk.g_00560	Prbf.g_01470
OG0000234	Prbk.g_00749	Prbf.g_01472
OG0000235	Prbk.g_00751	Prbf.g_01478
OG0000236	Prbk.g_00752	Prbf.g_01479
OG0000237	Prbk.g_00753	Prbf.g_01480
OG0000238	Prbk.g_00754	Prbf.g_01481
OG0000239	Prbk.g_00755	Prbf.g_01482
OG0000240	Prbk.g_00757	Prbf.g_01484
OG0000241	Prbk.g_00758	Prbf.g_01485
OG0000242	Prbk.g_00759	Prbf.g_01486
OG0000243	Prbk.g_00760	Prbf.g_01487
OG0000244	Prbk.g_00761	Prbf.g_01488
OG0000245	Prbk.g_00763	Prbf.g_01490
OG0000246	Prbk.g_00765	Prbf.g_01492
OG0000247	Prbk.g_00766	Prbf.g_01493
OG0000248	Prbk.g_00767	Prbf.g_01494
OG0000249	Prbk.g_00768	Prbf.g_01495
OG0000250	Prbk.g_00769	Prbf.g_01496
OG0000251	Prbk.g_00770	Prbf.g_01497
OG0000252	Prbk.g_00771	Prbf.g_01498
OG0000253	Prbk.g_00772	Prbf.g_01499
OG0000254	Prbk.g_00774	Prbf.g_01501
OG0000255	Prbk.g_00775	Prbf.g_01502
OG0000256	Prbk.g_00778	Prbf.g_01505
OG0000257	Prbk.g_00779	Prbf.g_01507
OG0000258	Prbk.g_00780	Prbf.g_01508
OG0000259	Prbk.g_00781	Prbf.g_01509
OG0000260	Prbk.g_00782	Prbf.g_01510
OG0000261	Prbk.g_00783	Prbf.g_01511
OG0000262	Prbk.g_00784	Prbf.g_01512
OG0000263	Prbk.g_00785	Prbf.g_01513
OG0000264	Prbk.g_02425	Prbf.g_01515
OG0000265	Prbk.g_01283	Prbf.g_01516
OG0000266	Prbk.g_01281	Prbf.g_01517
OG0000267	Prbk.g_01277	Prbf.g_01519
OG0000268	Prbk.g_01275	Prbf.g_01521
OG0000269	Prbk.g_01272	Prbf.g_01522
OG0000270	Prbk.g_01270	Prbf.g_01523
OG0000271	Prbk.g_01267	Prbf.g_01524
OG0000272	Prbk.g_01266	Prbf.g_01525
OG0000273	Prbk.g_01263	Prbf.g_01526
OG0000274	Prbk.g_01261	Prbf.g_01527
OG0000275	Prbk.g_01260	Prbf.g_01528
OG0000276	Prbk.g_01259	Prbf.g_01529
OG0000277	Prbk.g_01258	Prbf.g_01530
OG0000278	Prbk.g_01257	Prbf.g_01531
OG0000279	Prbk.g_01256	Prbf.g_01532
OG0000280	Prbk.g_01255	Prbf.g_01533
OG0000281	Prbk.g_01253	Prbf.g_01535
OG0000282	Prbk.g_01252	Prbf.g_01536
OG0000283	Prbk.g_01245	Prbf.g_01539
OG0000284	Prbk.g_01244	Prbf.g_01540
OG0000285	Prbk.g_00631	Prbf.g_01541
OG0000286	Prbk.g_00633	Prbf.g_01543
OG0000287	Prbk.g_00686	Prbf.g_01545
OG0000288	Prbk.g_00685	Prbf.g_01546
OG0000289	Prbk.g_00683	Prbf.g_01547
OG0000290	Prbk.g_00682	Prbf.g_01548
OG0000291	Prbk.g_00680	Prbf.g_01549
OG0000292	Prbk.g_00670	Prbf.g_01550
OG0000293	Prbk.g_00669	Prbf.g_01551
OG0000294	Prbk.g_00668	Prbf.g_01552
OG0000295	Prbk.g_00662	Prbf.g_01553
OG0000296	Prbk.g_00661	Prbf.g_01554
OG0000297	Prbk.g_00658	Prbf.g_01555
OG0000298	Prbk.g_00657	Prbf.g_01556
OG0000299	Prbk.g_00656	Prbf.g_01557
OG0000300	Prbk.g_00655	Prbf.g_01558
OG0000301	Prbk.g_00654	Prbf.g_01559
OG0000302	Prbk.g_00653	Prbf.g_01560
OG0000303	Prbk.g_00652	Prbf.g_01561
OG0000304	Prbk.g_00650	Prbf.g_01563
OG0000305	Prbk.g_00649	Prbf.g_01564
OG0000306	Prbk.g_00648	Prbf.g_01565
OG0000307	Prbk.g_01364	Prbf.g_01567
OG0000308	Prbk.g_01136	Prbf.g_01568
OG0000309	Prbk.g_01135	Prbf.g_01569
OG0000310	Prbk.g_01134	Prbf.g_01570
OG0000311	Prbk.g_01368	Prbf.g_01571
OG0000312	Prbk.g_01369	Prbf.g_01573
OG0000313	Prbk.g_01521	Prbf.g_01574
OG0000314	Prbk.g_01515	Prbf.g_01578
OG0000315	Prbk.g_01514	Prbf.g_01579
OG0000316	Prbk.g_01900	Prbf.g_01581
OG0000317	Prbk.g_01012	Prbf.g_01583
OG0000318	Prbk.g_01011	Prbf.g_01584
OG0000319	Prbk.g_01010	Prbf.g_01585
OG0000320	Prbk.g_01008	Prbf.g_01586
OG0000321	Prbk.g_01003	Prbf.g_01589
OG0000322	Prbk.g_00371	Prbf.g_01593
OG0000323	Prbk.g_00372	Prbf.g_01594
OG0000324	Prbk.g_00374	Prbf.g_01597
OG0000325	Prbk.g_00376	Prbf.g_01598
OG0000326	Prbk.g_00378	Prbf.g_01599
OG0000327	Prbk.g_00384	Prbf.g_01601
OG0000328	Prbk.g_01365	Prbf.g_01602
OG0000329	Prbk.g_00397	Prbf.g_01603
OG0000330	Prbk.g_00398	Prbf.g_01604
OG0000331	Prbk.g_00400	Prbf.g_01606
OG0000332	Prbk.g_00401	Prbf.g_01607
OG0000333	Prbk.g_00402	Prbf.g_01608
OG0000334	Prbk.g_00403	Prbf.g_01609
OG0000335	Prbk.g_00404	Prbf.g_01610
OG0000336	Prbk.g_00406	Prbf.g_01612
OG0000337	Prbk.g_00411	Prbf.g_01615
OG0000338	Prbk.g_00412	Prbf.g_01616
OG0000339	Prbk.g_00413	Prbf.g_01617
OG0000340	Prbk.g_00415	Prbf.g_01618
OG0000341	Prbk.g_00420	Prbf.g_01622
OG0000342	Prbk.g_00421	Prbf.g_01623
OG0000343	Prbk.g_00423	Prbf.g_01626
OG0000344	Prbk.g_00425	Prbf.g_01627
OG0000345	Prbk.g_00426	Prbf.g_01628
OG0000346	Prbk.g_00427	Prbf.g_01629
OG0000347	Prbk.g_00428	Prbf.g_01630
OG0000348	Prbk.g_00429	Prbf.g_01632
OG0000349	Prbk.g_00430	Prbf.g_01633
OG0000350	Prbk.g_00431	Prbf.g_01634
OG0000351	Prbk.g_00435	Prbf.g_01636
OG0000352	Prbk.g_00439	Prbf.g_01639
OG0000353	Prbk.g_00442	Prbf.g_01640
OG0000354	Prbk.g_00443	Prbf.g_01641
OG0000355	Prbk.g_00444	Prbf.g_01642
OG0000356	Prbk.g_00449	Prbf.g_01643
OG0000357	Prbk.g_00450	Prbf.g_01644
OG0000358	Prbk.g_00451	Prbf.g_01645
OG0000359	Prbk.g_00453	Prbf.g_01646
OG0000360	Prbk.g_00456	Prbf.g_01648
OG0000361	Prbk.g_00457	Prbf.g_01649
OG0000362	Prbk.g_00458	Prbf.g_01650
OG0000363	Prbk.g_00460	Prbf.g_01651
OG0000364	Prbk.g_00461	Prbf.g_01652
OG0000365	Prbk.g_00462	Prbf.g_01653
OG0000366	Prbk.g_00463	Prbf.g_01654
OG0000367	Prbk.g_00464	Prbf.g_01655
OG0000368	Prbk.g_00465	Prbf.g_01656
OG0000369	Prbk.g_00466	Prbf.g_01657
OG0000370	Prbk.g_00467	Prbf.g_01658
OG0000371	Prbk.g_00468	Prbf.g_01659
OG0000372	Prbk.g_00471	Prbf.g_01660
OG0000373	Prbk.g_00481	Prbf.g_01662
OG0000374	Prbk.g_00483	Prbf.g_01663
OG0000375	Prbk.g_00492	Prbf.g_01664
OG0000376	Prbk.g_00853	Prbf.g_01665
OG0000377	Prbk.g_00860	Prbf.g_01671
OG0000378	Prbk.g_00861	Prbf.g_01672
OG0000379	Prbk.g_00871	Prbf.g_01678
OG0000380	Prbk.g_00873	Prbf.g_01680
OG0000381	Prbk.g_00874	Prbf.g_01681
OG0000382	Prbk.g_00876	Prbf.g_01682
OG0000383	Prbk.g_00881	Prbf.g_01685
OG0000384	Prbk.g_00882	Prbf.g_01686
OG0000385	Prbk.g_00888	Prbf.g_01689
OG0000386	Prbk.g_00889	Prbf.g_01690
OG0000387	Prbk.g_00890	Prbf.g_01691
OG0000388	Prbk.g_00891	Prbf.g_01692
OG0000389	Prbk.g_00892	Prbf.g_01693
OG0000390	Prbk.g_00893	Prbf.g_01694
OG0000391	Prbk.g_00894	Prbf.g_01695
