Orthogroup	Prbk	Prbd
OG0000000	Prbk.g_02574	Prbd.g_01771
OG0000000	Prbk.g_01649	Prbd.g_00566
OG0000001	Prbk.g_00167	Prbd.g_01836
OG0000001	Prbk.g_00165	Prbd.g_01569
OG0000002	Prbk.g_00561, Prbk.g_02701, Prbk.g_00630, Prbk.g_01196, Prbk.g_00170	Prbd.g_01779
OG0000003	Prbk.g_00166	Prbd.g_01835, Prbd.g_01567
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prbd.g_00038
OG0000006	Prbk.g_00907	Prbd.g_01525
OG0000007	Prbk.g_01820, Prbk.g_01819	Prbd.g_00572
OG0000009	Prbk.g_01004	Prbd.g_00082, Prbd.g_00990
OG0000011	Prbk.g_01202	Prbd.g_00909
OG0000012	Prbk.g_01150, Prbk.g_01142	Prbd.g_00646
OG0000013	Prbk.g_02558	Prbd.g_00065, Prbd.g_00826
OG0000016	Prbk.g_01746, Prbk.g_01786	Prbd.g_01768
OG0000018	Prbk.g_02695	Prbd.g_00998
OG0000019	Prbk.g_01137	Prbd.g_01546, Prbd.g_00874
OG0000020	Prbk.g_00405	Prbd.g_00439
OG0000024	Prbk.g_00454	Prbd.g_00933
OG0000026	Prbk.g_01613	Prbd.g_01204
OG0000028	Prbk.g_00259	Prbd.g_01689
OG0000031	Prbk.g_01709	Prbd.g_01544
OG0000036	Prbk.g_01122	Prbd.g_00658
OG0000037	Prbk.g_02610	Prbd.g_00621
OG0000038	Prbk.g_01667, Prbk.g_00212	Prbd.g_00061
OG0000039	Prbk.g_00773, Prbk.g_01836	Prbd.g_01074
OG0000040	Prbk.g_02448	Prbd.g_00879
OG0000042	Prbk.g_00619, Prbk.g_01835	Prbd.g_00007
OG0000043	Prbk.g_01642, Prbk.g_01644	Prbd.g_00087
OG0000044	Prbk.g_01019	Prbd.g_00468
OG0000045	Prbk.g_00479	Prbd.g_01733
OG0000046	Prbk.g_00919	Prbd.g_01532
OG0000047	Prbk.g_00237	Prbd.g_01335
OG0000048	Prbk.g_01495, Prbk.g_00140	Prbd.g_01328
OG0000050	Prbk.g_01617	Prbd.g_01206
OG0000051	Prbk.g_00764	Prbd.g_01083
OG0000052	Prbk.g_00925	Prbd.g_00868
OG0000053	Prbk.g_01094	Prbd.g_00703
OG0000054	Prbk.g_01468	Prbd.g_00055
OG0000055	Prbk.g_02493	Prbd.g_00124
OG0000058	Prbk.g_02113	Prbd.g_00767
OG0000059	Prbk.g_01765	Prbd.g_00546
OG0000062	Prbk.g_02195	Prbd.g_00427
OG0000063	Prbk.g_01496	Prbd.g_01895
OG0000065	Prbk.g_01183	Prbd.g_01801
OG0000066	Prbk.g_00477	Prbd.g_01737
OG0000068	Prbk.g_00796, Prbk.g_00944	Prbd.g_01391
OG0000069	Prbk.g_00480	Prbd.g_01730
OG0000071	Prbk.g_02290	Prbd.g_01226
OG0000072	Prbk.g_00472	Prbd.g_00917
OG0000073	Prbk.g_00709	Prbd.g_00575
OG0000074	Prbk.g_01815	Prbd.g_00553
OG0000075	Prbk.g_02475	Prbd.g_00109
OG0000076	Prbk.g_00056	Prbd.g_00340
OG0000078	Prbk.g_00476	Prbd.g_01734
OG0000079	Prbk.g_00931	Prbd.g_01610
OG0000080	Prbk.g_02012	Prbd.g_01561
OG0000081	Prbk.g_00512	Prbd.g_01361
OG0000083	Prbk.g_02281	Prbd.g_01234
OG0000084	Prbk.g_02284	Prbd.g_01231
OG0000085	Prbk.g_01626	Prbd.g_01214
OG0000087	Prbk.g_02126	Prbd.g_01188
OG0000088	Prbk.g_00191	Prbd.g_01131
OG0000089	Prbk.g_00206	Prbd.g_01122
OG0000090	Prbk.g_00559	Prbd.g_01104, Prbd.g_01103
OG0000091	Prbk.g_00776	Prbd.g_01071
OG0000092	Prbk.g_00777	Prbd.g_01070
OG0000093	Prbk.g_01280	Prbd.g_01056
OG0000094	Prbk.g_01251	Prbd.g_01038
OG0000095	Prbk.g_00632	Prbd.g_01033
OG0000096	Prbk.g_01001	Prbd.g_00988
OG0000097	Prbk.g_00409	Prbd.g_00965
OG0000099	Prbk.g_00434	Prbd.g_00945
OG0000100	Prbk.g_00438	Prbd.g_00942
OG0000101	Prbk.g_00361	Prbd.g_00882
OG0000102	Prbk.g_02209	Prbd.g_00855
OG0000103	Prbk.g_02114	Prbd.g_00766
OG0000104	Prbk.g_02061	Prbd.g_00762
OG0000105	Prbk.g_01862	Prbd.g_00743
OG0000106	Prbk.g_01078	Prbd.g_00710
OG0000107	Prbk.g_01080	Prbd.g_00709
OG0000108	Prbk.g_02684	Prbd.g_00699
OG0000109	Prbk.g_01890	Prbd.g_00690
OG0000110	Prbk.g_01871	Prbd.g_00674
OG0000111	Prbk.g_00740	Prbd.g_00593
OG0000112	Prbk.g_00739	Prbd.g_00592
OG0000113	Prbk.g_02370	Prbd.g_00029
OG0000114	Prbk.g_02466	Prbd.g_00100
OG0000115	Prbk.g_02324	Prbd.g_00264
OG0000116	Prbk.g_02316	Prbd.g_00268
OG0000117	Prbk.g_00059	Prbd.g_00337
OG0000118	Prbk.g_02271	Prbd.g_00389
OG0000119	Prbk.g_02197	Prbd.g_00430
OG0000120	Prbk.g_00144	Prbd.g_00474
OG0000121	Prbk.g_00138	Prbd.g_00493
OG0000122	Prbk.g_00185	Prbd.g_00512
OG0000123	Prbk.g_00121	Prbd.g_00525
