Orthogroup	Prbk	Prbl
OG0000000	Prbk.g_02574	Prbl.g_01582
OG0000000	Prbk.g_01649	Prbl.g_01092
OG0000001	Prbk.g_00167	Prbl.g_00118
OG0000001	Prbk.g_00165	Prbl.g_00116
OG0000002	Prbk.g_00561	Prbl.g_00808
OG0000002	Prbk.g_02701	Prbl.g_02598
OG0000002	Prbk.g_00630	Prbl.g_02578
OG0000002	Prbk.g_01196	Prbl.g_00725
OG0000002	Prbk.g_00170	Prbl.g_00121
OG0000003	Prbk.g_00166	Prbl.g_00117
OG0000004	Prbk.g_01701	Prbl.g_01685
OG0000004	Prbk.g_00304	Prbl.g_00628
OG0000004	Prbk.g_00355	Prbl.g_00679
OG0000006	Prbk.g_00907	Prbl.g_00394
OG0000007	Prbk.g_01820	Prbl.g_01854
OG0000007	Prbk.g_01819	Prbl.g_01855
OG0000009	Prbk.g_01004	Prbl.g_01509
OG0000011	Prbk.g_02565	Prbl.g_01574
OG0000011	Prbk.g_01202	Prbl.g_00719
OG0000012	Prbk.g_01150	Prbl.g_01755
OG0000012	Prbk.g_01142	Prbl.g_01763
OG0000013	Prbk.g_02558	Prbl.g_01566
OG0000016	Prbk.g_01746	Prbl.g_00007
OG0000016	Prbk.g_01786	Prbl.g_00046
OG0000017	Prbk.g_01230	Prbl.g_00691
OG0000018	Prbk.g_02695	Prbl.g_02601
OG0000019	Prbk.g_01137	Prbl.g_01768
OG0000020	Prbk.g_00405	Prbl.g_01465
OG0000024	Prbk.g_00454	Prbl.g_01416
OG0000026	Prbk.g_01613	Prbl.g_01981
OG0000028	Prbk.g_00259	Prbl.g_00242
OG0000031	Prbk.g_01709	Prbl.g_01677
OG0000032	Prbk.g_00534	Prbl.g_00835
OG0000032	Prbk.g_00539	Prbl.g_00830
OG0000034	Prbk.g_00499	Prbl.g_00870
OG0000036	Prbk.g_01122	Prbl.g_01783
OG0000037	Prbk.g_02610	Prbl.g_01618
OG0000038	Prbk.g_01667	Prbl.g_01072
OG0000038	Prbk.g_00212	Prbl.g_01310
OG0000039	Prbk.g_00773	Prbl.g_00281
OG0000039	Prbk.g_01836	Prbl.g_01838
OG0000040	Prbk.g_02448	Prbl.g_02355
OG0000042	Prbk.g_00619	Prbl.g_02567
OG0000042	Prbk.g_01835	Prbl.g_01839
OG0000043	Prbk.g_01642	Prbl.g_01099
OG0000043	Prbk.g_01644	Prbl.g_01097
OG0000044	Prbk.g_01019	Prbl.g_02084
OG0000045	Prbk.g_00479	Prbl.g_00890
OG0000046	Prbk.g_00919	Prbl.g_00405
OG0000047	Prbk.g_00237	Prbl.g_01285
OG0000048	Prbk.g_01495	Prbl.g_01236
OG0000048	Prbk.g_00140	Prbl.g_01121
OG0000049	Prbk.g_00240	Prbl.g_00261
OG0000049	Prbk.g_01100	Prbl.g_00746
OG0000049	Prbk.g_01285	Prbl.g_00064
OG0000049	Prbk.g_01243	Prbl.g_00106
OG0000049	Prbk.g_02221	Prbl.g_02178
OG0000049	Prbk.g_00789	Prbl.g_00265
OG0000049	Prbk.g_01943	Prbl.g_00740
OG0000050	Prbk.g_01617	Prbl.g_01977
OG0000051	Prbk.g_00764	Prbl.g_00290
OG0000052	Prbk.g_00925	Prbl.g_00411
OG0000053	Prbk.g_01094	Prbl.g_00752
OG0000054	Prbk.g_01468	Prbl.g_01943
OG0000055	Prbk.g_02493	Prbl.g_02310
OG0000056	Prbk.g_00694	Prbl.g_00138
OG0000058	Prbk.g_02113	Prbl.g_01340
OG0000059	Prbk.g_01765	Prbl.g_00025
OG0000062	Prbk.g_02195	Prbl.g_02204
OG0000063	Prbk.g_01496	Prbl.g_01384
OG0000065	Prbk.g_01183	Prbl.g_01722
OG0000066	Prbk.g_00477	Prbl.g_00892
OG0000068	Prbk.g_00796	Prbl.g_01126
OG0000068	Prbk.g_00944	Prbl.g_01000
OG0000069	Prbk.g_01209	Prbl.g_00712
OG0000069	Prbk.g_00480	Prbl.g_00889
OG0000070	Prbk.g_00841	Prbl.g_01171
OG0000070	Prbk.g_02591	Prbl.g_01599
OG0000071	Prbk.g_02290	Prbl.g_02109
OG0000072	Prbk.g_00472	Prbl.g_00897
OG0000073	Prbk.g_00709	Prbl.g_01395
OG0000074	Prbk.g_01815	Prbl.g_01859
OG0000075	Prbk.g_02475	Prbl.g_02328
OG0000076	Prbk.g_00056	Prbl.g_00927
OG0000078	Prbk.g_00476	Prbl.g_00893
OG0000079	Prbk.g_00931	Prbl.g_00417
OG0000080	Prbk.g_02012	Prbl.g_00462
OG0000081	Prbk.g_00512	Prbl.g_00857
OG0000082	Prbk.g_02204	Prbl.g_02195
OG0000083	Prbk.g_02281	Prbl.g_02118
OG0000084	Prbk.g_02284	Prbl.g_02115
OG0000085	Prbk.g_01626	Prbl.g_01968
OG0000087	Prbk.g_02126	Prbl.g_02273
