Orthogroup	Prbk	Prbg
OG0000000	Prbk.g_02574	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbk.g_01649	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prbk.g_00561, Prbk.g_02701, Prbk.g_00630, Prbk.g_01196, Prbk.g_00170	Prbg.g_00502
OG0000003	Prbk.g_00166	Prbg.g_01524
OG0000004	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355	Prbg.g_00451
OG0000006	Prbk.g_00907	Prbg.g_01650
OG0000007	Prbk.g_01820, Prbk.g_01819	Prbg.g_00744, Prbg.g_00745
OG0000009	Prbk.g_01004	Prbg.g_01510, Prbg.g_01032
OG0000011	Prbk.g_02565	Prbg.g_00143
OG0000012	Prbk.g_01150	Prbg.g_00324
OG0000012	Prbk.g_01142	Prbg.g_00317
OG0000013	Prbk.g_02558	Prbg.g_01635
OG0000016	Prbk.g_01746	Prbg.g_01540
OG0000016	Prbk.g_01786	Prbg.g_00688
OG0000017	Prbk.g_01230	Prbg.g_01595, Prbg.g_00612
OG0000018	Prbk.g_02695	Prbg.g_01024
OG0000019	Prbk.g_01137	Prbg.g_01145
OG0000020	Prbk.g_00405	Prbg.g_00464
OG0000024	Prbk.g_00454	Prbg.g_00086
OG0000026	Prbk.g_01613	Prbg.g_00730
OG0000028	Prbk.g_00259	Prbg.g_00591
OG0000031	Prbk.g_01709	Prbg.g_00408
OG0000032	Prbk.g_00534, Prbk.g_00539	Prbg.g_00550
OG0000034	Prbk.g_00499	Prbg.g_00816
OG0000036	Prbk.g_01122	Prbg.g_00304, Prbg.g_01639
OG0000037	Prbk.g_02610	Prbg.g_00342, Prbg.g_00706
OG0000038	Prbk.g_01667	Prbg.g_00682
OG0000039	Prbk.g_00773	Prbg.g_00944
OG0000040	Prbk.g_02448	Prbg.g_00013
OG0000042	Prbk.g_00619, Prbk.g_01835	Prbg.g_01151
OG0000043	Prbk.g_01642, Prbk.g_01644	Prbg.g_01251
OG0000044	Prbk.g_01019	Prbg.g_01486
OG0000045	Prbk.g_00479	Prbg.g_00551
OG0000046	Prbk.g_00919	Prbg.g_00716, Prbg.g_01642
OG0000047	Prbk.g_00237	Prbg.g_01847
OG0000048	Prbk.g_01495, Prbk.g_00140	Prbg.g_01855
