Orthogroup	Prbn	Prbj
OG0000000	Prbn.g_01662	Prbj.g_00164
OG0000001	Prbn.g_01213	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prbn.g_01483, Prbn.g_01478	Prbj.g_02517
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prbj.g_00030
OG0000004	Prbn.g_01565	Prbj.g_00754
OG0000004	Prbn.g_00318	Prbj.g_01777
OG0000005	Prbn.g_00899	Prbj.g_00883
OG0000006	Prbn.g_00308	Prbj.g_02699
OG0000007	Prbn.g_00617	Prbj.g_01610
OG0000007	Prbn.g_01745	Prbj.g_00857
OG0000008	Prbn.g_01645	Prbj.g_00929
OG0000008	Prbn.g_01646	Prbj.g_00928
OG0000010	Prbn.g_01939, Prbn.g_01357	Prbj.g_00129
OG0000012	Prbn.g_00492	Prbj.g_02552
OG0000013	Prbn.g_00092	Prbj.g_00359
OG0000014	Prbn.g_00074	Prbj.g_01442
OG0000015	Prbn.g_01684, Prbn.g_01730	Prbj.g_02502
OG0000017	Prbn.g_00517	Prbj.g_01769
OG0000017	Prbn.g_00510	Prbj.g_01761
OG0000018	Prbn.g_01167	Prbj.g_00641
OG0000019	Prbn.g_00015, Prbn.g_01165	Prbj.g_00025, Prbj.g_01349
OG0000020	Prbn.g_00133	Prbj.g_00214, Prbj.g_02701
OG0000021	Prbn.g_00874	Prbj.g_01121
OG0000021	Prbn.g_01560	Prbj.g_01774
OG0000022	Prbn.g_00891	Prbj.g_01572
OG0000023	Prbn.g_01030	Prbj.g_02392
OG0000024	Prbn.g_01353, Prbn.g_01589	Prbj.g_00773
OG0000025	Prbn.g_01510	Prbj.g_02475
OG0000026	Prbn.g_00750	Prbj.g_01204
OG0000029	Prbn.g_00126, Prbn.g_01676	Prbj.g_00378
OG0000030	Prbn.g_00985	Prbj.g_01288, Prbj.g_01287
OG0000031	Prbn.g_00171	Prbj.g_01522, Prbj.g_01527
OG0000032	Prbn.g_00251	Prbj.g_00659
OG0000033	Prbn.g_01244, Prbn.g_00178	Prbj.g_00518
OG0000034	Prbn.g_01073	Prbj.g_01740
OG0000035	Prbn.g_00212	Prbj.g_01056
OG0000037	Prbn.g_01310	Prbj.g_00624
OG0000038	Prbn.g_00946	Prbj.g_01959, Prbj.g_01961
OG0000039	Prbn.g_01577	Prbj.g_00429, Prbj.g_00278
OG0000041	Prbn.g_01793	Prbj.g_00450
OG0000042	Prbn.g_00988	Prbj.g_01808, Prbj.g_00001
OG0000045	Prbn.g_01145	Prbj.g_00563
OG0000046	Prbn.g_00093	Prbj.g_00358
OG0000047	Prbn.g_00690	Prbj.g_02509
OG0000048	Prbn.g_01097	Prbj.g_01393
OG0000051	Prbn.g_00809	Prbj.g_00705
OG0000052	Prbn.g_00724	Prbj.g_01487
OG0000053	Prbn.g_00233, Prbn.g_01690	Prbj.g_00638
OG0000054	Prbn.g_00508	Prbj.g_01758
OG0000057	Prbn.g_01562	Prbj.g_00758
OG0000058	Prbn.g_00172	Prbj.g_01467
OG0000059	Prbn.g_01833	Prbj.g_01029
OG0000061	Prbn.g_01189	Prbj.g_00971
OG0000062	Prbn.g_00897	Prbj.g_00881
OG0000063	Prbn.g_00130	Prbj.g_01208
OG0000065	Prbn.g_01312	Prbj.g_00620
OG0000066	Prbn.g_00577, Prbn.g_01657	Prbj.g_02141
OG0000067	Prbn.g_01546	Prbj.g_02412
OG0000068	Prbn.g_01240	Prbj.g_01639
OG0000070	Prbn.g_00663	Prbj.g_00118
OG0000071	Prbn.g_01084	Prbj.g_01728
OG0000072	Prbn.g_00383	Prbj.g_00516
OG0000073	Prbn.g_00614	Prbj.g_01608
OG0000075	Prbn.g_01917	Prbj.g_01502
OG0000076	Prbn.g_00996	Prbj.g_01598
OG0000077	Prbn.g_01342	Prbj.g_01900, Prbj.g_00576
OG0000078	Prbn.g_00310	Prbj.g_02614
OG0000079	Prbn.g_00018	Prbj.g_01353
OG0000081	Prbn.g_00585	Prbj.g_00799, Prbj.g_00765
OG0000082	Prbn.g_00530, Prbn.g_01734	Prbj.g_01789
OG0000084	Prbn.g_00209	Prbj.g_01052
OG0000085	Prbn.g_00144, Prbn.g_01737	Prbj.g_00869
OG0000086	Prbn.g_01333	Prbj.g_00589
OG0000087	Prbn.g_01278	Prbj.g_01547
OG0000088	Prbn.g_01247	Prbj.g_00521, Prbj.g_00912
OG0000089	Prbn.g_00696	Prbj.g_00064
OG0000090	Prbn.g_00583	Prbj.g_02127
OG0000091	Prbn.g_00434	Prbj.g_02581
OG0000093	Prbn.g_00846	Prbj.g_02388
OG0000094	Prbn.g_01369	Prbj.g_01985
OG0000095	Prbn.g_01471	Prbj.g_01838
OG0000097	Prbn.g_00408	Prbj.g_02152
OG0000098	Prbn.g_01216	Prbj.g_00669
OG0000099	Prbn.g_00173	Prbj.g_01464
OG0000100	Prbn.g_00903	Prbj.g_00185, Prbj.g_02442
OG0000101	Prbn.g_01881	Prbj.g_00415, Prbj.g_00981
OG0000102	Prbn.g_00991	Prbj.g_01819
OG0000103	Prbn.g_00907	Prbj.g_02055
OG0000104	Prbn.g_00296	Prbj.g_02069
OG0000105	Prbn.g_00041	Prbj.g_01397
OG0000106	Prbn.g_00829	Prbj.g_00875
OG0000107	Prbn.g_01810	Prbj.g_02659
OG0000108	Prbn.g_00634	Prbj.g_01630
OG0000109	Prbn.g_00620	Prbj.g_01614
OG0000110	Prbn.g_00541	Prbj.g_01801
OG0000111	Prbn.g_01561	Prbj.g_00759
OG0000112	Prbn.g_00468	Prbj.g_02276
OG0000113	Prbn.g_01523	Prbj.g_02437
