Orthogroup	Prbn	Pran
OG0000000	Prbn.g_01662	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Pran.g_01500
OG0000004	Prbn.g_01565	Pran.g_01483
OG0000004	Prbn.g_00318	Pran.g_00200
OG0000005	Prbn.g_00899	Pran.g_00657
OG0000006	Prbn.g_00308	Pran.g_01951
OG0000007	Prbn.g_00617	Pran.g_01681
OG0000007	Prbn.g_01745	Pran.g_00970
OG0000009	Prbn.g_00887	Pran.g_00615
OG0000010	Prbn.g_00640	Pran.g_01704
OG0000010	Prbn.g_01939, Prbn.g_01357	Pran.g_00175
OG0000012	Prbn.g_00492, Prbn.g_00867	Pran.g_01555
OG0000013	Prbn.g_00092	Pran.g_01867
OG0000014	Prbn.g_00074	Pran.g_01888
OG0000015	Prbn.g_01684, Prbn.g_01730	Pran.g_01394
OG0000016	Prbn.g_01131	Pran.g_00620
OG0000017	Prbn.g_00517, Prbn.g_00510	Pran.g_01580
OG0000018	Prbn.g_01518	Pran.g_01316
OG0000018	Prbn.g_01167	Pran.g_00078
OG0000019	Prbn.g_00015	Pran.g_01943
OG0000019	Prbn.g_01165	Pran.g_01363
OG0000020	Prbn.g_00133	Pran.g_01804
OG0000021	Prbn.g_00874, Prbn.g_01560	Pran.g_01829
OG0000022	Prbn.g_00891	Pran.g_01401
OG0000023	Prbn.g_01030	Pran.g_01834
OG0000024	Prbn.g_01353	Pran.g_01420
OG0000024	Prbn.g_01589	Pran.g_01503
OG0000025	Prbn.g_01510	Pran.g_01863, Pran.g_01309
OG0000026	Prbn.g_00750	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Prbn.g_00139, Prbn.g_01664	Pran.g_00583
OG0000029	Prbn.g_00126, Prbn.g_01676	Pran.g_01410
OG0000030	Prbn.g_00985	Pran.g_01170
OG0000031	Prbn.g_00171	Pran.g_00753
OG0000033	Prbn.g_00178	Pran.g_00800
OG0000034	Prbn.g_01073	Pran.g_00866
OG0000035	Prbn.g_00212	Pran.g_00733
OG0000037	Prbn.g_01310	Pran.g_00324
OG0000038	Prbn.g_00946	Pran.g_01210
OG0000039	Prbn.g_01577	Pran.g_01492
OG0000041	Prbn.g_01793	Pran.g_01016
OG0000042	Prbn.g_00988	Pran.g_01167
OG0000043	Prbn.g_01168	Pran.g_00179
OG0000048	Prbn.g_01097, Prbn.g_00038	Pran.g_01772, Pran.g_01820
OG0000050	Prbn.g_01937	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000052	Prbn.g_00190	Pran.g_00777
OG0000053	Prbn.g_00233, Prbn.g_01690	Pran.g_00713
OG0000054	Prbn.g_00508	Pran.g_01572
OG0000055	Prbn.g_01140, Prbn.g_01719	Pran.g_01362
OG0000057	Prbn.g_01562	Pran.g_01480
OG0000058	Prbn.g_00172	Pran.g_00807
OG0000059	Prbn.g_01833	Pran.g_01056
OG0000061	Prbn.g_01189	Pran.g_00060
OG0000062	Prbn.g_00897	Pran.g_00655
OG0000065	Prbn.g_01312	Pran.g_00326
OG0000066	Prbn.g_00577, Prbn.g_01657	Pran.g_01639
OG0000067	Prbn.g_01546	Pran.g_01343
OG0000068	Prbn.g_01240	Pran.g_00841
OG0000069	Prbn.g_00659	Pran.g_00614
OG0000070	Prbn.g_00663	Pran.g_01727
OG0000071	Prbn.g_01084	Pran.g_00938, Pran.g_00876
OG0000072	Prbn.g_00383	Pran.g_00261
OG0000073	Prbn.g_00614	Pran.g_01679
OG0000074	Prbn.g_01582, Prbn.g_01928, Prbn.g_01038	Pran.g_01496
OG0000075	Prbn.g_01917	Pran.g_01137
OG0000076	Prbn.g_00996	Pran.g_01160
OG0000077	Prbn.g_01342	Pran.g_00354
OG0000078	Prbn.g_00310	Pran.g_00194
OG0000079	Prbn.g_00018	Pran.g_01940
OG0000080	Prbn.g_00184	Pran.g_00796
OG0000080	Prbn.g_00186	Pran.g_00794
OG0000081	Prbn.g_00585	Pran.g_01647
OG0000082	Prbn.g_00530, Prbn.g_01734	Pran.g_01593
OG0000084	Prbn.g_00209	Pran.g_00737
OG0000085	Prbn.g_00144, Prbn.g_01737	Pran.g_00963
OG0000086	Prbn.g_01333	Pran.g_00344
OG0000087	Prbn.g_01278	Pran.g_00295
OG0000088	Prbn.g_01247	Pran.g_00266
OG0000089	Prbn.g_00696	Pran.g_01839
OG0000090	Prbn.g_00583	Pran.g_01645
OG0000091	Prbn.g_00434	Pran.g_01536
OG0000092	Prbn.g_01616	Pran.g_00434
OG0000093	Prbn.g_00846	Pran.g_00455
OG0000094	Prbn.g_01369	Pran.g_00549
OG0000095	Prbn.g_01471	Pran.g_00903
OG0000096	Prbn.g_01049	Pran.g_00603, Pran.g_00114
OG0000097	Prbn.g_00408	Pran.g_00019
OG0000098	Prbn.g_01216	Pran.g_00855
OG0000099	Prbn.g_00173	Pran.g_00806
OG0000100	Prbn.g_00903	Pran.g_00659
OG0000101	Prbn.g_01881	Pran.g_01105
OG0000102	Prbn.g_00991	Pran.g_01165
OG0000103	Prbn.g_00907	Pran.g_01244
OG0000104	Prbn.g_00296	Pran.g_01253
OG0000105	Prbn.g_00041	Pran.g_01920
OG0000106	Prbn.g_00829	Pran.g_01824
OG0000107	Prbn.g_01810	Pran.g_01808
OG0000108	Prbn.g_00634	Pran.g_01698
OG0000109	Prbn.g_00620	Pran.g_01684
OG0000110	Prbn.g_00541	Pran.g_01603
OG0000111	Prbn.g_01561	Pran.g_01479
OG0000112	Prbn.g_00468	Pran.g_01378
OG0000113	Prbn.g_01523	Pran.g_01321
OG0000114	Prbn.g_01621	Pran.g_00429
OG0000115	Prbn.g_01120	Pran.g_00123
OG0000116	Prbn.g_01178	Pran.g_00070
OG0000117	Prbn.g_00389	Pran.g_01466
OG0000118	Prbn.g_01071	Pran.g_00864
OG0000119	Prbn.g_01135, Prbn.g_00885	Pran.g_00845
OG0000120	Prbn.g_00170	Pran.g_00752
OG0000121	Prbn.g_00214	Pran.g_00731
OG0000122	Prbn.g_01113, Prbn.g_00255	Pran.g_00693
OG0000123	Prbn.g_01888	Pran.g_01112
OG0000124	Prbn.g_00979	Pran.g_01176
OG0000125	Prbn.g_00944	Pran.g_01212
OG0000126	Prbn.g_00295	Pran.g_01252
OG0000128	Prbn.g_00002, Prbn.g_00003	Pran.g_01268
OG0000129	Prbn.g_00737	Pran.g_00381
OG0000130	Prbn.g_00708	Pran.g_00363
OG0000131	Prbn.g_01269	Pran.g_00288
OG0000132	Prbn.g_01249	Pran.g_00268
OG0000133	Prbn.g_00088	Pran.g_01872
OG0000134	Prbn.g_00694	Pran.g_01838
OG0000135	Prbn.g_01102	Pran.g_01812
OG0000136	Prbn.g_00672	Pran.g_01739
OG0000137	Prbn.g_00639	Pran.g_01703
OG0000138	Prbn.g_00619	Pran.g_01683
OG0000139	Prbn.g_00579	Pran.g_01641
OG0000140	Prbn.g_00578	Pran.g_01640
OG0000141	Prbn.g_00507	Pran.g_01571
OG0000142	Prbn.g_00426	Pran.g_01543
OG0000143	Prbn.g_00430	Pran.g_01539
OG0000144	Prbn.g_00444	Pran.g_01526
OG0000145	Prbn.g_01100	Pran.g_01400
OG0000146	Prbn.g_00469	Pran.g_01377
OG0000147	Prbn.g_00470	Pran.g_01376
OG0000148	Prbn.g_01529	Pran.g_01327
OG0000149	Prbn.g_01497	Pran.g_01297
OG0000150	Prbn.g_01487	Pran.g_01289
OG0000151	Prbn.g_01611	Pran.g_00439
OG0000152	Prbn.g_01418	Pran.g_00487
OG0000153	Prbn.g_01399	Pran.g_00506
OG0000154	Prbn.g_01379	Pran.g_00542
OG0000155	Prbn.g_01210	Pran.g_00040
OG0000156	Prbn.g_01095	Pran.g_00887
OG0000157	Prbn.g_01094	Pran.g_00886
OG0000158	Prbn.g_01014	Pran.g_00822
OG0000160	Prbn.g_00213	Pran.g_00732
OG0000161	Prbn.g_00219	Pran.g_00726
OG0000162	Prbn.g_00225	Pran.g_00720
OG0000163	Prbn.g_00264	Pran.g_00686
OG0000164	Prbn.g_01770	Pran.g_00994
OG0000165	Prbn.g_01777	Pran.g_01001
OG0000166	Prbn.g_01844	Pran.g_01069, Pran.g_01068
OG0000167	Prbn.g_01915	Pran.g_01135
OG0000168	Prbn.g_01013	Pran.g_01144
OG0000169	Prbn.g_01003	Pran.g_01154
OG0000170	Prbn.g_01000	Pran.g_01156
OG0000171	Prbn.g_00980	Pran.g_01175
OG0000172	Prbn.g_00973	Pran.g_01184
OG0000173	Prbn.g_00958	Pran.g_01199
OG0000174	Prbn.g_00929	Pran.g_01226
OG0000175	Prbn.g_00916	Pran.g_01236
OG0000176	Prbn.g_00010	Pran.g_01261
OG0000177	Prbn.g_00009	Pran.g_01262
OG0000178	Prbn.g_00008	Pran.g_01263
OG0000179	Prbn.g_00766	Pran.g_00408
OG0000180	Prbn.g_00765	Pran.g_00407
OG0000181	Prbn.g_00764	Pran.g_00406
OG0000182	Prbn.g_00763	Pran.g_00405
OG0000183	Prbn.g_00759	Pran.g_00401
OG0000184	Prbn.g_00733	Pran.g_00379
OG0000185	Prbn.g_00730	Pran.g_00376
OG0000186	Prbn.g_00714	Pran.g_00368
OG0000187	Prbn.g_00713	Pran.g_00367
OG0000188	Prbn.g_01339	Pran.g_00350
OG0000189	Prbn.g_01325	Pran.g_00337
OG0000190	Prbn.g_01323	Pran.g_00336
OG0000191	Prbn.g_01300	Pran.g_00316
OG0000192	Prbn.g_01295	Pran.g_00312
OG0000193	Prbn.g_01268	Pran.g_00287
OG0000194	Prbn.g_01265	Pran.g_00283
OG0000195	Prbn.g_01263	Pran.g_00281
OG0000196	Prbn.g_01252	Pran.g_00271
OG0000197	Prbn.g_01251	Pran.g_00270
OG0000198	Prbn.g_01250	Pran.g_00269
OG0000199	Prbn.g_01243, Prbn.g_00384	Pran.g_00262
