Orthogroup	Prbn	Syaj
OG0000001	Prbn.g_01213	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Syaj.g_02667
OG0000004	Prbn.g_01565	Syaj.g_00441
OG0000004	Prbn.g_00318	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbn.g_00899	Syaj.g_01698
OG0000006	Prbn.g_00308	Syaj.g_02635
OG0000007	Prbn.g_00617	Syaj.g_00091
OG0000007	Prbn.g_01745	Syaj.g_01721
OG0000008	Prbn.g_01645	Syaj.g_00496
OG0000008	Prbn.g_01646	Syaj.g_00497
OG0000009	Prbn.g_00887	Syaj.g_01069
OG0000010	Prbn.g_01939, Prbn.g_01357	Syaj.g_01445
OG0000012	Prbn.g_00492	Syaj.g_01306
OG0000012	Prbn.g_00867	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Prbn.g_00092	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prbn.g_00074	Syaj.g_02522
OG0000015	Prbn.g_01684, Prbn.g_01730	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prbn.g_01131	Syaj.g_00590, Syaj.g_01191
OG0000017	Prbn.g_00517	Syaj.g_00248
OG0000017	Prbn.g_00510	Syaj.g_00255
OG0000018	Prbn.g_01167	Syaj.g_01413
OG0000019	Prbn.g_00015, Prbn.g_01165	Syaj.g_02613
OG0000021	Prbn.g_00874, Prbn.g_01560	Syaj.g_00042
OG0000023	Prbn.g_01030	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbn.g_01353, Prbn.g_01589	Syaj.g_00500
OG0000025	Prbn.g_01510	Syaj.g_00383
OG0000026	Prbn.g_00750	Syaj.g_02298
OG0000027	Prbn.g_00139, Prbn.g_01664	Syaj.g_00396
OG0000028	Prbn.g_01644	Syaj.g_02506
OG0000029	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836	Syaj.g_01229
OG0000030	Prbn.g_00985	Syaj.g_02396, Syaj.g_02395
OG0000031	Prbn.g_00171	Syaj.g_02501
OG0000032	Prbn.g_00251	Syaj.g_01432
OG0000033	Prbn.g_00178	Syaj.g_01990
OG0000034	Prbn.g_01073	Syaj.g_01959
OG0000035	Prbn.g_00212	Syaj.g_01378
OG0000037	Prbn.g_01310	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbn.g_00946	Syaj.g_02115
OG0000039	Prbn.g_01577	Syaj.g_00392, Syaj.g_00275
OG0000041	Prbn.g_01793	Syaj.g_01602, Syaj.g_00418
OG0000042	Prbn.g_00988	Syaj.g_02399
OG0000043	Prbn.g_01168	Syaj.g_01085, Syaj.g_01247
OG0000046	Prbn.g_00093	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768
OG0000047	Prbn.g_00690	Syaj.g_02799
OG0000048	Prbn.g_01097	Syaj.g_02578
OG0000050	Prbn.g_01937	Syaj.g_01242
OG0000052	Prbn.g_00724	Syaj.g_02476
OG0000053	Prbn.g_00233, Prbn.g_01690	Syaj.g_01409
OG0000054	Prbn.g_00508	Syaj.g_01341
OG0000057	Prbn.g_01562	Syaj.g_00438
OG0000058	Prbn.g_00172	Syaj.g_02495
OG0000059	Prbn.g_01833	Syaj.g_02686
OG0000061	Prbn.g_01189	Syaj.g_00302
OG0000062	Prbn.g_00897	Syaj.g_01700
OG0000063	Prbn.g_00130	Syaj.g_02302
OG0000064	Prbn.g_00710	Syaj.g_00041, Syaj.g_01253
OG0000065	Prbn.g_01312	Syaj.g_01887, Syaj.g_00007
OG0000066	Prbn.g_00577, Prbn.g_01657	Syaj.g_00157
OG0000067	Prbn.g_01546	Syaj.g_01023
OG0000068	Prbn.g_01240	Syaj.g_00059
OG0000070	Prbn.g_00663	Syaj.g_01529
OG0000071	Prbn.g_01084	Syaj.g_01511
OG0000072	Prbn.g_00383	Syaj.g_01992
OG0000073	Prbn.g_00614	Syaj.g_00093
OG0000075	Prbn.g_01917	Syaj.g_02457
OG0000076	Prbn.g_00996	Syaj.g_02417
OG0000077	Prbn.g_01342	Syaj.g_01831
OG0000078	Prbn.g_00310	Syaj.g_02880
OG0000079	Prbn.g_00018	Syaj.g_02609
OG0000081	Prbn.g_00585	Syaj.g_02888
OG0000082	Prbn.g_00530, Prbn.g_01734	Syaj.g_00229
OG0000084	Prbn.g_00209	Syaj.g_01375
OG0000085	Prbn.g_00144, Prbn.g_01737	Syaj.g_01707
OG0000086	Prbn.g_01333	Syaj.g_01848
OG0000087	Prbn.g_01278	Syaj.g_01945
OG0000088	Prbn.g_01247	Syaj.g_01986
OG0000089	Prbn.g_00696	Syaj.g_02829, Syaj.g_01915
OG0000090	Prbn.g_00583	Syaj.g_00144
OG0000091	Prbn.g_00434	Syaj.g_01275
OG0000093	Prbn.g_00846	Syaj.g_01042
OG0000094	Prbn.g_01369	Syaj.g_00804
OG0000095	Prbn.g_01471	Syaj.g_00427
OG0000097	Prbn.g_00408	Syaj.g_00589
OG0000098	Prbn.g_01216	Syaj.g_02671
OG0000099	Prbn.g_00173	Syaj.g_02503
OG0000100	Prbn.g_00903	Syaj.g_00987
OG0000101	Prbn.g_01881	Syaj.g_02738
OG0000102	Prbn.g_00991	Syaj.g_02411
OG0000103	Prbn.g_00907	Syaj.g_02243
OG0000104	Prbn.g_00296	Syaj.g_02258
OG0000105	Prbn.g_00041	Syaj.g_02573
OG0000106	Prbn.g_00829	Syaj.g_01130
OG0000107	Prbn.g_01810	Syaj.g_02637
OG0000108	Prbn.g_00634	Syaj.g_00072
OG0000109	Prbn.g_00620	Syaj.g_00087
OG0000110	Prbn.g_00541	Syaj.g_00215
OG0000111	Prbn.g_01561	Syaj.g_00437
OG0000112	Prbn.g_00468	Syaj.g_00907
OG0000113	Prbn.g_01523	Syaj.g_00992
OG0000114	Prbn.g_01621	Syaj.g_00741
OG0000115	Prbn.g_01120	Syaj.g_01402
OG0000116	Prbn.g_01178	Syaj.g_00289
OG0000117	Prbn.g_00389	Syaj.g_00637
OG0000118	Prbn.g_01071	Syaj.g_00267
OG0000119	Prbn.g_01135, Prbn.g_00885	Syaj.g_00317
OG0000120	Prbn.g_00170	Syaj.g_02502
OG0000121	Prbn.g_00214	Syaj.g_01383
OG0000122	Prbn.g_01113, Prbn.g_00255	Syaj.g_01250
OG0000123	Prbn.g_01888	Syaj.g_02745
OG0000124	Prbn.g_00979	Syaj.g_02388
OG0000125	Prbn.g_00944	Syaj.g_02117
OG0000126	Prbn.g_00295	Syaj.g_02256
OG0000128	Prbn.g_00002, Prbn.g_00003	Syaj.g_02274
OG0000129	Prbn.g_00737	Syaj.g_02106
OG0000130	Prbn.g_00708	Syaj.g_01818
OG0000131	Prbn.g_01269	Syaj.g_01964
OG0000132	Prbn.g_01249	Syaj.g_00688, Syaj.g_01984
OG0000133	Prbn.g_00088	Syaj.g_00902
OG0000134	Prbn.g_00694	Syaj.g_02832
OG0000135	Prbn.g_01102	Syaj.g_02167
OG0000136	Prbn.g_00672	Syaj.g_01550
OG0000137	Prbn.g_00639	Syaj.g_01444
OG0000138	Prbn.g_00619	Syaj.g_00088
OG0000139	Prbn.g_00579	Syaj.g_00150
OG0000140	Prbn.g_00578	Syaj.g_00153
OG0000141	Prbn.g_00507	Syaj.g_01340
OG0000142	Prbn.g_00426	Syaj.g_01283
OG0000143	Prbn.g_00430	Syaj.g_01279
OG0000144	Prbn.g_00444	Syaj.g_01151
OG0000145	Prbn.g_01100	Syaj.g_00094
OG0000146	Prbn.g_00469	Syaj.g_00908
OG0000147	Prbn.g_00470	Syaj.g_00909
OG0000148	Prbn.g_01529	Syaj.g_01003
OG0000149	Prbn.g_01497	Syaj.g_00369
OG0000150	Prbn.g_01487	Syaj.g_01339, Syaj.g_00154
OG0000151	Prbn.g_01611	Syaj.g_01074
OG0000152	Prbn.g_01418	Syaj.g_00898
OG0000153	Prbn.g_01399	Syaj.g_00842
OG0000154	Prbn.g_01379	Syaj.g_00814
OG0000155	Prbn.g_01210	Syaj.g_00338
OG0000156	Prbn.g_01095	Syaj.g_00282
OG0000157	Prbn.g_01094	Syaj.g_00281
OG0000158	Prbn.g_01014	Syaj.g_02445
OG0000160	Prbn.g_00213	Syaj.g_01382
OG0000161	Prbn.g_00219	Syaj.g_01389
OG0000162	Prbn.g_00225	Syaj.g_01395
OG0000163	Prbn.g_00264	Syaj.g_01639
OG0000164	Prbn.g_01770	Syaj.g_01758
OG0000165	Prbn.g_01777	Syaj.g_01582
OG0000166	Prbn.g_01844	Syaj.g_02698
OG0000167	Prbn.g_01915	Syaj.g_02460
OG0000168	Prbn.g_01013	Syaj.g_02444
OG0000169	Prbn.g_01003	Syaj.g_02431, Syaj.g_02429
OG0000170	Prbn.g_01000	Syaj.g_02422
OG0000171	Prbn.g_00980	Syaj.g_02389
OG0000172	Prbn.g_00973	Syaj.g_02365
OG0000173	Prbn.g_00958	Syaj.g_02321
OG0000174	Prbn.g_00929	Syaj.g_02169
OG0000175	Prbn.g_00916	Syaj.g_02229
OG0000176	Prbn.g_00010	Syaj.g_02266
OG0000177	Prbn.g_00009	Syaj.g_02267
OG0000178	Prbn.g_00008	Syaj.g_02268
OG0000179	Prbn.g_00766	Syaj.g_02283
OG0000180	Prbn.g_00765	Syaj.g_02284
OG0000181	Prbn.g_00764	Syaj.g_02285
OG0000182	Prbn.g_00763	Syaj.g_02286
