Orthogroup	Prbn	Prag
OG0000000	Prbn.g_01662	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000001	Prbn.g_01213	Prag.g_01374
OG0000002	Prbn.g_01483, Prbn.g_01478	Prag.g_01382
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prag.g_00656
OG0000004	Prbn.g_01565	Prag.g_00673
OG0000004	Prbn.g_00318	Prag.g_00225
OG0000005	Prbn.g_00899	Prag.g_01566
OG0000006	Prbn.g_00308	Prag.g_00234, Prag.g_01231
OG0000007	Prbn.g_00617	Prag.g_00476
OG0000007	Prbn.g_01745	Prag.g_01669
OG0000008	Prbn.g_01645	Prag.g_01655
OG0000008	Prbn.g_01646	Prag.g_01656
OG0000010	Prbn.g_00640	Prag.g_00453
OG0000010	Prbn.g_01939, Prbn.g_01357	Prag.g_01043
OG0000012	Prbn.g_00492, Prbn.g_00867	Prag.g_00601
OG0000013	Prbn.g_00092	Prag.g_00318
OG0000014	Prbn.g_00074	Prag.g_00297
OG0000015	Prbn.g_01684, Prbn.g_01730	Prag.g_00765
OG0000016	Prbn.g_01131	Prag.g_01638
OG0000017	Prbn.g_00517, Prbn.g_00510	Prag.g_00576
OG0000018	Prbn.g_01518	Prag.g_00833
OG0000018	Prbn.g_01167	Prag.g_01134
OG0000019	Prbn.g_00015	Prag.g_00242
OG0000019	Prbn.g_01165	Prag.g_00786
OG0000020	Prbn.g_00133	Prag.g_01637
OG0000021	Prbn.g_00874, Prbn.g_01560	Prag.g_01633, Prag.g_00359
OG0000022	Prbn.g_00891	Prag.g_00757
OG0000023	Prbn.g_01030	Prag.g_00354
OG0000024	Prbn.g_01353	Prag.g_00740
OG0000024	Prbn.g_01589	Prag.g_00653
OG0000025	Prbn.g_01510	Prag.g_00322, Prag.g_00839
OG0000026	Prbn.g_00750	Prag.g_00031, Prag.g_01050
OG0000027	Prbn.g_00139, Prbn.g_01664	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prbn.g_01644	Prag.g_01270
OG0000029	Prbn.g_00126, Prbn.g_01676	Prag.g_00748
OG0000030	Prbn.g_00985	Prag.g_01871
OG0000031	Prbn.g_00171	Prag.g_01446
OG0000034	Prbn.g_01073	Prag.g_01365
OG0000035	Prbn.g_00212	Prag.g_01490, Prag.g_01488
OG0000037	Prbn.g_01310	Prag.g_00102
OG0000038	Prbn.g_00946	Prag.g_01911
OG0000039	Prbn.g_01577	Prag.g_00664
OG0000041	Prbn.g_01793	Prag.g_01716
OG0000042	Prbn.g_00988	Prag.g_01868
OG0000043	Prbn.g_01168	Prag.g_00876
OG0000048	Prbn.g_01097, Prbn.g_00038	Prag.g_01658, Prag.g_00368
OG0000052	Prbn.g_00190	Prag.g_01444
OG0000053	Prbn.g_00233, Prbn.g_01690	Prag.g_01510
OG0000054	Prbn.g_00508	Prag.g_00584
OG0000055	Prbn.g_01140, Prbn.g_01719	Prag.g_00787
OG0000057	Prbn.g_01562	Prag.g_00676
OG0000058	Prbn.g_00172	Prag.g_01428
OG0000059	Prbn.g_01833	Prag.g_01755
OG0000061	Prbn.g_01189	Prag.g_01153
OG0000062	Prbn.g_00897	Prag.g_01568
OG0000065	Prbn.g_01312	Prag.g_00100
OG0000066	Prbn.g_00577, Prbn.g_01657	Prag.g_00518
OG0000067	Prbn.g_01546	Prag.g_00806
OG0000068	Prbn.g_01240	Prag.g_01389
OG0000069	Prbn.g_00659	Prag.g_01601
OG0000070	Prbn.g_00663	Prag.g_00429
OG0000071	Prbn.g_01084	Prag.g_01355
OG0000072	Prbn.g_00383	Prag.g_00164
OG0000073	Prbn.g_00614	Prag.g_00478
OG0000074	Prbn.g_01582, Prbn.g_01928, Prbn.g_01038	Prag.g_00660
OG0000075	Prbn.g_01917	Prag.g_01836
OG0000076	Prbn.g_00996	Prag.g_01861
OG0000077	Prbn.g_01342	Prag.g_00072
OG0000078	Prbn.g_00310	Prag.g_00232
OG0000081	Prbn.g_00585	Prag.g_00510
OG0000082	Prbn.g_00530, Prbn.g_01734	Prag.g_00563
OG0000084	Prbn.g_00209	Prag.g_01484
OG0000085	Prbn.g_00144, Prbn.g_01737	Prag.g_01662
OG0000086	Prbn.g_01333	Prag.g_00082
OG0000087	Prbn.g_01278	Prag.g_00132
OG0000088	Prbn.g_01247	Prag.g_00159
OG0000089	Prbn.g_00696	Prag.g_00350
OG0000090	Prbn.g_00583	Prag.g_00512
OG0000091	Prbn.g_00434	Prag.g_00620
OG0000092	Prbn.g_01616	Prag.g_00911
OG0000093	Prbn.g_00846	Prag.g_00932
OG0000094	Prbn.g_01369	Prag.g_01017
OG0000095	Prbn.g_01471	Prag.g_01036
OG0000096	Prbn.g_01049	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000097	Prbn.g_00408	Prag.g_01194
OG0000098	Prbn.g_01216	Prag.g_01371
OG0000099	Prbn.g_00173	Prag.g_01424
OG0000100	Prbn.g_00903	Prag.g_01564
OG0000101	Prbn.g_01881	Prag.g_01804
OG0000102	Prbn.g_00991	Prag.g_01866
OG0000103	Prbn.g_00907	Prag.g_01945
OG0000104	Prbn.g_00296	Prag.g_01953
OG0000105	Prbn.g_00041	Prag.g_00265
OG0000106	Prbn.g_00829	Prag.g_00364
OG0000107	Prbn.g_01810	Prag.g_00378
OG0000108	Prbn.g_00634	Prag.g_00459
OG0000109	Prbn.g_00620	Prag.g_00473
OG0000110	Prbn.g_00541	Prag.g_00553
OG0000111	Prbn.g_01561	Prag.g_00677
OG0000112	Prbn.g_00468	Prag.g_00771
OG0000113	Prbn.g_01523	Prag.g_00828
OG0000114	Prbn.g_01621	Prag.g_00906
OG0000115	Prbn.g_01120	Prag.g_01097
OG0000116	Prbn.g_01178	Prag.g_01143
OG0000117	Prbn.g_00389	Prag.g_01298
OG0000118	Prbn.g_01071	Prag.g_01367
OG0000119	Prbn.g_01135, Prbn.g_00885	Prag.g_01385
OG0000120	Prbn.g_00170	Prag.g_01423
OG0000121	Prbn.g_00214	Prag.g_01492
OG0000122	Prbn.g_01113, Prbn.g_00255	Prag.g_01530
OG0000123	Prbn.g_01888	Prag.g_01811
OG0000124	Prbn.g_00979	Prag.g_01877
OG0000125	Prbn.g_00944	Prag.g_01913
OG0000126	Prbn.g_00295	Prag.g_01952
OG0000128	Prbn.g_00002, Prbn.g_00003	Prag.g_00011
OG0000129	Prbn.g_00737	Prag.g_00044
OG0000130	Prbn.g_00708	Prag.g_00063
OG0000131	Prbn.g_01269	Prag.g_00138
OG0000132	Prbn.g_01249	Prag.g_00157
OG0000133	Prbn.g_00088	Prag.g_00313
OG0000134	Prbn.g_00694	Prag.g_00351
OG0000135	Prbn.g_01102	Prag.g_00375
OG0000136	Prbn.g_00672	Prag.g_00420
OG0000137	Prbn.g_00639	Prag.g_00454
OG0000138	Prbn.g_00619	Prag.g_00474
OG0000139	Prbn.g_00579	Prag.g_00516
OG0000140	Prbn.g_00578	Prag.g_00517
OG0000141	Prbn.g_00507	Prag.g_00585
OG0000142	Prbn.g_00426	Prag.g_00613
OG0000143	Prbn.g_00430	Prag.g_00617
OG0000144	Prbn.g_00444	Prag.g_00630
OG0000145	Prbn.g_01100	Prag.g_00758
OG0000146	Prbn.g_00469	Prag.g_00772
OG0000147	Prbn.g_00470	Prag.g_00773
OG0000148	Prbn.g_01529	Prag.g_00822
OG0000149	Prbn.g_01497	Prag.g_00851
OG0000150	Prbn.g_01487	Prag.g_00859
