Orthogroup	Prbn	Syam
OG0000001	Prbn.g_01213	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Syam.g_00931
OG0000004	Prbn.g_01565	Syam.g_00787
OG0000004	Prbn.g_00318	Syam.g_01499, Syam.g_00501
OG0000005	Prbn.g_00899	Syam.g_01970
OG0000006	Prbn.g_00308	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prbn.g_00617	Syam.g_00602
OG0000007	Prbn.g_01745	Syam.g_01990
OG0000008	Prbn.g_01645	Syam.g_00810
OG0000008	Prbn.g_01646	Syam.g_00811
OG0000010	Prbn.g_01939, Prbn.g_01357	Syam.g_01669
OG0000012	Prbn.g_00492	Syam.g_01492
OG0000013	Prbn.g_00092	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prbn.g_00074	Syam.g_00191
OG0000015	Prbn.g_01684, Prbn.g_01730	Syam.g_01218, Syam.g_01362
OG0000016	Prbn.g_01131	Syam.g_00876, Syam.g_01011
OG0000017	Prbn.g_00517	Syam.g_01715
OG0000017	Prbn.g_00510	Syam.g_01708
OG0000018	Prbn.g_01167	Syam.g_01640
OG0000019	Prbn.g_00015, Prbn.g_01165	Syam.g_00274
OG0000021	Prbn.g_00874, Prbn.g_01560	Syam.g_00523
OG0000023	Prbn.g_01030	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbn.g_01353, Prbn.g_01589	Syam.g_00815
OG0000025	Prbn.g_01510	Syam.g_00740
OG0000026	Prbn.g_00750	Syam.g_00035
OG0000027	Prbn.g_00139, Prbn.g_01664	Syam.g_01442, Syam.g_00989
OG0000028	Prbn.g_01644	Syam.g_00176
OG0000029	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836	Syam.g_01390, Syam.g_01055
OG0000030	Prbn.g_00985	Syam.g_00104, Syam.g_00103
OG0000031	Prbn.g_00171	Syam.g_00171, Syam.g_00086
OG0000032	Prbn.g_00251	Syam.g_01660
OG0000033	Prbn.g_00178	Syam.g_02217
OG0000034	Prbn.g_01073	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbn.g_00212	Syam.g_01612
OG0000037	Prbn.g_01310	Syam.g_02125
OG0000038	Prbn.g_00946	Syam.g_02317
OG0000039	Prbn.g_01577	Syam.g_00749
OG0000041	Prbn.g_01793	Syam.g_01899, Syam.g_00765
OG0000042	Prbn.g_00988	Syam.g_00107
OG0000043	Prbn.g_01168	Syam.g_01041
OG0000046	Prbn.g_00093	Syam.g_00410, Syam.g_00420, Syam.g_00403
OG0000047	Prbn.g_00690	Syam.g_00434
OG0000048	Prbn.g_01097	Syam.g_00243
OG0000052	Prbn.g_00190, Prbn.g_00724	Syam.g_00161
OG0000053	Prbn.g_00233, Prbn.g_01690	Syam.g_01636
OG0000054	Prbn.g_00508	Syam.g_01515
OG0000057	Prbn.g_01562	Syam.g_00784
OG0000058	Prbn.g_00172	Syam.g_00169
