Orthogroup	Prbn	Prba
OG0000000	Prbn.g_01662	Prba.g_00243, Prba.g_00269
OG0000001	Prbn.g_01213	Prba.g_00211
OG0000002	Prbn.g_01483, Prbn.g_01478	Prba.g_00203
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prba.g_01639
OG0000004	Prbn.g_01565	Prba.g_01622
OG0000004	Prbn.g_00318	Prba.g_00451
OG0000005	Prbn.g_00899	Prba.g_00312
OG0000006	Prbn.g_00308	Prba.g_00460
OG0000007	Prbn.g_00617	Prba.g_00964
OG0000007	Prbn.g_01745	Prba.g_00226
OG0000008	Prbn.g_01645	Prba.g_01131
OG0000009	Prbn.g_00887	Prba.g_01142
OG0000010	Prbn.g_00640	Prba.g_00987
OG0000010	Prbn.g_01939, Prbn.g_01357	Prba.g_01256
OG0000012	Prbn.g_00492, Prbn.g_00867	Prba.g_01694
OG0000013	Prbn.g_00092	Prba.g_00543
OG0000014	Prbn.g_00074	Prba.g_00522
OG0000015	Prbn.g_01684, Prbn.g_01730	Prba.g_01538
OG0000017	Prbn.g_00517, Prbn.g_00510	Prba.g_01719
OG0000018	Prbn.g_01518	Prba.g_01472
OG0000018	Prbn.g_01167	Prba.g_00083
OG0000019	Prbn.g_00015	Prba.g_00468
OG0000019	Prbn.g_01165	Prba.g_01519
OG0000021	Prbn.g_00874, Prbn.g_01560	Prba.g_00245, Prba.g_00858
OG0000022	Prbn.g_00891	Prba.g_01543
OG0000023	Prbn.g_01030	Prba.g_00854
OG0000024	Prbn.g_01353	Prba.g_01558
OG0000024	Prbn.g_01589	Prba.g_01642
OG0000025	Prbn.g_01510	Prba.g_00547, Prba.g_01464
OG0000026	Prbn.g_00750	Prba.g_01824, Prba.g_01249
OG0000027	Prbn.g_00139, Prbn.g_01664	Prba.g_00991, Prba.g_01175
OG0000028	Prbn.g_01644	Prba.g_01126
OG0000029	Prbn.g_00126, Prbn.g_01676	Prba.g_01551
OG0000029	Prbn.g_01836	Prba.g_00869
