Orthogroup	Prbn	Syab
OG0000001	Prbn.g_01213	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Syab.g_02285
OG0000004	Prbn.g_01565	Syab.g_00549, Syab.g_01193
OG0000004	Prbn.g_00318	Syab.g_01911, Syab.g_02377
OG0000005	Prbn.g_00899	Syab.g_02806, Syab.g_02232
OG0000006	Prbn.g_00308	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbn.g_00617	Syab.g_02117
OG0000007	Prbn.g_01745	Syab.g_02256
OG0000008	Prbn.g_01645	Syab.g_01755
OG0000008	Prbn.g_01646	Syab.g_01168
OG0000009	Prbn.g_00887	Syab.g_00995
OG0000010	Prbn.g_01939, Prbn.g_01357	Syab.g_00696
OG0000013	Prbn.g_00092	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prbn.g_00074	Syab.g_00249
OG0000015	Prbn.g_01684, Prbn.g_01730	Syab.g_02889
OG0000016	Prbn.g_01131	Syab.g_01049
OG0000017	Prbn.g_00517	Syab.g_01953
OG0000017	Prbn.g_00510	Syab.g_01945
OG0000018	Prbn.g_01167	Syab.g_00742
OG0000019	Prbn.g_00015, Prbn.g_01165	Syab.g_00344
OG0000020	Prbn.g_00875, Prbn.g_00133	Syab.g_02230
OG0000023	Prbn.g_01030	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbn.g_01353, Prbn.g_01589	Syab.g_01834
OG0000025	Prbn.g_01510	Syab.g_01705
OG0000026	Prbn.g_00750	Syab.g_00036
OG0000027	Prbn.g_00139, Prbn.g_01664	Syab.g_01782
OG0000028	Prbn.g_01644	Syab.g_00234
OG0000030	Prbn.g_00985	Syab.g_00096, Syab.g_00095
OG0000031	Prbn.g_00171	Syab.g_00160
OG0000032	Prbn.g_00251	Syab.g_00724
OG0000033	Prbn.g_00178	Syab.g_02590
OG0000034	Prbn.g_01073	Syab.g_00900, Syab.g_02560
