Orthogroup	Prbn	Syae
OG0000001	Prbn.g_01213	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prbn.g_01565	Syae.g_00779
OG0000004	Prbn.g_00318	Syae.g_00042, Syae.g_02231
OG0000005	Prbn.g_00899	Syae.g_01143
OG0000006	Prbn.g_00308	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prbn.g_00617	Syae.g_02328
OG0000007	Prbn.g_01745	Syae.g_01163
OG0000008	Prbn.g_01645	Syae.g_00753
OG0000008	Prbn.g_01646	Syae.g_00752
OG0000009	Prbn.g_00887	Syae.g_00561, Syae.g_00171
OG0000010	Prbn.g_01939, Prbn.g_01357	Syae.g_02529
OG0000012	Prbn.g_00492	Syae.g_00049
OG0000013	Prbn.g_00092	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prbn.g_00074	Syae.g_01930
OG0000015	Prbn.g_01684, Prbn.g_01730	Syae.g_01693, Syae.g_00590
OG0000016	Prbn.g_01131	Syae.g_00681, Syae.g_00233
OG0000017	Prbn.g_00517	Syae.g_02462
OG0000017	Prbn.g_00510	Syae.g_02469
OG0000018	Prbn.g_01167	Syae.g_02625
OG0000019	Prbn.g_00015, Prbn.g_01165	Syae.g_02015
OG0000021	Prbn.g_00874, Prbn.g_01560	Syae.g_00481
OG0000023	Prbn.g_01030	Syae.g_00439, Syae.g_00930
OG0000025	Prbn.g_01510	Syae.g_00833
OG0000026	Prbn.g_00750	Syae.g_01748
OG0000027	Prbn.g_00139, Prbn.g_01664	Syae.g_00103, Syae.g_00814
OG0000028	Prbn.g_01644	Syae.g_01916
OG0000029	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836	Syae.g_00136
OG0000030	Prbn.g_00985	Syae.g_01817, Syae.g_01816
OG0000031	Prbn.g_00171	Syae.g_01911
OG0000032	Prbn.g_00251	Syae.g_02607
OG0000033	Prbn.g_00178	Syae.g_01453
OG0000034	Prbn.g_01073	Syae.g_00975, Syae.g_01424
OG0000035	Prbn.g_00212	Syae.g_02653
OG0000037	Prbn.g_01310	Syae.g_01367
OG0000038	Prbn.g_00946	Syae.g_01571
OG0000039	Prbn.g_01577	Syae.g_00822, Syae.g_02495
OG0000041	Prbn.g_01793	Syae.g_01042, Syae.g_00802
OG0000042	Prbn.g_00988	Syae.g_01821
OG0000043	Prbn.g_01168	Syae.g_00117
OG0000046	Prbn.g_00093	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Prbn.g_00690	Syae.g_02184
OG0000048	Prbn.g_01097	Syae.g_01982
OG0000050	Prbn.g_01937	Syae.g_00122
OG0000052	Prbn.g_00724	Syae.g_01886
OG0000053	Prbn.g_00233, Prbn.g_01690	Syae.g_02629
OG0000054	Prbn.g_00508	Syae.g_00014, Syae.g_00221
OG0000057	Prbn.g_01562	Syae.g_00782
OG0000058	Prbn.g_00172	Syae.g_01905, Syae.g_01227
OG0000059	Prbn.g_01833	Syae.g_02074
OG0000061	Prbn.g_01189	Syae.g_00921
OG0000062	Prbn.g_00897	Syae.g_01145
OG0000063	Prbn.g_00130	Syae.g_01752
OG0000064	Prbn.g_00710	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194
OG0000065	Prbn.g_01312	Syae.g_01363, Syae.g_00722
OG0000066	Prbn.g_00577, Prbn.g_01657	Syae.g_02386
OG0000067	Prbn.g_01546	Syae.g_00521
OG0000068	Prbn.g_01240	Syae.g_02299
OG0000069	Prbn.g_00659	Syae.g_00458
OG0000070	Prbn.g_00663	Syae.g_00979
OG0000071	Prbn.g_01084	Syae.g_00961
OG0000072	Prbn.g_00383	Syae.g_01455
OG0000073	Prbn.g_00614	Syae.g_02330
OG0000074	Prbn.g_01038	Syae.g_00719
OG0000075	Prbn.g_01917	Syae.g_01871
OG0000076	Prbn.g_00996	Syae.g_01829
OG0000077	Prbn.g_01342	Syae.g_01297
OG0000078	Prbn.g_00310	Syae.g_02243
OG0000079	Prbn.g_00018	Syae.g_02011
OG0000081	Prbn.g_00585	Syae.g_02261
OG0000082	Prbn.g_00530, Prbn.g_01734	Syae.g_02447
OG0000084	Prbn.g_00209	Syae.g_00857, Syae.g_02656
OG0000085	Prbn.g_00144, Prbn.g_01737	Syae.g_01152
OG0000086	Prbn.g_01333	Syae.g_01333
OG0000087	Prbn.g_01278	Syae.g_01414
OG0000088	Prbn.g_01247	Syae.g_01449
OG0000089	Prbn.g_00696	Syae.g_02219
OG0000090	Prbn.g_00583	Syae.g_02374
OG0000091	Prbn.g_00434	Syae.g_00082
OG0000093	Prbn.g_00846	Syae.g_00537
OG0000094	Prbn.g_01369	Syae.g_00430
OG0000095	Prbn.g_01471	Syae.g_00793, Syae.g_00259
OG0000097	Prbn.g_00408	Syae.g_00683
OG0000098	Prbn.g_01216	Syae.g_02384, Syae.g_02058
OG0000099	Prbn.g_00173	Syae.g_01913, Syae.g_01226
OG0000100	Prbn.g_00903	Syae.g_00489
OG0000101	Prbn.g_01881	Syae.g_02125
OG0000102	Prbn.g_00991	Syae.g_01824
OG0000103	Prbn.g_00907	Syae.g_01694
OG0000104	Prbn.g_00296	Syae.g_01708
OG0000105	Prbn.g_00041	Syae.g_01977
OG0000106	Prbn.g_00829	Syae.g_00272
OG0000107	Prbn.g_01810	Syae.g_02032
OG0000108	Prbn.g_00634	Syae.g_02309
OG0000109	Prbn.g_00620	Syae.g_02324
OG0000110	Prbn.g_00541	Syae.g_02435
OG0000111	Prbn.g_01561	Syae.g_00783
OG0000112	Prbn.g_00468	Syae.g_00351
OG0000113	Prbn.g_01523	Syae.g_00494
OG0000114	Prbn.g_01621	Syae.g_00575
OG0000115	Prbn.g_01120	Syae.g_02631
OG0000116	Prbn.g_01178	Syae.g_00939
OG0000117	Prbn.g_00389	Syae.g_00647
OG0000118	Prbn.g_01071	Syae.g_02479
OG0000119	Prbn.g_01135, Prbn.g_00885	Syae.g_00904
OG0000120	Prbn.g_00170	Syae.g_01912
OG0000121	Prbn.g_00214	Syae.g_02649
OG0000122	Prbn.g_01113, Prbn.g_00255	Syae.g_00112
OG0000123	Prbn.g_01888	Syae.g_02131
OG0000124	Prbn.g_00979	Syae.g_01809
OG0000125	Prbn.g_00944	Syae.g_01573
OG0000126	Prbn.g_00295	Syae.g_01706
OG0000128	Prbn.g_00002, Prbn.g_00003	Syae.g_01724
OG0000129	Prbn.g_00737	Syae.g_01562
OG0000130	Prbn.g_00708	Syae.g_01284
OG0000131	Prbn.g_01269	Syae.g_01428
OG0000132	Prbn.g_01249	Syae.g_01447
OG0000133	Prbn.g_00088	Syae.g_00356
OG0000134	Prbn.g_00694	Syae.g_02222
OG0000135	Prbn.g_01102	Syae.g_01608
OG0000136	Prbn.g_00672	Syae.g_00989
OG0000137	Prbn.g_00639	Syae.g_02530
OG0000138	Prbn.g_00619	Syae.g_02325
OG0000139	Prbn.g_00579	Syae.g_02380
OG0000140	Prbn.g_00578	Syae.g_02383
OG0000141	Prbn.g_00507	Syae.g_00016
OG0000142	Prbn.g_00426	Syae.g_00074
OG0000143	Prbn.g_00430	Syae.g_00078
OG0000144	Prbn.g_00444	Syae.g_00261
OG0000145	Prbn.g_01100	Syae.g_02331
OG0000146	Prbn.g_00469	Syae.g_00350
OG0000147	Prbn.g_00470	Syae.g_00349
OG0000148	Prbn.g_01529	Syae.g_00500
OG0000149	Prbn.g_01497	Syae.g_00847
OG0000150	Prbn.g_01487	Syae.g_00017
OG0000151	Prbn.g_01611	Syae.g_00563
OG0000152	Prbn.g_01418	Syae.g_00360
OG0000153	Prbn.g_01399	Syae.g_00394
OG0000154	Prbn.g_01379	Syae.g_00420
OG0000155	Prbn.g_01210	Syae.g_00885
OG0000156	Prbn.g_01095	Syae.g_00945
OG0000157	Prbn.g_01094	Syae.g_00946
OG0000158	Prbn.g_01014	Syae.g_01858
OG0000160	Prbn.g_00213	Syae.g_02650
OG0000161	Prbn.g_00219	Syae.g_02644
OG0000162	Prbn.g_00225	Syae.g_02638
OG0000163	Prbn.g_00264	Syae.g_01092
OG0000164	Prbn.g_01770	Syae.g_01198
OG0000165	Prbn.g_01777	Syae.g_01021
