Orthogroup	Prbn	Syas
OG0000001	Prbn.g_01213	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Prbn.g_01565	Syas.g_00176
OG0000004	Prbn.g_00318	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbn.g_00899	Syas.g_02704
OG0000006	Prbn.g_00308	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prbn.g_00617	Syas.g_01232
OG0000007	Prbn.g_01745	Syas.g_02681
OG0000008	Prbn.g_01645	Syas.g_00886
OG0000008	Prbn.g_01646	Syas.g_00887
OG0000010	Prbn.g_01939, Prbn.g_01357	Syas.g_01334
OG0000012	Prbn.g_00867	Syas.g_00111, Syas.g_00827
OG0000013	Prbn.g_00092	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbn.g_00074	Syas.g_01816
OG0000015	Prbn.g_01684, Prbn.g_01730	Syas.g_02007, Syas.g_00968
OG0000016	Prbn.g_01131	Syas.g_01086, Syas.g_01050
OG0000017	Prbn.g_00510	Syas.g_00856
OG0000018	Prbn.g_01167	Syas.g_01290
OG0000019	Prbn.g_00015, Prbn.g_01165	Syas.g_01696
OG0000025	Prbn.g_01510	Syas.g_00231
OG0000026	Prbn.g_00750	Syas.g_02070
OG0000027	Prbn.g_00139, Prbn.g_01664	Syas.g_01480
OG0000028	Prbn.g_01644	Syas.g_01793
OG0000030	Prbn.g_00985	Syas.g_01644, Syas.g_01645
OG0000031	Prbn.g_00171	Syas.g_01827
OG0000033	Prbn.g_00178	Syas.g_02328
OG0000034	Prbn.g_01073	Syas.g_02371, Syas.g_02838
OG0000035	Prbn.g_00212	Syas.g_02814, Syas.g_02818
OG0000037	Prbn.g_01310	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbn.g_00946	Syas.g_01885, Syas.g_01887
OG0000039	Prbn.g_01577	Syas.g_02795
OG0000041	Prbn.g_01793	Syas.g_00996, Syas.g_02585
OG0000042	Prbn.g_00988	Syas.g_01121, Syas.g_02147
OG0000046	Prbn.g_00093	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbn.g_01097	Syas.g_01734
OG0000051	Prbn.g_00809	Syas.g_01445
OG0000053	Prbn.g_00233, Prbn.g_01690	Syas.g_01287
OG0000054	Prbn.g_00508	Syas.g_00961, Syas.g_00957
OG0000055	Prbn.g_01719	Syas.g_00203
OG0000057	Prbn.g_01562	Syas.g_01055, Syas.g_01038
OG0000058	Prbn.g_00172	Syas.g_01151
OG0000059	Prbn.g_01833	Syas.g_01639
OG0000061	Prbn.g_01189	Syas.g_01184
OG0000062	Prbn.g_00897	Syas.g_02702
OG0000063	Prbn.g_00130	Syas.g_02074
OG0000064	Prbn.g_00710	Syas.g_02423, Syas.g_00946
OG0000065	Prbn.g_01312	Syas.g_02420
OG0000066	Prbn.g_00577, Prbn.g_01657	Syas.g_00094
OG0000067	Prbn.g_01546	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prbn.g_01240	Syas.g_00969, Syas.g_01261
OG0000069	Prbn.g_00659	Syas.g_00779, Syas.g_00876
OG0000070	Prbn.g_00663	Syas.g_00173
OG0000071	Prbn.g_01084	Syas.g_02854
OG0000072	Prbn.g_00383	Syas.g_02326, Syas.g_01524
OG0000073	Prbn.g_00614	Syas.g_01230
OG0000075	Prbn.g_01917	Syas.g_01921, Syas.g_02194
OG0000076	Prbn.g_00996	Syas.g_02156
OG0000077	Prbn.g_01342	Syas.g_02510
OG0000078	Prbn.g_00310	Syas.g_02561
OG0000079	Prbn.g_00018	Syas.g_01699
OG0000080	Prbn.g_00184, Prbn.g_00186	Syas.g_02616, Syas.g_02149
OG0000081	Prbn.g_00585	Syas.g_00391
OG0000082	Prbn.g_00530, Prbn.g_01734	Syas.g_00837
OG0000085	Prbn.g_00144, Prbn.g_01737	Syas.g_02695
OG0000086	Prbn.g_01333	Syas.g_02470
OG0000087	Prbn.g_01278	Syas.g_02374
OG0000089	Prbn.g_00696	Syas.g_01512
OG0000090	Prbn.g_00583	Syas.g_00062
OG0000091	Prbn.g_00434	Syas.g_00907, Syas.g_00146
OG0000094	Prbn.g_01369	Syas.g_00208, Syas.g_01716
OG0000095	Prbn.g_01471	Syas.g_01021
OG0000097	Prbn.g_00408	Syas.g_00114, Syas.g_01443
OG0000098	Prbn.g_01216	Syas.g_00091
OG0000099	Prbn.g_00173	Syas.g_01826
OG0000100	Prbn.g_00903	Syas.g_00567
OG0000101	Prbn.g_01881	Syas.g_01589
OG0000102	Prbn.g_00991	Syas.g_02152, Syas.g_01395
OG0000103	Prbn.g_00907	Syas.g_02009
OG0000104	Prbn.g_00296	Syas.g_02027, Syas.g_02026
OG0000105	Prbn.g_00041	Syas.g_01739
OG0000106	Prbn.g_00829	Syas.g_01451
OG0000107	Prbn.g_01810	Syas.g_01669
OG0000108	Prbn.g_00634	Syas.g_01253
OG0000109	Prbn.g_00620	Syas.g_01236
OG0000110	Prbn.g_00541	Syas.g_00359, Syas.g_00818
OG0000111	Prbn.g_01561	Syas.g_01037
OG0000112	Prbn.g_00468	Syas.g_00452
OG0000113	Prbn.g_01523	Syas.g_00571
OG0000114	Prbn.g_01621	Syas.g_00252, Syas.g_00674
OG0000115	Prbn.g_01120	Syas.g_02548, Syas.g_01285
OG0000116	Prbn.g_01178	Syas.g_01198, Syas.g_00317
OG0000117	Prbn.g_00389	Syas.g_01122
OG0000118	Prbn.g_01071	Syas.g_02835
OG0000120	Prbn.g_00170	Syas.g_01828
OG0000121	Prbn.g_00214	Syas.g_02821
OG0000122	Prbn.g_01113, Prbn.g_00255	Syas.g_00393
OG0000123	Prbn.g_01888	Syas.g_01582
OG0000124	Prbn.g_00979	Syas.g_02137
OG0000125	Prbn.g_00944	Syas.g_01889
OG0000126	Prbn.g_00295	Syas.g_01992
OG0000128	Prbn.g_00002, Prbn.g_00003	Syas.g_02046
OG0000129	Prbn.g_00737	Syas.g_01880
OG0000130	Prbn.g_00708	Syas.g_02522
OG0000131	Prbn.g_01269	Syas.g_02367
OG0000132	Prbn.g_01249	Syas.g_02334
OG0000133	Prbn.g_00088	Syas.g_00457
OG0000134	Prbn.g_00694	Syas.g_01509
OG0000135	Prbn.g_01102	Syas.g_01938
OG0000136	Prbn.g_00672	Syas.g_02740
OG0000137	Prbn.g_00639	Syas.g_01333
OG0000138	Prbn.g_00619	Syas.g_01235
OG0000139	Prbn.g_00579	Syas.g_00069
OG0000140	Prbn.g_00578	Syas.g_00090
OG0000141	Prbn.g_00507	Syas.g_00875
OG0000142	Prbn.g_00426	Syas.g_00746
OG0000143	Prbn.g_00430	Syas.g_00742
OG0000144	Prbn.g_00444	Syas.g_00718
OG0000145	Prbn.g_01100	Syas.g_00948
OG0000146	Prbn.g_00469	Syas.g_00451
OG0000147	Prbn.g_00470	Syas.g_00450
OG0000148	Prbn.g_01529	Syas.g_00577
OG0000149	Prbn.g_01497	Syas.g_00282
OG0000150	Prbn.g_01487	Syas.g_00874
OG0000151	Prbn.g_01611	Syas.g_00148, Syas.g_00659
OG0000152	Prbn.g_01418	Syas.g_00461
OG0000153	Prbn.g_01399	Syas.g_00543
OG0000154	Prbn.g_01379	Syas.g_00219
OG0000155	Prbn.g_01210	Syas.g_01131
OG0000156	Prbn.g_01095	Syas.g_01206
OG0000157	Prbn.g_01094	Syas.g_01207
OG0000158	Prbn.g_01014	Syas.g_02185
OG0000159	Prbn.g_00717	Syas.g_01155
OG0000160	Prbn.g_00213	Syas.g_02820
OG0000161	Prbn.g_00219	Syas.g_02826
OG0000162	Prbn.g_00225	Syas.g_02751
OG0000163	Prbn.g_00264	Syas.g_01488
OG0000164	Prbn.g_01770	Syas.g_02648
OG0000165	Prbn.g_01777	Syas.g_02609
OG0000166	Prbn.g_01844	Syas.g_01629
OG0000167	Prbn.g_01915	Syas.g_01449
OG0000168	Prbn.g_01013	Syas.g_02184
OG0000169	Prbn.g_01003	Syas.g_02170
OG0000170	Prbn.g_01000	Syas.g_02161
OG0000171	Prbn.g_00980	Syas.g_02139
OG0000172	Prbn.g_00973	Syas.g_02110
