Orthogroup	Syar	Prbf
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prbf.g_00068
OG0000004	Syar.g_02051	Prbf.g_01264
OG0000004	Syar.g_02225, Syar.g_00842	Prbf.g_01570
OG0000005	Syar.g_02909	Prbf.g_00240
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbf.g_01580
OG0000007	Syar.g_01491	Prbf.g_01780
OG0000007	Syar.g_02929	Prbf.g_00693
OG0000008	Syar.g_02097	Prbf.g_00793
OG0000008	Syar.g_02098	Prbf.g_00792
OG0000010	Syar.g_01272	Prbf.g_00847, Prbf.g_01056
OG0000012	Syar.g_00690, Syar.g_02860	Prbf.g_00272
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbf.g_01665
OG0000014	Syar.g_00825	Prbf.g_01647
OG0000015	Syar.g_00451, Syar.g_00180	Prbf.g_00754, Prbf.g_00708
OG0000016	Syar.g_02859	Prbf.g_00860
OG0000017	Syar.g_03181	Prbf.g_01880
OG0000017	Syar.g_02180	Prbf.g_01887
OG0000018	Syar.g_01409	Prbf.g_00896
OG0000019	Syar.g_00163	Prbf.g_01588, Prbf.g_00894
OG0000025	Syar.g_01811	Prbf.g_01209
OG0000026	Syar.g_00505	Prbf.g_01354
OG0000027	Syar.g_02055, Syar.g_02835	Prbf.g_00817, Prbf.g_00774
OG0000028	Syar.g_00718	Prbf.g_00794
OG0000031	Syar.g_00714	Prbf.g_00116
OG0000032	Syar.g_01390	Prbf.g_00196
OG0000033	Syar.g_00105	Prbf.g_00123
OG0000034	Syar.g_00074, Syar.g_02790	Prbf.g_00015
OG0000035	Syar.g_02809	Prbf.g_00157
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbf.g_01437
OG0000038	Syar.g_00334, Syar.g_00336	Prbf.g_00445
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbf.g_01276
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prbf.g_00646
OG0000042	Syar.g_00595, Syar.g_01970	Prbf.g_00487
OG0000045	Syar.g_02592	Prbf.g_00874
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prbf.g_01666
OG0000048	Syar.g_00213	Prbf.g_00039
OG0000051	Syar.g_01597	Prbf.g_00340
OG0000052	Syar.g_00281	Prbf.g_01380
OG0000053	Syar.g_01413	Prbf.g_00178, Prbf.g_00748
OG0000054	Syar.g_02265	Prbf.g_01889
OG0000055	Syar.g_01386	Prbf.g_00719
OG0000057	Syar.g_01941, Syar.g_00006	Prbf.g_01261
OG0000058	Syar.g_00648	Prbf.g_00117
OG0000059	Syar.g_01024	Prbf.g_00606
OG0000061	Syar.g_01539	Prbf.g_00918
OG0000062	Syar.g_02911	Prbf.g_00242
OG0000063	Syar.g_00509	Prbf.g_00808
OG0000064	Syar.g_03117, Syar.g_00860	Prbf.g_01394
OG0000065	Syar.g_03119	Prbf.g_01435
OG0000066	Syar.g_03187, Syar.g_02228	Prbf.g_01820, Prbf.g_00781
OG0000067	Syar.g_02639	Prbf.g_01245
OG0000068	Syar.g_02329, Syar.g_01461	Prbf.g_00095
OG0000069	Syar.g_01716	Prbf.g_01738
OG0000070	Syar.g_02223	Prbf.g_01734
OG0000071	Syar.g_02777	Prbf.g_00026
OG0000072	Syar.g_00107, Syar.g_01140	Prbf.g_01505
OG0000073	Syar.g_01493	Prbf.g_01783
OG0000075	Syar.g_03065, Syar.g_00659	Prbf.g_00522
OG0000076	Syar.g_00608	Prbf.g_00496
OG0000077	Syar.g_03051	Prbf.g_01405
OG0000078	Syar.g_03265, Syar.g_03018	Prbf.g_01578
OG0000079	Syar.g_00166	Prbf.g_01591
OG0000080	Syar.g_00585	Prbf.g_00129, Prbf.g_00131
OG0000081	Syar.g_01898	Prbf.g_01812
OG0000082	Syar.g_02202	Prbf.g_01867, Prbf.g_00704
OG0000085	Syar.g_02919	Prbf.g_00822, Prbf.g_00701
OG0000086	Syar.g_03085	Prbf.g_01414
OG0000087	Syar.g_03192, Syar.g_00068	Prbf.g_01469
OG0000088	Syar.g_00101	Prbf.g_01500
OG0000089	Syar.g_01162	Prbf.g_01701
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbf.g_01814
OG0000091	Syar.g_01891, Syar.g_02426	Prbf.g_00990
OG0000093	Syar.g_02623	Prbf.g_01019
OG0000094	Syar.g_01789	Prbf.g_01068
OG0000095	Syar.g_01932	Prbf.g_01170
OG0000097	Syar.g_01706, Syar.g_00364	Prbf.g_00964
OG0000098	Syar.g_02343	Prbf.g_00071
OG0000099	Syar.g_00715	Prbf.g_00118
OG0000100	Syar.g_02477	Prbf.g_00236
OG0000101	Syar.g_01073, Syar.g_03154	Prbf.g_00558
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbf.g_00491
OG0000103	Syar.g_00014, Syar.g_00452	Prbf.g_00406
OG0000104	Syar.g_00466	Prbf.g_00397
OG0000105	Syar.g_00218	Prbf.g_01614
OG0000106	Syar.g_01748	Prbf.g_00320
OG0000107	Syar.g_03290, Syar.g_00149	Prbf.g_00629
OG0000108	Syar.g_01469	Prbf.g_01763
OG0000109	Syar.g_03310, Syar.g_01485	Prbf.g_01777
OG0000110	Syar.g_02295	Prbf.g_01856
OG0000111	Syar.g_01940, Syar.g_00005	Prbf.g_01260
OG0000112	Syar.g_03195, Syar.g_02548	Prbf.g_01929
OG0000113	Syar.g_02664	Prbf.g_01222
OG0000114	Syar.g_01616	Prbf.g_01320
OG0000115	Syar.g_02854, Syar.g_01415	Prbf.g_00062
OG0000116	Syar.g_01525, Syar.g_02255	Prbf.g_00907
