Orthogroup	Syar	Pray
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Pray.g_01844
OG0000004	Syar.g_02051	Pray.g_01068
OG0000004	Syar.g_02225, Syar.g_00842	Pray.g_00713
OG0000005	Syar.g_02952	Pray.g_01546
OG0000005	Syar.g_02909	Pray.g_01646
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Pray.g_00722
OG0000007	Syar.g_01491	Pray.g_00988, Pray.g_00987
OG0000007	Syar.g_02929	Pray.g_01559
OG0000008	Syar.g_02097	Pray.g_01931
OG0000008	Syar.g_00419, Syar.g_02048	Pray.g_01091
OG0000009	Syar.g_03116	Pray.g_00184
OG0000010	Syar.g_01272	Pray.g_00592
OG0000012	Syar.g_00690, Syar.g_02860	Pray.g_01140
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Pray.g_00805
OG0000014	Syar.g_00825	Pray.g_00784
OG0000014	Syar.g_02736	Pray.g_01792
OG0000015	Syar.g_00451, Syar.g_00180	Pray.g_00309
OG0000016	Syar.g_02859	Pray.g_01475
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Pray.g_01165
OG0000018	Syar.g_01409	Pray.g_00083
OG0000019	Syar.g_00163	Pray.g_00730, Pray.g_00328
OG0000022	Syar.g_00835	Pray.g_00101
OG0000025	Syar.g_01811	Pray.g_00809, Pray.g_00383
OG0000026	Syar.g_00505	Pray.g_01493, Pray.g_00599
OG0000027	Syar.g_02055, Syar.g_02835	Pray.g_00960, Pray.g_01887
OG0000028	Syar.g_00718	Pray.g_01935, Pray.g_00798
OG0000031	Syar.g_00714	Pray.g_01806
OG0000034	Syar.g_00074, Syar.g_02790	Pray.g_01860
OG0000035	Syar.g_02809	Pray.g_01722
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Pray.g_00180
OG0000038	Syar.g_00334, Syar.g_00336	Pray.g_01415
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Pray.g_01077
OG0000040	Syar.g_02831	Pray.g_01585
OG0000040	Syar.g_00858	Pray.g_00084
OG0000042	Syar.g_00595, Syar.g_01970	Pray.g_01371
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Pray.g_00002
OG0000048	Syar.g_00213	Pray.g_00852
OG0000051	Syar.g_01597	Pray.g_01894
OG0000053	Syar.g_01413	Pray.g_01702
OG0000054	Syar.g_02265	Pray.g_01157
OG0000055	Syar.g_01386	Pray.g_00329
OG0000056	Syar.g_01662	Pray.g_01942
OG0000057	Syar.g_01941, Syar.g_00006	Pray.g_01065
OG0000058	Syar.g_00648	Pray.g_01786
OG0000059	Syar.g_01024	Pray.g_01258
OG0000061	Syar.g_01539	Pray.g_00064
OG0000062	Syar.g_02911	Pray.g_01644
OG0000063	Syar.g_00509	Pray.g_01495
OG0000065	Syar.g_03119	Pray.g_00182
OG0000066	Syar.g_03187, Syar.g_02228	Pray.g_01222
OG0000067	Syar.g_02639	Pray.g_00348
OG0000068	Syar.g_02329, Syar.g_01461	Pray.g_01829
OG0000069	Syar.g_01716	Pray.g_01609
OG0000070	Syar.g_02223, Syar.g_03150	Pray.g_00940
OG0000071	Syar.g_02777	Pray.g_01870
OG0000072	Syar.g_00107, Syar.g_01140	Pray.g_00652
OG0000073	Syar.g_01364, Syar.g_01493	Pray.g_00990
OG0000075	Syar.g_03065, Syar.g_00659	Pray.g_01339
OG0000076	Syar.g_00608	Pray.g_01364
OG0000077	Syar.g_03051	Pray.g_00211
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Pray.g_00720
OG0000079	Syar.g_00166	Pray.g_00733
OG0000081	Syar.g_01898	Pray.g_01022
OG0000082	Syar.g_02202	Pray.g_01177
OG0000085	Syar.g_02919	Pray.g_01566
OG0000086	Syar.g_03085	Pray.g_00201
OG0000087	Syar.g_03192, Syar.g_00068	Pray.g_00150
OG0000088	Syar.g_00101	Pray.g_00647
OG0000089	Syar.g_01162	Pray.g_00834
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Pray.g_01024, Pray.g_01228
OG0000091	Syar.g_01891, Syar.g_02426	Pray.g_01121
OG0000092	Syar.g_01960	Pray.g_01325
OG0000093	Syar.g_02623	Pray.g_00479
OG0000094	Syar.g_01789	Pray.g_00565
OG0000095	Syar.g_01932	Pray.g_00584
OG0000097	Syar.g_01706, Syar.g_00364	Pray.g_00022
OG0000098	Syar.g_02343	Pray.g_01847
OG0000099	Syar.g_00715	Pray.g_01788
OG0000100	Syar.g_02477	Pray.g_01648
OG0000101	Syar.g_01073, Syar.g_03154	Pray.g_01306
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Pray.g_01369
OG0000103	Syar.g_00014, Syar.g_00452	Pray.g_01449
OG0000104	Syar.g_00466	Pray.g_01457
OG0000105	Syar.g_00218	Pray.g_00753
OG0000106	Syar.g_01748	Pray.g_00848
OG0000107	Syar.g_03290, Syar.g_00149	Pray.g_00864
OG0000108	Syar.g_01469	Pray.g_00970
OG0000109	Syar.g_03310, Syar.g_01485	Pray.g_00984
OG0000110	Syar.g_02295	Pray.g_01187
OG0000111	Syar.g_01940, Syar.g_00005	Pray.g_01064
OG0000112	Syar.g_03195, Syar.g_02548	Pray.g_00313
OG0000113	Syar.g_02664	Pray.g_00370
OG0000114	Syar.g_01616	Pray.g_00452
OG0000115	Syar.g_02854, Syar.g_01415	Pray.g_00126
OG0000116	Syar.g_01525, Syar.g_02255	Pray.g_00074
OG0000117	Syar.g_01969	Pray.g_01927
OG0000118	Syar.g_02793	Pray.g_01858
OG0000120	Syar.g_00713	Pray.g_01808
OG0000121	Syar.g_02806	Pray.g_01720
OG0000123	Syar.g_01079	Pray.g_01313
OG0000124	Syar.g_00586	Pray.g_01380
OG0000125	Syar.g_00338	Pray.g_01417
OG0000126	Syar.g_00887, Syar.g_00888	Pray.g_01456
OG0000128	Syar.g_00482	Pray.g_01473
OG0000129	Syar.g_00324	Pray.g_00239
OG0000130	Syar.g_03040	Pray.g_00220
OG0000131	Syar.g_02216, Syar.g_00078	Pray.g_00144
OG0000132	Syar.g_00099	Pray.g_00645
OG0000133	Syar.g_02543	Pray.g_00800
OG0000134	Syar.g_02009, Syar.g_01165	Pray.g_00835
OG0000135	Syar.g_00698	Pray.g_00861
OG0000136	Syar.g_02874	Pray.g_00931
OG0000137	Syar.g_01273	Pray.g_00965
OG0000138	Syar.g_01486	Pray.g_00985
OG0000139	Syar.g_03245, Syar.g_02348	Pray.g_01224
OG0000140	Syar.g_02344, Syar.g_03246	Pray.g_01223
OG0000141	Syar.g_02129	Pray.g_01156
OG0000142	Syar.g_02418	Pray.g_01128
OG0000143	Syar.g_02422	Pray.g_01124
OG0000144	Syar.g_02441	Pray.g_01111
OG0000145	Syar.g_01494, Syar.g_03205	Pray.g_00306
OG0000146	Syar.g_02549	Pray.g_00314
OG0000147	Syar.g_02550	Pray.g_00315
OG0000148	Syar.g_02658	Pray.g_00364
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Pray.g_00395
OG0000150	Syar.g_02130	Pray.g_00403
OG0000151	Syar.g_02038	Pray.g_00462
OG0000152	Syar.g_02539	Pray.g_00511
OG0000153	Syar.g_03283, Syar.g_02503	Pray.g_00530
OG0000154	Syar.g_01800	Pray.g_00558
