Orthogroup	Syar	Syad
OG0000001	Syar.g_00069	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syar.g_00070	Syad.g_02865
OG0000004	Syar.g_02051	Syad.g_01304
OG0000004	Syar.g_02225	Syad.g_02184
OG0000004	Syar.g_00842	Syad.g_00810
OG0000005	Syar.g_02952	Syad.g_02639
OG0000005	Syar.g_02909	Syad.g_02596
OG0000005	Syar.g_01752	Syad.g_02028
OG0000006	Syar.g_02439	Syad.g_02130
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syad.g_00588, Syad.g_00829
OG0000007	Syar.g_01491	Syad.g_00923
OG0000007	Syar.g_02929	Syad.g_02623
OG0000008	Syar.g_02098	Syad.g_01371
OG0000009	Syar.g_03116	Syad.g_02799
OG0000010	Syar.g_01272	Syad.g_02354
OG0000012	Syar.g_00690, Syar.g_02860	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syad.g_00724
OG0000014	Syar.g_00825	Syad.g_00480
OG0000015	Syar.g_00451	Syad.g_00142
OG0000016	Syar.g_02859	Syad.g_00176, Syad.g_01460, Syad.g_02065
OG0000017	Syar.g_03181	Syad.g_01084
OG0000017	Syar.g_02180	Syad.g_01091
OG0000018	Syar.g_01409	Syad.g_02306
OG0000019	Syar.g_00163	Syad.g_00569
OG0000022	Syar.g_00835	Syad.g_02090
OG0000025	Syar.g_01811	Syad.g_01241
OG0000026	Syar.g_00505	Syad.g_00198
OG0000027	Syar.g_02055	Syad.g_01257
OG0000028	Syar.g_00718	Syad.g_00463
OG0000031	Syar.g_00714	Syad.g_00458
OG0000032	Syar.g_01390	Syad.g_02326
OG0000033	Syar.g_00105	Syad.g_02903, Syad.g_00289
OG0000034	Syar.g_00074, Syar.g_02790	Syad.g_02420, Syad.g_02872
OG0000035	Syar.g_02809	Syad.g_02275
OG0000038	Syar.g_00334	Syad.g_03038
OG0000039	Syar.g_00007	Syad.g_01249
OG0000039	Syar.g_02151	Syad.g_01111
OG0000040	Syar.g_00858	Syad.g_00104
OG0000042	Syar.g_00595, Syar.g_01970	Syad.g_00333
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syad.g_02214
OG0000045	Syar.g_02592	Syad.g_00964
OG0000046	Syar.g_03233	Syad.g_00736
OG0000046	Syar.g_01102, Syar.g_01105	Syad.g_00723
OG0000048	Syar.g_00213	Syad.g_00534
OG0000051	Syar.g_01597	Syad.g_00842, Syad.g_01967
OG0000052	Syar.g_02742, Syar.g_02751, Syar.g_00281	Syad.g_00434
OG0000053	Syar.g_01413	Syad.g_02302
OG0000057	Syar.g_01941, Syar.g_00006	Syad.g_01301
OG0000058	Syar.g_00648	Syad.g_00452
OG0000059	Syar.g_01024	Syad.g_00642
OG0000060	Syar.g_01260	Syad.g_02370, Syad.g_00899
OG0000061	Syar.g_01539	Syad.g_01152
OG0000062	Syar.g_02911	Syad.g_02598
OG0000063	Syar.g_00509	Syad.g_00202
OG0000064	Syar.g_03117	Syad.g_00081, Syad.g_02125
OG0000066	Syar.g_03187	Syad.g_00992
OG0000067	Syar.g_02639	Syad.g_01889
OG0000068	Syar.g_02329, Syar.g_01461	Syad.g_00891
OG0000070	Syar.g_02223	Syad.g_02424
OG0000072	Syar.g_00107	Syad.g_02905
OG0000073	Syar.g_01493	Syad.g_00926
OG0000075	Syar.g_03065, Syar.g_00659	Syad.g_00416
OG0000076	Syar.g_00608	Syad.g_00348
OG0000077	Syar.g_03051	Syad.g_02741
OG0000078	Syar.g_03265, Syar.g_03018	Syad.g_00824
OG0000079	Syar.g_00166	Syad.g_00565
OG0000081	Syar.g_01898	Syad.g_00833
OG0000082	Syar.g_02202	Syad.g_01063
OG0000085	Syar.g_02919	Syad.g_02612
OG0000086	Syar.g_03085	Syad.g_02770
OG0000087	Syar.g_00068	Syad.g_02860
OG0000088	Syar.g_00101	Syad.g_02899
OG0000089	Syar.g_01162	Syad.g_00785, Syad.g_02829
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Syad.g_00977
OG0000091	Syar.g_01891, Syar.g_02426	Syad.g_02144
OG0000092	Syar.g_01960	Syad.g_01190
OG0000093	Syar.g_02623	Syad.g_01905
OG0000094	Syar.g_01789	Syad.g_01676
OG0000095	Syar.g_01932	Syad.g_01290
OG0000097	Syar.g_01706	Syad.g_01458
OG0000099	Syar.g_00715	Syad.g_00460
OG0000100	Syar.g_02477	Syad.g_01846
OG0000101	Syar.g_03154	Syad.g_00694
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syad.g_00343
OG0000103	Syar.g_00014	Syad.g_00143
OG0000104	Syar.g_00466	Syad.g_00158
OG0000105	Syar.g_00218	Syad.g_00530
OG0000106	Syar.g_01748	Syad.g_01993
OG0000107	Syar.g_00149	Syad.g_00590
OG0000108	Syar.g_01469	Syad.g_00904
OG0000109	Syar.g_03310	Syad.g_00919
OG0000110	Syar.g_02295	Syad.g_01048
OG0000111	Syar.g_01940, Syar.g_00005	Syad.g_01300
OG0000112	Syar.g_02548	Syad.g_01766
OG0000113	Syar.g_02664	Syad.g_01851
OG0000114	Syar.g_01616	Syad.g_01617
OG0000115	Syar.g_02854, Syar.g_01415	Syad.g_02300
OG0000116	Syar.g_01525, Syar.g_02255	Syad.g_01123
OG0000117	Syar.g_01969	Syad.g_01510
OG0000118	Syar.g_02793	Syad.g_01104
OG0000120	Syar.g_00713	Syad.g_00459
OG0000121	Syar.g_02806	Syad.g_02280
OG0000123	Syar.g_01079	Syad.g_00701
OG0000124	Syar.g_00586	Syad.g_00320
OG0000125	Syar.g_00338	Syad.g_03040
OG0000126	Syar.g_00887, Syar.g_00888	Syad.g_00156
OG0000128	Syar.g_00482	Syad.g_00174
OG0000129	Syar.g_00324	Syad.g_03028
OG0000130	Syar.g_03040	Syad.g_02728
OG0000131	Syar.g_00078	Syad.g_02876
OG0000132	Syar.g_00099	Syad.g_02897
OG0000133	Syar.g_02543	Syad.g_01761
OG0000134	Syar.g_02009	Syad.g_00788
OG0000135	Syar.g_00698	Syad.g_00063
OG0000136	Syar.g_02874	Syad.g_02445
OG0000137	Syar.g_01273	Syad.g_02353
OG0000138	Syar.g_01486	Syad.g_00920
OG0000139	Syar.g_02348	Syad.g_00983
OG0000140	Syar.g_02344, Syar.g_03246	Syad.g_00987
OG0000141	Syar.g_02129	Syad.g_02208
OG0000142	Syar.g_02418	Syad.g_02152
OG0000143	Syar.g_02422	Syad.g_02148
OG0000144	Syar.g_02441	Syad.g_02024
OG0000145	Syar.g_01494, Syar.g_03205	Syad.g_00927
OG0000146	Syar.g_02549	Syad.g_01767
OG0000147	Syar.g_02550	Syad.g_01768
OG0000148	Syar.g_02658	Syad.g_01861
OG0000149	Syar.g_03289, Syar.g_03288	Syad.g_01221
OG0000150	Syar.g_02130	Syad.g_02207, Syad.g_00989
OG0000151	Syar.g_02038	Syad.g_01956
OG0000152	Syar.g_02539	Syad.g_01757
OG0000153	Syar.g_03283, Syar.g_02503	Syad.g_01713
OG0000154	Syar.g_01800	Syad.g_01686
OG0000155	Syar.g_01959	Syad.g_01189
OG0000156	Syar.g_01517	Syad.g_01116
OG0000157	Syar.g_01516	Syad.g_01115
OG0000158	Syar.g_00650	Syad.g_00374
OG0000159	Syar.g_02762	Syad.g_00373
OG0000160	Syar.g_02807	Syad.g_02279
OG0000161	Syar.g_02801	Syad.g_02287
OG0000162	Syar.g_02863	Syad.g_02293
OG0000163	Syar.g_01186	Syad.g_02542
