Orthogroup	Syar	Prbk
OG0000001	Syar.g_00070	Prbk.g_00561, Prbk.g_02701
OG0000001	Syar.g_02229	Prbk.g_00630
OG0000004	Syar.g_02051	Prbk.g_01760
OG0000004	Syar.g_02225, Syar.g_00842	Prbk.g_01134
OG0000005	Syar.g_02909	Prbk.g_00933
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbk.g_02695
OG0000007	Syar.g_02929	Prbk.g_00907
OG0000008	Syar.g_02097	Prbk.g_01819
OG0000008	Syar.g_02098	Prbk.g_01820
OG0000009	Syar.g_03116	Prbk.g_01932, Prbk.g_00013
OG0000010	Syar.g_01272	Prbk.g_02112
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbk.g_00853
OG0000014	Syar.g_00825	Prbk.g_00454
OG0000015	Syar.g_00451, Syar.g_00180	Prbk.g_02558
OG0000017	Syar.g_03181	Prbk.g_01142
OG0000017	Syar.g_02180	Prbk.g_01150
OG0000018	Syar.g_01409	Prbk.g_01227
OG0000019	Syar.g_00163	Prbk.g_01004
OG0000022	Syar.g_00835	Prbk.g_01667
OG0000025	Syar.g_01811	Prbk.g_02531
OG0000026	Syar.g_00505	Prbk.g_01617
OG0000028	Syar.g_00718	Prbk.g_00469
OG0000031	Syar.g_00714	Prbk.g_00534, Prbk.g_00539
OG0000032	Syar.g_01390	Prbk.g_01209
OG0000032	Syar.g_00543	Prbk.g_00480
OG0000033	Syar.g_00105	Prbk.g_00776
OG0000034	Syar.g_00074, Syar.g_02790	Prbk.g_01171
OG0000035	Syar.g_02809	Prbk.g_00259
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbk.g_00007
OG0000038	Syar.g_00334	Prbk.g_02164
OG0000038	Syar.g_00336	Prbk.g_02166
OG0000039	Syar.g_02827	Prbk.g_01385
OG0000039	Syar.g_02151	Prbk.g_00642
OG0000041	Syar.g_01370, Syar.g_02014	Prbk.g_01406
OG0000042	Syar.g_00595, Syar.g_01970	Prbk.g_01495, Prbk.g_00140
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Syar.g_02592	Prbk.g_01321
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prbk.g_00854
OG0000048	Syar.g_00213	Prbk.g_00405
OG0000051	Syar.g_01597	Prbk.g_01709, Prbk.g_02418
OG0000052	Syar.g_02742, Syar.g_02751, Syar.g_00281	Prbk.g_00499
OG0000053	Syar.g_01413	Prbk.g_01230
OG0000054	Syar.g_02265	Prbk.g_01153
OG0000057	Syar.g_01941, Syar.g_00006	Prbk.g_01765
OG0000058	Syar.g_00648	Prbk.g_00479
OG0000059	Syar.g_01024	Prbk.g_00992
OG0000060	Syar.g_01260	Prbk.g_02058
OG0000061	Syar.g_01539	Prbk.g_01019
OG0000062	Syar.g_02911	Prbk.g_00931
OG0000063	Syar.g_00509	Prbk.g_01613
OG0000065	Syar.g_03119	Prbk.g_00011
OG0000066	Syar.g_03187, Syar.g_02228	Prbk.g_01094
OG0000068	Syar.g_02329, Syar.g_01461	Prbk.g_02052
OG0000070	Syar.g_02223, Syar.g_03150	Prbk.g_00310
OG0000071	Syar.g_02777	Prbk.g_01183
OG0000072	Syar.g_00107, Syar.g_01140	Prbk.g_00778
OG0000073	Syar.g_01493	Prbk.g_01862
OG0000075	Syar.g_03065, Syar.g_00659	Prbk.g_00514
OG0000076	Syar.g_00608	Prbk.g_00237
OG0000077	Syar.g_03051	Prbk.g_00307
OG0000078	Syar.g_03265, Syar.g_03018	Prbk.g_01515
OG0000079	Syar.g_00166	Prbk.g_01000
OG0000081	Syar.g_01898	Prbk.g_00733
OG0000082	Syar.g_02202	Prbk.g_01122
OG0000085	Syar.g_02919	Prbk.g_00919
OG0000086	Syar.g_03085	Prbk.g_01295
OG0000087	Syar.g_03192, Syar.g_00068	Prbk.g_00559
OG0000088	Syar.g_00101	Prbk.g_01836
OG0000089	Syar.g_01162	Prbk.g_00364
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbk.g_01080
OG0000091	Syar.g_01891, Syar.g_02426	Prbk.g_02639
OG0000093	Syar.g_02623	Prbk.g_02444
OG0000094	Syar.g_01789	Prbk.g_02190
OG0000095	Syar.g_01932	Prbk.g_00056
OG0000097	Syar.g_01706	Prbk.g_00189
OG0000098	Syar.g_02343	Prbk.g_01199
OG0000099	Syar.g_00715	Prbk.g_00476
OG0000100	Syar.g_02477	Prbk.g_01360, Prbk.g_02498
OG0000101	Syar.g_01073	Prbk.g_00796
OG0000101	Syar.g_03154	Prbk.g_00944
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbk.g_01484
OG0000103	Syar.g_00014, Syar.g_00452	Prbk.g_02260
OG0000104	Syar.g_00466	Prbk.g_02274
OG0000105	Syar.g_00218	Prbk.g_00409
OG0000106	Syar.g_01748	Prbk.g_00925
OG0000107	Syar.g_00149	Prbk.g_01902
OG0000108	Syar.g_01469	Prbk.g_02061
OG0000109	Syar.g_03310, Syar.g_01485	Prbk.g_02077
OG0000110	Syar.g_02295	Prbk.g_01110
OG0000111	Syar.g_01940, Syar.g_00005	Prbk.g_01766
OG0000112	Syar.g_02548	Prbk.g_02332
OG0000113	Syar.g_02664	Prbk.g_02493
OG0000114	Syar.g_01616	Prbk.g_02396
OG0000115	Syar.g_02854, Syar.g_01415	Prbk.g_01234
OG0000116	Syar.g_01525, Syar.g_02255	Prbk.g_01034
OG0000117	Syar.g_01969	Prbk.g_01496
OG0000118	Syar.g_02793	Prbk.g_01169
OG0000120	Syar.g_00713	Prbk.g_00477
OG0000121	Syar.g_02806	Prbk.g_00267, Prbk.g_00261
OG0000123	Syar.g_01079	Prbk.g_00805
OG0000124	Syar.g_00586	Prbk.g_01539
OG0000125	Syar.g_00338	Prbk.g_02168
OG0000126	Syar.g_00887, Syar.g_00888	Prbk.g_02272
OG0000128	Syar.g_00482	Prbk.g_02290
OG0000129	Syar.g_00324	Prbk.g_02156
OG0000130	Syar.g_03040	Prbk.g_01320
OG0000131	Syar.g_00078	Prbk.g_00751
OG0000132	Syar.g_00099	Prbk.g_00771
OG0000133	Syar.g_02543	Prbk.g_00472
OG0000134	Syar.g_02009, Syar.g_01165	Prbk.g_00361
OG0000135	Syar.g_00698	Prbk.g_02209
OG0000136	Syar.g_02874	Prbk.g_00323
OG0000137	Syar.g_01273	Prbk.g_02113
OG0000138	Syar.g_01486	Prbk.g_02078
OG0000139	Syar.g_03245, Syar.g_02348	Prbk.g_01086
OG0000140	Syar.g_02344, Syar.g_03246	Prbk.g_01092
OG0000141	Syar.g_02129	Prbk.g_01154
OG0000142	Syar.g_02418	Prbk.g_02631
OG0000143	Syar.g_02422	Prbk.g_02635
OG0000144	Syar.g_02441	Prbk.g_00739
OG0000145	Syar.g_01494, Syar.g_03205	Prbk.g_01863
OG0000146	Syar.g_02549	Prbk.g_02333
OG0000147	Syar.g_02550	Prbk.g_02334
OG0000148	Syar.g_02658	Prbk.g_02487
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbk.g_02544
OG0000150	Syar.g_02130	Prbk.g_02567
OG0000151	Syar.g_02038	Prbk.g_02417
OG0000152	Syar.g_02539	Prbk.g_02324
OG0000153	Syar.g_03283, Syar.g_02503	Prbk.g_02297
OG0000154	Syar.g_01800	Prbk.g_00584
OG0000155	Syar.g_01959	Prbk.g_00099
OG0000156	Syar.g_01517	Prbk.g_00164
OG0000157	Syar.g_01516	Prbk.g_00163
OG0000158	Syar.g_00650	Prbk.g_00526
OG0000160	Syar.g_02807	Prbk.g_00260
OG0000161	Syar.g_02801	Prbk.g_00274
OG0000162	Syar.g_02863	Prbk.g_00280
OG0000163	Syar.g_00639, Syar.g_01186	Prbk.g_02002
OG0000164	Syar.g_03168, Syar.g_02969	Prbk.g_01432
