Orthogroup	Syar	Syan
OG0000001	Syar.g_00070	Syan.g_02266
OG0000001	Syar.g_02229	Syan.g_02528
OG0000003	Syar.g_00836	Syan.g_00157
OG0000004	Syar.g_02051	Syan.g_00183
OG0000004	Syar.g_02225	Syan.g_00989
OG0000005	Syar.g_02952	Syan.g_01423
OG0000005	Syar.g_02909	Syan.g_01378
OG0000005	Syar.g_01752	Syan.g_00449
OG0000006	Syar.g_02439	Syan.g_00791
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syar.g_01491	Syan.g_02743
OG0000007	Syar.g_02929	Syan.g_01400
OG0000008	Syar.g_02097	Syan.g_00640, Syan.g_02532
OG0000008	Syar.g_02098	Syan.g_00641, Syan.g_02531
OG0000009	Syar.g_03116	Syan.g_02972
OG0000010	Syar.g_01272	Syan.g_02847
OG0000012	Syar.g_00690	Syan.g_00942
OG0000014	Syar.g_00825	Syan.g_01987
OG0000015	Syar.g_00451	Syan.g_01691
OG0000015	Syar.g_00180	Syan.g_00248
OG0000016	Syar.g_02859	Syan.g_01766, Syan.g_02598, Syan.g_00440
OG0000017	Syar.g_02188	Syan.g_01006
OG0000017	Syar.g_02180	Syan.g_01013
OG0000018	Syar.g_01409	Syan.g_02816
OG0000019	Syar.g_00163	Syan.g_02088
OG0000022	Syar.g_00835	Syan.g_00089
OG0000025	Syar.g_01811	Syan.g_00374
OG0000026	Syar.g_00505	Syan.g_01743
OG0000027	Syar.g_02835	Syan.g_02678
OG0000028	Syar.g_00718	Syan.g_01971
OG0000031	Syar.g_00714	Syan.g_01967
OG0000032	Syar.g_01390	Syan.g_02835
OG0000032	Syar.g_00543	Syan.g_01819
OG0000033	Syar.g_00105	Syan.g_03036
OG0000034	Syar.g_00074, Syar.g_02790	Syan.g_01227, Syan.g_03003
OG0000037	Syar.g_02562	Syan.g_02978
OG0000037	Syar.g_01310, Syar.g_02856	Syan.g_00917
OG0000038	Syar.g_00334	Syan.g_01569
OG0000038	Syar.g_00336	Syan.g_01571
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Syan.g_00535
OG0000040	Syar.g_00858	Syan.g_01651
OG0000041	Syar.g_01370, Syar.g_02014	Syan.g_00302
OG0000042	Syar.g_00595, Syar.g_01970	Syan.g_00991, Syan.g_02643
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syan.g_00431, Syan.g_00435
OG0000045	Syar.g_02592	Syan.g_00086
OG0000046	Syar.g_01102, Syar.g_01105	Syan.g_02157, Syan.g_02160
OG0000048	Syar.g_00213	Syan.g_02036
OG0000052	Syar.g_00281	Syan.g_01954, Syan.g_01953
OG0000053	Syar.g_01413	Syan.g_02812
OG0000054	Syar.g_02265	Syan.g_00231
OG0000055	Syar.g_01386	Syan.g_00312
OG0000057	Syar.g_01941	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Syar.g_00648	Syan.g_01964
OG0000059	Syar.g_01024	Syan.g_02255
OG0000060	Syar.g_01260	Syan.g_02856
OG0000060	Syar.g_00178	Syan.g_00249
OG0000061	Syar.g_01539	Syan.g_02696
OG0000062	Syar.g_01439	Syan.g_00098
OG0000062	Syar.g_02911	Syan.g_01380
OG0000063	Syar.g_00509	Syan.g_01739
OG0000064	Syar.g_03117	Syan.g_02518
OG0000065	Syar.g_03119	Syan.g_02974
OG0000066	Syar.g_03187, Syar.g_02228	Syan.g_01156
OG0000067	Syar.g_02639	Syan.g_00690
OG0000068	Syar.g_02329	Syan.g_00845
OG0000068	Syar.g_01461	Syan.g_02773
OG0000069	Syar.g_01716	Syan.g_00459, Syan.g_00278
OG0000070	Syar.g_02223	Syan.g_00289
OG0000071	Syar.g_02777	Syan.g_01213
OG0000072	Syar.g_00107	Syan.g_03038
OG0000072	Syar.g_01140	Syan.g_02999
OG0000073	Syar.g_01493	Syan.g_02741
OG0000076	Syar.g_00608	Syan.g_01896
OG0000077	Syar.g_03051	Syan.g_02919
OG0000078	Syar.g_03018	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syar.g_00166	Syan.g_02085
OG0000080	Syar.g_00585	Syan.g_01083, Syan.g_01962
OG0000082	Syar.g_02202	Syan.g_00952
OG0000085	Syar.g_02919	Syan.g_01387
OG0000086	Syar.g_03085	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syar.g_03192, Syar.g_00068	Syan.g_02268
OG0000088	Syar.g_00101	Syan.g_03031
OG0000089	Syar.g_01162	Syan.g_02316
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syan.g_01166
OG0000091	Syar.g_01891	Syan.g_00235
OG0000092	Syar.g_01960	Syan.g_02502
OG0000093	Syar.g_00819	Syan.g_02934
OG0000093	Syar.g_02623	Syan.g_00708
OG0000094	Syar.g_01789	Syan.g_00353, Syan.g_00065
OG0000095	Syar.g_01932	Syan.g_00290
OG0000097	Syar.g_00364	Syan.g_00160, Syan.g_00733
OG0000098	Syar.g_02343	Syan.g_00043
OG0000099	Syar.g_00715	Syan.g_01968
OG0000100	Syar.g_02477	Syan.g_00658
OG0000101	Syar.g_01073	Syan.g_02199
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syan.g_01891
OG0000103	Syar.g_00452	Syan.g_01692
OG0000105	Syar.g_00218	Syan.g_02031
OG0000106	Syar.g_01748	Syan.g_00076
OG0000107	Syar.g_00149	Syan.g_02106
OG0000108	Syar.g_01469	Syan.g_02764
OG0000109	Syar.g_01485	Syan.g_02748
OG0000110	Syar.g_02295	Syan.g_00171, Syan.g_00882
OG0000111	Syar.g_01940	Syan.g_00187
OG0000112	Syar.g_03195, Syar.g_02548	Syan.g_00556, Syan.g_00252
OG0000113	Syar.g_02664	Syan.g_00664
OG0000114	Syar.g_01616	Syan.g_00741
OG0000115	Syar.g_02854, Syar.g_01415	Syan.g_02810
OG0000116	Syar.g_01525	Syan.g_02710
OG0000116	Syar.g_02255	Syan.g_00460
OG0000117	Syar.g_01969	Syan.g_02644
OG0000118	Syar.g_02793	Syan.g_01241, Syan.g_01237
OG0000120	Syar.g_00713	Syan.g_01966
OG0000121	Syar.g_02806	Syan.g_01273
OG0000123	Syar.g_01079	Syan.g_02190
OG0000124	Syar.g_00586	Syan.g_01873
OG0000125	Syar.g_00338	Syan.g_01573
OG0000128	Syar.g_00482	Syan.g_01768
OG0000129	Syar.g_00324	Syan.g_01563
OG0000130	Syar.g_03040	Syan.g_02906, Syan.g_02907
OG0000131	Syar.g_00078	Syan.g_03008
OG0000132	Syar.g_00099	Syan.g_03029
OG0000133	Syar.g_02543	Syan.g_00561
OG0000134	Syar.g_02009, Syar.g_01165	Syan.g_02319
OG0000135	Syar.g_00698	Syan.g_01616
OG0000136	Syar.g_02874	Syan.g_01342
OG0000137	Syar.g_01273	Syan.g_02846
OG0000138	Syar.g_01486	Syan.g_02747
OG0000139	Syar.g_02348	Syan.g_01160
OG0000140	Syar.g_02344, Syar.g_03246	Syan.g_00042
OG0000141	Syar.g_02129	Syan.g_01032
OG0000142	Syar.g_02418	Syan.g_00816
OG0000143	Syar.g_02422	Syan.g_00812
OG0000144	Syar.g_02441	Syan.g_00782
OG0000145	Syar.g_01494	Syan.g_02740
OG0000146	Syar.g_02549	Syan.g_00555, Syan.g_00253
OG0000147	Syar.g_02550	Syan.g_00254, Syan.g_00554
OG0000148	Syar.g_02658	Syan.g_00670
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Syan.g_00393
OG0000150	Syar.g_02130	Syan.g_01031
OG0000151	Syar.g_02038	Syan.g_00731
OG0000152	Syar.g_02539	Syan.g_00565
OG0000153	Syar.g_02503	Syan.g_00601
OG0000154	Syar.g_01800	Syan.g_00363
OG0000155	Syar.g_01959	Syan.g_02654
OG0000156	Syar.g_01517	Syan.g_02717
OG0000157	Syar.g_01516	Syan.g_02718
OG0000158	Syar.g_00650	Syan.g_01078, Syan.g_01926
OG0000159	Syar.g_02359, Syar.g_02762	Syan.g_01126
OG0000160	Syar.g_02807	Syan.g_01274
OG0000161	Syar.g_02801	Syan.g_01268
OG0000162	Syar.g_02863	Syan.g_01330
OG0000163	Syar.g_00639, Syar.g_01186	Syan.g_02405
OG0000164	Syar.g_02969	Syan.g_01440
OG0000165	Syar.g_02976	Syan.g_01448
OG0000166	Syar.g_01034	Syan.g_02239
OG0000167	Syar.g_00662	Syan.g_01941
OG0000168	Syar.g_00246	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syar.g_00262	Syan.g_01912
OG0000170	Syar.g_00613	Syan.g_01901
OG0000171	Syar.g_00587	Syan.g_01875
OG0000172	Syar.g_00547	Syan.g_01810
OG0000173	Syar.g_00528	Syan.g_01720
OG0000174	Syar.g_00701	Syan.g_01619
OG0000175	Syar.g_00438	Syan.g_01678, Syan.g_00258
OG0000176	Syar.g_00474	Syan.g_01801
OG0000177	Syar.g_00475	Syan.g_01775
OG0000178	Syar.g_00476	Syan.g_01774
OG0000179	Syar.g_00489	Syan.g_01759
OG0000180	Syar.g_00490	Syan.g_01758
OG0000181	Syar.g_00491	Syan.g_01757
OG0000182	Syar.g_00492	Syan.g_01756
OG0000183	Syar.g_00496	Syan.g_01752
OG0000184	Syar.g_00897	Syan.g_01549
OG0000185	Syar.g_00909	Syan.g_01540
OG0000186	Syar.g_03036	Syan.g_02902
OG0000187	Syar.g_03038	Syan.g_02904
OG0000188	Syar.g_03058	Syan.g_02926
OG0000189	Syar.g_03104	Syan.g_02966
OG0000190	Syar.g_03107	Syan.g_00971
OG0000191	Syar.g_00039	Syan.g_02300
OG0000192	Syar.g_00046	Syan.g_02294
OG0000193	Syar.g_00079	Syan.g_03009
OG0000194	Syar.g_00082	Syan.g_03012
OG0000195	Syar.g_00084	Syan.g_03014
OG0000196	Syar.g_00096	Syan.g_03026
OG0000197	Syar.g_00097	Syan.g_03027
OG0000198	Syar.g_00098	Syan.g_03028
OG0000199	Syar.g_00106	Syan.g_03037
OG0000200	Syar.g_00124	Syan.g_03055
OG0000201	Syar.g_01000	Syan.g_03074
OG0000202	Syar.g_00998	Syan.g_03075
OG0000203	Syar.g_00020, Syar.g_00997	Syan.g_03076
OG0000204	Syar.g_00996	Syan.g_03077
OG0000205	Syar.g_00988	Syan.g_03087
