Orthogroup	Syar	Pran
OG0000004	Syar.g_02051	Pran.g_01483
OG0000004	Syar.g_02225, Syar.g_00842	Pran.g_00200
OG0000005	Syar.g_02952	Pran.g_00983
OG0000005	Syar.g_02909	Pran.g_00657
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Pran.g_01951
OG0000007	Syar.g_01491	Pran.g_01681
OG0000007	Syar.g_02929	Pran.g_00970
OG0000008	Syar.g_00419, Syar.g_02048	Pran.g_01506
OG0000009	Syar.g_03116	Pran.g_00328
OG0000010	Syar.g_01272	Pran.g_00175
OG0000012	Syar.g_00690, Syar.g_02860	Pran.g_01555
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Pran.g_01867
OG0000014	Syar.g_00825	Pran.g_01888
OG0000014	Syar.g_02736	Pran.g_00755, Pran.g_00754
OG0000015	Syar.g_00451, Syar.g_00180	Pran.g_01394
OG0000016	Syar.g_02859	Pran.g_00620
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Pran.g_01580
OG0000018	Syar.g_01409	Pran.g_00078
OG0000019	Syar.g_00163	Pran.g_01943, Pran.g_01363
OG0000022	Syar.g_00835	Pran.g_00097
OG0000025	Syar.g_01811	Pran.g_01863, Pran.g_01309
OG0000026	Syar.g_00505	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syar.g_02055, Syar.g_02835	Pran.g_00583
OG0000028	Syar.g_00718	Pran.g_01874
OG0000031	Syar.g_00714	Pran.g_00753
OG0000033	Syar.g_00105	Pran.g_00800
OG0000034	Syar.g_00074, Syar.g_02790	Pran.g_00866
OG0000035	Syar.g_02809	Pran.g_00733
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Pran.g_00324
OG0000038	Syar.g_00334, Syar.g_00336	Pran.g_01210
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Pran.g_01492
OG0000040	Syar.g_02831	Pran.g_00923
OG0000040	Syar.g_00858	Pran.g_00079
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Pran.g_01016
OG0000042	Syar.g_00595, Syar.g_01970	Pran.g_01167
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Pran.g_00949
OG0000048	Syar.g_00213	Pran.g_01772, Pran.g_01820
OG0000051	Syar.g_01597	Pran.g_00944, Pran.g_00898
OG0000053	Syar.g_01413	Pran.g_00713
OG0000054	Syar.g_02265	Pran.g_01572
OG0000055	Syar.g_01386	Pran.g_01362
OG0000057	Syar.g_01941, Syar.g_00006	Pran.g_01480
OG0000059	Syar.g_01024	Pran.g_01056
OG0000060	Syar.g_01260, Syar.g_00178	Pran.g_01399
OG0000061	Syar.g_01539	Pran.g_00060
OG0000062	Syar.g_02911	Pran.g_00655
OG0000063	Syar.g_00509	Pran.g_00391
