Orthogroup	Syar	Prat
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prat.g_01285, Prat.g_01286
OG0000004	Syar.g_02051	Prat.g_00772
OG0000004	Syar.g_02225, Syar.g_00842	Prat.g_00236
OG0000005	Syar.g_02909	Prat.g_01440
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prat.g_00248
OG0000007	Syar.g_01491	Prat.g_00458
OG0000007	Syar.g_02929	Prat.g_01592
OG0000008	Syar.g_02097	Prat.g_00376
OG0000008	Syar.g_02098	Prat.g_00377
OG0000010	Syar.g_01272	Prat.g_00682, Prat.g_00662
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prat.g_00334
OG0000014	Syar.g_00825	Prat.g_00314
OG0000014	Syar.g_02736	Prat.g_01267
OG0000015	Syar.g_00451, Syar.g_00180	Prat.g_00701
OG0000016	Syar.g_02859	Prat.g_00014, Prat.g_01219
OG0000017	Syar.g_03181	Prat.g_00560
OG0000017	Syar.g_02180	Prat.g_00567
OG0000018	Syar.g_01409	Prat.g_01177
OG0000019	Syar.g_00163	Prat.g_00255, Prat.g_01180
OG0000022	Syar.g_00835	Prat.g_01448
OG0000025	Syar.g_01811	Prat.g_01003
OG0000026	Syar.g_00505	Prat.g_00033
OG0000027	Syar.g_02055, Syar.g_02835	Prat.g_01474, Prat.g_01548
OG0000028	Syar.g_00718	Prat.g_00380, Prat.g_00327
OG0000032	Syar.g_01390	Prat.g_01394
OG0000033	Syar.g_00105	Prat.g_01265
OG0000034	Syar.g_00074, Syar.g_02790	Prat.g_01259
OG0000035	Syar.g_02809	Prat.g_01353, Prat.g_01352
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prat.g_00106
OG0000038	Syar.g_00334, Syar.g_00336	Prat.g_01839
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prat.g_00760
OG0000040	Syar.g_02831	Prat.g_01578
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prat.g_01640
OG0000042	Syar.g_00595, Syar.g_01970	Prat.g_01796
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prat.g_00619
OG0000045	Syar.g_02592	Prat.g_01203
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prat.g_00335
OG0000048	Syar.g_00213	Prat.g_00278
OG0000052	Syar.g_00281	Prat.g_00058
OG0000053	Syar.g_01413	Prat.g_01375
OG0000054	Syar.g_02265	Prat.g_00569
OG0000056	Syar.g_01662	Prat.g_01571
OG0000057	Syar.g_01941, Syar.g_00006	Prat.g_00775
OG0000058	Syar.g_00648	Prat.g_01311
OG0000059	Syar.g_01024	Prat.g_01679
OG0000061	Syar.g_01539	Prat.g_01156
OG0000062	Syar.g_02911	Prat.g_01442
OG0000063	Syar.g_00509	Prat.g_01516
OG0000064	Syar.g_03117, Syar.g_00860	Prat.g_00064
