Orthogroup	Syar	Prag
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prag.g_01374
OG0000004	Syar.g_02051	Prag.g_00673
OG0000004	Syar.g_02225, Syar.g_00842	Prag.g_00225
OG0000005	Syar.g_02952	Prag.g_01682
OG0000005	Syar.g_02909	Prag.g_01566
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prag.g_00234, Prag.g_01231
OG0000007	Syar.g_01491	Prag.g_00476
OG0000007	Syar.g_02929	Prag.g_01669
OG0000008	Syar.g_02097	Prag.g_01655
OG0000008	Syar.g_02098	Prag.g_01656
OG0000008	Syar.g_00419, Syar.g_02048	Prag.g_00650
OG0000009	Syar.g_03116	Prag.g_00098
OG0000010	Syar.g_01272	Prag.g_01043
OG0000012	Syar.g_00690, Syar.g_02860	Prag.g_00601
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prag.g_00318
OG0000014	Syar.g_00825	Prag.g_00297
OG0000015	Syar.g_00451, Syar.g_00180	Prag.g_00765
OG0000016	Syar.g_02859	Prag.g_00013, Prag.g_01638
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Prag.g_00576
OG0000018	Syar.g_01409	Prag.g_01134
OG0000019	Syar.g_00163	Prag.g_00242, Prag.g_00786
OG0000022	Syar.g_00835	Prag.g_01116
OG0000025	Syar.g_01811	Prag.g_00322, Prag.g_00839
OG0000026	Syar.g_00505	Prag.g_00031, Prag.g_01050
OG0000027	Syar.g_02055, Syar.g_02835	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syar.g_00718	Prag.g_01270, Prag.g_00311
OG0000032	Syar.g_00543	Prag.g_01416
OG0000034	Syar.g_00074, Syar.g_02790	Prag.g_01365
OG0000035	Syar.g_02809	Prag.g_01490, Prag.g_01488
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prag.g_00102
OG0000038	Syar.g_00334, Syar.g_00336	Prag.g_01911
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prag.g_00664
OG0000040	Syar.g_02831	Prag.g_01630
OG0000040	Syar.g_00858	Prag.g_01133
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prag.g_01716
OG0000042	Syar.g_00595, Syar.g_01970	Prag.g_01868
OG0000048	Syar.g_00213	Prag.g_01658, Prag.g_00368
OG0000051	Syar.g_01597	Prag.g_01645, Prag.g_01329
OG0000053	Syar.g_01413	Prag.g_01510
OG0000054	Syar.g_02265	Prag.g_00584
OG0000055	Syar.g_01386	Prag.g_00787
OG0000057	Syar.g_01941, Syar.g_00006	Prag.g_00676
OG0000059	Syar.g_01024	Prag.g_01755
OG0000060	Syar.g_01260, Syar.g_00178	Prag.g_00760
OG0000061	Syar.g_01539	Prag.g_01153
OG0000062	Syar.g_02911	Prag.g_01568
OG0000063	Syar.g_00509	Prag.g_00033
OG0000065	Syar.g_03119	Prag.g_00100
OG0000066	Syar.g_03187, Syar.g_02228	Prag.g_00518
OG0000067	Syar.g_02639	Prag.g_00806
OG0000068	Syar.g_02329, Syar.g_01461	Prag.g_01389
OG0000069	Syar.g_01716	Prag.g_01601
OG0000070	Syar.g_02223, Syar.g_03150	Prag.g_00429
OG0000071	Syar.g_02777	Prag.g_01355
OG0000072	Syar.g_00107, Syar.g_01140	Prag.g_00164
OG0000073	Syar.g_01364, Syar.g_01493	Prag.g_00478
OG0000075	Syar.g_03065, Syar.g_00659	Prag.g_01836
OG0000076	Syar.g_00608	Prag.g_01861
OG0000077	Syar.g_03051	Prag.g_00072
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prag.g_00232
OG0000081	Syar.g_01898	Prag.g_00510
OG0000082	Syar.g_02202	Prag.g_00563
OG0000085	Syar.g_02919	Prag.g_01662
OG0000086	Syar.g_03085	Prag.g_00082
OG0000087	Syar.g_03192, Syar.g_00068	Prag.g_00132
OG0000088	Syar.g_00101	Prag.g_00159
OG0000089	Syar.g_01162	Prag.g_00350
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prag.g_00512
OG0000091	Syar.g_01891, Syar.g_02426	Prag.g_00620
OG0000093	Syar.g_02623	Prag.g_00932
OG0000094	Syar.g_01789	Prag.g_01017
OG0000095	Syar.g_01932	Prag.g_01036
OG0000097	Syar.g_01706, Syar.g_00364	Prag.g_01194
OG0000098	Syar.g_02343	Prag.g_01371
OG0000099	Syar.g_00715	Prag.g_01424
OG0000100	Syar.g_02477	Prag.g_01564
OG0000101	Syar.g_01073, Syar.g_03154	Prag.g_01804
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prag.g_01866
OG0000103	Syar.g_00014, Syar.g_00452	Prag.g_01945
OG0000104	Syar.g_00466	Prag.g_01953
OG0000105	Syar.g_00218	Prag.g_00265
OG0000106	Syar.g_01748	Prag.g_00364
OG0000107	Syar.g_03290, Syar.g_00149	Prag.g_00378
OG0000108	Syar.g_01469	Prag.g_00459
OG0000109	Syar.g_03310, Syar.g_01485	Prag.g_00473
OG0000110	Syar.g_02295	Prag.g_00553
OG0000111	Syar.g_01940, Syar.g_00005	Prag.g_00677
OG0000112	Syar.g_03195, Syar.g_02548	Prag.g_00771
OG0000113	Syar.g_02664	Prag.g_00828
OG0000114	Syar.g_01616	Prag.g_00906
OG0000115	Syar.g_02854, Syar.g_01415	Prag.g_01097
OG0000116	Syar.g_01525, Syar.g_02255	Prag.g_01143
OG0000117	Syar.g_01969	Prag.g_01298
OG0000118	Syar.g_02793	Prag.g_01367
OG0000120	Syar.g_00713	Prag.g_01423
OG0000121	Syar.g_02806	Prag.g_01492
OG0000123	Syar.g_01079	Prag.g_01811
OG0000124	Syar.g_00586	Prag.g_01877
OG0000125	Syar.g_00338	Prag.g_01913
OG0000126	Syar.g_00887, Syar.g_00888	Prag.g_01952
OG0000128	Syar.g_00482	Prag.g_00011
OG0000129	Syar.g_00324	Prag.g_00044
OG0000130	Syar.g_03040	Prag.g_00063
OG0000131	Syar.g_02216, Syar.g_00078	Prag.g_00138
OG0000132	Syar.g_00099	Prag.g_00157
OG0000133	Syar.g_02543	Prag.g_00313
OG0000134	Syar.g_02009, Syar.g_01165	Prag.g_00351
OG0000135	Syar.g_00698	Prag.g_00375
OG0000136	Syar.g_02874	Prag.g_00420
OG0000137	Syar.g_01273	Prag.g_00454
OG0000138	Syar.g_01486	Prag.g_00474
OG0000139	Syar.g_03245, Syar.g_02348	Prag.g_00516
OG0000140	Syar.g_02344, Syar.g_03246	Prag.g_00517
OG0000141	Syar.g_02129	Prag.g_00585
OG0000142	Syar.g_02418	Prag.g_00613
OG0000143	Syar.g_02422	Prag.g_00617
OG0000144	Syar.g_02441	Prag.g_00630
OG0000145	Syar.g_01494, Syar.g_03205	Prag.g_00758
OG0000146	Syar.g_02549	Prag.g_00772
OG0000147	Syar.g_02550	Prag.g_00773
OG0000148	Syar.g_02658	Prag.g_00822
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prag.g_00851
OG0000150	Syar.g_02130	Prag.g_00859
OG0000151	Syar.g_02038	Prag.g_00916
OG0000152	Syar.g_02539	Prag.g_00964
OG0000153	Syar.g_03283, Syar.g_02503	Prag.g_00983
OG0000154	Syar.g_01800	Prag.g_01010
OG0000155	Syar.g_01959	Prag.g_01173
OG0000156	Syar.g_01517	Prag.g_01342
OG0000157	Syar.g_01516	Prag.g_01343
OG0000158	Syar.g_00650	Prag.g_01425
OG0000160	Syar.g_02807	Prag.g_01491
OG0000161	Syar.g_02801	Prag.g_01497
OG0000162	Syar.g_02863	Prag.g_01503
OG0000163	Syar.g_00639, Syar.g_01186	Prag.g_01537
OG0000164	Syar.g_03168, Syar.g_02969	Prag.g_01693
OG0000165	Syar.g_02976	Prag.g_01700
OG0000166	Syar.g_01034	Prag.g_01768
OG0000167	Syar.g_00662	Prag.g_01834
OG0000168	Syar.g_00246	Prag.g_01844
OG0000169	Syar.g_00262	Prag.g_01854
OG0000170	Syar.g_00613	Prag.g_01856
OG0000171	Syar.g_00587	Prag.g_01876
OG0000172	Syar.g_00547	Prag.g_01884
OG0000173	Syar.g_00528	Prag.g_01899
OG0000174	Syar.g_00701	Prag.g_01927
OG0000175	Syar.g_00438	Prag.g_01937
OG0000176	Syar.g_00474	Prag.g_00004
OG0000177	Syar.g_00475	Prag.g_00005
OG0000178	Syar.g_00476	Prag.g_00006
OG0000179	Syar.g_00489	Prag.g_00016
OG0000180	Syar.g_00490	Prag.g_00017
OG0000181	Syar.g_00491	Prag.g_00018
OG0000182	Syar.g_00492	Prag.g_00019
OG0000183	Syar.g_00496	Prag.g_00023
OG0000184	Syar.g_00897	Prag.g_00046
OG0000185	Syar.g_00909	Prag.g_00049
OG0000186	Syar.g_03036	Prag.g_00058
OG0000187	Syar.g_03038	Prag.g_00059
OG0000188	Syar.g_03058	Prag.g_00076
OG0000189	Syar.g_03104	Prag.g_00089
OG0000190	Syar.g_03107, Syar.g_02374	Prag.g_00090
OG0000191	Syar.g_00039	Prag.g_00110
OG0000192	Syar.g_00046	Prag.g_00114
OG0000193	Syar.g_00079	Prag.g_00139
OG0000194	Syar.g_03236, Syar.g_00082	Prag.g_00142
OG0000195	Syar.g_00023, Syar.g_00084	Prag.g_00144
OG0000196	Syar.g_00096	Prag.g_00154
OG0000197	Syar.g_00097	Prag.g_00155
OG0000198	Syar.g_00098	Prag.g_00156
OG0000199	Syar.g_00106	Prag.g_00163
OG0000200	Syar.g_00124	Prag.g_00177
OG0000201	Syar.g_01000	Prag.g_00185
OG0000202	Syar.g_00998, Syar.g_00021	Prag.g_00186
OG0000203	Syar.g_00020, Syar.g_00997	Prag.g_00187
OG0000204	Syar.g_00996	Prag.g_00188
OG0000205	Syar.g_00988	Prag.g_00195
OG0000206	Syar.g_00963	Prag.g_00200
OG0000207	Syar.g_00957	Prag.g_00202
OG0000208	Syar.g_00956	Prag.g_00203
OG0000209	Syar.g_00936, Syar.g_03261	Prag.g_00212
OG0000210	Syar.g_00935, Syar.g_03260	Prag.g_00213
OG0000211	Syar.g_03026	Prag.g_00226
OG0000212	Syar.g_03017	Prag.g_00233
OG0000213	Syar.g_00187	Prag.g_00249
OG0000214	Syar.g_00209	Prag.g_00258
OG0000215	Syar.g_00239	Prag.g_00283
OG0000216	Syar.g_00244	Prag.g_00285
OG0000217	Syar.g_00854	Prag.g_00288
OG0000218	Syar.g_00852	Prag.g_00290
OG0000219	Syar.g_00851	Prag.g_00291
OG0000220	Syar.g_00850, Syar.g_02026	Prag.g_00292
OG0000221	Syar.g_00834	Prag.g_00293
OG0000222	Syar.g_02119, Syar.g_00728	Prag.g_00301
OG0000223	Syar.g_00649	Prag.g_00314
OG0000224	Syar.g_00762, Syar.g_00273	Prag.g_00316
OG0000225	Syar.g_01142	Prag.g_00340
OG0000226	Syar.g_01146	Prag.g_00344
OG0000227	Syar.g_01148	Prag.g_00346
OG0000228	Syar.g_01161	Prag.g_00349
OG0000229	Syar.g_01177, Syar.g_03273	Prag.g_00415
OG0000230	Syar.g_01179, Syar.g_03275	Prag.g_00417
OG0000231	Syar.g_02865, Syar.g_03151	Prag.g_00428
OG0000232	Syar.g_01424	Prag.g_00437
OG0000233	Syar.g_03183, Syar.g_01247	Prag.g_00442
OG0000234	Syar.g_01275	Prag.g_00455
OG0000235	Syar.g_01468	Prag.g_00458
OG0000236	Syar.g_03311, Syar.g_01484	Prag.g_00472
OG0000237	Syar.g_01503	Prag.g_00485
OG0000238	Syar.g_01508	Prag.g_00491
OG0000239	Syar.g_03277, Syar.g_02687	Prag.g_00504
OG0000240	Syar.g_03278, Syar.g_02686	Prag.g_00505
OG0000241	Syar.g_02410	Prag.g_00509
OG0000242	Syar.g_01926	Prag.g_00511
OG0000243	Syar.g_02335	Prag.g_00522
OG0000244	Syar.g_02327	Prag.g_00525
OG0000245	Syar.g_02325, Syar.g_03238	Prag.g_00527
OG0000246	Syar.g_02321	Prag.g_00531
OG0000247	Syar.g_02310	Prag.g_00541
OG0000248	Syar.g_02307, Syar.g_03293	Prag.g_00543
OG0000249	Syar.g_02305	Prag.g_00545
OG0000250	Syar.g_02299, Syar.g_03194	Prag.g_00550
OG0000251	Syar.g_03207, Syar.g_02194	Prag.g_00569
OG0000252	Syar.g_02189, Syar.g_03263	Prag.g_00572
OG0000253	Syar.g_02028, Syar.g_03229	Prag.g_00573
OG0000254	Syar.g_02169	Prag.g_00589
OG0000255	Syar.g_00011, Syar.g_02224	Prag.g_00595
OG0000256	Syar.g_02244	Prag.g_00605
OG0000257	Syar.g_02407, Syar.g_01762	Prag.g_00608
OG0000258	Syar.g_02427, Syar.g_00010	Prag.g_00621
OG0000259	Syar.g_02472	Prag.g_00638
OG0000260	Syar.g_03220, Syar.g_02475	Prag.g_00641
OG0000261	Syar.g_01916	Prag.g_00643
OG0000262	Syar.g_01690	Prag.g_00647
OG0000263	Syar.g_01991	Prag.g_00659
OG0000264	Syar.g_02135, Syar.g_03267	Prag.g_00669
OG0000266	Syar.g_01570	Prag.g_00702
OG0000267	Syar.g_01873	Prag.g_00713
OG0000268	Syar.g_02589	Prag.g_00714
OG0000269	Syar.g_02634	Prag.g_00801
OG0000270	Syar.g_00744, Syar.g_02637	Prag.g_00804
OG0000271	Syar.g_02645	Prag.g_00812
OG0000272	Syar.g_02646	Prag.g_00813
OG0000273	Syar.g_02481, Syar.g_00008	Prag.g_00835
OG0000274	Syar.g_00009, Syar.g_02482	Prag.g_00836
OG0000275	Syar.g_01810	Prag.g_00838
OG0000276	Syar.g_01817	Prag.g_00843
OG0000277	Syar.g_01818, Syar.g_03242	Prag.g_00844
OG0000278	Syar.g_01821, Syar.g_03174	Prag.g_00847
OG0000279	Syar.g_01838	Prag.g_00854
OG0000280	Syar.g_02067, Syar.g_00734	Prag.g_00855
OG0000281	Syar.g_02218	Prag.g_00860
OG0000282	Syar.g_01614, Syar.g_03255	Prag.g_00908
OG0000283	Syar.g_02574	Prag.g_00941
OG0000284	Syar.g_03258, Syar.g_02568	Prag.g_00946
OG0000285	Syar.g_02560	Prag.g_00951
OG0000286	Syar.g_02540	Prag.g_00963
OG0000287	Syar.g_02512	Prag.g_00980
OG0000288	Syar.g_01801	Prag.g_01009
OG0000289	Syar.g_03305, Syar.g_01786	Prag.g_01020
OG0000290	Syar.g_01928	Prag.g_01033
OG0000291	Syar.g_01930	Prag.g_01035
OG0000292	Syar.g_00463	Prag.g_01085
OG0000293	Syar.g_03297, Syar.g_01526	Prag.g_01144
OG0000294	Syar.g_01527, Syar.g_03296	Prag.g_01145
OG0000295	Syar.g_01951, Syar.g_03208	Prag.g_01165
OG0000296	Syar.g_01953	Prag.g_01167
OG0000297	Syar.g_01967, Syar.g_03216	Prag.g_01175
OG0000298	Syar.g_01968, Syar.g_03215	Prag.g_01176
OG0000299	Syar.g_01704	Prag.g_01193
OG0000300	Syar.g_01646, Syar.g_01711	Prag.g_01196
OG0000301	Syar.g_01712	Prag.g_01197
OG0000302	Syar.g_01713	Prag.g_01199
OG0000303	Syar.g_03136, Syar.g_01723	Prag.g_01206
OG0000304	Syar.g_01728	Prag.g_01210
OG0000305	Syar.g_01933, Syar.g_03163	Prag.g_01381
OG0000306	Syar.g_01884, Syar.g_03140	Prag.g_01384
OG0000307	Syar.g_01452, Syar.g_03153	Prag.g_01398
OG0000308	Syar.g_01450	Prag.g_01399
OG0000309	Syar.g_01239	Prag.g_01403
OG0000310	Syar.g_02826	Prag.g_01473
OG0000311	Syar.g_02823	Prag.g_01475
OG0000312	Syar.g_00015, Syar.g_02818	Prag.g_01478
OG0000313	Syar.g_02804	Prag.g_01494
OG0000314	Syar.g_01403	Prag.g_01516
OG0000315	Syar.g_01393	Prag.g_01527
OG0000316	Syar.g_02885	Prag.g_01547
OG0000317	Syar.g_02926	Prag.g_01667
OG0000318	Syar.g_02930	Prag.g_01670
OG0000319	Syar.g_02954	Prag.g_01683
OG0000320	Syar.g_02956	Prag.g_01685
OG0000321	Syar.g_02957	Prag.g_01686
OG0000322	Syar.g_02958	Prag.g_01687
OG0000323	Syar.g_02973	Prag.g_01696
OG0000324	Syar.g_00350, Syar.g_03001	Prag.g_01723
OG0000325	Syar.g_03291, Syar.g_00148	Prag.g_01733
OG0000326	Syar.g_00139, Syar.g_03134	Prag.g_01739
OG0000327	Syar.g_01029	Prag.g_01763
OG0000328	Syar.g_01030	Prag.g_01764
OG0000329	Syar.g_03189, Syar.g_01048	Prag.g_01781
OG0000330	Syar.g_03190, Syar.g_01049	Prag.g_01782
OG0000331	Syar.g_01050, Syar.g_03191	Prag.g_01783
OG0000332	Syar.g_01064, Syar.g_03299	Prag.g_01797
OG0000333	Syar.g_01067	Prag.g_01799
OG0000334	Syar.g_01076	Prag.g_01807
OG0000335	Syar.g_01080	Prag.g_01812
OG0000336	Syar.g_01084	Prag.g_01816
OG0000337	Syar.g_00285	Prag.g_01832
OG0000338	Syar.g_03225, Syar.g_00287	Prag.g_01833
OG0000339	Syar.g_00658	Prag.g_01837
OG0000340	Syar.g_00247	Prag.g_01845
OG0000341	Syar.g_00249	Prag.g_01847
OG0000342	Syar.g_00250	Prag.g_01848
OG0000343	Syar.g_00256	Prag.g_01849
OG0000344	Syar.g_00260	Prag.g_01852
OG0000345	Syar.g_00612	Prag.g_01857
OG0000346	Syar.g_00607	Prag.g_01862
OG0000347	Syar.g_00558	Prag.g_01878
OG0000348	Syar.g_00544	Prag.g_01887
OG0000349	Syar.g_00521	Prag.g_01904
OG0000350	Syar.g_00132	Prag.g_01923
OG0000351	Syar.g_00442	Prag.g_01940
OG0000352	Syar.g_00443	Prag.g_01941
OG0000353	Syar.g_00469	Prag.g_01956
OG0000354	Syar.g_00487	Prag.g_01282
OG0000355	Syar.g_00471	Prag.g_00001
OG0000356	Syar.g_00472	Prag.g_00002
OG0000357	Syar.g_00473	Prag.g_00003
OG0000358	Syar.g_00477	Prag.g_00007
OG0000359	Syar.g_00479	Prag.g_00008
OG0000360	Syar.g_00480	Prag.g_00009
OG0000361	Syar.g_00481	Prag.g_00010
OG0000362	Syar.g_00483	Prag.g_00012
OG0000363	Syar.g_00484	Prag.g_00014
OG0000364	Syar.g_02928	Prag.g_00015
OG0000365	Syar.g_00493	Prag.g_00020
OG0000366	Syar.g_00494	Prag.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Prag.g_00022
OG0000368	Syar.g_00497	Prag.g_00024
OG0000369	Syar.g_00498	Prag.g_00025
OG0000370	Syar.g_00499	Prag.g_00026
OG0000371	Syar.g_00508	Prag.g_00032
OG0000372	Syar.g_00514	Prag.g_00035
OG0000373	Syar.g_00515	Prag.g_00036
OG0000374	Syar.g_00516	Prag.g_00037
OG0000375	Syar.g_00517	Prag.g_00040
OG0000376	Syar.g_00519	Prag.g_00042
OG0000377	Syar.g_00322	Prag.g_00045
OG0000378	Syar.g_00905	Prag.g_00047
OG0000379	Syar.g_00910	Prag.g_00050
OG0000380	Syar.g_03039	Prag.g_00060
OG0000381	Syar.g_03041	Prag.g_00064
OG0000382	Syar.g_03057	Prag.g_00075
OG0000383	Syar.g_03074	Prag.g_00077
OG0000384	Syar.g_03075	Prag.g_00078
OG0000385	Syar.g_03076	Prag.g_00079
OG0000386	Syar.g_03077	Prag.g_00080
OG0000387	Syar.g_03109	Prag.g_00092
OG0000388	Syar.g_03148, Syar.g_03113	Prag.g_00095
OG0000389	Syar.g_03118	Prag.g_00099
OG0000390	Syar.g_00033	Prag.g_00106
OG0000391	Syar.g_00038	Prag.g_00109
OG0000392	Syar.g_00045	Prag.g_00113
OG0000393	Syar.g_00048	Prag.g_00115
OG0000394	Syar.g_00049	Prag.g_00116
OG0000395	Syar.g_00050	Prag.g_00117
OG0000396	Syar.g_00053	Prag.g_00120
OG0000397	Syar.g_00055	Prag.g_00122
OG0000398	Syar.g_00060	Prag.g_00124
OG0000399	Syar.g_00061	Prag.g_00125
OG0000400	Syar.g_00062	Prag.g_00126
OG0000401	Syar.g_00063	Prag.g_00127
OG0000402	Syar.g_00065	Prag.g_00129
OG0000403	Syar.g_00066	Prag.g_00130
OG0000404	Syar.g_00067	Prag.g_00131
OG0000405	Syar.g_00076	Prag.g_00135
OG0000406	Syar.g_00080	Prag.g_00140
OG0000407	Syar.g_00081	Prag.g_00141
OG0000408	Syar.g_00083	Prag.g_00143
OG0000409	Syar.g_00085	Prag.g_00145
OG0000410	Syar.g_00086	Prag.g_00146
OG0000411	Syar.g_00087	Prag.g_00147
OG0000412	Syar.g_00088	Prag.g_00148
OG0000413	Syar.g_00090	Prag.g_00149
OG0000414	Syar.g_00091, Syar.g_03179	Prag.g_00150
OG0000415	Syar.g_00092	Prag.g_00151
OG0000416	Syar.g_00093	Prag.g_00152
OG0000417	Syar.g_00095	Prag.g_00153
OG0000418	Syar.g_00100	Prag.g_00158
OG0000419	Syar.g_00102	Prag.g_00160
OG0000420	Syar.g_00104	Prag.g_00161
OG0000421	Syar.g_00109	Prag.g_00166
OG0000422	Syar.g_00110	Prag.g_00167
OG0000423	Syar.g_00111	Prag.g_00168
OG0000424	Syar.g_00112	Prag.g_00169
OG0000425	Syar.g_00113	Prag.g_00170
OG0000426	Syar.g_00114	Prag.g_00171
OG0000427	Syar.g_00115	Prag.g_00172
OG0000428	Syar.g_00118	Prag.g_00174
OG0000429	Syar.g_00121	Prag.g_00175
OG0000430	Syar.g_00123	Prag.g_00176
OG0000431	Syar.g_00127	Prag.g_00178
OG0000432	Syar.g_01009	Prag.g_00181
OG0000433	Syar.g_01007	Prag.g_00182
OG0000434	Syar.g_01006	Prag.g_00183
OG0000435	Syar.g_01003	Prag.g_00184
OG0000436	Syar.g_00994	Prag.g_00189
OG0000437	Syar.g_00993	Prag.g_00190
OG0000438	Syar.g_00992	Prag.g_00191
OG0000439	Syar.g_00990	Prag.g_00193
OG0000440	Syar.g_00989	Prag.g_00194
OG0000441	Syar.g_00986	Prag.g_00197
OG0000442	Syar.g_00977	Prag.g_00198
OG0000443	Syar.g_00964	Prag.g_00199
OG0000444	Syar.g_00954	Prag.g_00204
OG0000445	Syar.g_00953	Prag.g_00205
OG0000446	Syar.g_00951	Prag.g_00206
OG0000447	Syar.g_00948	Prag.g_00207
OG0000448	Syar.g_00947	Prag.g_00208
OG0000449	Syar.g_00946	Prag.g_00209
OG0000450	Syar.g_00939	Prag.g_00210
OG0000451	Syar.g_00938	Prag.g_00211
OG0000452	Syar.g_00934	Prag.g_00214
OG0000453	Syar.g_00933	Prag.g_00215
OG0000454	Syar.g_00932	Prag.g_00216
OG0000455	Syar.g_00931	Prag.g_00217
