Orthogroup	Syar	Prau
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prau.g_01394
OG0000004	Syar.g_02051	Prau.g_00735
OG0000004	Syar.g_02225, Syar.g_00842	Prau.g_00233
OG0000005	Syar.g_02952	Prau.g_01745
OG0000005	Syar.g_02909	Prau.g_01607
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prau.g_01316
OG0000007	Syar.g_01491	Prau.g_00538
OG0000007	Syar.g_02929	Prau.g_01732
OG0000008	Syar.g_02097	Prau.g_00781
OG0000008	Syar.g_00419, Syar.g_02048	Prau.g_00712
OG0000009	Syar.g_03116	Prau.g_00106
OG0000010	Syar.g_01272	Prau.g_01698, Prau.g_01096
OG0000012	Syar.g_00690, Syar.g_02860	Prau.g_00663
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prau.g_00329
OG0000014	Syar.g_00825	Prau.g_00308
OG0000014	Syar.g_02736	Prau.g_01470
OG0000015	Syar.g_00451, Syar.g_00180	Prau.g_00817
OG0000016	Syar.g_02859	Prau.g_00013
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Prau.g_00636
OG0000018	Syar.g_01409	Prau.g_01188
OG0000019	Syar.g_00163	Prau.g_00251, Prau.g_00834
OG0000022	Syar.g_00835	Prau.g_01170
OG0000025	Syar.g_01811	Prau.g_00333, Prau.g_00888
OG0000026	Syar.g_00505	Prau.g_00030, Prau.g_01103
OG0000027	Syar.g_02055, Syar.g_02835	Prau.g_01353
OG0000028	Syar.g_00718	Prau.g_01338, Prau.g_00322
OG0000032	Syar.g_00543	Prau.g_01475, Prau.g_01446
OG0000033	Syar.g_00105	Prau.g_01465
OG0000034	Syar.g_00074, Syar.g_02790	Prau.g_01381
OG0000035	Syar.g_02809	Prau.g_01531, Prau.g_01528
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prau.g_00110
OG0000038	Syar.g_00334, Syar.g_00336	Prau.g_01976
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prau.g_00726
OG0000040	Syar.g_02831	Prau.g_01662
OG0000040	Syar.g_00858	Prau.g_01187
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prau.g_01778
OG0000042	Syar.g_00595, Syar.g_01970	Prau.g_01932
OG0000045	Syar.g_02592	Prau.g_01682
OG0000048	Syar.g_00213	Prau.g_00377
OG0000051	Syar.g_01597	Prau.g_01275, Prau.g_01681, Prau.g_01347
OG0000053	Syar.g_01413	Prau.g_00040, Prau.g_01551
OG0000054	Syar.g_02265	Prau.g_00644
OG0000055	Syar.g_01386	Prau.g_00835
OG0000057	Syar.g_01941, Syar.g_00006	Prau.g_00738
OG0000059	Syar.g_01024	Prau.g_01818
OG0000061	Syar.g_01539	Prau.g_01206
OG0000062	Syar.g_02911	Prau.g_01609
OG0000063	Syar.g_00509	Prau.g_00032, Prau.g_01295
OG0000065	Syar.g_03119	Prau.g_00108
OG0000066	Syar.g_03187, Syar.g_02228	Prau.g_00579
OG0000067	Syar.g_02639	Prau.g_00854
OG0000068	Syar.g_02329, Syar.g_01461	Prau.g_01409
OG0000069	Syar.g_01716	Prau.g_01285, Prau.g_01642
OG0000070	Syar.g_02223, Syar.g_03150	Prau.g_00491
OG0000071	Syar.g_02777	Prau.g_01371
OG0000072	Syar.g_00107, Syar.g_01140	Prau.g_00172
OG0000073	Syar.g_01364, Syar.g_01493	Prau.g_00540
OG0000075	Syar.g_03065, Syar.g_00659	Prau.g_01901
OG0000076	Syar.g_00608	Prau.g_00037, Prau.g_01925
OG0000077	Syar.g_03051	Prau.g_00079
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prau.g_00240
OG0000079	Syar.g_00166	Prau.g_00254
OG0000081	Syar.g_01898	Prau.g_00571
OG0000082	Syar.g_02202	Prau.g_00624
OG0000085	Syar.g_02919	Prau.g_01725
OG0000086	Syar.g_03085	Prau.g_00089
OG0000087	Syar.g_03192, Syar.g_00068	Prau.g_00140
OG0000088	Syar.g_00101	Prau.g_00167
OG0000089	Syar.g_01162	Prau.g_00358
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prau.g_00573
OG0000091	Syar.g_01891, Syar.g_02426	Prau.g_00682
OG0000092	Syar.g_01960	Prau.g_00052, Prau.g_00451
OG0000093	Syar.g_02623	Prau.g_00983
OG0000094	Syar.g_01789	Prau.g_01070
OG0000095	Syar.g_01932	Prau.g_01089
OG0000097	Syar.g_01706, Syar.g_00364	Prau.g_01247
OG0000098	Syar.g_02343	Prau.g_01391
OG0000099	Syar.g_00715	Prau.g_01435
OG0000100	Syar.g_02477	Prau.g_01605
OG0000101	Syar.g_01073, Syar.g_03154	Prau.g_01869
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prau.g_01930
OG0000103	Syar.g_00014, Syar.g_00452	Prau.g_02009
OG0000104	Syar.g_00466	Prau.g_02018
OG0000105	Syar.g_00218	Prau.g_00276
OG0000106	Syar.g_01748	Prau.g_00373
OG0000107	Syar.g_03290, Syar.g_00149	Prau.g_00389
OG0000108	Syar.g_01469	Prau.g_00521
OG0000109	Syar.g_03310, Syar.g_01485	Prau.g_00535
OG0000110	Syar.g_02295	Prau.g_00614
OG0000111	Syar.g_01940, Syar.g_00005	Prau.g_00739
OG0000112	Syar.g_03195, Syar.g_02548	Prau.g_00818
OG0000113	Syar.g_02664	Prau.g_00876
OG0000114	Syar.g_01616	Prau.g_00956
OG0000115	Syar.g_02854, Syar.g_01415	Prau.g_01148
OG0000116	Syar.g_01525, Syar.g_02255	Prau.g_01197
OG0000117	Syar.g_01969	Prau.g_01318
OG0000118	Syar.g_02793	Prau.g_01383
OG0000120	Syar.g_00713	Prau.g_01430
OG0000121	Syar.g_02806	Prau.g_01533
OG0000123	Syar.g_01079	Prau.g_01876
OG0000124	Syar.g_00586	Prau.g_01941
OG0000125	Syar.g_00338	Prau.g_01978
OG0000126	Syar.g_00887, Syar.g_00888	Prau.g_02017
OG0000128	Syar.g_00482	Prau.g_00011
OG0000129	Syar.g_00324	Prau.g_00051
OG0000130	Syar.g_03040	Prau.g_00071
OG0000131	Syar.g_02216, Syar.g_00078	Prau.g_00146
OG0000132	Syar.g_00099	Prau.g_00165
OG0000133	Syar.g_02543	Prau.g_00324
OG0000134	Syar.g_02009, Syar.g_01165	Prau.g_00359
OG0000135	Syar.g_00698	Prau.g_00386
OG0000136	Syar.g_02874	Prau.g_00482
OG0000137	Syar.g_01273	Prau.g_00516
OG0000138	Syar.g_01486	Prau.g_00536
OG0000139	Syar.g_03245, Syar.g_02348	Prau.g_00577
OG0000140	Syar.g_02344, Syar.g_03246	Prau.g_00578
OG0000141	Syar.g_02129	Prau.g_00645
OG0000142	Syar.g_02418	Prau.g_00675
OG0000143	Syar.g_02422	Prau.g_00679
OG0000144	Syar.g_02441	Prau.g_00692
OG0000145	Syar.g_01494, Syar.g_03205	Prau.g_00816
OG0000146	Syar.g_02549	Prau.g_00819
OG0000147	Syar.g_02550	Prau.g_00820
OG0000148	Syar.g_02658	Prau.g_00870
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prau.g_00900
OG0000150	Syar.g_02130	Prau.g_00909
OG0000151	Syar.g_02038	Prau.g_00966
OG0000152	Syar.g_02539	Prau.g_01015
OG0000153	Syar.g_03283, Syar.g_02503	Prau.g_01034
OG0000154	Syar.g_01800	Prau.g_01063
OG0000155	Syar.g_01959	Prau.g_01226
OG0000156	Syar.g_01517	Prau.g_01359
OG0000157	Syar.g_01516	Prau.g_01360
OG0000158	Syar.g_00650	Prau.g_01436
OG0000160	Syar.g_02807	Prau.g_01532
OG0000161	Syar.g_02801	Prau.g_01538
OG0000162	Syar.g_02863	Prau.g_01544
OG0000163	Syar.g_00639, Syar.g_01186	Prau.g_01578
OG0000164	Syar.g_03168, Syar.g_02969	Prau.g_01756
OG0000165	Syar.g_02976	Prau.g_01763
OG0000166	Syar.g_01034	Prau.g_01833
OG0000167	Syar.g_00662	Prau.g_01899
OG0000168	Syar.g_00246	Prau.g_01909
OG0000169	Syar.g_00262	Prau.g_01919
OG0000170	Syar.g_00613	Prau.g_01921
OG0000171	Syar.g_00587	Prau.g_01940
OG0000172	Syar.g_00547	Prau.g_01949
OG0000173	Syar.g_00528	Prau.g_01964
OG0000174	Syar.g_00701	Prau.g_01991
OG0000175	Syar.g_00438	Prau.g_02001
OG0000176	Syar.g_00474	Prau.g_00004
OG0000177	Syar.g_00475	Prau.g_00005
OG0000178	Syar.g_00476	Prau.g_00006
OG0000179	Syar.g_00489	Prau.g_00016
OG0000180	Syar.g_00490	Prau.g_00017
OG0000181	Syar.g_00491	Prau.g_00018
OG0000182	Syar.g_00492	Prau.g_00019
OG0000183	Syar.g_00496	Prau.g_00023
OG0000184	Syar.g_00897	Prau.g_00054
OG0000185	Syar.g_00909	Prau.g_00057
OG0000186	Syar.g_03036	Prau.g_00066
OG0000187	Syar.g_03038	Prau.g_00067
OG0000188	Syar.g_03058	Prau.g_00083
OG0000189	Syar.g_03104	Prau.g_00097
OG0000190	Syar.g_03107, Syar.g_02374	Prau.g_00098
OG0000191	Syar.g_00039	Prau.g_00118
OG0000192	Syar.g_00046	Prau.g_00122
OG0000193	Syar.g_00079	Prau.g_00147
OG0000194	Syar.g_03236, Syar.g_00082	Prau.g_00150
OG0000195	Syar.g_00023, Syar.g_00084	Prau.g_00152
OG0000196	Syar.g_00096	Prau.g_00162
OG0000197	Syar.g_00097	Prau.g_00163
OG0000198	Syar.g_00098	Prau.g_00164
OG0000199	Syar.g_00106	Prau.g_00171
OG0000200	Syar.g_00124	Prau.g_00185
OG0000201	Syar.g_01000	Prau.g_00193
OG0000202	Syar.g_00998, Syar.g_00021	Prau.g_00194
OG0000203	Syar.g_00020, Syar.g_00997	Prau.g_00195
OG0000204	Syar.g_00996	Prau.g_00196
OG0000205	Syar.g_00988	Prau.g_00203
OG0000206	Syar.g_00963	Prau.g_00208
OG0000207	Syar.g_00957	Prau.g_00210
OG0000208	Syar.g_00956	Prau.g_00211
OG0000209	Syar.g_00936, Syar.g_03261	Prau.g_00220
OG0000210	Syar.g_00935, Syar.g_03260	Prau.g_00221
OG0000211	Syar.g_03026	Prau.g_00234
OG0000212	Syar.g_03017	Prau.g_00241
OG0000213	Syar.g_00187	Prau.g_00259
OG0000214	Syar.g_00209	Prau.g_00269
OG0000215	Syar.g_00239	Prau.g_00294
OG0000216	Syar.g_00244	Prau.g_00296
OG0000217	Syar.g_00854	Prau.g_00299
OG0000218	Syar.g_00852	Prau.g_00301
OG0000219	Syar.g_00851	Prau.g_00302
OG0000220	Syar.g_00850, Syar.g_02026	Prau.g_00303
OG0000221	Syar.g_00834	Prau.g_00304
OG0000222	Syar.g_02119, Syar.g_00728	Prau.g_00312
OG0000223	Syar.g_00649	Prau.g_00325
OG0000224	Syar.g_00762, Syar.g_00273	Prau.g_00327
OG0000225	Syar.g_01142	Prau.g_00348
OG0000226	Syar.g_01146	Prau.g_00352
OG0000227	Syar.g_01148	Prau.g_00354
OG0000228	Syar.g_01161	Prau.g_00357
OG0000229	Syar.g_01177, Syar.g_03273	Prau.g_00477
OG0000230	Syar.g_01179, Syar.g_03275	Prau.g_00479
OG0000231	Syar.g_02865, Syar.g_03151	Prau.g_00490
OG0000232	Syar.g_01424	Prau.g_00499
OG0000233	Syar.g_03183, Syar.g_01247	Prau.g_00505
OG0000234	Syar.g_01275	Prau.g_00517
OG0000235	Syar.g_01468	Prau.g_00520
OG0000236	Syar.g_03311, Syar.g_01484	Prau.g_00534
OG0000237	Syar.g_01503	Prau.g_00547
OG0000238	Syar.g_01508	Prau.g_00553
OG0000239	Syar.g_03277, Syar.g_02687	Prau.g_00565
OG0000240	Syar.g_03278, Syar.g_02686	Prau.g_00566
OG0000241	Syar.g_02410	Prau.g_00570
OG0000242	Syar.g_01926	Prau.g_00572
OG0000243	Syar.g_02335	Prau.g_00583
OG0000244	Syar.g_02327	Prau.g_00586
OG0000245	Syar.g_02325, Syar.g_03238	Prau.g_00588
OG0000246	Syar.g_02321	Prau.g_00592
