Orthogroup	Syar	Prbd
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prbd.g_01779
OG0000004	Syar.g_02051	Prbd.g_00549
OG0000004	Syar.g_02225, Syar.g_00842	Prbd.g_01007
OG0000005	Syar.g_02952	Prbd.g_01512
OG0000005	Syar.g_02909	Prbd.g_01612
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbd.g_00998
OG0000007	Syar.g_01491	Prbd.g_00745
OG0000007	Syar.g_02929	Prbd.g_01525
OG0000008	Syar.g_00419, Syar.g_02048	Prbd.g_00572
OG0000009	Syar.g_03116	Prbd.g_01139
OG0000010	Syar.g_01272	Prbd.g_00348
OG0000012	Syar.g_00690, Syar.g_02860	Prbd.g_00621
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbd.g_00912
OG0000014	Syar.g_00825	Prbd.g_00933
OG0000015	Syar.g_00451, Syar.g_00180	Prbd.g_00065, Prbd.g_00826
OG0000016	Syar.g_02859	Prbd.g_01224
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Prbd.g_00646
OG0000018	Syar.g_01409	Prbd.g_00449
OG0000019	Syar.g_00163	Prbd.g_00990, Prbd.g_00082
OG0000022	Syar.g_00835	Prbd.g_00423
OG0000025	Syar.g_01811	Prbd.g_00908, Prbd.g_00137
OG0000026	Syar.g_00505	Prbd.g_01206, Prbd.g_00355
OG0000027	Syar.g_02055, Syar.g_02835	Prbd.g_00772, Prbd.g_01832
OG0000028	Syar.g_00718	Prbd.g_01864, Prbd.g_00919
OG0000032	Syar.g_00543	Prbd.g_01730
OG0000034	Syar.g_00074, Syar.g_02790	Prbd.g_01791
OG0000035	Syar.g_02809	Prbd.g_01689
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbd.g_01135
OG0000038	Syar.g_00334, Syar.g_00336	Prbd.g_01283
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbd.g_00558
OG0000040	Syar.g_02831	Prbd.g_01550
OG0000040	Syar.g_00858	Prbd.g_00448
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prbd.g_01478
OG0000042	Syar.g_00595, Syar.g_01970	Prbd.g_01328
OG0000048	Syar.g_00213	Prbd.g_00439, Prbd.g_00864
OG0000051	Syar.g_01597	Prbd.g_01544
OG0000053	Syar.g_01413	Prbd.g_01669
OG0000054	Syar.g_02265	Prbd.g_00638
OG0000055	Syar.g_01386	Prbd.g_00083
OG0000057	Syar.g_01941, Syar.g_00006	Prbd.g_00546
OG0000059	Syar.g_01024	Prbd.g_01439
