Orthogroup	Syar	Prbg
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prbg.g_00502
OG0000004	Syar.g_02051	Prbg.g_01140
OG0000004	Syar.g_02225, Syar.g_00842	Prbg.g_01014
OG0000005	Syar.g_02909	Prbg.g_00674
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbg.g_01024
OG0000007	Syar.g_01491	Prbg.g_00216
OG0000007	Syar.g_02929	Prbg.g_01650
OG0000008	Syar.g_02097	Prbg.g_00744
OG0000008	Syar.g_02098	Prbg.g_00745
OG0000010	Syar.g_01272	Prbg.g_01053, Prbg.g_01348
OG0000012	Syar.g_00690, Syar.g_02860	Prbg.g_00706
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbg.g_00104
OG0000014	Syar.g_00825	Prbg.g_00086
OG0000015	Syar.g_00451, Syar.g_00180	Prbg.g_01589, Prbg.g_01635
OG0000016	Syar.g_02859	Prbg.g_01544
OG0000017	Syar.g_03181	Prbg.g_00317
OG0000017	Syar.g_02180	Prbg.g_00324
OG0000018	Syar.g_01409	Prbg.g_01508
OG0000019	Syar.g_00163	Prbg.g_01032, Prbg.g_01510
OG0000025	Syar.g_01811	Prbg.g_01195
OG0000026	Syar.g_00505	Prbg.g_00842
OG0000027	Syar.g_02055, Syar.g_02835	Prbg.g_00721, Prbg.g_01569
OG0000028	Syar.g_00718	Prbg.g_00743
OG0000031	Syar.g_00714	Prbg.g_00550
OG0000032	Syar.g_01390	Prbg.g_00630
OG0000033	Syar.g_00105	Prbg.g_00557
OG0000034	Syar.g_00074, Syar.g_02790	Prbg.g_00488
OG0000035	Syar.g_02809	Prbg.g_00591
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbg.g_00881
OG0000038	Syar.g_00334, Syar.g_00336	Prbg.g_01898
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbg.g_01128
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prbg.g_01697
OG0000042	Syar.g_00595, Syar.g_01970	Prbg.g_01855
OG0000045	Syar.g_02592	Prbg.g_01530
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prbg.g_00105
OG0000048	Syar.g_00213	Prbg.g_00464
OG0000051	Syar.g_01597	Prbg.g_00408
OG0000052	Syar.g_00281	Prbg.g_00816
OG0000053	Syar.g_01413	Prbg.g_00612, Prbg.g_01595
OG0000054	Syar.g_02265	Prbg.g_00326
OG0000055	Syar.g_01386	Prbg.g_01624
OG0000057	Syar.g_01941, Syar.g_00006	Prbg.g_01143
OG0000058	Syar.g_00648	Prbg.g_00551
OG0000059	Syar.g_01024	Prbg.g_01737
OG0000061	Syar.g_01539	Prbg.g_01486
OG0000062	Syar.g_02911	Prbg.g_00676
OG0000063	Syar.g_00509	Prbg.g_00730
OG0000064	Syar.g_03117, Syar.g_00860	Prbg.g_00802
OG0000065	Syar.g_03119	Prbg.g_00879
OG0000066	Syar.g_03187, Syar.g_02228	Prbg.g_00256
OG0000067	Syar.g_02639	Prbg.g_01159
OG0000068	Syar.g_02329, Syar.g_01461	Prbg.g_00529
OG0000069	Syar.g_01716	Prbg.g_00174
OG0000070	Syar.g_02223	Prbg.g_00170
OG0000071	Syar.g_02777	Prbg.g_00477
OG0000072	Syar.g_00107, Syar.g_01140	Prbg.g_00949
OG0000073	Syar.g_01493	Prbg.g_00219
OG0000075	Syar.g_03065, Syar.g_00659	Prbg.g_01821
OG0000076	Syar.g_00608	Prbg.g_01847
OG0000077	Syar.g_03051	Prbg.g_00791
OG0000078	Syar.g_03265, Syar.g_03018	Prbg.g_01022
OG0000079	Syar.g_00166	Prbg.g_01035
OG0000080	Syar.g_00585	Prbg.g_00563, Prbg.g_00565
OG0000081	Syar.g_01898	Prbg.g_00248
OG0000082	Syar.g_02202	Prbg.g_00304, Prbg.g_01639
OG0000085	Syar.g_02919	Prbg.g_00716, Prbg.g_01642
OG0000086	Syar.g_03085	Prbg.g_00782
OG0000087	Syar.g_03192, Syar.g_00068	Prbg.g_00913
OG0000088	Syar.g_00101	Prbg.g_00944
OG0000089	Syar.g_01162	Prbg.g_00137
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbg.g_00250
OG0000091	Syar.g_01891, Syar.g_02426	Prbg.g_01414
OG0000093	Syar.g_02623	Prbg.g_01385
OG0000094	Syar.g_01789	Prbg.g_01336
OG0000095	Syar.g_01932	Prbg.g_01234
OG0000097	Syar.g_01706, Syar.g_00364	Prbg.g_01440
OG0000098	Syar.g_02343	Prbg.g_00505
OG0000099	Syar.g_00715	Prbg.g_00552
OG0000100	Syar.g_02477	Prbg.g_00670
OG0000101	Syar.g_01073, Syar.g_03154	Prbg.g_01785
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbg.g_01852
OG0000103	Syar.g_00014, Syar.g_00452	Prbg.g_01937
OG0000104	Syar.g_00466	Prbg.g_00763
OG0000105	Syar.g_00218	Prbg.g_00053
OG0000106	Syar.g_01748	Prbg.g_00388
OG0000107	Syar.g_03290, Syar.g_00149	Prbg.g_01714
OG0000108	Syar.g_01469	Prbg.g_00199
OG0000109	Syar.g_03310, Syar.g_01485	Prbg.g_00213
OG0000110	Syar.g_02295	Prbg.g_00293
OG0000111	Syar.g_01940, Syar.g_00005	Prbg.g_01144
OG0000112	Syar.g_03195, Syar.g_02548	Prbg.g_00366
OG0000113	Syar.g_02664	Prbg.g_01182
OG0000114	Syar.g_01616	Prbg.g_01084
OG0000115	Syar.g_02854, Syar.g_01415	Prbg.g_01555
OG0000116	Syar.g_01525, Syar.g_02255	Prbg.g_01497
OG0000117	Syar.g_01969	Prbg.g_01459
OG0000118	Syar.g_02793	Prbg.g_00490
OG0000120	Syar.g_00713	Prbg.g_00549
OG0000121	Syar.g_02806	Prbg.g_00593
OG0000123	Syar.g_01079	Prbg.g_01792
OG0000124	Syar.g_00586	Prbg.g_01864
OG0000125	Syar.g_00338	Prbg.g_01900
OG0000126	Syar.g_00887, Syar.g_00888	Prbg.g_00762
OG0000128	Syar.g_00482	Prbg.g_00778
OG0000129	Syar.g_00324	Prbg.g_00829
OG0000130	Syar.g_03040	Prbg.g_00800
OG0000131	Syar.g_02216, Syar.g_00078	Prbg.g_00922
OG0000132	Syar.g_00099	Prbg.g_00942
OG0000133	Syar.g_02543	Prbg.g_00100
OG0000134	Syar.g_02009, Syar.g_01165	Prbg.g_00139
OG0000135	Syar.g_00698	Prbg.g_00459
OG0000136	Syar.g_02874	Prbg.g_00161
OG0000137	Syar.g_01273	Prbg.g_00194
OG0000138	Syar.g_01486	Prbg.g_00214
OG0000139	Syar.g_03245, Syar.g_02348	Prbg.g_00254
OG0000140	Syar.g_02344, Syar.g_03246	Prbg.g_00255
OG0000141	Syar.g_02129	Prbg.g_00327
OG0000142	Syar.g_02418	Prbg.g_01422
OG0000143	Syar.g_02422	Prbg.g_01418
OG0000144	Syar.g_02441	Prbg.g_01404
OG0000145	Syar.g_01494, Syar.g_03205	Prbg.g_00461
OG0000146	Syar.g_02549	Prbg.g_00365
OG0000147	Syar.g_02550	Prbg.g_00364
OG0000148	Syar.g_02658	Prbg.g_01176
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbg.g_01208
OG0000150	Syar.g_02130	Prbg.g_01218
OG0000151	Syar.g_02038	Prbg.g_01094
OG0000152	Syar.g_02539	Prbg.g_01287
OG0000153	Syar.g_03283, Syar.g_02503	Prbg.g_01306
OG0000154	Syar.g_01800	Prbg.g_01326
OG0000155	Syar.g_01959	Prbg.g_01465
OG0000156	Syar.g_01517	Prbg.g_00466
OG0000157	Syar.g_01516	Prbg.g_00467
OG0000158	Syar.g_00650	Prbg.g_01829
OG0000159	Syar.g_02359, Syar.g_02762	Prbg.g_00809
OG0000160	Syar.g_02807	Prbg.g_00592
