Orthogroup	Syar	Prba
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prba.g_00211
OG0000004	Syar.g_02051	Prba.g_01622
OG0000004	Syar.g_02225, Syar.g_00842	Prba.g_00451
OG0000005	Syar.g_02952	Prba.g_00607
OG0000005	Syar.g_02909	Prba.g_00312
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prba.g_00460
OG0000007	Syar.g_01491	Prba.g_00964
OG0000007	Syar.g_02929	Prba.g_00226
OG0000008	Syar.g_02097	Prba.g_01131
OG0000008	Syar.g_00419, Syar.g_02048	Prba.g_01645
OG0000009	Syar.g_03116	Prba.g_01893
OG0000010	Syar.g_01272	Prba.g_01256
OG0000012	Syar.g_00690, Syar.g_02860	Prba.g_01694
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prba.g_00543
OG0000014	Syar.g_00825	Prba.g_00522
OG0000014	Syar.g_02736	Prba.g_00159
OG0000015	Syar.g_00451, Syar.g_00180	Prba.g_01538
OG0000016	Syar.g_02859	Prba.g_01806
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Prba.g_01719
OG0000018	Syar.g_01409	Prba.g_00083
OG0000019	Syar.g_00163	Prba.g_00468, Prba.g_01519
OG0000022	Syar.g_00835	Prba.g_00101
OG0000025	Syar.g_01811	Prba.g_00547, Prba.g_01464
OG0000026	Syar.g_00505	Prba.g_01824, Prba.g_01249
OG0000027	Syar.g_02055, Syar.g_02835	Prba.g_00991, Prba.g_01175
OG0000028	Syar.g_00718	Prba.g_01126, Prba.g_00536
OG0000031	Syar.g_00714	Prba.g_00173
OG0000034	Syar.g_00074, Syar.g_02790	Prba.g_01202
OG0000035	Syar.g_02809	Prba.g_00713
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prba.g_01897
OG0000038	Syar.g_00334, Syar.g_00336	Prba.g_00819
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prba.g_01631
OG0000040	Syar.g_02831	Prba.g_00251
OG0000040	Syar.g_00858	Prba.g_00084
OG0000042	Syar.g_00595, Syar.g_01970	Prba.g_00775
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prba.g_00002
OG0000048	Syar.g_00213	Prba.g_00868
OG0000051	Syar.g_01597	Prba.g_01168
OG0000053	Syar.g_01413	Prba.g_00693
OG0000054	Syar.g_02265	Prba.g_01711
OG0000055	Syar.g_01386	Prba.g_01518
OG0000056	Syar.g_01662	Prba.g_01120
OG0000057	Syar.g_01941, Syar.g_00006	Prba.g_01619
OG0000058	Syar.g_00648	Prba.g_00153
OG0000059	Syar.g_01024	Prba.g_00381
OG0000061	Syar.g_01539	Prba.g_00064
OG0000062	Syar.g_02911	Prba.g_00310
OG0000063	Syar.g_00509	Prba.g_01826
OG0000065	Syar.g_03119	Prba.g_01895
OG0000066	Syar.g_03187, Syar.g_02228	Prba.g_00922
OG0000067	Syar.g_02639	Prba.g_01499
OG0000068	Syar.g_02329, Syar.g_01461	Prba.g_00196
OG0000069	Syar.g_01716	Prba.g_00275
OG0000070	Syar.g_02223, Syar.g_03150	Prba.g_01011
OG0000071	Syar.g_02777	Prba.g_01192
OG0000072	Syar.g_00107, Syar.g_01140	Prba.g_00627
OG0000073	Syar.g_01364, Syar.g_01493	Prba.g_00962
OG0000075	Syar.g_03065, Syar.g_00659	Prba.g_01071
OG0000076	Syar.g_00608	Prba.g_00768
OG0000077	Syar.g_03051	Prba.g_01866
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prba.g_00458
OG0000079	Syar.g_00166	Prba.g_00471
OG0000081	Syar.g_01898	Prba.g_00930
OG0000082	Syar.g_02202	Prba.g_01731
OG0000085	Syar.g_02919	Prba.g_00233
OG0000086	Syar.g_03085	Prba.g_01876
OG0000087	Syar.g_03192, Syar.g_00068	Prba.g_01927
OG0000088	Syar.g_00101	Prba.g_00622
OG0000089	Syar.g_01162	Prba.g_00850
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prba.g_00928
OG0000091	Syar.g_01891, Syar.g_02426	Prba.g_01675
OG0000092	Syar.g_01960	Prba.g_01057
OG0000093	Syar.g_02623	Prba.g_01369
OG0000094	Syar.g_01789	Prba.g_01283
OG0000095	Syar.g_01932	Prba.g_01264
OG0000097	Syar.g_01706, Syar.g_00364	Prba.g_00022
OG0000098	Syar.g_02343	Prba.g_00214
OG0000099	Syar.g_00715	Prba.g_00155
OG0000100	Syar.g_02477	Prba.g_00314
OG0000101	Syar.g_01073, Syar.g_03154	Prba.g_00429
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prba.g_00773
OG0000103	Syar.g_00014, Syar.g_00452	Prba.g_01781
OG0000104	Syar.g_00466	Prba.g_01789
OG0000105	Syar.g_00218	Prba.g_00491
OG0000106	Syar.g_01748	Prba.g_00864
OG0000107	Syar.g_03290, Syar.g_00149	Prba.g_00880
OG0000108	Syar.g_01469	Prba.g_00981
OG0000109	Syar.g_03310, Syar.g_01485	Prba.g_00967
OG0000110	Syar.g_02295	Prba.g_01741
OG0000111	Syar.g_01940, Syar.g_00005	Prba.g_01618
OG0000112	Syar.g_03195, Syar.g_02548	Prba.g_01534
OG0000113	Syar.g_02664	Prba.g_01477
OG0000114	Syar.g_01616	Prba.g_01395
OG0000115	Syar.g_02854, Syar.g_01415	Prba.g_00743
OG0000116	Syar.g_01525, Syar.g_02255	Prba.g_00074
OG0000117	Syar.g_01969	Prba.g_01135
OG0000118	Syar.g_02793	Prba.g_01204
OG0000120	Syar.g_00713	Prba.g_00175
OG0000121	Syar.g_02806	Prba.g_00711
OG0000123	Syar.g_01079	Prba.g_00436
OG0000124	Syar.g_00586	Prba.g_00784
OG0000125	Syar.g_00338	Prba.g_01089, Prba.g_00821
OG0000126	Syar.g_00887, Syar.g_00888	Prba.g_01788
OG0000128	Syar.g_00482	Prba.g_01804
OG0000129	Syar.g_00324	Prba.g_01838
OG0000130	Syar.g_03040	Prba.g_01857
OG0000131	Syar.g_02216, Syar.g_00078	Prba.g_01933
OG0000132	Syar.g_00099	Prba.g_01952
OG0000133	Syar.g_02543	Prba.g_00538
OG0000134	Syar.g_02009, Syar.g_01165	Prba.g_00851
OG0000135	Syar.g_00698	Prba.g_00877
OG0000136	Syar.g_02874	Prba.g_01020
OG0000137	Syar.g_01273	Prba.g_00986
OG0000138	Syar.g_01486	Prba.g_00966
OG0000139	Syar.g_03245, Syar.g_02348	Prba.g_00924
OG0000140	Syar.g_02344, Syar.g_03246	Prba.g_00923
OG0000141	Syar.g_02129	Prba.g_01710
OG0000142	Syar.g_02418	Prba.g_01682
OG0000143	Syar.g_02422	Prba.g_01678
