Orthogroup	Prbk	Syar
OG0000001	Prbk.g_01196, Prbk.g_00170	Syar.g_00069
OG0000001	Prbk.g_00561, Prbk.g_02701	Syar.g_00070
OG0000001	Prbk.g_00630	Syar.g_02229
OG0000004	Prbk.g_01760	Syar.g_02051
OG0000004	Prbk.g_01134	Syar.g_02225, Syar.g_00842
OG0000005	Prbk.g_00933	Syar.g_02909
OG0000006	Prbk.g_02695	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbk.g_00907	Syar.g_02929
OG0000008	Prbk.g_01819	Syar.g_02097
OG0000008	Prbk.g_01820	Syar.g_02098
OG0000009	Prbk.g_01932, Prbk.g_00013	Syar.g_03116
OG0000010	Prbk.g_02112	Syar.g_01272
OG0000013	Prbk.g_00853	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbk.g_00454	Syar.g_00825
OG0000017	Prbk.g_01150	Syar.g_02180
OG0000017	Prbk.g_01142	Syar.g_02188
OG0000018	Prbk.g_01227	Syar.g_01409
OG0000019	Prbk.g_01644, Prbk.g_01004	Syar.g_00163
OG0000022	Prbk.g_00212, Prbk.g_01667	Syar.g_00835
OG0000025	Prbk.g_02531	Syar.g_01811
OG0000026	Prbk.g_01617	Syar.g_00505
OG0000028	Prbk.g_00469	Syar.g_00718
OG0000032	Prbk.g_01209	Syar.g_01390
OG0000032	Prbk.g_00480	Syar.g_00543
OG0000033	Prbk.g_00776	Syar.g_00105
OG0000034	Prbk.g_01171	Syar.g_00074, Syar.g_02790
OG0000035	Prbk.g_00259	Syar.g_02809
OG0000037	Prbk.g_00007	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbk.g_02164	Syar.g_00334
OG0000038	Prbk.g_02166	Syar.g_00336
OG0000039	Prbk.g_01385	Syar.g_02827
OG0000039	Prbk.g_00642	Syar.g_02151
OG0000042	Prbk.g_01495, Prbk.g_00140	Syar.g_00595, Syar.g_01970
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbk.g_01321	Syar.g_02592
OG0000046	Prbk.g_00854	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbk.g_00405	Syar.g_00213
OG0000051	Prbk.g_01709	Syar.g_01597
OG0000052	Prbk.g_00499	Syar.g_02742, Syar.g_02751
OG0000053	Prbk.g_01230	Syar.g_01413
OG0000056	Prbk.g_02591, Prbk.g_00841, Prbk.g_00094	Syar.g_01662
OG0000057	Prbk.g_01765	Syar.g_00006
OG0000058	Prbk.g_00479	Syar.g_00648
OG0000059	Prbk.g_00992	Syar.g_01024
OG0000060	Prbk.g_02058	Syar.g_01260
OG0000061	Prbk.g_01019	Syar.g_01539
OG0000062	Prbk.g_00931	Syar.g_02911, Syar.g_01439
OG0000063	Prbk.g_01613	Syar.g_00509
OG0000065	Prbk.g_00011	Syar.g_03119
OG0000066	Prbk.g_01094	Syar.g_03187, Syar.g_02228
OG0000067	Prbk.g_02468	Syar.g_02639
OG0000068	Prbk.g_02052	Syar.g_02329, Syar.g_01461
OG0000070	Prbk.g_00310	Syar.g_02223
OG0000071	Prbk.g_01183	Syar.g_02777
OG0000072	Prbk.g_00778	Syar.g_00107, Syar.g_01140
OG0000073	Prbk.g_01862	Syar.g_01493
OG0000075	Prbk.g_00514	Syar.g_03065, Syar.g_00659
OG0000076	Prbk.g_00237	Syar.g_00608
OG0000077	Prbk.g_00307	Syar.g_03051
OG0000078	Prbk.g_01515	Syar.g_01366
OG0000079	Prbk.g_01000	Syar.g_00166
OG0000081	Prbk.g_00733, Prbk.g_01772	Syar.g_01898
OG0000082	Prbk.g_01122	Syar.g_02202
OG0000085	Prbk.g_00919	Syar.g_02919
OG0000086	Prbk.g_01295	Syar.g_03085
OG0000087	Prbk.g_00559	Syar.g_03192, Syar.g_00068
OG0000088	Prbk.g_01836, Prbk.g_00773	Syar.g_00101
OG0000089	Prbk.g_00364	Syar.g_01162
OG0000090	Prbk.g_01080	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbk.g_02639	Syar.g_01891, Syar.g_02426
OG0000093	Prbk.g_02444	Syar.g_02623, Syar.g_00819
OG0000094	Prbk.g_02190	Syar.g_01789
OG0000095	Prbk.g_00056	Syar.g_01932
OG0000097	Prbk.g_00189	Syar.g_01706
OG0000098	Prbk.g_01199	Syar.g_02343
OG0000099	Prbk.g_00476	Syar.g_00715
OG0000100	Prbk.g_01360, Prbk.g_02498	Syar.g_02477
OG0000101	Prbk.g_00796	Syar.g_01073
OG0000101	Prbk.g_00944	Syar.g_03154
OG0000102	Prbk.g_01484	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbk.g_02260	Syar.g_00452, Syar.g_00014
OG0000104	Prbk.g_02274	Syar.g_00466
OG0000105	Prbk.g_00409	Syar.g_00218
OG0000106	Prbk.g_00925	Syar.g_01748
OG0000107	Prbk.g_01902	Syar.g_00149
OG0000108	Prbk.g_02061	Syar.g_01469
OG0000109	Prbk.g_02077	Syar.g_03310, Syar.g_01485
OG0000110	Prbk.g_01110	Syar.g_02295
OG0000111	Prbk.g_01766	Syar.g_01940
OG0000112	Prbk.g_02332	Syar.g_02548
OG0000113	Prbk.g_02493	Syar.g_02664
OG0000114	Prbk.g_02396	Syar.g_01616
OG0000115	Prbk.g_01234	Syar.g_02854, Syar.g_01415
OG0000116	Prbk.g_01034	Syar.g_01525, Syar.g_02255
OG0000117	Prbk.g_01496	Syar.g_01969
OG0000118	Prbk.g_01169	Syar.g_02793
OG0000120	Prbk.g_00477	Syar.g_00713
OG0000121	Prbk.g_00267, Prbk.g_00261	Syar.g_02806
OG0000123	Prbk.g_00805	Syar.g_01079
OG0000124	Prbk.g_01539	Syar.g_00586
OG0000125	Prbk.g_02168	Syar.g_00338
OG0000126	Prbk.g_02272	Syar.g_00887, Syar.g_00888
OG0000128	Prbk.g_02290	Syar.g_00482
OG0000129	Prbk.g_02156	Syar.g_00324
OG0000130	Prbk.g_01320	Syar.g_03040
OG0000131	Prbk.g_00751	Syar.g_00078, Syar.g_02216
OG0000132	Prbk.g_00771	Syar.g_00099
OG0000133	Prbk.g_00472	Syar.g_02543
OG0000134	Prbk.g_00361	Syar.g_02009, Syar.g_01165
OG0000135	Prbk.g_02209	Syar.g_00698
