Orthogroup	Prbk	Syab
OG0000000	Prbk.g_00165, Prbk.g_00167, Prbk.g_00166	Syab.g_01226
OG0000001	Prbk.g_01196, Prbk.g_00170	Syab.g_01549
OG0000001	Prbk.g_00561, Prbk.g_02701	Syab.g_02553, Syab.g_02555
OG0000001	Prbk.g_00630	Syab.g_00673
OG0000002	Prbk.g_02574, Prbk.g_01649	Syab.g_02285
OG0000003	Prbk.g_02121, Prbk.g_00049	Syab.g_01580
OG0000004	Prbk.g_01760	Syab.g_00549, Syab.g_01193
OG0000004	Prbk.g_01134	Syab.g_01911, Syab.g_02377
OG0000005	Prbk.g_00933	Syab.g_02806, Syab.g_02232
OG0000006	Prbk.g_02695	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbk.g_00907	Syab.g_02256
OG0000008	Prbk.g_01819	Syab.g_01755
OG0000008	Prbk.g_01820	Syab.g_01168
OG0000009	Prbk.g_01932, Prbk.g_00013	Syab.g_02498
OG0000010	Prbk.g_02112	Syab.g_00696
OG0000013	Prbk.g_00853	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbk.g_00454	Syab.g_00249
OG0000017	Prbk.g_01150	Syab.g_01945
OG0000017	Prbk.g_01142	Syab.g_01953
OG0000018	Prbk.g_01227	Syab.g_00742
OG0000019	Prbk.g_01644	Syab.g_00344
OG0000020	Prbk.g_01664, Prbk.g_01331, Prbk.g_02697	Syab.g_02230
OG0000022	Prbk.g_00212, Prbk.g_01667	Syab.g_01825
OG0000023	Prbk.g_02448	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbk.g_01780	Syab.g_01834
OG0000025	Prbk.g_02531	Syab.g_01705
OG0000026	Prbk.g_01617	Syab.g_00036
OG0000028	Prbk.g_00469	Syab.g_00234
OG0000030	Prbk.g_01532	Syab.g_00096
OG0000030	Prbk.g_01533	Syab.g_00095
OG0000032	Prbk.g_01209	Syab.g_00724
OG0000032	Prbk.g_00480	Syab.g_00149
OG0000033	Prbk.g_00776	Syab.g_02590
OG0000034	Prbk.g_01171	Syab.g_00900, Syab.g_02560
OG0000035	Prbk.g_00259	Syab.g_00778, Syab.g_00776
