Orthogroup	Prbk	Syaf
OG0000001	Prbk.g_01196, Prbk.g_00170	Syaf.g_01640
OG0000001	Prbk.g_00561, Prbk.g_02701	Syaf.g_00845
OG0000004	Prbk.g_01760	Syaf.g_01455
OG0000004	Prbk.g_01134	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbk.g_00933	Syaf.g_01057
OG0000006	Prbk.g_02695	Syaf.g_00179, Syaf.g_02778
OG0000007	Prbk.g_00907	Syaf.g_01033
OG0000008	Prbk.g_01819	Syaf.g_01479
OG0000008	Prbk.g_01820	Syaf.g_01480
OG0000009	Prbk.g_01932, Prbk.g_00013	Syaf.g_00905
OG0000010	Prbk.g_02112	Syaf.g_02499
OG0000011	Prbk.g_01851	Syaf.g_01532
OG0000013	Prbk.g_00853	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prbk.g_00454	Syaf.g_00280
OG0000015	Prbk.g_02558	Syaf.g_02120, Syaf.g_02121
OG0000017	Prbk.g_01150	Syaf.g_02554
OG0000017	Prbk.g_01142	Syaf.g_02561
OG0000018	Prbk.g_01227	Syaf.g_02451
OG0000019	Prbk.g_01644	Syaf.g_00193
OG0000020	Prbk.g_01664, Prbk.g_01331, Prbk.g_02697	Syaf.g_02187
OG0000021	Prbk.g_01960	Syaf.g_01726
OG0000021	Prbk.g_01137	Syaf.g_02773
OG0000022	Prbk.g_00212, Prbk.g_01667	Syaf.g_02256
OG0000023	Prbk.g_02448	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbk.g_01780	Syaf.g_01484
OG0000025	Prbk.g_02531	Syaf.g_01385
OG0000026	Prbk.g_01617	Syaf.g_00461
OG0000028	Prbk.g_00469	Syaf.g_00297
OG0000029	Prbk.g_00833	Syaf.g_01761
OG0000030	Prbk.g_01532	Syaf.g_00406
OG0000030	Prbk.g_01533	Syaf.g_00407
OG0000032	Prbk.g_01209	Syaf.g_02471
OG0000033	Prbk.g_00776	Syaf.g_00807
OG0000034	Prbk.g_01171	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbk.g_00259	Syaf.g_02412
OG0000036	Prbk.g_00394, Prbk.g_01942, Prbk.g_01040, Prbk.g_00799, Prbk.g_00790, Prbk.g_00075, Prbk.g_01949, Prbk.g_01284, Prbk.g_02015, Prbk.g_01948	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127
OG0000037	Prbk.g_00007	Syaf.g_00899
OG0000038	Prbk.g_02164	Syaf.g_00642
OG0000041	Prbk.g_01406	Syaf.g_01171
OG0000042	Prbk.g_01495, Prbk.g_00140	Syaf.g_00403
OG0000045	Prbk.g_01321	Syaf.g_00979
OG0000046	Prbk.g_00854	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045
OG0000047	Prbk.g_02565, Prbk.g_01202	Syaf.g_00030
OG0000048	Prbk.g_00405	Syaf.g_00230
OG0000051	Prbk.g_01709	Syaf.g_00972
OG0000052	Prbk.g_00499	Syaf.g_00335
OG0000053	Prbk.g_01230	Syaf.g_02447
OG0000054	Prbk.g_01153	Syaf.g_02376
OG0000057	Prbk.g_01765	Syaf.g_01452
OG0000059	Prbk.g_00533	Syaf.g_00143
OG0000060	Prbk.g_02058	Syaf.g_02726
OG0000061	Prbk.g_01019	Syaf.g_01288
OG0000062	Prbk.g_00931	Syaf.g_01055, Syaf.g_02167
OG0000063	Prbk.g_01613	Syaf.g_00457
OG0000065	Prbk.g_00011	Syaf.g_00903
OG0000066	Prbk.g_01094	Syaf.g_02643
OG0000067	Prbk.g_02468	Syaf.g_02049
OG0000068	Prbk.g_02052	Syaf.g_02733
OG0000070	Prbk.g_00310	Syaf.g_01237
OG0000071	Prbk.g_01183	Syaf.g_01254
OG0000072	Prbk.g_00778	Syaf.g_00805
OG0000073	Prbk.g_01862	Syaf.g_02700
OG0000075	Prbk.g_00514	Syaf.g_00353
OG0000076	Prbk.g_00237	Syaf.g_00388
OG0000077	Prbk.g_01308	Syaf.g_00951
OG0000078	Prbk.g_01515	Syaf.g_02782
OG0000079	Prbk.g_01000	Syaf.g_00197
OG0000081	Prbk.g_01772	Syaf.g_02776
OG0000082	Prbk.g_01122	Syaf.g_02576
OG0000084	Prbk.g_00255	Syaf.g_02409
OG0000085	Prbk.g_00919	Syaf.g_01048
OG0000086	Prbk.g_01295	Syaf.g_00932
OG0000087	Prbk.g_00559	Syaf.g_00848
OG0000088	Prbk.g_01836, Prbk.g_00773	Syaf.g_00811
OG0000089	Prbk.g_00364	Syaf.g_02807
OG0000090	Prbk.g_01080	Syaf.g_02654
OG0000091	Prbk.g_02639	Syaf.g_02302
OG0000093	Prbk.g_02444	Syaf.g_02065, Syaf.g_01775
OG0000095	Prbk.g_00056	Syaf.g_01442
OG0000097	Prbk.g_00189	Syaf.g_01574
OG0000098	Prbk.g_01199	Syaf.g_01637
OG0000099	Prbk.g_00476	Syaf.g_00312
OG0000100	Prbk.g_01360, Prbk.g_02498	Syaf.g_02017
OG0000101	Prbk.g_00944	Syaf.g_00093
OG0000102	Prbk.g_01484	Syaf.g_00393
OG0000103	Prbk.g_02260	Syaf.g_00520
OG0000104	Prbk.g_02274	Syaf.g_00502
OG0000105	Prbk.g_00409	Syaf.g_00235
OG0000106	Prbk.g_00925	Syaf.g_01745
OG0000107	Prbk.g_01902	Syaf.g_00758
OG0000108	Prbk.g_02061	Syaf.g_02721
OG0000109	Prbk.g_02077	Syaf.g_02706
OG0000110	Prbk.g_01110	Syaf.g_02589
OG0000112	Prbk.g_02332	Syaf.g_01852
OG0000113	Prbk.g_02493	Syaf.g_02022
OG0000114	Prbk.g_02396	Syaf.g_02103
OG0000115	Prbk.g_01234	Syaf.g_02445
OG0000116	Prbk.g_01034	Syaf.g_01276
OG0000117	Prbk.g_01496	Syaf.g_01605
OG0000118	Prbk.g_01169	Syaf.g_02544
OG0000120	Prbk.g_00477	Syaf.g_00313
OG0000121	Prbk.g_00267, Prbk.g_00261	Syaf.g_02419
OG0000123	Prbk.g_00805	Syaf.g_00086
OG0000124	Prbk.g_01539	Syaf.g_00414
OG0000125	Prbk.g_02168	Syaf.g_00640
OG0000126	Prbk.g_02272	Syaf.g_00504
OG0000127	Prbk.g_01101, Prbk.g_01852	Syaf.g_01541
OG0000128	Prbk.g_02290	Syaf.g_00486
OG0000129	Prbk.g_02156	Syaf.g_00651
OG0000130	Prbk.g_01320	Syaf.g_00963
OG0000131	Prbk.g_00751	Syaf.g_00833
OG0000132	Prbk.g_00771	Syaf.g_00813
OG0000133	Prbk.g_00472	Syaf.g_01857
OG0000134	Prbk.g_00361	Syaf.g_02804
OG0000135	Prbk.g_02209	Syaf.g_00605
OG0000136	Prbk.g_00323	Syaf.g_01224
OG0000137	Prbk.g_02113	Syaf.g_02498
OG0000138	Prbk.g_02078	Syaf.g_02705
OG0000139	Prbk.g_01086	Syaf.g_02648
OG0000140	Prbk.g_01092	Syaf.g_02646
OG0000141	Prbk.g_01154	Syaf.g_02375
