Orthogroup	Prbk	Pras
OG0000000	Prbk.g_00165	Pras.g_00470
OG0000000	Prbk.g_00167, Prbk.g_00166	Pras.g_00182, Pras.g_00471
OG0000001	Prbk.g_01196, Prbk.g_00170	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000002	Prbk.g_02574	Pras.g_00243
OG0000002	Prbk.g_01649	Pras.g_01554
OG0000004	Prbk.g_01760	Pras.g_01571
OG0000004	Prbk.g_01134	Pras.g_01084
OG0000005	Prbk.g_00933	Pras.g_00429
OG0000006	Prbk.g_02695	Pras.g_00148, Pras.g_01093
OG0000007	Prbk.g_00907	Pras.g_00550
OG0000009	Prbk.g_01932, Prbk.g_00013	Pras.g_00956
OG0000010	Prbk.g_02112	Pras.g_01352
OG0000011	Prbk.g_01851	Pras.g_00176, Pras.g_01289
OG0000012	Prbk.g_02610	Pras.g_01499
OG0000013	Prbk.g_00853	Pras.g_01179
OG0000014	Prbk.g_00454	Pras.g_01158
OG0000015	Prbk.g_02558	Pras.g_00127
OG0000017	Prbk.g_01142	Pras.g_01474
OG0000018	Prbk.g_01227	Pras.g_00037, Pras.g_01728
OG0000019	Prbk.g_01644	Pras.g_01101, Pras.g_01681
OG0000020	Prbk.g_01664	Pras.g_00001
OG0000020	Prbk.g_01331, Prbk.g_02697	Pras.g_00530
OG0000021	Prbk.g_01960	Pras.g_00507, Pras.g_01218
OG0000022	Prbk.g_00212	Pras.g_01662
OG0000022	Prbk.g_01667	Pras.g_00019
OG0000023	Prbk.g_02448	Pras.g_01213
OG0000024	Prbk.g_01780	Pras.g_01645, Pras.g_01551
OG0000025	Prbk.g_02531	Pras.g_01735, Pras.g_01183
OG0000026	Prbk.g_01617	Pras.g_00873, Pras.g_01949
OG0000028	Prbk.g_00469	Pras.g_01172
OG0000029	Prbk.g_00833	Pras.g_01653
OG0000030	Prbk.g_01532, Prbk.g_01533	Pras.g_00753
OG0000032	Prbk.g_00480	Pras.g_00326
OG0000033	Prbk.g_00776	Pras.g_01020
OG0000034	Prbk.g_01171	Pras.g_00219
OG0000035	Prbk.g_00259	Pras.g_00350
OG0000037	Prbk.g_00007	Pras.g_00960
OG0000038	Prbk.g_02164, Prbk.g_02166	Pras.g_00795
OG0000039	Prbk.g_01385, Prbk.g_00642	Pras.g_01562
OG0000041	Prbk.g_01406	Pras.g_00597
OG0000042	Prbk.g_01495, Prbk.g_00140	Pras.g_00750
OG0000045	Prbk.g_01321	Pras.g_00509, Pras.g_01224
OG0000047	Prbk.g_02565	Pras.g_01263
OG0000047	Prbk.g_01202	Pras.g_01182
OG0000048	Prbk.g_00405	Pras.g_01227
OG0000051	Prbk.g_01709	Pras.g_00179, Pras.g_00508
OG0000052	Prbk.g_00499	Pras.g_00285
OG0000053	Prbk.g_01230	Pras.g_00886, Pras.g_00370
OG0000054	Prbk.g_01153	Pras.g_01482
OG0000056	Prbk.g_02591	Pras.g_00881
OG0000057	Prbk.g_01765	Pras.g_01574
OG0000059	Prbk.g_00533	Pras.g_00637
OG0000062	Prbk.g_00931	Pras.g_00431
OG0000063	Prbk.g_01613	Pras.g_00875
OG0000065	Prbk.g_00011	Pras.g_00958
OG0000066	Prbk.g_01094	Pras.g_01416
OG0000067	Prbk.g_02468	Pras.g_01701, Pras.g_00311
OG0000068	Prbk.g_02052	Pras.g_00250
OG0000070	Prbk.g_00310	Pras.g_01328
OG0000071	Prbk.g_01183	Pras.g_00209
OG0000072	Prbk.g_00778	Pras.g_01022
OG0000073	Prbk.g_01862	Pras.g_01377
OG0000075	Prbk.g_00514	Pras.g_00719
OG0000076	Prbk.g_00237	Pras.g_00883, Pras.g_00743
OG0000077	Prbk.g_01308	Pras.g_00929
OG0000078	Prbk.g_01515	Pras.g_01091
OG0000079	Prbk.g_01000	Pras.g_01104
OG0000081	Prbk.g_01772	Pras.g_01408
OG0000082	Prbk.g_01122	Pras.g_01462
OG0000084	Prbk.g_00255	Pras.g_00346
OG0000085	Prbk.g_00919	Pras.g_00543
OG0000086	Prbk.g_01295	Pras.g_00939
OG0000087	Prbk.g_00559	Pras.g_00990
OG0000088	Prbk.g_00773	Pras.g_01017
OG0000089	Prbk.g_00364	Pras.g_01209
OG0000090	Prbk.g_01080	Pras.g_01410
OG0000091	Prbk.g_02639	Pras.g_01518
OG0000093	Prbk.g_02444	Pras.g_01827
OG0000094	Prbk.g_02190	Pras.g_01915
OG0000097	Prbk.g_00189	Pras.g_00098
OG0000098	Prbk.g_01199	Pras.g_00232
OG0000099	Prbk.g_00476	Pras.g_00294
OG0000100	Prbk.g_01360, Prbk.g_02498	Pras.g_00427
OG0000101	Prbk.g_00796, Prbk.g_00944	Pras.g_00687
OG0000102	Prbk.g_01484	Pras.g_00748
OG0000103	Prbk.g_02260	Pras.g_00829
OG0000104	Prbk.g_02274	Pras.g_00838
OG0000105	Prbk.g_00409	Pras.g_01126
OG0000106	Prbk.g_00925	Pras.g_01223
OG0000108	Prbk.g_02061	Pras.g_01358
OG0000109	Prbk.g_02077	Pras.g_01372
OG0000110	Prbk.g_01110	Pras.g_01451
OG0000111	Prbk.g_01766	Pras.g_01575
OG0000112	Prbk.g_02332	Pras.g_01665
OG0000113	Prbk.g_02493	Pras.g_01723
OG0000114	Prbk.g_02396	Pras.g_01801
OG0000115	Prbk.g_01234	Pras.g_01994
OG0000116	Prbk.g_01034	Pras.g_00046
OG0000117	Prbk.g_01496	Pras.g_00150
OG0000118	Prbk.g_01169	Pras.g_00221, Pras.g_00222
OG0000119	Prbk.g_01746, Prbk.g_01786	Pras.g_00246
OG0000120	Prbk.g_00477	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Prbk.g_00267, Prbk.g_00261	Pras.g_00352
OG0000122	Prbk.g_02664	Pras.g_00391
OG0000123	Prbk.g_00805	Pras.g_00694
OG0000124	Prbk.g_01539	Pras.g_00759
