Orthogroup	Prbk	Prbj
OG0000000	Prbk.g_00165	Prbj.g_00164
OG0000000	Prbk.g_00167	Prbj.g_00166
OG0000000	Prbk.g_00166	Prbj.g_00165
OG0000001	Prbk.g_01196	Prbj.g_00672
OG0000001	Prbk.g_00170	Prbj.g_00169
OG0000001	Prbk.g_00561	Prbj.g_01549
OG0000001	Prbk.g_02701	Prbj.g_02662
OG0000001	Prbk.g_00630	Prbj.g_02690
OG0000002	Prbk.g_02574	Prbj.g_02517
OG0000002	Prbk.g_01649	Prbj.g_00030
OG0000003	Prbk.g_02222	Prbj.g_02017
OG0000003	Prbk.g_01375	Prbj.g_00170
OG0000003	Prbk.g_00214	Prbj.g_01574
OG0000003	Prbk.g_02704	Prbj.g_02693
OG0000003	Prbk.g_02705	Prbj.g_02694
OG0000003	Prbk.g_00332	Prbj.g_00096
OG0000003	Prbk.g_01523	Prbj.g_02605
OG0000003	Prbk.g_00695	Prbj.g_00226
OG0000003	Prbk.g_01676	Prbj.g_00059
OG0000003	Prbk.g_01675	Prbj.g_00058
OG0000003	Prbk.g_00349	Prbj.g_00079
OG0000003	Prbk.g_00999	Prbj.g_01354
OG0000003	Prbk.g_02681	Prbj.g_01356
OG0000003	Prbk.g_02121	Prbj.g_01916
OG0000003	Prbk.g_00049	Prbj.g_01831
OG0000004	Prbk.g_01760	Prbj.g_00754
OG0000004	Prbk.g_01134	Prbj.g_01777
OG0000005	Prbk.g_00933	Prbj.g_00883
OG0000006	Prbk.g_02695	Prbj.g_02699
OG0000007	Prbk.g_00907	Prbj.g_00857
OG0000008	Prbk.g_01819	Prbj.g_00929
OG0000008	Prbk.g_01820	Prbj.g_00928
OG0000009	Prbk.g_01932	Prbj.g_01300
OG0000009	Prbk.g_00013	Prbj.g_00618
OG0000010	Prbk.g_02112	Prbj.g_00129
OG0000011	Prbk.g_01851	Prbj.g_00897
OG0000012	Prbk.g_02610	Prbj.g_02552
OG0000013	Prbk.g_00853	Prbj.g_00359
OG0000014	Prbk.g_00454	Prbj.g_01442
OG0000015	Prbk.g_02558	Prbj.g_02502
OG0000017	Prbk.g_01150	Prbj.g_01761
OG0000017	Prbk.g_01142	Prbj.g_01769
OG0000018	Prbk.g_01227	Prbj.g_00641
OG0000019	Prbk.g_01644	Prbj.g_00025
OG0000019	Prbk.g_01004	Prbj.g_01349
OG0000020	Prbk.g_01664	Prbj.g_00046
OG0000020	Prbk.g_01331	Prbj.g_00214
OG0000020	Prbk.g_02697	Prbj.g_02701
OG0000021	Prbk.g_01960	Prbj.g_01121
OG0000021	Prbk.g_01137	Prbj.g_01774
OG0000022	Prbk.g_00212	Prbj.g_01572
OG0000022	Prbk.g_01667	Prbj.g_00050
OG0000023	Prbk.g_02448	Prbj.g_02392
OG0000024	Prbk.g_01780	Prbj.g_00773
OG0000025	Prbk.g_02531	Prbj.g_02475
OG0000026	Prbk.g_01617	Prbj.g_01204
