Orthogroup	Prbk	Prbe
OG0000000	Prbk.g_00165	Prbe.g_01119
OG0000001	Prbk.g_01196, Prbk.g_00170	Prbe.g_00400, Prbe.g_00112
OG0000002	Prbk.g_02574	Prbe.g_01285, Prbe.g_01290
OG0000002	Prbk.g_01649	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Prbk.g_01760	Prbe.g_01203
OG0000004	Prbk.g_01134	Prbe.g_01784
OG0000005	Prbk.g_00933	Prbe.g_00228
OG0000006	Prbk.g_02695	Prbe.g_01794
OG0000007	Prbk.g_00907	Prbe.g_00985
OG0000008	Prbk.g_01819	Prbe.g_00036
OG0000008	Prbk.g_01820	Prbe.g_00037
OG0000010	Prbk.g_02112	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000012	Prbk.g_02610	Prbe.g_00511
OG0000013	Prbk.g_00853	Prbe.g_01879
OG0000014	Prbk.g_00454	Prbe.g_01861
OG0000015	Prbk.g_02558	Prbe.g_01046, Prbe.g_01000
OG0000017	Prbk.g_01150	Prbe.g_00529
OG0000017	Prbk.g_01142	Prbe.g_00536
OG0000018	Prbk.g_01227	Prbe.g_01571, Prbe.g_01250
OG0000019	Prbk.g_01644	Prbe.g_01802, Prbe.g_01573
OG0000020	Prbk.g_01664	Prbe.g_00204
OG0000020	Prbk.g_01331, Prbk.g_02697	Prbe.g_00018
OG0000021	Prbk.g_01960	Prbe.g_00203
OG0000021	Prbk.g_01137	Prbe.g_01208
OG0000022	Prbk.g_00212	Prbe.g_00220
OG0000023	Prbk.g_02448	Prbe.g_00062
OG0000024	Prbk.g_01780	Prbe.g_01415, Prbe.g_00449
OG0000025	Prbk.g_02531	Prbe.g_01258
OG0000026	Prbk.g_01617	Prbe.g_00132
OG0000029	Prbk.g_00833	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Prbk.g_01532, Prbk.g_01533	Prbe.g_00763
OG0000031	Prbk.g_00539, Prbk.g_00534	Prbe.g_00352
OG0000032	Prbk.g_01209	Prbe.g_00272
OG0000033	Prbk.g_00776	Prbe.g_01717
OG0000034	Prbk.g_01171	Prbe.g_00882
OG0000035	Prbk.g_00259	Prbe.g_00311
OG0000037	Prbk.g_00007	Prbe.g_01651
OG0000038	Prbk.g_02164, Prbk.g_02166	Prbe.g_01156
OG0000039	Prbk.g_01385, Prbk.g_00642	Prbe.g_00461
OG0000041	Prbk.g_01406	Prbe.g_00938
OG0000042	Prbk.g_01495, Prbk.g_00140	Prbe.g_00766
OG0000045	Prbk.g_01321	Prbe.g_01593
OG0000046	Prbk.g_00854	Prbe.g_01880
OG0000047	Prbk.g_02565	Prbe.g_01921
OG0000048	Prbk.g_00405	Prbe.g_00906, Prbe.g_01825
OG0000051	Prbk.g_01709	Prbe.g_00720
OG0000052	Prbk.g_00499	Prbe.g_00333
OG0000053	Prbk.g_01230	Prbe.g_01040, Prbe.g_00290
OG0000054	Prbk.g_01153	Prbe.g_00527
OG0000057	Prbk.g_01765	Prbe.g_01206
OG0000059	Prbk.g_00533	Prbe.g_01094
OG0000062	Prbk.g_00931	Prbe.g_00226
OG0000063	Prbk.g_01613	Prbe.g_00021
OG0000065	Prbk.g_00011	Prbe.g_01649
OG0000066	Prbk.g_01094	Prbe.g_00596, Prbe.g_01114
OG0000067	Prbk.g_02468	Prbe.g_01222
OG0000068	Prbk.g_02052	Prbe.g_00373
OG0000070	Prbk.g_00310	Prbe.g_01948
OG0000071	Prbk.g_01183	Prbe.g_00893
OG0000072	Prbk.g_00778	Prbe.g_01719
OG0000073	Prbk.g_01862	Prbe.g_00633
OG0000075	Prbk.g_00514	Prbe.g_00800
OG0000076	Prbk.g_00237	Prbe.g_00774
OG0000077	Prbk.g_01308	Prbe.g_00183
OG0000078	Prbk.g_01515	Prbe.g_01792
OG0000079	Prbk.g_01000	Prbe.g_01805
OG0000081	Prbk.g_01772	Prbe.g_00604
OG0000082	Prbk.g_01122	Prbe.g_00549, Prbe.g_00996
OG0000084	Prbk.g_00255	Prbe.g_00314
OG0000085	Prbk.g_00919	Prbe.g_00993, Prbe.g_00007
OG0000086	Prbk.g_01295	Prbe.g_00192
OG0000087	Prbk.g_00559	Prbe.g_01683
OG0000088	Prbk.g_00773	Prbe.g_01714
OG0000089	Prbk.g_00364	Prbe.g_01915
OG0000090	Prbk.g_01080	Prbe.g_00602
OG0000091	Prbk.g_02639	Prbe.g_01477
OG0000093	Prbk.g_02444	Prbe.g_01448
OG0000094	Prbk.g_02190	Prbe.g_01399
OG0000097	Prbk.g_00189	Prbe.g_01503
OG0000098	Prbk.g_01199	Prbe.g_00397
OG0000099	Prbk.g_00476	Prbe.g_00350
OG0000100	Prbk.g_01360, Prbk.g_02498	Prbe.g_00232
OG0000101	Prbk.g_00796, Prbk.g_00944	Prbe.g_00836
OG0000102	Prbk.g_01484	Prbe.g_00769
OG0000103	Prbk.g_02260	Prbe.g_01195
OG0000104	Prbk.g_02274	Prbe.g_01061
OG0000105	Prbk.g_00409	Prbe.g_01828
OG0000106	Prbk.g_00925	Prbe.g_00740
OG0000108	Prbk.g_02061	Prbe.g_00653
OG0000109	Prbk.g_02077	Prbe.g_00639
OG0000110	Prbk.g_01110	Prbe.g_00560
OG0000111	Prbk.g_01766	Prbe.g_01207
OG0000112	Prbk.g_02332	Prbe.g_00487
OG0000113	Prbk.g_02493	Prbe.g_01245
OG0000114	Prbk.g_02396	Prbe.g_00417
OG0000115	Prbk.g_01234	Prbe.g_01618
OG0000116	Prbk.g_01034	Prbe.g_01560
OG0000117	Prbk.g_01496	Prbe.g_01522
OG0000118	Prbk.g_01169	Prbe.g_00880
OG0000119	Prbk.g_01746	Prbe.g_01603
OG0000119	Prbk.g_01786	Prbe.g_00214
OG0000120	Prbk.g_00477	Prbe.g_00353
OG0000121	Prbk.g_00267, Prbk.g_00261	Prbe.g_00309
OG0000122	Prbk.g_02664	Prbe.g_00268
OG0000123	Prbk.g_00805	Prbe.g_00829
OG0000124	Prbk.g_01539	Prbe.g_00745
OG0000125	Prbk.g_02168	Prbe.g_01158
OG0000126	Prbk.g_02272	Prbe.g_01060
OG0000128	Prbk.g_02290	Prbe.g_01076
OG0000129	Prbk.g_02156	Prbe.g_00145
OG0000130	Prbk.g_01320	Prbe.g_00174
OG0000131	Prbk.g_00751	Prbe.g_01692
OG0000132	Prbk.g_00771	Prbe.g_01712
OG0000133	Prbk.g_00472	Prbe.g_01875
OG0000134	Prbk.g_00361	Prbe.g_01917
OG0000135	Prbk.g_02209	Prbe.g_00911
OG0000136	Prbk.g_00323	Prbe.g_01939
OG0000137	Prbk.g_02113	Prbe.g_00658
OG0000138	Prbk.g_02078	Prbe.g_00638
OG0000139	Prbk.g_01086	Prbe.g_00598
OG0000140	Prbk.g_01092	Prbe.g_00597
OG0000141	Prbk.g_01154	Prbe.g_00526
OG0000142	Prbk.g_02631	Prbe.g_01485
OG0000143	Prbk.g_02635	Prbe.g_01481
OG0000144	Prbk.g_00739	Prbe.g_01467
OG0000145	Prbk.g_01863	Prbe.g_00909
OG0000146	Prbk.g_02333	Prbe.g_00488
OG0000147	Prbk.g_02334	Prbe.g_00489
OG0000148	Prbk.g_02487	Prbe.g_01239
OG0000149	Prbk.g_02544	Prbe.g_01271
OG0000150	Prbk.g_02567	Prbe.g_01281
OG0000151	Prbk.g_02417	Prbe.g_00427
OG0000152	Prbk.g_02324	Prbe.g_01350
OG0000153	Prbk.g_02297	Prbe.g_01369
OG0000154	Prbk.g_00584	Prbe.g_01389
OG0000155	Prbk.g_00099	Prbe.g_01528
OG0000156	Prbk.g_00164	Prbe.g_00904
OG0000157	Prbk.g_00163	Prbe.g_00903
OG0000158	Prbk.g_00526	Prbe.g_00792
OG0000160	Prbk.g_00260	Prbe.g_00310
OG0000161	Prbk.g_00274	Prbe.g_00304
OG0000162	Prbk.g_00280	Prbe.g_00298
OG0000163	Prbk.g_02002	Prbe.g_00259
OG0000164	Prbk.g_01432	Prbe.g_00961
