Orthogroup	Prbk	Syam
OG0000001	Prbk.g_01196, Prbk.g_00170	Syam.g_00946
OG0000002	Prbk.g_02574, Prbk.g_01649	Syam.g_00931
OG0000004	Prbk.g_01760	Syam.g_00787
OG0000004	Prbk.g_01134	Syam.g_01499, Syam.g_00501
OG0000005	Prbk.g_00933	Syam.g_01970
OG0000006	Prbk.g_02695	Syam.g_00286, Syam.g_00518
OG0000007	Prbk.g_00907	Syam.g_01990
OG0000008	Prbk.g_01819	Syam.g_00810
OG0000008	Prbk.g_01820	Syam.g_00811
OG0000009	Prbk.g_01932, Prbk.g_00013	Syam.g_02119
OG0000010	Prbk.g_02112	Syam.g_01669
OG0000012	Prbk.g_02610	Syam.g_01492
OG0000013	Prbk.g_00853	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prbk.g_00454	Syam.g_00191
OG0000015	Prbk.g_02558	Syam.g_01218, Syam.g_01362
OG0000017	Prbk.g_01150	Syam.g_01708
OG0000017	Prbk.g_01142	Syam.g_01715
OG0000018	Prbk.g_01227	Syam.g_01640
OG0000019	Prbk.g_01644	Syam.g_00274
OG0000021	Prbk.g_01137	Syam.g_00523
OG0000022	Prbk.g_00212, Prbk.g_01667	Syam.g_01418
OG0000023	Prbk.g_02448	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbk.g_01780	Syam.g_00815
OG0000025	Prbk.g_02531	Syam.g_00740
OG0000026	Prbk.g_01617	Syam.g_00035
OG0000028	Prbk.g_00469	Syam.g_00176
OG0000029	Prbk.g_00833	Syam.g_01390, Syam.g_01055
OG0000030	Prbk.g_01532	Syam.g_00104
OG0000030	Prbk.g_01533	Syam.g_00103
OG0000032	Prbk.g_01209	Syam.g_01660
OG0000032	Prbk.g_00480	Syam.g_00079
OG0000033	Prbk.g_00776	Syam.g_02217
OG0000034	Prbk.g_01171	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbk.g_00259	Syam.g_01612
OG0000037	Prbk.g_00007	Syam.g_02125
OG0000038	Prbk.g_02164	Syam.g_02317
OG0000041	Prbk.g_01406	Syam.g_01899
OG0000042	Prbk.g_01495, Prbk.g_00140	Syam.g_00107
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syam.g_02052
OG0000045	Prbk.g_01321	Syam.g_02028
OG0000046	Prbk.g_00854	Syam.g_00403, Syam.g_00410, Syam.g_00420
OG0000047	Prbk.g_02565, Prbk.g_01202	Syam.g_00434
OG0000048	Prbk.g_00405	Syam.g_00243
OG0000052	Prbk.g_00499	Syam.g_00161
OG0000053	Prbk.g_01230	Syam.g_01636
OG0000054	Prbk.g_01153	Syam.g_01515
OG0000057	Prbk.g_01765	Syam.g_00784
OG0000059	Prbk.g_00533	Syam.g_00320
OG0000061	Prbk.g_01019	Syam.g_01795
OG0000062	Prbk.g_00931	Syam.g_01972
OG0000063	Prbk.g_01613	Syam.g_00039
OG0000065	Prbk.g_00011	Syam.g_02121
OG0000066	Prbk.g_01094	Syam.g_00552, Syam.g_00662
OG0000067	Prbk.g_02468	Syam.g_01290
OG0000068	Prbk.g_02052	Syam.g_00575
OG0000070	Prbk.g_00310	Syam.g_01847
OG0000071	Prbk.g_01183	Syam.g_01830
OG0000072	Prbk.g_00778	Syam.g_02219
OG0000073	Prbk.g_01862	Syam.g_00604
OG0000075	Prbk.g_00514	Syam.g_00148
OG0000076	Prbk.g_00237	Syam.g_00115
OG0000077	Prbk.g_01308, Prbk.g_00307	Syam.g_02074
OG0000078	Prbk.g_01515	Syam.g_00514
OG0000079	Prbk.g_01000	Syam.g_00270
OG0000081	Prbk.g_00733	Syam.g_01918
OG0000081	Prbk.g_01772	Syam.g_00520
OG0000082	Prbk.g_01122	Syam.g_01730
OG0000085	Prbk.g_00919	Syam.g_01979
OG0000086	Prbk.g_01295	Syam.g_02092
OG0000087	Prbk.g_00559	Syam.g_02175
OG0000088	Prbk.g_01836, Prbk.g_00773	Syam.g_02213
OG0000089	Prbk.g_00364	Syam.g_00489
OG0000090	Prbk.g_01080	Syam.g_00651
OG0000091	Prbk.g_02639	Syam.g_01460
