Orthogroup	Prbk	Syan
OG0000001	Prbk.g_00561, Prbk.g_02701	Syan.g_02266
OG0000001	Prbk.g_00630	Syan.g_02528
OG0000004	Prbk.g_01760	Syan.g_00183
OG0000004	Prbk.g_01134	Syan.g_00989
OG0000005	Prbk.g_00933	Syan.g_01378
OG0000006	Prbk.g_02695	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbk.g_00907	Syan.g_01400
OG0000008	Prbk.g_01819	Syan.g_00640, Syan.g_02532
OG0000008	Prbk.g_01820	Syan.g_00641, Syan.g_02531
OG0000009	Prbk.g_01932, Prbk.g_00013	Syan.g_02972
OG0000010	Prbk.g_02112	Syan.g_02847
OG0000012	Prbk.g_02610	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbk.g_00853	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbk.g_00454	Syan.g_01987
OG0000017	Prbk.g_01150	Syan.g_01013
OG0000017	Prbk.g_01142	Syan.g_01006
OG0000018	Prbk.g_01227	Syan.g_02816
OG0000019	Prbk.g_01644, Prbk.g_01004	Syan.g_02088
OG0000021	Prbk.g_01960, Prbk.g_01137	Syan.g_01001
OG0000022	Prbk.g_00212, Prbk.g_01667	Syan.g_00089
OG0000023	Prbk.g_02448	Syan.g_00404
OG0000025	Prbk.g_02531	Syan.g_00374
OG0000026	Prbk.g_01617	Syan.g_01743
OG0000028	Prbk.g_00469	Syan.g_01971
OG0000030	Prbk.g_01532	Syan.g_01884
OG0000030	Prbk.g_01533	Syan.g_01883
OG0000032	Prbk.g_01209	Syan.g_02835
OG0000032	Prbk.g_00480	Syan.g_01819
OG0000033	Prbk.g_00776	Syan.g_03036
OG0000034	Prbk.g_01171	Syan.g_01227, Syan.g_03003
OG0000035	Prbk.g_00259	Syan.g_01276
OG0000037	Prbk.g_00007	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbk.g_02164	Syan.g_01569
OG0000038	Prbk.g_02166	Syan.g_01571
OG0000039	Prbk.g_00642	Syan.g_02771
OG0000041	Prbk.g_01406	Syan.g_01465
OG0000042	Prbk.g_01495, Prbk.g_00140	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syan.g_00431, Syan.g_00435
OG0000045	Prbk.g_01321	Syan.g_00086, Syan.g_00151
OG0000046	Prbk.g_00854	Syan.g_02157, Syan.g_02160
OG0000048	Prbk.g_00405	Syan.g_02036
OG0000053	Prbk.g_01230	Syan.g_02812
OG0000054	Prbk.g_01153	Syan.g_02503
OG0000058	Prbk.g_00479	Syan.g_01964
OG0000059	Prbk.g_00992	Syan.g_02255
OG0000060	Prbk.g_02058	Syan.g_02856
OG0000060	Prbk.g_01286	Syan.g_02250
OG0000061	Prbk.g_01019	Syan.g_02696
OG0000062	Prbk.g_00931	Syan.g_01380, Syan.g_00098
OG0000063	Prbk.g_01613	Syan.g_01739
OG0000065	Prbk.g_00011	Syan.g_02974
OG0000066	Prbk.g_01094	Syan.g_01156
OG0000067	Prbk.g_02468	Syan.g_00690
OG0000068	Prbk.g_02052	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Prbk.g_00310	Syan.g_00289
OG0000071	Prbk.g_01183	Syan.g_01213
OG0000072	Prbk.g_00778	Syan.g_03038, Syan.g_02999
OG0000073	Prbk.g_01862	Syan.g_02741
OG0000075	Prbk.g_00514	Syan.g_00981, Syan.g_01937
OG0000076	Prbk.g_00237	Syan.g_01896
OG0000077	Prbk.g_00307	Syan.g_02919
OG0000079	Prbk.g_01000	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbk.g_01122	Syan.g_00952
OG0000085	Prbk.g_00919	Syan.g_01387
OG0000086	Prbk.g_01295	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbk.g_00559	Syan.g_02268
OG0000088	Prbk.g_01836, Prbk.g_00773	Syan.g_03031
OG0000089	Prbk.g_00364	Syan.g_02316
OG0000090	Prbk.g_01080	Syan.g_01166
OG0000091	Prbk.g_02639	Syan.g_00235, Syan.g_00808
OG0000093	Prbk.g_02444	Syan.g_00708, Syan.g_02934
OG0000094	Prbk.g_02190	Syan.g_00065
OG0000095	Prbk.g_00056	Syan.g_00290
OG0000098	Prbk.g_01199	Syan.g_00043
OG0000099	Prbk.g_00476	Syan.g_01968
OG0000100	Prbk.g_01360, Prbk.g_02498	Syan.g_00658
OG0000101	Prbk.g_00796	Syan.g_02199
OG0000102	Prbk.g_01484	Syan.g_01891
OG0000103	Prbk.g_02260	Syan.g_01692
OG0000104	Prbk.g_02274	Syan.g_01792
OG0000105	Prbk.g_00409	Syan.g_02031
OG0000106	Prbk.g_00925	Syan.g_00076
OG0000107	Prbk.g_01902	Syan.g_02106
OG0000108	Prbk.g_02061	Syan.g_02764
OG0000109	Prbk.g_02077	Syan.g_02748
OG0000110	Prbk.g_01110	Syan.g_00882
OG0000111	Prbk.g_01766	Syan.g_00187
OG0000112	Prbk.g_02332	Syan.g_00556, Syan.g_00252
OG0000113	Prbk.g_02493	Syan.g_00664
OG0000114	Prbk.g_02396	Syan.g_00741
OG0000115	Prbk.g_01234	Syan.g_02810
OG0000116	Prbk.g_01034	Syan.g_02710, Syan.g_00460
OG0000117	Prbk.g_01496	Syan.g_02644
OG0000118	Prbk.g_01169	Syan.g_01241, Syan.g_01237
OG0000119	Prbk.g_01746, Prbk.g_01786	Syan.g_02672
OG0000120	Prbk.g_00477	Syan.g_01966
OG0000121	Prbk.g_00267, Prbk.g_00261	Syan.g_01273
OG0000123	Prbk.g_00805	Syan.g_02190
OG0000124	Prbk.g_01539	Syan.g_01873
OG0000125	Prbk.g_02168	Syan.g_01573
OG0000126	Prbk.g_02272	Syan.g_01705
OG0000127	Prbk.g_01335	Syan.g_01071
OG0000128	Prbk.g_02290	Syan.g_01768
OG0000129	Prbk.g_02156	Syan.g_01563
OG0000130	Prbk.g_01320	Syan.g_02906, Syan.g_02907
OG0000131	Prbk.g_00751	Syan.g_03008
OG0000132	Prbk.g_00771	Syan.g_03029
OG0000133	Prbk.g_00472	Syan.g_00561
OG0000134	Prbk.g_00361	Syan.g_02319
OG0000135	Prbk.g_02209	Syan.g_01616
OG0000136	Prbk.g_00323	Syan.g_01342
OG0000137	Prbk.g_02113	Syan.g_02846
OG0000138	Prbk.g_02078	Syan.g_02747
OG0000140	Prbk.g_01092	Syan.g_00042
OG0000141	Prbk.g_01154	Syan.g_01032
OG0000142	Prbk.g_02631	Syan.g_00816
OG0000143	Prbk.g_02635	Syan.g_00812
OG0000144	Prbk.g_00739	Syan.g_00782
OG0000145	Prbk.g_01863	Syan.g_02740
OG0000146	Prbk.g_02333	Syan.g_00555, Syan.g_00253
OG0000147	Prbk.g_02334	Syan.g_00254, Syan.g_00554
OG0000148	Prbk.g_02487	Syan.g_00670
OG0000149	Prbk.g_02544	Syan.g_00393
OG0000150	Prbk.g_02567	Syan.g_01031
OG0000151	Prbk.g_02417	Syan.g_00731
OG0000152	Prbk.g_02324	Syan.g_00565
OG0000153	Prbk.g_02297	Syan.g_00601
OG0000154	Prbk.g_00584	Syan.g_00363
OG0000155	Prbk.g_00099	Syan.g_02654
OG0000156	Prbk.g_00164	Syan.g_02717
OG0000157	Prbk.g_00163	Syan.g_02718
OG0000158	Prbk.g_00526	Syan.g_01078, Syan.g_01926
OG0000160	Prbk.g_00260	Syan.g_01274
OG0000161	Prbk.g_00274	Syan.g_01268
OG0000162	Prbk.g_00280	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prbk.g_02002	Syan.g_02405
OG0000164	Prbk.g_01432	Syan.g_01440
OG0000165	Prbk.g_01423	Syan.g_01448
OG0000166	Prbk.g_00982	Syan.g_02239
OG0000167	Prbk.g_00512	Syan.g_01941
OG0000168	Prbk.g_00527	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prbk.g_00220	Syan.g_01912
OG0000170	Prbk.g_00232	Syan.g_01901
OG0000171	Prbk.g_01538	Syan.g_01875
OG0000172	Prbk.g_01573	Syan.g_01810
OG0000173	Prbk.g_01594	Syan.g_01720
OG0000174	Prbk.g_02211	Syan.g_01619
OG0000175	Prbk.g_02249	Syan.g_01678, Syan.g_00258
OG0000176	Prbk.g_02282	Syan.g_01801
OG0000177	Prbk.g_02283	Syan.g_01775
OG0000178	Prbk.g_02284	Syan.g_01774
OG0000179	Prbk.g_01633	Syan.g_01759
OG0000180	Prbk.g_01632	Syan.g_01758
OG0000181	Prbk.g_01631	Syan.g_01757
OG0000182	Prbk.g_01630	Syan.g_01756
OG0000183	Prbk.g_01626	Syan.g_01752
OG0000184	Prbk.g_02148	Syan.g_01549
OG0000185	Prbk.g_02126	Syan.g_01540
OG0000186	Prbk.g_01326	Syan.g_02902
OG0000187	Prbk.g_01324	Syan.g_02904
OG0000188	Prbk.g_01303	Syan.g_02926
OG0000189	Prbk.g_00024	Syan.g_02966
OG0000190	Prbk.g_00022	Syan.g_00971
OG0000191	Prbk.g_00197	Syan.g_02300
OG0000192	Prbk.g_00206	Syan.g_02294
OG0000193	Prbk.g_00752	Syan.g_03009
OG0000194	Prbk.g_00755	Syan.g_03012
OG0000196	Prbk.g_00768	Syan.g_03026
OG0000197	Prbk.g_00769	Syan.g_03027
OG0000198	Prbk.g_00770	Syan.g_03028
OG0000199	Prbk.g_00777	Syan.g_03037
OG0000200	Prbk.g_01280	Syan.g_03055
OG0000201	Prbk.g_01261	Syan.g_03074
OG0000202	Prbk.g_01260	Syan.g_03075
OG0000203	Prbk.g_01259	Syan.g_03076
OG0000204	Prbk.g_01258	Syan.g_03077
OG0000205	Prbk.g_01251	Syan.g_03087
OG0000206	Prbk.g_00632	Syan.g_03095
OG0000207	Prbk.g_00686	Syan.g_03100
OG0000208	Prbk.g_00685	Syan.g_03101
OG0000209	Prbk.g_00658	Syan.g_01521
OG0000210	Prbk.g_00657	Syan.g_01522
OG0000211	Prbk.g_01368	Syan.g_02416
OG0000212	Prbk.g_01514	Syan.g_01508, Syan.g_02438
OG0000213	Prbk.g_00374	Syan.g_02059
OG0000214	Prbk.g_00401	Syan.g_02040
OG0000215	Prbk.g_00431	Syan.g_02010
OG0000216	Prbk.g_00434	Syan.g_02006
OG0000217	Prbk.g_00438	Syan.g_02001
OG0000218	Prbk.g_00442	Syan.g_01999
OG0000219	Prbk.g_00443	Syan.g_01998
OG0000220	Prbk.g_00444	Syan.g_01997
OG0000221	Prbk.g_00449	Syan.g_01994
OG0000222	Prbk.g_00458	Syan.g_01981
OG0000223	Prbk.g_00481	Syan.g_00228
OG0000224	Prbk.g_00492	Syan.g_01959
OG0000225	Prbk.g_00889	Syan.g_02997
OG0000226	Prbk.g_00893	Syan.g_02990
OG0000227	Prbk.g_00895	Syan.g_02988
OG0000228	Prbk.g_00365	Syan.g_02315
OG0000229	Prbk.g_00328	Syan.g_02396
OG0000230	Prbk.g_00326	Syan.g_02398
OG0000231	Prbk.g_00311	Syan.g_01333
OG0000232	Prbk.g_00295	Syan.g_02801
OG0000233	Prbk.g_02092	Syan.g_02876
OG0000234	Prbk.g_02114	Syan.g_02844
OG0000235	Prbk.g_02060	Syan.g_02765
OG0000236	Prbk.g_02076	Syan.g_02749
OG0000237	Prbk.g_01047	Syan.g_02731
OG0000238	Prbk.g_01051	Syan.g_02726
OG0000239	Prbk.g_01067	Syan.g_01187
OG0000240	Prbk.g_01068	Syan.g_01186
OG0000241	Prbk.g_01965	Syan.g_00822
OG0000242	Prbk.g_01078	Syan.g_01168
OG0000243	Prbk.g_02684	Syan.g_00840
OG0000244	Prbk.g_01897	Syan.g_00848
OG0000245	Prbk.g_01894	Syan.g_00850
OG0000246	Prbk.g_01890	Syan.g_00854
OG0000247	Prbk.g_01879	Syan.g_00866
OG0000248	Prbk.g_01876	Syan.g_00869
OG0000249	Prbk.g_01874	Syan.g_00871
OG0000250	Prbk.g_01106	Syan.g_00878
OG0000251	Prbk.g_01130	Syan.g_00961
OG0000252	Prbk.g_01133	Syan.g_00966
OG0000253	Prbk.g_01139	Syan.g_01000
OG0000254	Prbk.g_01158	Syan.g_01026
OG0000255	Prbk.g_02604	Syan.g_00978
OG0000256	Prbk.g_02618	Syan.g_00001, Syan.g_01135
OG0000257	Prbk.g_02624	Syan.g_00827
OG0000258	Prbk.g_02647	Syan.g_00803
OG0000259	Prbk.g_00720	Syan.g_00772
OG0000260	Prbk.g_00717	Syan.g_00769
OG0000261	Prbk.g_00714	Syan.g_00765
OG0000262	Prbk.g_00709	Syan.g_00760
OG0000263	Prbk.g_00672	Syan.g_02618
OG0000264	Prbk.g_01815	Syan.g_00540
OG0000266	Prbk.g_00608	Syan.g_00330
OG0000267	Prbk.g_02371	Syan.g_00470
OG0000268	Prbk.g_02370	Syan.g_00471
OG0000269	Prbk.g_02463	Syan.g_00695
OG0000270	Prbk.g_02466	Syan.g_00692
OG0000271	Prbk.g_02474	Syan.g_00684
OG0000272	Prbk.g_02475	Syan.g_00683
OG0000273	Prbk.g_02526	Syan.g_00654
OG0000274	Prbk.g_02527	Syan.g_00653
OG0000275	Prbk.g_02530	Syan.g_00373
OG0000276	Prbk.g_02536	Syan.g_00380
OG0000277	Prbk.g_02537	Syan.g_00381
OG0000278	Prbk.g_02540	Syan.g_00384
OG0000279	Prbk.g_02548	Syan.g_00398
OG0000280	Prbk.g_02554	Syan.g_00518
OG0000282	Prbk.g_02398	Syan.g_00739
OG0000283	Prbk.g_02359	Syan.g_00491
OG0000284	Prbk.g_02353	Syan.g_00497
OG0000285	Prbk.g_01698	Syan.g_00533
OG0000286	Prbk.g_02325	Syan.g_00564
OG0000287	Prbk.g_01728	Syan.g_00593
OG0000288	Prbk.g_00583	Syan.g_00364
OG0000289	Prbk.g_00596	Syan.g_00350
OG0000290	Prbk.g_00059	Syan.g_00293
OG0000291	Prbk.g_00057	Syan.g_00291
OG0000292	Prbk.g_02271	Syan.g_01703
OG0000293	Prbk.g_01032	Syan.g_02709
OG0000294	Prbk.g_01031	Syan.g_02708
OG0000295	Prbk.g_00106	Syan.g_02662
OG0000296	Prbk.g_00104	Syan.g_02660
OG0000298	Prbk.g_01497	Syan.g_02645
OG0000299	Prbk.g_01508	Syan.g_02601
OG0000301	Prbk.g_00185	Syan.g_02592
OG0000302	Prbk.g_00182	Syan.g_02591
OG0000303	Prbk.g_00097	Syan.g_02582
OG0000304	Prbk.g_00121	Syan.g_02556
OG0000305	Prbk.g_00055	Syan.g_00195
OG0000306	Prbk.g_02578	Syan.g_00087
OG0000307	Prbk.g_02044	Syan.g_02782
OG0000308	Prbk.g_02042	Syan.g_02784
OG0000309	Prbk.g_02038	Syan.g_02883
OG0000310	Prbk.g_01937	Syan.g_01304
OG0000311	Prbk.g_00243	Syan.g_01299
OG0000312	Prbk.g_00247	Syan.g_01290
OG0000313	Prbk.g_00271	Syan.g_01271
OG0000314	Prbk.g_01222	Syan.g_02823
OG0000315	Prbk.g_01212	Syan.g_02833
OG0000316	Prbk.g_01991	Syan.g_01354
OG0000317	Prbk.g_00913	Syan.g_01396
OG0000318	Prbk.g_00906	Syan.g_01401
OG0000319	Prbk.g_01443	Syan.g_01425
OG0000320	Prbk.g_01441	Syan.g_01427
OG0000321	Prbk.g_01440	Syan.g_01428
OG0000322	Prbk.g_01439	Syan.g_01429
OG0000323	Prbk.g_01428	Syan.g_01442
OG0000324	Prbk.g_01399	Syan.g_01472
OG0000325	Prbk.g_01904	Syan.g_02107
OG0000326	Prbk.g_01912	Syan.g_02114
OG0000327	Prbk.g_00987	Syan.g_02244
OG0000328	Prbk.g_00986	Syan.g_02243
OG0000329	Prbk.g_00969	Syan.g_02225
OG0000330	Prbk.g_00968	Syan.g_02224
OG0000331	Prbk.g_00967	Syan.g_02223
OG0000332	Prbk.g_00952	Syan.g_02208
OG0000333	Prbk.g_00950	Syan.g_02205
OG0000334	Prbk.g_00801	Syan.g_00247, Syan.g_02194
OG0000335	Prbk.g_00806	Syan.g_02189
OG0000336	Prbk.g_00810	Syan.g_02185
OG0000337	Prbk.g_00506	Syan.g_01949
OG0000338	Prbk.g_00510	Syan.g_01943
OG0000339	Prbk.g_00516	Syan.g_01935, Syan.g_00264
OG0000340	Prbk.g_00528	Syan.g_01923
OG0000341	Prbk.g_00530	Syan.g_01921
OG0000342	Prbk.g_00531	Syan.g_01920
OG0000343	Prbk.g_00215	Syan.g_01918
OG0000344	Prbk.g_00218	Syan.g_01914
OG0000345	Prbk.g_00233	Syan.g_01900
OG0000346	Prbk.g_00238	Syan.g_01895
OG0000347	Prbk.g_01540	Syan.g_01867
OG0000348	Prbk.g_01578	Syan.g_01803
OG0000349	Prbk.g_01602	Syan.g_01727
OG0000350	Prbk.g_02204	Syan.g_02121
OG0000351	Prbk.g_02252	Syan.g_01682
OG0000352	Prbk.g_02253	Syan.g_01683
OG0000353	Prbk.g_02277	Syan.g_01795
OG0000354	Prbk.g_01057	Syan.g_02720
OG0000354	Prbk.g_01635	Syan.g_01761
OG0000355	Prbk.g_02279	Syan.g_01797
OG0000356	Prbk.g_02280	Syan.g_01798
OG0000357	Prbk.g_02281	Syan.g_01800
OG0000358	Prbk.g_02285	Syan.g_01773
OG0000359	Prbk.g_02287	Syan.g_01771
OG0000360	Prbk.g_02288	Syan.g_01770
OG0000361	Prbk.g_02289	Syan.g_01769
OG0000362	Prbk.g_02291	Syan.g_01767
OG0000363	Prbk.g_01639	Syan.g_01765
OG0000364	Prbk.g_01638	Syan.g_01398
OG0000365	Prbk.g_01629	Syan.g_01755
OG0000366	Prbk.g_01628	Syan.g_01754
OG0000367	Prbk.g_01627	Syan.g_01753
OG0000368	Prbk.g_01625	Syan.g_01751
OG0000369	Prbk.g_01624	Syan.g_01750
OG0000370	Prbk.g_01623	Syan.g_01749
OG0000371	Prbk.g_01614	Syan.g_01740
OG0000372	Prbk.g_01609	Syan.g_01734
OG0000373	Prbk.g_01608	Syan.g_01733
OG0000374	Prbk.g_01607	Syan.g_01732
OG0000375	Prbk.g_01606	Syan.g_01731
OG0000376	Prbk.g_01604	Syan.g_01729
OG0000377	Prbk.g_02155	Syan.g_01555
OG0000378	Prbk.g_02141	Syan.g_01543
OG0000379	Prbk.g_02125	Syan.g_01539
OG0000380	Prbk.g_01323	Syan.g_02905
OG0000381	Prbk.g_01319	Syan.g_02908
OG0000382	Prbk.g_01304	Syan.g_02925
OG0000383	Prbk.g_01302	Syan.g_02936
OG0000384	Prbk.g_01301	Syan.g_02937
OG0000385	Prbk.g_01300	Syan.g_02938
OG0000386	Prbk.g_01299	Syan.g_02939
OG0000387	Prbk.g_00020	Syan.g_00967
OG0000388	Prbk.g_00016	Syan.g_02970
OG0000389	Prbk.g_00012	Syan.g_02973
OG0000390	Prbk.g_00191	Syan.g_02306
OG0000391	Prbk.g_00196	Syan.g_02301
OG0000392	Prbk.g_00202	Syan.g_02295
OG0000393	Prbk.g_00207	Syan.g_02292
OG0000394	Prbk.g_00208	Syan.g_02291
OG0000395	Prbk.g_00209	Syan.g_02290
OG0000396	Prbk.g_00542	Syan.g_02287
OG0000397	Prbk.g_00544	Syan.g_02285
OG0000398	Prbk.g_00549	Syan.g_02279
OG0000399	Prbk.g_00550	Syan.g_02278
OG0000400	Prbk.g_00551	Syan.g_02277
OG0000401	Prbk.g_00552	Syan.g_02274
OG0000402	Prbk.g_00554	Syan.g_02272
OG0000403	Prbk.g_00555	Syan.g_02271
OG0000404	Prbk.g_00557	Syan.g_02269
OG0000405	Prbk.g_00749	Syan.g_03005
OG0000406	Prbk.g_00753	Syan.g_03010
OG0000407	Prbk.g_00754	Syan.g_03011
OG0000408	Prbk.g_00756	Syan.g_03013
OG0000409	Prbk.g_00758	Syan.g_03015
OG0000410	Prbk.g_00759	Syan.g_03016
OG0000411	Prbk.g_00760	Syan.g_03017
OG0000412	Prbk.g_00761	Syan.g_03018
OG0000413	Prbk.g_00763	Syan.g_03020
OG0000414	Prbk.g_00764	Syan.g_03021
OG0000415	Prbk.g_00765	Syan.g_03022
OG0000416	Prbk.g_00766	Syan.g_03023
OG0000417	Prbk.g_00767	Syan.g_03025
OG0000418	Prbk.g_00772	Syan.g_03030
OG0000419	Prbk.g_00774	Syan.g_03033
OG0000420	Prbk.g_00775	Syan.g_03035
OG0000421	Prbk.g_00779	Syan.g_03040
OG0000422	Prbk.g_00780	Syan.g_03041
OG0000423	Prbk.g_00781	Syan.g_03042
OG0000424	Prbk.g_00782	Syan.g_03043
OG0000425	Prbk.g_00783	Syan.g_03044
OG0000426	Prbk.g_00784	Syan.g_03045
OG0000427	Prbk.g_00785	Syan.g_03046
OG0000428	Prbk.g_02425	Syan.g_03049
OG0000429	Prbk.g_01283	Syan.g_03051
OG0000430	Prbk.g_01281	Syan.g_03053
OG0000431	Prbk.g_01277	Syan.g_03058
OG0000432	Prbk.g_01270	Syan.g_03065
OG0000433	Prbk.g_01267	Syan.g_03068
OG0000434	Prbk.g_01266	Syan.g_03069
OG0000435	Prbk.g_01263	Syan.g_03071
OG0000436	Prbk.g_01257	Syan.g_03079
OG0000437	Prbk.g_01256	Syan.g_03080
OG0000438	Prbk.g_01255	Syan.g_03083
OG0000439	Prbk.g_01253	Syan.g_03085
OG0000440	Prbk.g_01252	Syan.g_03086
OG0000441	Prbk.g_01245	Syan.g_03089
OG0000442	Prbk.g_01244	Syan.g_03090
OG0000443	Prbk.g_00631	Syan.g_03094
OG0000444	Prbk.g_00683	Syan.g_03102
OG0000445	Prbk.g_00682	Syan.g_03103
OG0000446	Prbk.g_00680	Syan.g_03105
OG0000447	Prbk.g_00670	Syan.g_03111
OG0000448	Prbk.g_00669	Syan.g_03112
OG0000449	Prbk.g_00668	Syan.g_03113
OG0000450	Prbk.g_00662	Syan.g_01518
OG0000451	Prbk.g_00661	Syan.g_01519
OG0000452	Prbk.g_00656	Syan.g_01523
OG0000453	Prbk.g_00655	Syan.g_01524
OG0000454	Prbk.g_00654	Syan.g_01525
OG0000455	Prbk.g_00653	Syan.g_01526
OG0000456	Prbk.g_00652	Syan.g_01527
OG0000457	Prbk.g_00650	Syan.g_01529
OG0000458	Prbk.g_00649	Syan.g_01530
OG0000459	Prbk.g_00648	Syan.g_01531
OG0000460	Prbk.g_01369	Syan.g_02423
OG0000461	Prbk.g_01900	Syan.g_02099
OG0000462	Prbk.g_01012	Syan.g_02096
OG0000463	Prbk.g_01011	Syan.g_02095
OG0000464	Prbk.g_01010	Syan.g_02094
OG0000465	Prbk.g_01008	Syan.g_02092
OG0000466	Prbk.g_01003	Syan.g_02087
OG0000467	Prbk.g_01001	Syan.g_02086
OG0000468	Prbk.g_00371	Syan.g_02063
OG0000469	Prbk.g_00384	Syan.g_02046
OG0000470	Prbk.g_00397	Syan.g_02044
OG0000471	Prbk.g_00398	Syan.g_02043
OG0000472	Prbk.g_00400	Syan.g_02041
OG0000473	Prbk.g_00402	Syan.g_02039
OG0000474	Prbk.g_00403	Syan.g_02038
OG0000475	Prbk.g_00404	Syan.g_02037
OG0000476	Prbk.g_00406	Syan.g_02035
OG0000477	Prbk.g_00411	Syan.g_02029
OG0000478	Prbk.g_00412	Syan.g_02028
OG0000479	Prbk.g_00413	Syan.g_02027
OG0000480	Prbk.g_00420	Syan.g_02020
OG0000481	Prbk.g_00422	Syan.g_00975
OG0000482	Prbk.g_00423	Syan.g_02018
OG0000483	Prbk.g_00427	Syan.g_02014
OG0000484	Prbk.g_00428	Syan.g_02013
OG0000485	Prbk.g_00429	Syan.g_02012
OG0000486	Prbk.g_00430	Syan.g_02011
OG0000487	Prbk.g_00435	Syan.g_02005
OG0000488	Prbk.g_00439	Syan.g_02000
OG0000489	Prbk.g_00450	Syan.g_01993
OG0000490	Prbk.g_00456	Syan.g_01985
OG0000491	Prbk.g_00457	Syan.g_01983
OG0000492	Prbk.g_00460	Syan.g_01980
OG0000493	Prbk.g_00461	Syan.g_01979
OG0000494	Prbk.g_00462	Syan.g_01978
OG0000495	Prbk.g_00463	Syan.g_01977
OG0000496	Prbk.g_00464	Syan.g_01976
OG0000497	Prbk.g_00465	Syan.g_01975
OG0000498	Prbk.g_00466	Syan.g_01974
OG0000499	Prbk.g_00467	Syan.g_01973
OG0000500	Prbk.g_00468	Syan.g_01972
OG0000501	Prbk.g_00471	Syan.g_01969
OG0000502	Prbk.g_00483	Syan.g_01961
OG0000503	Prbk.g_00871	Syan.g_02144
OG0000504	Prbk.g_00873	Syan.g_02142
OG0000505	Prbk.g_00874	Syan.g_02141
