Orthogroup	Prbk	Praj
OG0000000	Prbk.g_00165	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000001	Prbk.g_01196, Prbk.g_00170	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000002	Prbk.g_02574	Praj.g_00832
OG0000002	Prbk.g_01649	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Prbk.g_01760	Praj.g_01396
OG0000004	Prbk.g_01134	Praj.g_00271
OG0000005	Prbk.g_00933	Praj.g_01712
OG0000006	Prbk.g_02695	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prbk.g_00907	Praj.g_01768
OG0000008	Prbk.g_01819	Praj.g_01829
OG0000008	Prbk.g_01820	Praj.g_01830
OG0000010	Prbk.g_02112	Praj.g_01026, Praj.g_00466
OG0000011	Prbk.g_01851	Praj.g_01187
OG0000013	Prbk.g_00853	Praj.g_00362
OG0000014	Prbk.g_00454	Praj.g_00341
OG0000015	Prbk.g_02558	Praj.g_01113
OG0000017	Prbk.g_01142	Praj.g_00592
OG0000018	Prbk.g_01227	Praj.g_01482, Praj.g_00798
OG0000019	Prbk.g_01644	Praj.g_00747
OG0000020	Prbk.g_01664	Praj.g_01025
OG0000020	Prbk.g_01331, Prbk.g_02697	Praj.g_01139
OG0000021	Prbk.g_01960	Praj.g_01859
OG0000021	Prbk.g_01137	Praj.g_00084
OG0000022	Prbk.g_00212	Praj.g_01189
OG0000022	Prbk.g_01667	Praj.g_01216
OG0000023	Prbk.g_02448	Praj.g_01365, Praj.g_01329
OG0000024	Prbk.g_01780	Praj.g_01134, Praj.g_00666
OG0000025	Prbk.g_02531	Praj.g_00805
OG0000026	Prbk.g_01617	Praj.g_00031
OG0000029	Prbk.g_00833	Praj.g_01745
OG0000030	Prbk.g_01532, Prbk.g_01533	Praj.g_02024
OG0000031	Prbk.g_00539, Prbk.g_00534	Praj.g_00371
OG0000032	Prbk.g_01209	Praj.g_01669
OG0000033	Prbk.g_00776	Praj.g_00209
OG0000034	Prbk.g_01171	Praj.g_01538
OG0000035	Prbk.g_00259	Praj.g_01632
OG0000037	Prbk.g_00007	Praj.g_00147
OG0000038	Prbk.g_02164, Prbk.g_02166	Praj.g_02089
OG0000039	Prbk.g_01385, Prbk.g_00642	Praj.g_00679
OG0000041	Prbk.g_01406	Praj.g_01813
OG0000042	Prbk.g_01495, Prbk.g_00140	Praj.g_02020
OG0000045	Prbk.g_01321	Praj.g_01303, Praj.g_01049
OG0000046	Prbk.g_00854	Praj.g_00363
OG0000047	Prbk.g_02565	Praj.g_00408
OG0000047	Prbk.g_01202	Praj.g_00370
OG0000048	Prbk.g_00405	Praj.g_00308
OG0000051	Prbk.g_01709	Praj.g_01339, Praj.g_01347
OG0000053	Prbk.g_01230	Praj.g_01651
OG0000054	Prbk.g_01153	Praj.g_00594
OG0000057	Prbk.g_01765	Praj.g_00691, Praj.g_01313
OG0000059	Prbk.g_00533	Praj.g_01892
OG0000062	Prbk.g_00931	Praj.g_01714
OG0000063	Prbk.g_01613	Praj.g_01867
OG0000065	Prbk.g_00011	Praj.g_00145
OG0000066	Prbk.g_01094	Praj.g_00530
OG0000067	Prbk.g_02468	Praj.g_00769
OG0000068	Prbk.g_02052	Praj.g_01575
OG0000070	Prbk.g_00310	Praj.g_00444
OG0000071	Prbk.g_01183	Praj.g_01528
OG0000072	Prbk.g_00778	Praj.g_00211
OG0000073	Prbk.g_01862	Praj.g_00491
OG0000075	Prbk.g_00514	Praj.g_01987
OG0000076	Prbk.g_00237	Praj.g_02012
OG0000077	Prbk.g_01308, Prbk.g_00307	Praj.g_00116
OG0000078	Prbk.g_01515	Praj.g_00280
OG0000079	Prbk.g_01000	Praj.g_00291
OG0000081	Prbk.g_01772	Praj.g_00522
OG0000082	Prbk.g_01122	Praj.g_01827
OG0000084	Prbk.g_00255	Praj.g_01628
OG0000085	Prbk.g_00919	Praj.g_01762
OG0000086	Prbk.g_01295	Praj.g_00126
OG0000087	Prbk.g_00559	Praj.g_00179
OG0000088	Prbk.g_00773	Praj.g_00206
OG0000089	Prbk.g_00364	Praj.g_00403
OG0000090	Prbk.g_01080	Praj.g_00524
OG0000091	Prbk.g_02639	Praj.g_00630
OG0000093	Prbk.g_02444	Praj.g_00754
OG0000094	Prbk.g_02190	Praj.g_00846
OG0000097	Prbk.g_00189	Praj.g_01416
OG0000098	Prbk.g_01199	Praj.g_01546
OG0000099	Prbk.g_00476	Praj.g_00372
OG0000100	Prbk.g_01360, Prbk.g_02498	Praj.g_01709
OG0000101	Prbk.g_00796, Prbk.g_00944	Praj.g_01952
OG0000102	Prbk.g_01484	Praj.g_02017
OG0000103	Prbk.g_02260	Praj.g_02135
OG0000104	Prbk.g_02274	Praj.g_02145
OG0000105	Prbk.g_00409	Praj.g_00310
OG0000106	Prbk.g_00925	Praj.g_01156, Praj.g_01282
OG0000108	Prbk.g_02061	Praj.g_00473
OG0000109	Prbk.g_02077	Praj.g_00486
OG0000110	Prbk.g_01110	Praj.g_00565
OG0000111	Prbk.g_01766	Praj.g_00692
OG0000112	Prbk.g_02332	Praj.g_00938
OG0000113	Prbk.g_02493	Praj.g_00793, Praj.g_01176
OG0000114	Prbk.g_02396	Praj.g_00887
OG0000115	Prbk.g_01234	Praj.g_01725
OG0000116	Prbk.g_01034	Praj.g_01471
OG0000117	Prbk.g_01496	Praj.g_01355
OG0000118	Prbk.g_01169	Praj.g_01540
OG0000119	Prbk.g_01746, Prbk.g_01786	Praj.g_01568
OG0000120	Prbk.g_00477	Praj.g_00664
OG0000121	Prbk.g_00267, Prbk.g_00261	Praj.g_01634
OG0000122	Prbk.g_02664	Praj.g_01673
OG0000123	Prbk.g_00805	Praj.g_01959
OG0000124	Prbk.g_01539	Praj.g_02031
OG0000125	Prbk.g_02168	Praj.g_02091
OG0000126	Prbk.g_02272	Praj.g_02144
OG0000128	Prbk.g_02290	Praj.g_00011
OG0000129	Prbk.g_02156	Praj.g_00048
OG0000130	Prbk.g_01320	Praj.g_00107
OG0000131	Prbk.g_00751	Praj.g_00185
OG0000132	Prbk.g_00771	Praj.g_00204
OG0000133	Prbk.g_00472	Praj.g_00357
OG0000134	Prbk.g_00361	Praj.g_00405
OG0000135	Prbk.g_02209	Praj.g_01279
OG0000136	Prbk.g_00323	Praj.g_00435
OG0000137	Prbk.g_02113	Praj.g_00467
OG0000138	Prbk.g_02078	Praj.g_00487
OG0000139	Prbk.g_01086	Praj.g_00528
OG0000140	Prbk.g_01092	Praj.g_00529
OG0000141	Prbk.g_01154	Praj.g_00595
OG0000142	Prbk.g_02631	Praj.g_00623
OG0000143	Prbk.g_02635	Praj.g_00627
OG0000144	Prbk.g_00739	Praj.g_00640
OG0000145	Prbk.g_01863	Praj.g_01054
OG0000146	Prbk.g_02333	Praj.g_00937
OG0000147	Prbk.g_02334	Praj.g_00936
OG0000148	Prbk.g_02487	Praj.g_00787
OG0000149	Prbk.g_02544	Praj.g_00819
OG0000150	Prbk.g_02567	Praj.g_00828
OG0000151	Prbk.g_02417	Praj.g_00898
OG0000152	Prbk.g_02324	Praj.g_01601, Praj.g_00946
OG0000153	Prbk.g_02297	Praj.g_00965
OG0000154	Prbk.g_00584	Praj.g_00995
OG0000155	Prbk.g_00099	Praj.g_01440
OG0000156	Prbk.g_00164	Praj.g_01517
OG0000157	Prbk.g_00163	Praj.g_01518
OG0000158	Prbk.g_00526	Praj.g_01995
OG0000160	Prbk.g_00260	Praj.g_01633
OG0000161	Prbk.g_00274	Praj.g_01639
OG0000162	Prbk.g_00280	Praj.g_01645
OG0000163	Prbk.g_02002	Praj.g_01681
OG0000164	Prbk.g_01432	Praj.g_01790
OG0000165	Prbk.g_01423	Praj.g_01798
OG0000166	Prbk.g_00982	Praj.g_01915
OG0000167	Prbk.g_00512	Praj.g_01985
OG0000168	Prbk.g_00527	Praj.g_01996
OG0000169	Prbk.g_00220	Praj.g_02006
OG0000170	Prbk.g_00232	Praj.g_02008
OG0000171	Prbk.g_01538	Praj.g_02030
OG0000172	Prbk.g_01573	Praj.g_02061
OG0000173	Prbk.g_01594	Praj.g_02076
OG0000174	Prbk.g_02211	Praj.g_02107
OG0000175	Prbk.g_02249	Praj.g_02125
OG0000176	Prbk.g_02282	Praj.g_00004
OG0000177	Prbk.g_02283	Praj.g_00005
OG0000178	Prbk.g_02284	Praj.g_00006
OG0000179	Prbk.g_01633	Praj.g_00016
OG0000180	Prbk.g_01632	Praj.g_00017
OG0000181	Prbk.g_01631	Praj.g_00018
OG0000182	Prbk.g_01630	Praj.g_00019
OG0000183	Prbk.g_01626	Praj.g_00023
OG0000184	Prbk.g_02148	Praj.g_00050
OG0000185	Prbk.g_02126	Praj.g_00053
OG0000186	Prbk.g_01326	Praj.g_00102
OG0000187	Prbk.g_01324	Praj.g_00103
OG0000188	Prbk.g_01303	Praj.g_00120
OG0000189	Prbk.g_00024	Praj.g_00134
OG0000190	Prbk.g_00022	Praj.g_00135
OG0000191	Prbk.g_00197	Praj.g_00158
OG0000192	Prbk.g_00206	Praj.g_00162
OG0000193	Prbk.g_00752	Praj.g_00186
OG0000194	Prbk.g_00755	Praj.g_00189
OG0000195	Prbk.g_00757	Praj.g_00191
OG0000196	Prbk.g_00768	Praj.g_00201
OG0000197	Prbk.g_00769	Praj.g_00202
OG0000198	Prbk.g_00770	Praj.g_00203
OG0000199	Prbk.g_00777	Praj.g_00210
OG0000200	Prbk.g_01280	Praj.g_00223
OG0000201	Prbk.g_01261	Praj.g_00232
OG0000202	Prbk.g_01260	Praj.g_00233
OG0000203	Prbk.g_01259	Praj.g_00234
