Orthogroup	Prbk	Prbm
OG0000000	Prbk.g_00165	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prbk.g_01196, Prbk.g_00170	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000002	Prbk.g_02574	Prbm.g_00874
OG0000002	Prbk.g_01649	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prbk.g_01760	Prbm.g_01483
OG0000004	Prbk.g_01134	Prbm.g_00291
OG0000005	Prbk.g_00933	Prbm.g_01790
OG0000006	Prbk.g_02695	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prbk.g_00907	Prbm.g_01841
OG0000008	Prbk.g_01819	Prbm.g_01907
OG0000008	Prbk.g_01820	Prbm.g_01908
OG0000010	Prbk.g_02112	Prbm.g_01066, Prbm.g_00499
OG0000011	Prbk.g_01851	Prbm.g_01202
OG0000013	Prbk.g_00853	Prbm.g_00382
OG0000014	Prbk.g_00454	Prbm.g_00362
OG0000015	Prbk.g_02558	Prbm.g_01427, Prbm.g_01149
OG0000017	Prbk.g_01142	Prbm.g_00635
OG0000018	Prbk.g_01227	Prbm.g_01571, Prbm.g_00843
OG0000019	Prbk.g_01644	Prbm.g_00792
OG0000020	Prbk.g_01664	Prbm.g_01065
OG0000020	Prbk.g_01331, Prbk.g_02697	Prbm.g_01156
OG0000021	Prbk.g_01960	Prbm.g_01939
OG0000022	Prbk.g_00212	Prbm.g_01204
OG0000022	Prbk.g_01667	Prbm.g_01324
OG0000023	Prbk.g_02448	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prbk.g_01780	Prbm.g_01151, Prbm.g_00709
OG0000025	Prbk.g_02531	Prbm.g_00849
OG0000026	Prbk.g_01617	Prbm.g_00031
OG0000029	Prbk.g_00833	Prbm.g_01823
OG0000030	Prbk.g_01532, Prbk.g_01533	Prbm.g_02105
OG0000031	Prbk.g_00539, Prbk.g_00534	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prbk.g_01209	Prbm.g_01747
OG0000033	Prbk.g_00776	Prbm.g_00228
OG0000034	Prbk.g_01171	Prbm.g_01620
OG0000035	Prbk.g_00259	Prbm.g_01710
OG0000037	Prbk.g_00007	Prbm.g_00166
OG0000038	Prbk.g_02164, Prbk.g_02166	Prbm.g_02174
OG0000039	Prbk.g_01385, Prbk.g_00642	Prbm.g_00723
OG0000041	Prbk.g_01406	Prbm.g_01886
OG0000042	Prbk.g_01495, Prbk.g_00140	Prbm.g_02102
OG0000045	Prbk.g_01321	Prbm.g_01088
OG0000046	Prbk.g_00854	Prbm.g_00383
OG0000047	Prbk.g_02565	Prbm.g_00428
OG0000047	Prbk.g_01202	Prbm.g_00390
OG0000048	Prbk.g_00405	Prbm.g_00329
OG0000051	Prbk.g_01709	Prbm.g_01267, Prbm.g_01276
OG0000053	Prbk.g_01230	Prbm.g_01729
OG0000054	Prbk.g_01153	Prbm.g_00637
OG0000056	Prbk.g_02591	Prbm.g_00477
OG0000057	Prbk.g_01765	Prbm.g_00735
OG0000059	Prbk.g_00533	Prbm.g_01973
OG0000062	Prbk.g_00931	Prbm.g_01792
OG0000063	Prbk.g_01613	Prbm.g_01947
OG0000065	Prbk.g_00011	Prbm.g_00164
OG0000066	Prbk.g_01094	Prbm.g_00572
OG0000067	Prbk.g_02468	Prbm.g_00814
OG0000068	Prbk.g_02052	Prbm.g_01660
OG0000070	Prbk.g_00310	Prbm.g_00460
OG0000071	Prbk.g_01183	Prbm.g_00468, Prbm.g_01611
OG0000072	Prbk.g_00778	Prbm.g_00230
OG0000073	Prbk.g_01862	Prbm.g_00533
OG0000075	Prbk.g_00514	Prbm.g_02069
OG0000076	Prbk.g_00237	Prbm.g_02094
OG0000077	Prbk.g_01308, Prbk.g_00307	Prbm.g_00135
OG0000078	Prbk.g_01515	Prbm.g_00300
OG0000079	Prbk.g_01000	Prbm.g_00311
OG0000081	Prbk.g_01772	Prbm.g_00564
OG0000082	Prbk.g_01122	Prbm.g_01900
OG0000084	Prbk.g_00255	Prbm.g_01706
OG0000085	Prbk.g_00919	Prbm.g_01834
OG0000086	Prbk.g_01295	Prbm.g_00145
OG0000087	Prbk.g_00559	Prbm.g_00198
OG0000088	Prbk.g_00773	Prbm.g_00225
OG0000089	Prbk.g_00364	Prbm.g_00423
OG0000090	Prbk.g_01080	Prbm.g_00566
OG0000091	Prbk.g_02639	Prbm.g_00673
OG0000093	Prbk.g_02444	Prbm.g_00799
OG0000094	Prbk.g_02190	Prbm.g_00888
OG0000097	Prbk.g_00189	Prbm.g_01502
OG0000098	Prbk.g_01199	Prbm.g_01630
OG0000099	Prbk.g_00476	Prbm.g_00394
OG0000100	Prbk.g_01360, Prbk.g_02498	Prbm.g_01787
OG0000101	Prbk.g_00796, Prbk.g_00944	Prbm.g_02033
OG0000102	Prbk.g_01484	Prbm.g_02099
OG0000103	Prbk.g_02260	Prbm.g_02218
OG0000104	Prbk.g_02274	Prbm.g_02229
OG0000105	Prbk.g_00409	Prbm.g_00331
OG0000106	Prbk.g_00925	Prbm.g_01172, Prbm.g_01237
OG0000108	Prbk.g_02061	Prbm.g_00506
