Orthogroup	Prbk	Syat
OG0000001	Prbk.g_01196, Prbk.g_00170	Syat.g_02910, Syat.g_02911
OG0000001	Prbk.g_00561, Prbk.g_02701	Syat.g_02908, Syat.g_02909
OG0000001	Prbk.g_00630	Syat.g_00878
OG0000005	Prbk.g_00933	Syat.g_03105
OG0000006	Prbk.g_02695	Syat.g_01439, Syat.g_01865
OG0000007	Prbk.g_00907	Syat.g_03124
OG0000008	Prbk.g_01819	Syat.g_02626
OG0000008	Prbk.g_01820	Syat.g_02627
OG0000009	Prbk.g_01932, Prbk.g_00013	Syat.g_01567
OG0000010	Prbk.g_02112	Syat.g_01372
OG0000013	Prbk.g_00853	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbk.g_00454	Syat.g_02104
OG0000017	Prbk.g_01142	Syat.g_00015
OG0000018	Prbk.g_01227	Syat.g_01334
OG0000019	Prbk.g_01644, Prbk.g_01004	Syat.g_01876
OG0000021	Prbk.g_01960	Syat.g_00964
OG0000022	Prbk.g_00212, Prbk.g_01667	Syat.g_00210
OG0000024	Prbk.g_01780	Syat.g_03394
OG0000025	Prbk.g_02531	Syat.g_00719
OG0000026	Prbk.g_01617	Syat.g_02306
OG0000028	Prbk.g_00469	Syat.g_02126
OG0000030	Prbk.g_01532	Syat.g_00307
OG0000030	Prbk.g_01533	Syat.g_00308
OG0000032	Prbk.g_01209	Syat.g_01354
OG0000032	Prbk.g_00480	Syat.g_02237
OG0000033	Prbk.g_00776	Syat.g_02858
OG0000034	Prbk.g_01171	Syat.g_01165, Syat.g_02902
OG0000035	Prbk.g_00259	Syat.g_01227, Syat.g_01226
OG0000037	Prbk.g_00007	Syat.g_00849, Syat.g_00187
OG0000038	Prbk.g_02164	Syat.g_02688
OG0000038	Prbk.g_02166	Syat.g_02686
OG0000039	Prbk.g_01385, Prbk.g_00642	Syat.g_01278
OG0000042	Prbk.g_01495, Prbk.g_00140	Syat.g_00223, Syat.g_02222
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbk.g_01321	Syat.g_00935
OG0000046	Prbk.g_00854	Syat.g_01626, Syat.g_01026
OG0000048	Prbk.g_00405	Syat.g_02046
OG0000053	Prbk.g_01230	Syat.g_01330
OG0000057	Prbk.g_01765	Syat.g_00817
OG0000058	Prbk.g_00479	Syat.g_02133, Syat.g_02238
OG0000059	Prbk.g_00992	Syat.g_01832
OG0000060	Prbk.g_02058	Syat.g_01384
OG0000061	Prbk.g_01019	Syat.g_03260
OG0000062	Prbk.g_00931	Syat.g_03107
OG0000063	Prbk.g_01613	Syat.g_02303
OG0000065	Prbk.g_00011	Syat.g_01571
OG0000066	Prbk.g_01094	Syat.g_03283
OG0000067	Prbk.g_02468	Syat.g_00479
OG0000068	Prbk.g_02052	Syat.g_00085, Syat.g_01295
OG0000070	Prbk.g_00310	Syat.g_01032, Syat.g_01040
OG0000072	Prbk.g_00778	Syat.g_02856, Syat.g_01597
OG0000073	Prbk.g_01862	Syat.g_03201
OG0000075	Prbk.g_00514	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbk.g_00237	Syat.g_02206
OG0000077	Prbk.g_00307	Syat.g_01481
OG0000078	Prbk.g_01515	Syat.g_00184
OG0000079	Prbk.g_01000	Syat.g_01879
OG0000081	Prbk.g_00733, Prbk.g_01772	Syat.g_00980
OG0000082	Prbk.g_01122	Syat.g_00035
OG0000085	Prbk.g_00919	Syat.g_03113
OG0000086	Prbk.g_01295	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbk.g_00559	Syat.g_02912
OG0000088	Prbk.g_01836, Prbk.g_00773	Syat.g_02862
OG0000089	Prbk.g_00364	Syat.g_02953
OG0000090	Prbk.g_01080	Syat.g_03270
OG0000091	Prbk.g_02639	Syat.g_00939, Syat.g_00862
OG0000094	Prbk.g_02190	Syat.g_01034
OG0000095	Prbk.g_00056	Syat.g_00808
OG0000098	Prbk.g_01199	Syat.g_03281
OG0000099	Prbk.g_00476	Syat.g_02130
OG0000100	Prbk.g_01360, Prbk.g_02498	Syat.g_00517
OG0000101	Prbk.g_00796	Syat.g_01661
OG0000102	Prbk.g_01484	Syat.g_00974
OG0000103	Prbk.g_02260	Syat.g_02399
OG0000104	Prbk.g_02274	Syat.g_02385
OG0000105	Prbk.g_00409	Syat.g_02052
OG0000106	Prbk.g_00925	Syat.g_00957
OG0000107	Prbk.g_01902	Syat.g_01862
OG0000108	Prbk.g_02061	Syat.g_03170
OG0000109	Prbk.g_02077	Syat.g_03187
OG0000110	Prbk.g_01110	Syat.g_00049
OG0000111	Prbk.g_01766	Syat.g_00816
OG0000112	Prbk.g_02332	Syat.g_00593
OG0000113	Prbk.g_02493	Syat.g_00509
OG0000114	Prbk.g_02396	Syat.g_00426
OG0000115	Prbk.g_01234	Syat.g_01328
OG0000116	Prbk.g_01034	Syat.g_02641
OG0000117	Prbk.g_01496	Syat.g_00224
OG0000118	Prbk.g_01169	Syat.g_01168
OG0000119	Prbk.g_01746, Prbk.g_01786	Syat.g_00309
OG0000120	Prbk.g_00477	Syat.g_02132
OG0000121	Prbk.g_00267, Prbk.g_00261	Syat.g_01223
OG0000123	Prbk.g_00805	Syat.g_01653
OG0000124	Prbk.g_01539	Syat.g_02231
OG0000125	Prbk.g_02168	Syat.g_02684
OG0000126	Prbk.g_02272	Syat.g_00976
OG0000128	Prbk.g_02290	Syat.g_02331
OG0000129	Prbk.g_02156	Syat.g_02693, Syat.g_02694
OG0000130	Prbk.g_01320	Syat.g_01469
OG0000131	Prbk.g_00751	Syat.g_02898
OG0000132	Prbk.g_00771	Syat.g_02864
OG0000133	Prbk.g_00472	Syat.g_00588
OG0000134	Prbk.g_00361	Syat.g_02956
OG0000135	Prbk.g_02209	Syat.g_02501
OG0000136	Prbk.g_00323	Syat.g_01292
OG0000137	Prbk.g_02113	Syat.g_01371
OG0000138	Prbk.g_02078	Syat.g_03188
OG0000140	Prbk.g_01092	Syat.g_03280
OG0000141	Prbk.g_01154	Syat.g_03398
OG0000142	Prbk.g_02631	Syat.g_00117
OG0000143	Prbk.g_02635	Syat.g_00130
OG0000144	Prbk.g_00739	Syat.g_00369
OG0000145	Prbk.g_01863	Syat.g_03202
OG0000146	Prbk.g_02333	Syat.g_00594
OG0000147	Prbk.g_02334	Syat.g_00595
OG0000148	Prbk.g_02487	Syat.g_00503
OG0000149	Prbk.g_02544	Syat.g_00747
OG0000150	Prbk.g_02567	Syat.g_03399
OG0000151	Prbk.g_02417	Syat.g_00801, Syat.g_00440
OG0000152	Prbk.g_02324	Syat.g_00578
OG0000153	Prbk.g_02297	Syat.g_00542
OG0000154	Prbk.g_00584	Syat.g_00708
OG0000155	Prbk.g_00099	Syat.g_00287
OG0000156	Prbk.g_00164	Syat.g_03228
OG0000157	Prbk.g_00163	Syat.g_02012, Syat.g_03227
OG0000158	Prbk.g_00526	Syat.g_02163
OG0000160	Prbk.g_00260	Syat.g_01224
OG0000161	Prbk.g_00274	Syat.g_01180
OG0000162	Prbk.g_00280	Syat.g_01281
OG0000163	Prbk.g_02002	Syat.g_02979
OG0000164	Prbk.g_01432	Syat.g_03040
OG0000165	Prbk.g_01423	Syat.g_03033
OG0000166	Prbk.g_00982	Syat.g_01822
OG0000167	Prbk.g_00512	Syat.g_02148
OG0000168	Prbk.g_00527	Syat.g_02164
OG0000169	Prbk.g_00220	Syat.g_02192
OG0000170	Prbk.g_00232	Syat.g_02201
OG0000171	Prbk.g_01538	Syat.g_02230
OG0000172	Prbk.g_01573	Syat.g_02260
OG0000173	Prbk.g_01594	Syat.g_02284
OG0000174	Prbk.g_02211	Syat.g_02504
OG0000175	Prbk.g_02249	Syat.g_02416
OG0000176	Prbk.g_02282	Syat.g_02372
OG0000177	Prbk.g_02283	Syat.g_02338
OG0000178	Prbk.g_02284	Syat.g_02337
OG0000179	Prbk.g_01633	Syat.g_02322
OG0000180	Prbk.g_01632	Syat.g_02321
OG0000181	Prbk.g_01631	Syat.g_02320
OG0000182	Prbk.g_01630	Syat.g_02319
OG0000183	Prbk.g_01626	Syat.g_02315
OG0000184	Prbk.g_02148	Syat.g_02704
OG0000185	Prbk.g_02126	Syat.g_02719
OG0000186	Prbk.g_01326	Syat.g_01463
OG0000187	Prbk.g_01324	Syat.g_01467
OG0000188	Prbk.g_01303	Syat.g_01489
OG0000189	Prbk.g_00024	Syat.g_01557
OG0000190	Prbk.g_00022	Syat.g_00330
OG0000191	Prbk.g_00197	Syat.g_03344, Syat.g_02939
OG0000192	Prbk.g_00206	Syat.g_02933
OG0000193	Prbk.g_00752	Syat.g_02897
OG0000194	Prbk.g_00755	Syat.g_02894
OG0000196	Prbk.g_00768	Syat.g_02867
OG0000197	Prbk.g_00769	Syat.g_02866
OG0000198	Prbk.g_00770	Syat.g_02865
OG0000199	Prbk.g_00777	Syat.g_02857
OG0000200	Prbk.g_01280	Syat.g_02840
OG0000201	Prbk.g_01261	Syat.g_02821
OG0000202	Prbk.g_01260	Syat.g_02820
OG0000203	Prbk.g_01259	Syat.g_02819
OG0000204	Prbk.g_01258	Syat.g_02818
OG0000205	Prbk.g_01251	Syat.g_02809
OG0000206	Prbk.g_00632	Syat.g_02785
OG0000207	Prbk.g_00686	Syat.g_02778
OG0000208	Prbk.g_00685	Syat.g_02777
OG0000209	Prbk.g_00658	Syat.g_02735
