Orthogroup	Prbk	Prag
OG0000000	Prbk.g_00165	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prbk.g_00167, Prbk.g_00166	Prag.g_01333, Prag.g_01649, Prag.g_01610
OG0000001	Prbk.g_01196, Prbk.g_00170	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Prbk.g_02574	Prag.g_01382
OG0000002	Prbk.g_01649	Prag.g_00656
OG0000004	Prbk.g_01760	Prag.g_00673
OG0000004	Prbk.g_01134	Prag.g_00225
OG0000005	Prbk.g_00933	Prag.g_01566
OG0000006	Prbk.g_02695	Prag.g_00234, Prag.g_01231
OG0000007	Prbk.g_00907	Prag.g_01669
OG0000008	Prbk.g_01819	Prag.g_01655
OG0000008	Prbk.g_01820	Prag.g_01656
OG0000009	Prbk.g_01932, Prbk.g_00013	Prag.g_00098
OG0000010	Prbk.g_02112	Prag.g_00453
OG0000011	Prbk.g_01851	Prag.g_01326
OG0000012	Prbk.g_02610	Prag.g_00601
OG0000013	Prbk.g_00853	Prag.g_00318
OG0000014	Prbk.g_00454	Prag.g_00297
OG0000015	Prbk.g_02558	Prag.g_00765
OG0000017	Prbk.g_01142	Prag.g_00576
OG0000018	Prbk.g_01227	Prag.g_01134, Prag.g_00833
OG0000019	Prbk.g_01644	Prag.g_00242, Prag.g_00786
OG0000020	Prbk.g_01664	Prag.g_01100
OG0000020	Prbk.g_01331, Prbk.g_02697	Prag.g_01637
OG0000021	Prbk.g_01960	Prag.g_01633, Prag.g_00359
OG0000022	Prbk.g_00212	Prag.g_00757
OG0000022	Prbk.g_01667	Prag.g_01116
OG0000023	Prbk.g_02448	Prag.g_00354
OG0000024	Prbk.g_01780	Prag.g_00740, Prag.g_00653
OG0000025	Prbk.g_02531	Prag.g_00839, Prag.g_00322
OG0000026	Prbk.g_01617	Prag.g_00031, Prag.g_01050
OG0000028	Prbk.g_00469	Prag.g_00311
OG0000029	Prbk.g_00833	Prag.g_00748
OG0000030	Prbk.g_01532, Prbk.g_01533	Prag.g_01871
OG0000032	Prbk.g_00480	Prag.g_01416
OG0000033	Prbk.g_00776	Prag.g_00162
OG0000034	Prbk.g_01171	Prag.g_01365
OG0000035	Prbk.g_00259	Prag.g_01490, Prag.g_01488
OG0000037	Prbk.g_00007	Prag.g_00102
OG0000038	Prbk.g_02164, Prbk.g_02166	Prag.g_01911
OG0000039	Prbk.g_01385, Prbk.g_00642	Prag.g_00664
OG0000041	Prbk.g_01406	Prag.g_01716
OG0000042	Prbk.g_01495, Prbk.g_00140	Prag.g_01868
OG0000045	Prbk.g_01321	Prag.g_00365
OG0000047	Prbk.g_01202	Prag.g_00321
OG0000048	Prbk.g_00405	Prag.g_01658, Prag.g_00368
OG0000051	Prbk.g_01709	Prag.g_01329, Prag.g_01645
OG0000052	Prbk.g_00499	Prag.g_01444
OG0000053	Prbk.g_01230	Prag.g_01510
OG0000054	Prbk.g_01153	Prag.g_00584
OG0000057	Prbk.g_01765	Prag.g_00676
OG0000059	Prbk.g_00533	Prag.g_01755
OG0000062	Prbk.g_00931	Prag.g_01568
OG0000063	Prbk.g_01613	Prag.g_00033
OG0000065	Prbk.g_00011	Prag.g_00100
OG0000066	Prbk.g_01094	Prag.g_00518
OG0000067	Prbk.g_02468	Prag.g_00806
OG0000068	Prbk.g_02052	Prag.g_01389
OG0000070	Prbk.g_00310	Prag.g_00429
OG0000071	Prbk.g_01183	Prag.g_01355
OG0000072	Prbk.g_00778	Prag.g_00164
OG0000073	Prbk.g_01862	Prag.g_00478
OG0000075	Prbk.g_00514	Prag.g_01836
OG0000076	Prbk.g_00237	Prag.g_01861
OG0000077	Prbk.g_01308	Prag.g_00072
OG0000078	Prbk.g_01515	Prag.g_00232
OG0000081	Prbk.g_01772	Prag.g_00510
OG0000082	Prbk.g_01122	Prag.g_00563
OG0000084	Prbk.g_00255	Prag.g_01484
OG0000085	Prbk.g_00919	Prag.g_01662
OG0000086	Prbk.g_01295	Prag.g_00082
OG0000087	Prbk.g_00559	Prag.g_00132
OG0000088	Prbk.g_00773	Prag.g_00159
OG0000089	Prbk.g_00364	Prag.g_00350
OG0000090	Prbk.g_01080	Prag.g_00512
OG0000091	Prbk.g_02639	Prag.g_00620
OG0000093	Prbk.g_02444	Prag.g_00932
OG0000094	Prbk.g_02190	Prag.g_01017
OG0000097	Prbk.g_00189	Prag.g_01194
OG0000098	Prbk.g_01199	Prag.g_01371
OG0000099	Prbk.g_00476	Prag.g_01424
OG0000100	Prbk.g_01360, Prbk.g_02498	Prag.g_01564
OG0000101	Prbk.g_00796, Prbk.g_00944	Prag.g_01804
OG0000102	Prbk.g_01484	Prag.g_01866
OG0000103	Prbk.g_02260	Prag.g_01945
OG0000104	Prbk.g_02274	Prag.g_01953
OG0000105	Prbk.g_00409	Prag.g_00265
OG0000106	Prbk.g_00925	Prag.g_00364
OG0000108	Prbk.g_02061	Prag.g_00459
OG0000109	Prbk.g_02077	Prag.g_00473
OG0000110	Prbk.g_01110	Prag.g_00553
OG0000111	Prbk.g_01766	Prag.g_00677
OG0000112	Prbk.g_02332	Prag.g_00771
OG0000113	Prbk.g_02493	Prag.g_00828
OG0000114	Prbk.g_02396	Prag.g_00906
OG0000115	Prbk.g_01234	Prag.g_01097
OG0000116	Prbk.g_01034	Prag.g_01143
OG0000117	Prbk.g_01496	Prag.g_01298
OG0000118	Prbk.g_01169	Prag.g_01367
OG0000119	Prbk.g_01746, Prbk.g_01786	Prag.g_01385
OG0000120	Prbk.g_00477	Prag.g_01423
OG0000121	Prbk.g_00267, Prbk.g_00261	Prag.g_01492
OG0000122	Prbk.g_02664	Prag.g_01530
OG0000123	Prbk.g_00805	Prag.g_01811
OG0000124	Prbk.g_01539	Prag.g_01877
OG0000125	Prbk.g_02168	Prag.g_01913
OG0000126	Prbk.g_02272	Prag.g_01952
OG0000128	Prbk.g_02290	Prag.g_00011
OG0000129	Prbk.g_02156	Prag.g_00044
OG0000130	Prbk.g_01320	Prag.g_00063
OG0000131	Prbk.g_00751	Prag.g_00138
OG0000132	Prbk.g_00771	Prag.g_00157
OG0000133	Prbk.g_00472	Prag.g_00313
OG0000134	Prbk.g_00361	Prag.g_00351
OG0000135	Prbk.g_02209	Prag.g_00375
OG0000136	Prbk.g_00323	Prag.g_00420
OG0000137	Prbk.g_02113	Prag.g_00454
OG0000138	Prbk.g_02078	Prag.g_00474
OG0000139	Prbk.g_01086	Prag.g_00516
OG0000140	Prbk.g_01092	Prag.g_00517
OG0000141	Prbk.g_01154	Prag.g_00585
OG0000142	Prbk.g_02631	Prag.g_00613
OG0000143	Prbk.g_02635	Prag.g_00617
OG0000144	Prbk.g_00739	Prag.g_00630
OG0000145	Prbk.g_01863	Prag.g_00758
OG0000146	Prbk.g_02333	Prag.g_00772
OG0000147	Prbk.g_02334	Prag.g_00773
OG0000148	Prbk.g_02487	Prag.g_00822
OG0000149	Prbk.g_02544	Prag.g_00851
OG0000150	Prbk.g_02567	Prag.g_00859
OG0000151	Prbk.g_02417	Prag.g_00916
OG0000152	Prbk.g_02324	Prag.g_00964
OG0000153	Prbk.g_02297	Prag.g_00983
OG0000154	Prbk.g_00584	Prag.g_01010
OG0000155	Prbk.g_00099	Prag.g_01173
OG0000156	Prbk.g_00164	Prag.g_01342
