Orthogroup	Prbk	Prax
OG0000000	Prbk.g_00165	Prax.g_01608, Prax.g_00496
OG0000000	Prbk.g_00167, Prbk.g_00166	Prax.g_01919, Prax.g_01606
OG0000001	Prbk.g_01196, Prbk.g_00170	Prax.g_01878, Prax.g_00522
OG0000002	Prbk.g_02574	Prax.g_01870
OG0000002	Prbk.g_01649	Prax.g_00964
OG0000004	Prbk.g_01760	Prax.g_00947
OG0000004	Prbk.g_01134	Prax.g_00986
OG0000005	Prbk.g_00933	Prax.g_01652
OG0000006	Prbk.g_02695	Prax.g_01972
OG0000007	Prbk.g_00907	Prax.g_01559
OG0000010	Prbk.g_02112	Prax.g_00728
OG0000011	Prbk.g_01851	Prax.g_01930, Prax.g_00460
OG0000012	Prbk.g_02610	Prax.g_00082
OG0000013	Prbk.g_00853	Prax.g_00846
OG0000014	Prbk.g_00454	Prax.g_00869
OG0000015	Prbk.g_02558	Prax.g_00523, Prax.g_00410
OG0000017	Prbk.g_01142	Prax.g_00057
OG0000018	Prbk.g_01227	Prax.g_00181, Prax.g_00346
OG0000019	Prbk.g_01644	Prax.g_00926, Prax.g_00393
OG0000020	Prbk.g_01664	Prax.g_00138
OG0000021	Prbk.g_01960	Prax.g_01587, Prax.g_00808
OG0000022	Prbk.g_00212	Prax.g_00415
OG0000022	Prbk.g_01667	Prax.g_00157
OG0000023	Prbk.g_02448	Prax.g_00813
OG0000024	Prbk.g_01780	Prax.g_00432, Prax.g_00967
OG0000025	Prbk.g_02531	Prax.g_00338, Prax.g_00842
OG0000026	Prbk.g_01617	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000028	Prbk.g_00469	Prax.g_00855
OG0000029	Prbk.g_00833	Prax.g_00425
OG0000030	Prbk.g_01532, Prbk.g_01533	Prax.g_01404
OG0000032	Prbk.g_00480	Prax.g_01838
OG0000033	Prbk.g_00776	Prax.g_01049
OG0000034	Prbk.g_01171	Prax.g_01889
OG0000035	Prbk.g_00259	Prax.g_01728, Prax.g_01733
OG0000037	Prbk.g_00007	Prax.g_01110
OG0000038	Prbk.g_02164, Prbk.g_02166	Prax.g_01445
OG0000039	Prbk.g_01385, Prbk.g_00642	Prax.g_00956
OG0000041	Prbk.g_01406	Prax.g_01512
OG0000042	Prbk.g_01495, Prbk.g_00140	Prax.g_01401
OG0000045	Prbk.g_01321	Prax.g_00802
OG0000047	Prbk.g_01202	Prax.g_00843
OG0000048	Prbk.g_00405	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000051	Prbk.g_01709	Prax.g_01927
OG0000053	Prbk.g_01230	Prax.g_01708
OG0000054	Prbk.g_01153	Prax.g_00065
OG0000057	Prbk.g_01765	Prax.g_00944
OG0000059	Prbk.g_00533	Prax.g_01286
OG0000062	Prbk.g_00931	Prax.g_01650
OG0000063	Prbk.g_01613	Prax.g_00280
OG0000065	Prbk.g_00011	Prax.g_01112
OG0000066	Prbk.g_01094	Prax.g_00662
OG0000067	Prbk.g_02468	Prax.g_00373
OG0000068	Prbk.g_02052	Prax.g_01863
OG0000070	Prbk.g_00310	Prax.g_00750
OG0000071	Prbk.g_01183	Prax.g_01899
OG0000072	Prbk.g_00778	Prax.g_01047
OG0000073	Prbk.g_01862	Prax.g_00702
OG0000075	Prbk.g_00514	Prax.g_01370
OG0000076	Prbk.g_00237	Prax.g_01394
OG0000077	Prbk.g_01308	Prax.g_00649
OG0000078	Prbk.g_01515	Prax.g_00979
OG0000079	Prbk.g_01000	Prax.g_00923
OG0000081	Prbk.g_01772	Prax.g_00670
OG0000082	Prbk.g_01122	Prax.g_00045
OG0000084	Prbk.g_00255	Prax.g_01737
OG0000085	Prbk.g_00919	Prax.g_01566
OG0000086	Prbk.g_01295	Prax.g_00659
OG0000087	Prbk.g_00559	Prax.g_01079
OG0000088	Prbk.g_00773	Prax.g_01052
OG0000089	Prbk.g_00364	Prax.g_00817
OG0000090	Prbk.g_01080	Prax.g_00668
OG0000091	Prbk.g_02639	Prax.g_00101
OG0000093	Prbk.g_02444	Prax.g_01769, Prax.g_00588
OG0000094	Prbk.g_02190	Prax.g_01185
OG0000097	Prbk.g_00189	Prax.g_00241
OG0000098	Prbk.g_01199	Prax.g_01881
OG0000099	Prbk.g_00476	Prax.g_01825
OG0000100	Prbk.g_01360, Prbk.g_02498	Prax.g_01654
OG0000101	Prbk.g_00796, Prbk.g_00944	Prax.g_01338
OG0000102	Prbk.g_01484	Prax.g_01399
OG0000103	Prbk.g_02260	Prax.g_01478
OG0000104	Prbk.g_02274	Prax.g_01486
OG0000105	Prbk.g_00409	Prax.g_00901
OG0000106	Prbk.g_00925	Prax.g_00803
OG0000108	Prbk.g_02061	Prax.g_00722
OG0000109	Prbk.g_02077	Prax.g_00707
OG0000110	Prbk.g_01110	Prax.g_00035
OG0000111	Prbk.g_01766	Prax.g_00943
OG0000112	Prbk.g_02332	Prax.g_00409
OG0000113	Prbk.g_02493	Prax.g_00351
OG0000114	Prbk.g_02396	Prax.g_00561
OG0000115	Prbk.g_01234	Prax.g_00132
OG0000116	Prbk.g_01034	Prax.g_00190
OG0000117	Prbk.g_01496	Prax.g_01959
OG0000118	Prbk.g_01169	Prax.g_01887
OG0000119	Prbk.g_01746, Prbk.g_01786	Prax.g_01867
OG0000120	Prbk.g_00477	Prax.g_01832
OG0000121	Prbk.g_00267, Prbk.g_00261	Prax.g_01726
OG0000122	Prbk.g_02664	Prax.g_01688
OG0000123	Prbk.g_00805	Prax.g_01345
OG0000124	Prbk.g_01539	Prax.g_01410
OG0000125	Prbk.g_02168	Prax.g_01447
OG0000126	Prbk.g_02272	Prax.g_01485
OG0000128	Prbk.g_02290	Prax.g_01974
OG0000129	Prbk.g_02156	Prax.g_00269
OG0000130	Prbk.g_01320	Prax.g_00640
OG0000131	Prbk.g_00751	Prax.g_01073
OG0000132	Prbk.g_00771	Prax.g_01054
OG0000133	Prbk.g_00472	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Prbk.g_00361	Prax.g_01573, Prax.g_00816
OG0000135	Prbk.g_02209	Prax.g_00792
OG0000136	Prbk.g_00323	Prax.g_00759
OG0000137	Prbk.g_02113	Prax.g_00727
OG0000138	Prbk.g_02078	Prax.g_00706
OG0000139	Prbk.g_01086	Prax.g_00664
OG0000140	Prbk.g_01092	Prax.g_00663
OG0000141	Prbk.g_01154	Prax.g_00066
OG0000142	Prbk.g_02631	Prax.g_00094
OG0000143	Prbk.g_02635	Prax.g_00098
OG0000144	Prbk.g_00739	Prax.g_00111
OG0000145	Prbk.g_01863	Prax.g_00413
OG0000146	Prbk.g_02333	Prax.g_00408
OG0000147	Prbk.g_02334	Prax.g_00407
OG0000148	Prbk.g_02487	Prax.g_00357
OG0000149	Prbk.g_02544	Prax.g_00326
OG0000150	Prbk.g_02567	Prax.g_00318
OG0000151	Prbk.g_02417	Prax.g_00571
OG0000152	Prbk.g_02324	Prax.g_01129
OG0000153	Prbk.g_02297	Prax.g_01148
OG0000154	Prbk.g_00584	Prax.g_01178
OG0000155	Prbk.g_00099	Prax.g_00220
OG0000156	Prbk.g_00164	Prax.g_01910
OG0000157	Prbk.g_00163	Prax.g_01909
OG0000158	Prbk.g_00526	Prax.g_01780
OG0000160	Prbk.g_00260	Prax.g_01727
OG0000161	Prbk.g_00274	Prax.g_01721
OG0000162	Prbk.g_00280	Prax.g_01715
OG0000163	Prbk.g_02002	Prax.g_01681
OG0000164	Prbk.g_01432	Prax.g_01535
OG0000165	Prbk.g_01423	Prax.g_01528
OG0000166	Prbk.g_00982	Prax.g_01302
OG0000167	Prbk.g_00512	Prax.g_01368
OG0000168	Prbk.g_00527	Prax.g_01378
OG0000169	Prbk.g_00220	Prax.g_01388
OG0000170	Prbk.g_00232	Prax.g_01390
OG0000171	Prbk.g_01538	Prax.g_01409
OG0000172	Prbk.g_01573	Prax.g_01418
OG0000173	Prbk.g_01594	Prax.g_01433
OG0000174	Prbk.g_02211	Prax.g_01460
OG0000175	Prbk.g_02249	Prax.g_01470
OG0000176	Prbk.g_02282	Prax.g_01494
OG0000177	Prbk.g_02283	Prax.g_01495
OG0000178	Prbk.g_02284	Prax.g_01496
OG0000179	Prbk.g_01633	Prax.g_00297
OG0000180	Prbk.g_01632	Prax.g_00296
OG0000181	Prbk.g_01631	Prax.g_00295
OG0000182	Prbk.g_01630	Prax.g_00294
OG0000183	Prbk.g_01626	Prax.g_00290
OG0000184	Prbk.g_02148	Prax.g_00621
OG0000185	Prbk.g_02126	Prax.g_00624
OG0000186	Prbk.g_01326	Prax.g_00635
OG0000187	Prbk.g_01324	Prax.g_00636
OG0000188	Prbk.g_01303	Prax.g_00653
OG0000189	Prbk.g_00024	Prax.g_01122
OG0000190	Prbk.g_00022	Prax.g_01121
OG0000191	Prbk.g_00197	Prax.g_01101
OG0000192	Prbk.g_00206	Prax.g_01097
OG0000193	Prbk.g_00752	Prax.g_01072
OG0000194	Prbk.g_00755	Prax.g_01069
OG0000195	Prbk.g_00757	Prax.g_01067
OG0000196	Prbk.g_00768	Prax.g_01057
OG0000197	Prbk.g_00769	Prax.g_01056
OG0000198	Prbk.g_00770	Prax.g_01055
OG0000199	Prbk.g_00777	Prax.g_01048
OG0000201	Prbk.g_01261	Prax.g_01026
OG0000202	Prbk.g_01260	Prax.g_01025
OG0000203	Prbk.g_01259	Prax.g_01024
OG0000204	Prbk.g_01258	Prax.g_01023
OG0000205	Prbk.g_01251	Prax.g_01016
OG0000206	Prbk.g_00632	Prax.g_01011
OG0000207	Prbk.g_00686	Prax.g_01009
OG0000208	Prbk.g_00685	Prax.g_01008
OG0000209	Prbk.g_00658	Prax.g_00999
OG0000210	Prbk.g_00657	Prax.g_00998
OG0000211	Prbk.g_01368	Prax.g_00985
