Orthogroup	Syae	Prap
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prap.g_01925
OG0000004	Syae.g_00779	Prap.g_00802
OG0000004	Syae.g_00042, Syae.g_02231	Prap.g_01480
OG0000005	Syae.g_01143	Prap.g_00204
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prap.g_01470
OG0000007	Syae.g_02328	Prap.g_01270
OG0000007	Syae.g_01163	Prap.g_01779
OG0000008	Syae.g_00753	Prap.g_01888
OG0000008	Syae.g_00752	Prap.g_01887
OG0000009	Syae.g_00561, Syae.g_00171	Prap.g_00216
OG0000010	Syae.g_02529	Prap.g_00669, Prap.g_00318
OG0000012	Syae.g_00049	Prap.g_01145
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prap.g_01385
OG0000014	Syae.g_01930	Prap.g_01403
OG0000015	Syae.g_01693, Syae.g_00590	Prap.g_01840, Prap.g_01794
OG0000016	Syae.g_00681, Syae.g_00233	Prap.g_00514
OG0000017	Syae.g_02462	Prap.g_01170
OG0000017	Syae.g_02469	Prap.g_01163
OG0000018	Syae.g_02625	Prap.g_00478
OG0000019	Syae.g_02015	Prap.g_01462, Prap.g_00480
OG0000021	Syae.g_00481	Prap.g_00229, Prap.g_00797
OG0000023	Syae.g_00439, Syae.g_00930	Prap.g_00029
OG0000025	Syae.g_00833	Prap.g_00747
OG0000026	Syae.g_01748	Prap.g_00923
OG0000027	Syae.g_00103, Syae.g_00814	Prap.g_01912, Prap.g_01860
OG0000028	Syae.g_01916	Prap.g_01889
OG0000029	Syae.g_00136	Prap.g_01899, Prap.g_01848, Prap.g_01688
OG0000030	Syae.g_01817, Syae.g_01816	Prap.g_01569
OG0000031	Syae.g_01911	Prap.g_00080
OG0000032	Syae.g_02607	Prap.g_00160
OG0000033	Syae.g_01453	Prap.g_00087
OG0000034	Syae.g_00975, Syae.g_01424	Prap.g_00572
OG0000035	Syae.g_02653	Prap.g_00121
OG0000037	Syae.g_01367	Prap.g_01067
OG0000038	Syae.g_01571	Prap.g_01530
OG0000039	Syae.g_00822, Syae.g_02495	Prap.g_00814
OG0000041	Syae.g_01042, Syae.g_00802	Prap.g_01731
OG0000042	Syae.g_01821	Prap.g_01572
OG0000043	Syae.g_00117	Prap.g_00477
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prap.g_01384
OG0000047	Syae.g_02184	Prap.g_01343
OG0000048	Syae.g_01982	Prap.g_00548
OG0000050	Syae.g_00122	Prap.g_00667
OG0000052	Syae.g_01886	Prap.g_00897
OG0000053	Syae.g_02629	Prap.g_00142, Prap.g_01834
OG0000054	Syae.g_00014, Syae.g_00221	Prap.g_01161
OG0000057	Syae.g_00782	Prap.g_00799
OG0000058	Syae.g_01905, Syae.g_01227	Prap.g_00081
OG0000059	Syae.g_02074	Prap.g_01691
OG0000061	Syae.g_00921	Prap.g_00456
OG0000062	Syae.g_01145	Prap.g_00206
OG0000063	Syae.g_01752	Prap.g_01903
OG0000064	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194	Prap.g_00883
OG0000065	Syae.g_01363, Syae.g_00722	Prap.g_01069
OG0000066	Syae.g_02386	Prap.g_01230, Prap.g_01867
OG0000067	Syae.g_00521	Prap.g_00783
OG0000068	Syae.g_02299	Prap.g_00059
OG0000069	Syae.g_00458	Prap.g_01312
OG0000070	Syae.g_00979	Prap.g_01316
OG0000071	Syae.g_00961	Prap.g_00561
OG0000072	Syae.g_01455	Prap.g_00999
OG0000073	Syae.g_02330	Prap.g_01267
OG0000074	Syae.g_00719	Prap.g_00021
OG0000075	Syae.g_01871	Prap.g_01606
OG0000076	Syae.g_01829	Prap.g_01580
OG0000077	Syae.g_01297	Prap.g_01099
OG0000078	Syae.g_02243	Prap.g_01472
OG0000079	Syae.g_02011	Prap.g_01459
OG0000081	Syae.g_02261	Prap.g_01238
OG0000082	Syae.g_02447	Prap.g_01183, Prap.g_01790
OG0000084	Syae.g_00857, Syae.g_02656	Prap.g_00118
OG0000085	Syae.g_01152	Prap.g_01917, Prap.g_01787
OG0000086	Syae.g_01333	Prap.g_01090
OG0000087	Syae.g_01414	Prap.g_01035
OG0000088	Syae.g_01449	Prap.g_01004
OG0000089	Syae.g_02219	Prap.g_01349
OG0000090	Syae.g_02374	Prap.g_01236
OG0000091	Syae.g_00082	Prap.g_00384
OG0000093	Syae.g_00537	Prap.g_00355
OG0000094	Syae.g_00430	Prap.g_00306
OG0000095	Syae.g_00793, Syae.g_00259	Prap.g_00708
OG0000097	Syae.g_00683	Prap.g_00410
OG0000098	Syae.g_02384, Syae.g_02058	Prap.g_01928
OG0000099	Syae.g_01913, Syae.g_01226	Prap.g_00082
OG0000100	Syae.g_00489	Prap.g_00200
OG0000101	Syae.g_02125	Prap.g_01642
OG0000102	Syae.g_01824	Prap.g_01575
OG0000103	Syae.g_01694	Prap.g_01491
OG0000104	Syae.g_01708	Prap.g_01869
OG0000105	Syae.g_01977	Prap.g_01436
OG0000106	Syae.g_00272	Prap.g_00591
OG0000107	Syae.g_02032	Prap.g_01714
OG0000108	Syae.g_02309	Prap.g_01287
OG0000109	Syae.g_02324	Prap.g_01273
OG0000110	Syae.g_02435	Prap.g_01194
OG0000111	Syae.g_00783	Prap.g_00798
OG0000112	Syae.g_00351	Prap.g_01121
OG0000113	Syae.g_00494	Prap.g_00760
OG0000114	Syae.g_00575	Prap.g_00858
OG0000115	Syae.g_02631	Prap.g_00525
OG0000116	Syae.g_00939	Prap.g_00467
OG0000117	Syae.g_00647	Prap.g_00429
OG0000118	Syae.g_02479	Prap.g_00574
OG0000119	Syae.g_00904	Prap.g_00510, Prap.g_00218
OG0000120	Syae.g_01912	Prap.g_00079
OG0000121	Syae.g_02649	Prap.g_00123
OG0000122	Syae.g_00112	Prap.g_00532, Prap.g_00164
OG0000123	Syae.g_02131	Prap.g_01635
OG0000124	Syae.g_01809	Prap.g_01563
OG0000125	Syae.g_01573	Prap.g_01528
OG0000126	Syae.g_01706	Prap.g_01870
OG0000128	Syae.g_01724	Prap.g_00043
OG0000129	Syae.g_01562	Prap.g_00910
OG0000130	Syae.g_01284	Prap.g_00881
OG0000131	Syae.g_01428	Prap.g_01026
OG0000132	Syae.g_01447	Prap.g_01006
OG0000133	Syae.g_00356	Prap.g_01389
OG0000134	Syae.g_02222	Prap.g_01347
OG0000135	Syae.g_01608	Prap.g_00543
OG0000136	Syae.g_00989	Prap.g_01325
OG0000137	Syae.g_02530	Prap.g_01292
OG0000138	Syae.g_02325	Prap.g_01272
OG0000139	Syae.g_02380	Prap.g_01232
OG0000140	Syae.g_02383	Prap.g_01231
OG0000141	Syae.g_00016	Prap.g_01160
OG0000142	Syae.g_00074	Prap.g_00392
OG0000143	Syae.g_00078	Prap.g_00388
OG0000144	Syae.g_00261	Prap.g_00374
OG0000145	Syae.g_02331	Prap.g_00545
OG0000146	Syae.g_00350	Prap.g_01122
OG0000147	Syae.g_00349	Prap.g_01123
OG0000148	Syae.g_00500	Prap.g_00766
OG0000149	Syae.g_00847	Prap.g_00734
OG0000150	Syae.g_00017	Prap.g_00724
OG0000151	Syae.g_00563	Prap.g_00848
OG0000152	Syae.g_00360	Prap.g_00257
OG0000153	Syae.g_00394	Prap.g_00276
OG0000154	Syae.g_00420	Prap.g_00296
OG0000155	Syae.g_00885	Prap.g_00435
OG0000156	Syae.g_00945	Prap.g_00550
OG0000157	Syae.g_00946	Prap.g_00551
OG0000158	Syae.g_01858	Prap.g_01598
OG0000160	Syae.g_02650	Prap.g_00122
OG0000161	Syae.g_02644	Prap.g_00128
OG0000162	Syae.g_02638	Prap.g_00134
OG0000163	Syae.g_01092	Prap.g_00173
OG0000164	Syae.g_01198	Prap.g_01754
OG0000165	Syae.g_01021	Prap.g_01747
OG0000166	Syae.g_02085	Prap.g_01680
OG0000167	Syae.g_01874	Prap.g_01608
OG0000168	Syae.g_01856	Prap.g_01597
OG0000169	Syae.g_01841	Prap.g_01587
OG0000170	Syae.g_01834	Prap.g_01584
OG0000171	Syae.g_01810	Prap.g_01564
OG0000172	Syae.g_01788	Prap.g_01557
OG0000173	Syae.g_01770	Prap.g_01542
OG0000174	Syae.g_01610	Prap.g_01513
OG0000175	Syae.g_01679	Prap.g_01500
OG0000176	Syae.g_01716	Prap.g_00050
OG0000177	Syae.g_01717	Prap.g_00049
OG0000178	Syae.g_01718	Prap.g_00048
OG0000179	Syae.g_01733	Prap.g_00939
OG0000180	Syae.g_01734	Prap.g_00938
