Orthogroup	Syae	Syaj
OG0000001	Syae.g_02061	Syaj.g_02674
OG0000001	Syae.g_01416	Syaj.g_01949, Syaj.g_01952
OG0000001	Syae.g_01417	Syaj.g_01950
OG0000001	Syae.g_02055	Syaj.g_02660
OG0000004	Syae.g_00779	Syaj.g_00441
OG0000004	Syae.g_00042	Syaj.g_01314
OG0000004	Syae.g_02231	Syaj.g_02853
OG0000005	Syae.g_01179	Syaj.g_01736
OG0000005	Syae.g_01143	Syaj.g_01698
OG0000005	Syae.g_00257	Syaj.g_01155
OG0000006	Syae.g_02030, Syae.g_02248	Syaj.g_02635
OG0000007	Syae.g_02328	Syaj.g_00091
OG0000007	Syae.g_01163	Syaj.g_01721
OG0000008	Syae.g_00753	Syaj.g_00496
OG0000008	Syae.g_00752	Syaj.g_00497
OG0000009	Syae.g_00561	Syaj.g_01069
OG0000009	Syae.g_01361	Syaj.g_01885
OG0000010	Syae.g_02529	Syaj.g_01445
OG0000011	Syae.g_00268	Syaj.g_01133
OG0000012	Syae.g_00049	Syaj.g_01306
OG0000012	Syae.g_02397, Syae.g_02562	Syaj.g_00172
OG0000013	Syae.g_02160	Syaj.g_02774
OG0000013	Syae.g_02169	Syaj.g_02782
OG0000013	Syae.g_02155	Syaj.g_02769
OG0000014	Syae.g_01930	Syaj.g_02522
OG0000014	Syae.g_01850	Syaj.g_02344
OG0000015	Syae.g_01693	Syaj.g_02242
OG0000015	Syae.g_00590	Syaj.g_00725
OG0000016	Syae.g_01726	Syaj.g_02276
OG0000016	Syae.g_00681	Syaj.g_00590
OG0000016	Syae.g_00233	Syaj.g_01191
OG0000017	Syae.g_02462	Syaj.g_00248
OG0000017	Syae.g_02469	Syaj.g_00255
OG0000018	Syae.g_02625	Syaj.g_01413
OG0000019	Syae.g_02015	Syaj.g_02613
OG0000021	Syae.g_01261	Syaj.g_00982
OG0000022	Syae.g_00144	Syaj.g_01220
OG0000023	Syae.g_00930	Syaj.g_01791
OG0000025	Syae.g_00833	Syaj.g_00383
OG0000026	Syae.g_01748	Syaj.g_02298
OG0000027	Syae.g_00814	Syaj.g_00396
OG0000028	Syae.g_01916	Syaj.g_02506
OG0000029	Syae.g_00136	Syaj.g_01229
OG0000030	Syae.g_01817	Syaj.g_02396
OG0000030	Syae.g_01816	Syaj.g_02395
OG0000031	Syae.g_01911	Syaj.g_02501
OG0000032	Syae.g_02607	Syaj.g_01432
OG0000033	Syae.g_01453	Syaj.g_01990
OG0000034	Syae.g_00975, Syae.g_01424	Syaj.g_01959
OG0000035	Syae.g_02653	Syaj.g_01378
OG0000037	Syae.g_01367	Syaj.g_01891, Syaj.g_02902
OG0000038	Syae.g_01571	Syaj.g_02115
OG0000039	Syae.g_00822	Syaj.g_00392
OG0000039	Syae.g_02495	Syaj.g_00275
OG0000040	Syae.g_01653	Syaj.g_02208
OG0000041	Syae.g_01042	Syaj.g_01602
OG0000041	Syae.g_00802	Syaj.g_00418
OG0000042	Syae.g_01821	Syaj.g_02399
OG0000043	Syae.g_00117	Syaj.g_01247
OG0000044	Syae.g_00098, Syae.g_01067	Syaj.g_01344
OG0000045	Syae.g_00732	Syaj.g_00132
OG0000046	Syae.g_02161	Syaj.g_02775
OG0000046	Syae.g_02168	Syaj.g_02781
OG0000046	Syae.g_02154	Syaj.g_02768
OG0000047	Syae.g_02184	Syaj.g_02799
OG0000048	Syae.g_01982	Syaj.g_02578
OG0000050	Syae.g_00122	Syaj.g_01242
OG0000050	Syae.g_01023	Syaj.g_01584
OG0000051	Syae.g_00438	Syaj.g_02898
OG0000052	Syae.g_01886	Syaj.g_02476
OG0000053	Syae.g_02629	Syaj.g_01409
OG0000054	Syae.g_00014	Syaj.g_01341
OG0000055	Syae.g_00817	Syaj.g_00394
OG0000057	Syae.g_00782	Syaj.g_00438
OG0000058	Syae.g_01905	Syaj.g_02495
OG0000059	Syae.g_02074	Syaj.g_02686
OG0000060	Syae.g_02514	Syaj.g_01469
OG0000060	Syae.g_02306	Syaj.g_00067
OG0000060	Syae.g_00649	Syaj.g_00635
OG0000061	Syae.g_00921	Syaj.g_00302
OG0000062	Syae.g_01145	Syaj.g_01700
OG0000063	Syae.g_01752	Syaj.g_02302
OG0000064	Syae.g_00012	Syaj.g_00041
OG0000064	Syae.g_01631	Syaj.g_01253
OG0000065	Syae.g_01363	Syaj.g_01887
OG0000065	Syae.g_00722	Syaj.g_00007
OG0000066	Syae.g_02386	Syaj.g_00157
OG0000067	Syae.g_00521	Syaj.g_01023
OG0000068	Syae.g_02299	Syaj.g_00059
OG0000070	Syae.g_00979	Syaj.g_01529
OG0000071	Syae.g_00961	Syaj.g_01511
OG0000072	Syae.g_01455	Syaj.g_01992
OG0000073	Syae.g_02330	Syaj.g_00093
OG0000075	Syae.g_01871	Syaj.g_02457
OG0000076	Syae.g_01829	Syaj.g_02417
OG0000078	Syae.g_02243	Syaj.g_02880
OG0000079	Syae.g_02011	Syaj.g_02609
OG0000081	Syae.g_02261	Syaj.g_02888
OG0000082	Syae.g_02447	Syaj.g_00229
OG0000084	Syae.g_00857, Syae.g_02656	Syaj.g_01375
OG0000085	Syae.g_01152	Syaj.g_01707
OG0000086	Syae.g_01333	Syaj.g_01848
OG0000087	Syae.g_01414	Syaj.g_01945
OG0000088	Syae.g_01449	Syaj.g_01986
OG0000089	Syae.g_02219	Syaj.g_02829
OG0000090	Syae.g_02374	Syaj.g_00144
OG0000091	Syae.g_00082	Syaj.g_01275
OG0000092	Syae.g_00884	Syaj.g_00339
OG0000093	Syae.g_00537	Syaj.g_01042
OG0000094	Syae.g_00430	Syaj.g_00804
OG0000095	Syae.g_00793	Syaj.g_00427
OG0000097	Syae.g_00683	Syaj.g_00589
OG0000098	Syae.g_02058	Syaj.g_02671
OG0000099	Syae.g_01913	Syaj.g_02503
OG0000100	Syae.g_00489	Syaj.g_00987
OG0000101	Syae.g_02125	Syaj.g_02738
OG0000102	Syae.g_01824	Syaj.g_02411
OG0000103	Syae.g_01694	Syaj.g_02243
OG0000104	Syae.g_01708	Syaj.g_02258
OG0000105	Syae.g_01977	Syaj.g_02573
OG0000106	Syae.g_00272	Syaj.g_01130
OG0000107	Syae.g_02032	Syaj.g_02637
OG0000108	Syae.g_02309	Syaj.g_00072
OG0000109	Syae.g_02324	Syaj.g_00087
OG0000110	Syae.g_02435	Syaj.g_00215
OG0000111	Syae.g_00783	Syaj.g_00437
OG0000112	Syae.g_00351	Syaj.g_00907
OG0000113	Syae.g_00494	Syaj.g_00992
OG0000114	Syae.g_00575	Syaj.g_00741
OG0000115	Syae.g_02631	Syaj.g_01402
OG0000116	Syae.g_00939	Syaj.g_00289
OG0000117	Syae.g_00647	Syaj.g_00637
OG0000118	Syae.g_02479	Syaj.g_00267
OG0000119	Syae.g_00904	Syaj.g_00317
OG0000120	Syae.g_01912	Syaj.g_02502
OG0000121	Syae.g_02649	Syaj.g_01383
OG0000122	Syae.g_00112	Syaj.g_01250
OG0000123	Syae.g_02131	Syaj.g_02745
OG0000124	Syae.g_01809	Syaj.g_02388
OG0000125	Syae.g_01573	Syaj.g_02117
OG0000126	Syae.g_01706	Syaj.g_02256
OG0000127	Syae.g_00720	Syaj.g_00538
OG0000128	Syae.g_01724	Syaj.g_02274
OG0000129	Syae.g_01562	Syaj.g_02106
OG0000130	Syae.g_01284	Syaj.g_01818
OG0000131	Syae.g_01428	Syaj.g_01964
OG0000132	Syae.g_01447	Syaj.g_01984
OG0000133	Syae.g_00356	Syaj.g_00902
OG0000134	Syae.g_02222	Syaj.g_02832
OG0000135	Syae.g_01608	Syaj.g_02167
OG0000136	Syae.g_00989	Syaj.g_01550
OG0000137	Syae.g_02530	Syaj.g_01444
OG0000138	Syae.g_02325	Syaj.g_00088
OG0000139	Syae.g_02380	Syaj.g_00150
OG0000140	Syae.g_02383	Syaj.g_00153
OG0000141	Syae.g_00016	Syaj.g_01340
OG0000142	Syae.g_00074	Syaj.g_01283
OG0000143	Syae.g_00078	Syaj.g_01279
OG0000144	Syae.g_00261	Syaj.g_01151
OG0000145	Syae.g_02331	Syaj.g_00094
OG0000146	Syae.g_00350	Syaj.g_00908
OG0000147	Syae.g_00349	Syaj.g_00909
OG0000148	Syae.g_00500	Syaj.g_01003
OG0000149	Syae.g_00847	Syaj.g_00369
OG0000150	Syae.g_00017	Syaj.g_01339
OG0000151	Syae.g_00563	Syaj.g_01074
OG0000152	Syae.g_00360	Syaj.g_00898
OG0000153	Syae.g_00394	Syaj.g_00842
OG0000154	Syae.g_00420	Syaj.g_00814
OG0000155	Syae.g_00885	Syaj.g_00338
OG0000156	Syae.g_00945	Syaj.g_00282
OG0000157	Syae.g_00946	Syaj.g_00281
OG0000158	Syae.g_01858	Syaj.g_02445
OG0000160	Syae.g_02650	Syaj.g_01382
OG0000161	Syae.g_02644	Syaj.g_01389
OG0000162	Syae.g_02638	Syaj.g_01395
OG0000163	Syae.g_01092	Syaj.g_01639
OG0000164	Syae.g_01198	Syaj.g_01758
OG0000165	Syae.g_01021	Syaj.g_01582
OG0000166	Syae.g_02085	Syaj.g_02698
OG0000167	Syae.g_01874	Syaj.g_02460
OG0000168	Syae.g_01856	Syaj.g_02444
OG0000169	Syae.g_01841	Syaj.g_02431, Syaj.g_02429
OG0000170	Syae.g_01834	Syaj.g_02422
OG0000171	Syae.g_01810	Syaj.g_02389
OG0000172	Syae.g_01788	Syaj.g_02365
OG0000173	Syae.g_01770	Syaj.g_02321
