Orthogroup	Syae	Pran
OG0000004	Syae.g_00779	Pran.g_01483
OG0000004	Syae.g_00042, Syae.g_02231	Pran.g_00200
OG0000005	Syae.g_01179	Pran.g_00983
OG0000005	Syae.g_01143	Pran.g_00657
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Pran.g_01951
OG0000007	Syae.g_02328	Pran.g_01681
OG0000007	Syae.g_01163	Pran.g_00970
OG0000009	Syae.g_00561, Syae.g_00171	Pran.g_00615
OG0000009	Syae.g_00100, Syae.g_01361	Pran.g_00328
OG0000010	Syae.g_02529	Pran.g_00175
OG0000011	Syae.g_00268	Pran.g_00925
OG0000011	Syae.g_00750	Pran.g_01384
OG0000012	Syae.g_00049, Syae.g_02397, Syae.g_02562	Pran.g_01555
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Pran.g_01867
OG0000014	Syae.g_01930	Pran.g_01888
OG0000014	Syae.g_01850	Pran.g_00755, Pran.g_00754
OG0000015	Syae.g_01693, Syae.g_00590	Pran.g_01394
OG0000016	Syae.g_00233	Pran.g_00620
OG0000017	Syae.g_02462, Syae.g_02469	Pran.g_01580
OG0000018	Syae.g_02625	Pran.g_00078
OG0000019	Syae.g_02015	Pran.g_01943, Pran.g_01363
OG0000021	Syae.g_01261, Syae.g_00481	Pran.g_01829
OG0000022	Syae.g_00144	Pran.g_00097
OG0000023	Syae.g_00439, Syae.g_00930	Pran.g_01834
OG0000025	Syae.g_00833	Pran.g_01863, Pran.g_01309
OG0000026	Syae.g_01748	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syae.g_00103, Syae.g_00814	Pran.g_00583
OG0000028	Syae.g_01916	Pran.g_01874
OG0000029	Syae.g_00136	Pran.g_01410
OG0000030	Syae.g_01817, Syae.g_01816	Pran.g_01170
OG0000031	Syae.g_01911	Pran.g_00753
OG0000033	Syae.g_01453	Pran.g_00800
OG0000034	Syae.g_00975, Syae.g_01424	Pran.g_00866
OG0000035	Syae.g_02653	Pran.g_00733
OG0000037	Syae.g_01367	Pran.g_00324
OG0000038	Syae.g_01571	Pran.g_01210
OG0000039	Syae.g_00822, Syae.g_02495	Pran.g_01492
OG0000040	Syae.g_01653	Pran.g_00079
OG0000041	Syae.g_01042, Syae.g_00802	Pran.g_01016
OG0000042	Syae.g_01821	Pran.g_01167
OG0000044	Syae.g_00098, Syae.g_01067	Pran.g_00949
OG0000047	Syae.g_02184	Pran.g_01864
OG0000048	Syae.g_01982	Pran.g_01772, Pran.g_01820
OG0000050	Syae.g_00122	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000050	Syae.g_01023	Pran.g_00149
OG0000051	Syae.g_00438	Pran.g_00898
OG0000052	Syae.g_01224	Pran.g_00777
OG0000053	Syae.g_02629	Pran.g_00713
OG0000054	Syae.g_00014, Syae.g_00221	Pran.g_01572
OG0000055	Syae.g_00817	Pran.g_01362
OG0000057	Syae.g_00782	Pran.g_01480
OG0000059	Syae.g_02074	Pran.g_01056
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Pran.g_01399
OG0000061	Syae.g_00921	Pran.g_00060
OG0000062	Syae.g_01145	Pran.g_00655
OG0000063	Syae.g_01752	Pran.g_00391
OG0000065	Syae.g_01363, Syae.g_00722	Pran.g_00326
OG0000066	Syae.g_02386	Pran.g_01639
OG0000067	Syae.g_00521	Pran.g_01343
OG0000068	Syae.g_02299	Pran.g_00841
OG0000069	Syae.g_00458	Pran.g_00614
OG0000070	Syae.g_00979	Pran.g_01727
OG0000071	Syae.g_00961	Pran.g_00938, Pran.g_00876
OG0000072	Syae.g_01455	Pran.g_00261
OG0000073	Syae.g_02330	Pran.g_01679
OG0000074	Syae.g_00719	Pran.g_01496
OG0000075	Syae.g_01871	Pran.g_01137
OG0000076	Syae.g_01829	Pran.g_01160
OG0000077	Syae.g_01297	Pran.g_00354
OG0000078	Syae.g_02243	Pran.g_00194
OG0000079	Syae.g_02011	Pran.g_01940
OG0000081	Syae.g_02261	Pran.g_01647
OG0000082	Syae.g_02447	Pran.g_01593
OG0000084	Syae.g_00857, Syae.g_02656	Pran.g_00737
OG0000085	Syae.g_01152	Pran.g_00963
OG0000086	Syae.g_01333	Pran.g_00344
OG0000087	Syae.g_01414	Pran.g_00295
OG0000088	Syae.g_01449	Pran.g_00266
OG0000089	Syae.g_02219	Pran.g_01839
OG0000090	Syae.g_02374	Pran.g_01645
OG0000091	Syae.g_00082	Pran.g_01536
OG0000093	Syae.g_00537	Pran.g_00455
OG0000094	Syae.g_00430	Pran.g_00549
OG0000095	Syae.g_00793, Syae.g_00259	Pran.g_00903
OG0000095	Syae.g_01624	Pran.g_00568
OG0000097	Syae.g_00683	Pran.g_00019
OG0000098	Syae.g_02384, Syae.g_02058	Pran.g_00855
OG0000099	Syae.g_01913, Syae.g_01226	Pran.g_00806
OG0000100	Syae.g_00489	Pran.g_00659
OG0000101	Syae.g_02125	Pran.g_01105
OG0000102	Syae.g_01824	Pran.g_01165
OG0000103	Syae.g_01694	Pran.g_01244
OG0000104	Syae.g_01708	Pran.g_01253
OG0000105	Syae.g_01977	Pran.g_01920
OG0000106	Syae.g_00272	Pran.g_01824
OG0000107	Syae.g_02032	Pran.g_01808
OG0000108	Syae.g_02309	Pran.g_01698
OG0000109	Syae.g_02324	Pran.g_01684
OG0000110	Syae.g_02435	Pran.g_01603
OG0000111	Syae.g_00783	Pran.g_01479
OG0000112	Syae.g_00351	Pran.g_01378
OG0000113	Syae.g_00494	Pran.g_01321
OG0000114	Syae.g_00575	Pran.g_00429
OG0000115	Syae.g_02631	Pran.g_00123
OG0000116	Syae.g_00939	Pran.g_00070
OG0000117	Syae.g_00647	Pran.g_01466
OG0000118	Syae.g_02479	Pran.g_00864
OG0000119	Syae.g_00904	Pran.g_00845
OG0000120	Syae.g_01912	Pran.g_00752
OG0000121	Syae.g_02649	Pran.g_00731
OG0000122	Syae.g_00112	Pran.g_00693
OG0000123	Syae.g_02131	Pran.g_01112
OG0000124	Syae.g_01809	Pran.g_01176
OG0000125	Syae.g_01573	Pran.g_01212
OG0000126	Syae.g_01706	Pran.g_01252
OG0000128	Syae.g_01724	Pran.g_01268
OG0000129	Syae.g_01562	Pran.g_00381
OG0000130	Syae.g_01284	Pran.g_00363
OG0000131	Syae.g_01428	Pran.g_00288
OG0000132	Syae.g_01447	Pran.g_00268
OG0000133	Syae.g_00356	Pran.g_01872
OG0000134	Syae.g_02222	Pran.g_01838
OG0000135	Syae.g_01608	Pran.g_01812
OG0000136	Syae.g_00989	Pran.g_01739
OG0000137	Syae.g_02530	Pran.g_01703
OG0000138	Syae.g_02325	Pran.g_01683
OG0000139	Syae.g_02380	Pran.g_01641
OG0000140	Syae.g_02383	Pran.g_01640
OG0000141	Syae.g_00016	Pran.g_01571
OG0000142	Syae.g_00074	Pran.g_01543
OG0000143	Syae.g_00078	Pran.g_01539
OG0000144	Syae.g_00261	Pran.g_01526
OG0000145	Syae.g_02331	Pran.g_01400
OG0000146	Syae.g_00350	Pran.g_01377
OG0000147	Syae.g_00349	Pran.g_01376
OG0000148	Syae.g_00500	Pran.g_01327
OG0000149	Syae.g_00847	Pran.g_01297
OG0000150	Syae.g_00017	Pran.g_01289
OG0000151	Syae.g_00563	Pran.g_00439
OG0000152	Syae.g_00360	Pran.g_00487
OG0000153	Syae.g_00394	Pran.g_00506
OG0000154	Syae.g_00420	Pran.g_00542
OG0000155	Syae.g_00885	Pran.g_00040
OG0000156	Syae.g_00945	Pran.g_00887
OG0000157	Syae.g_00946	Pran.g_00886
OG0000158	Syae.g_01858	Pran.g_00822
OG0000160	Syae.g_02650	Pran.g_00732
OG0000161	Syae.g_02644	Pran.g_00726
OG0000162	Syae.g_02638	Pran.g_00720
OG0000163	Syae.g_01092	Pran.g_00686
OG0000164	Syae.g_01198	Pran.g_00994
OG0000165	Syae.g_01021	Pran.g_01001
OG0000166	Syae.g_02085	Pran.g_01069, Pran.g_01068
OG0000167	Syae.g_01874	Pran.g_01135
OG0000168	Syae.g_01856	Pran.g_01144
OG0000169	Syae.g_01841	Pran.g_01154
OG0000170	Syae.g_01834	Pran.g_01156
OG0000171	Syae.g_01810	Pran.g_01175
OG0000172	Syae.g_01788	Pran.g_01184
OG0000173	Syae.g_01770	Pran.g_01199
OG0000174	Syae.g_01610	Pran.g_01226
OG0000175	Syae.g_01679	Pran.g_01236
OG0000176	Syae.g_01716	Pran.g_01261
OG0000177	Syae.g_01717	Pran.g_01262
OG0000178	Syae.g_01718	Pran.g_01263
OG0000179	Syae.g_01733	Pran.g_00408
OG0000180	Syae.g_01734	Pran.g_00407
OG0000181	Syae.g_01735	Pran.g_00406
OG0000182	Syae.g_01736	Pran.g_00405
OG0000183	Syae.g_01740	Pran.g_00401
OG0000184	Syae.g_01554	Pran.g_00379
OG0000185	Syae.g_01551	Pran.g_00376
OG0000186	Syae.g_01279	Pran.g_00368
OG0000187	Syae.g_01280	Pran.g_00367
OG0000188	Syae.g_01323	Pran.g_00350
OG0000189	Syae.g_01350	Pran.g_00337
OG0000190	Syae.g_01352	Pran.g_00336
OG0000191	Syae.g_01384	Pran.g_00316
OG0000192	Syae.g_01390	Pran.g_00312
OG0000193	Syae.g_01429	Pran.g_00287
OG0000194	Syae.g_01432	Pran.g_00283
OG0000195	Syae.g_01434	Pran.g_00281
OG0000196	Syae.g_01444	Pran.g_00271
OG0000197	Syae.g_01445	Pran.g_00270
OG0000198	Syae.g_01446	Pran.g_00269
OG0000199	Syae.g_01454	Pran.g_00262
OG0000200	Syae.g_01471	Pran.g_00248
OG0000201	Syae.g_01487	Pran.g_00240
OG0000202	Syae.g_01488	Pran.g_00239
OG0000203	Syae.g_01489	Pran.g_00238
OG0000204	Syae.g_01490	Pran.g_00237
OG0000205	Syae.g_01497	Pran.g_00230
OG0000206	Syae.g_01504	Pran.g_00225
OG0000207	Syae.g_01506	Pran.g_00223
OG0000208	Syae.g_01507	Pran.g_00222
OG0000209	Syae.g_01528	Pran.g_00213
OG0000210	Syae.g_01529	Pran.g_00212
OG0000211	Syae.g_02234	Pran.g_00199
OG0000212	Syae.g_02244	Pran.g_00193
OG0000213	Syae.g_02003	Pran.g_01935
OG0000214	Syae.g_01986	Pran.g_01926
OG0000215	Syae.g_01955	Pran.g_01902
OG0000216	Syae.g_01951	Pran.g_01900
OG0000217	Syae.g_01947	Pran.g_01897
OG0000218	Syae.g_01945	Pran.g_01895
OG0000219	Syae.g_01944	Pran.g_01894
OG0000220	Syae.g_01943	Pran.g_01893
OG0000221	Syae.g_01937	Pran.g_01892
OG0000222	Syae.g_01926	Pran.g_01884
OG0000223	Syae.g_01904	Pran.g_01871
OG0000224	Syae.g_01897	Pran.g_01869
OG0000225	Syae.g_02208	Pran.g_01849
OG0000226	Syae.g_02212	Pran.g_01845
OG0000227	Syae.g_02214	Pran.g_01843
OG0000228	Syae.g_02218	Pran.g_01840
OG0000229	Syae.g_00994	Pran.g_01744
OG0000230	Syae.g_00992	Pran.g_01742
OG0000231	Syae.g_00980	Pran.g_01728
OG0000232	Syae.g_02496	Pran.g_01720
OG0000233	Syae.g_02504	Pran.g_01715
OG0000234	Syae.g_02532	Pran.g_01702
OG0000235	Syae.g_02308	Pran.g_01699
OG0000236	Syae.g_02323	Pran.g_01685
OG0000237	Syae.g_02340	Pran.g_01672
OG0000238	Syae.g_02345	Pran.g_01666
OG0000239	Syae.g_02360	Pran.g_01653
OG0000240	Syae.g_02361	Pran.g_01652
OG0000241	Syae.g_00065	Pran.g_01648
OG0000242	Syae.g_02372	Pran.g_01646
OG0000243	Syae.g_02391	Pran.g_01635
OG0000244	Syae.g_02399	Pran.g_01632
OG0000245	Syae.g_02401	Pran.g_01630
OG0000246	Syae.g_02405	Pran.g_01626
OG0000247	Syae.g_02416	Pran.g_01616
OG0000248	Syae.g_02419	Pran.g_01613
OG0000249	Syae.g_02421	Pran.g_01611
OG0000250	Syae.g_02431	Pran.g_01606
OG0000251	Syae.g_02455	Pran.g_01587
OG0000252	Syae.g_02458	Pran.g_01584
OG0000253	Syae.g_02459	Pran.g_01583
OG0000254	Syae.g_00021	Pran.g_01567
OG0000255	Syae.g_00041	Pran.g_01561
OG0000256	Syae.g_00058	Pran.g_01551
OG0000257	Syae.g_00064	Pran.g_01548
OG0000258	Syae.g_00083	Pran.g_01535
OG0000259	Syae.g_00608	Pran.g_01518
OG0000260	Syae.g_00603	Pran.g_01515
OG0000261	Syae.g_00600	Pran.g_01513
OG0000262	Syae.g_00595	Pran.g_01509
OG0000263	Syae.g_00671	Pran.g_01497
OG0000264	Syae.g_00761	Pran.g_01487
OG0000265	Syae.g_00932, Syae.g_00226	Pran.g_01460
OG0000266	Syae.g_00457	Pran.g_01450
OG0000267	Syae.g_00304	Pran.g_01439
OG0000268	Syae.g_00308	Pran.g_01438
OG0000269	Syae.g_00526	Pran.g_01348
OG0000270	Syae.g_00523	Pran.g_01345
OG0000271	Syae.g_00515	Pran.g_01337
OG0000272	Syae.g_00514	Pran.g_01336
OG0000273	Syae.g_00825	Pran.g_01313
OG0000274	Syae.g_00826	Pran.g_01312
OG0000275	Syae.g_00832	Pran.g_01310
OG0000276	Syae.g_00839	Pran.g_01305
OG0000277	Syae.g_00840	Pran.g_01304
OG0000278	Syae.g_00843	Pran.g_01301
OG0000279	Syae.g_00851	Pran.g_01294
OG0000280	Syae.g_00877	Pran.g_01293
OG0000281	Syae.g_02057	Pran.g_01287
OG0000282	Syae.g_00573	Pran.g_00431
OG0000283	Syae.g_00321	Pran.g_00464
OG0000284	Syae.g_00327	Pran.g_00469
OG0000285	Syae.g_00340	Pran.g_00474
OG0000286	Syae.g_00359	Pran.g_00486
OG0000287	Syae.g_00387	Pran.g_00503
OG0000288	Syae.g_00419	Pran.g_00541
OG0000289	Syae.g_00433	Pran.g_00552
OG0000290	Syae.g_00796	Pran.g_00565
OG0000291	Syae.g_00794	Pran.g_00567
OG0000292	Syae.g_01705	Pran.g_00135
OG0000293	Syae.g_00938	Pran.g_00069
OG0000294	Syae.g_00937	Pran.g_00068
OG0000295	Syae.g_00893	Pran.g_00048
OG0000296	Syae.g_00891	Pran.g_00046
OG0000297	Syae.g_00645	Pran.g_00038
OG0000298	Syae.g_00646	Pran.g_00037
OG0000299	Syae.g_00680	Pran.g_00020
OG0000300	Syae.g_00686	Pran.g_00017
OG0000301	Syae.g_00687	Pran.g_00016
OG0000302	Syae.g_00691	Pran.g_00014
OG0000303	Syae.g_00700	Pran.g_00007
OG0000304	Syae.g_00706	Pran.g_00003
OG0000305	Syae.g_00791	Pran.g_00848
OG0000306	Syae.g_00277	Pran.g_00846
OG0000307	Syae.g_02290	Pran.g_00832
OG0000308	Syae.g_02288	Pran.g_00831
OG0000309	Syae.g_02283	Pran.g_00827
OG0000310	Syae.g_02687	Pran.g_00748
OG0000311	Syae.g_02682	Pran.g_00746
OG0000312	Syae.g_02664	Pran.g_00743
OG0000313	Syae.g_02647	Pran.g_00729
OG0000314	Syae.g_02618	Pran.g_00706
OG0000315	Syae.g_02609	Pran.g_00696
OG0000316	Syae.g_01118	Pran.g_00676
OG0000317	Syae.g_01160	Pran.g_00968
OG0000318	Syae.g_01164	Pran.g_00971
OG0000319	Syae.g_01181	Pran.g_00984
OG0000320	Syae.g_01183	Pran.g_00986
OG0000321	Syae.g_01184	Pran.g_00987
OG0000322	Syae.g_01185	Pran.g_00988
OG0000323	Syae.g_01200	Pran.g_00997
OG0000324	Syae.g_01049	Pran.g_01023
OG0000325	Syae.g_02033	Pran.g_01033
OG0000326	Syae.g_02040	Pran.g_01039
OG0000327	Syae.g_02080	Pran.g_01063
OG0000328	Syae.g_02081	Pran.g_01064
OG0000329	Syae.g_02099	Pran.g_01082
OG0000330	Syae.g_02100	Pran.g_01083
OG0000331	Syae.g_02101	Pran.g_01084
OG0000332	Syae.g_02116	Pran.g_01098
OG0000333	Syae.g_02119	Pran.g_01100
OG0000334	Syae.g_02128	Pran.g_01108
OG0000335	Syae.g_02132	Pran.g_01113
OG0000336	Syae.g_02136	Pran.g_01117
OG0000337	Syae.g_01879	Pran.g_01133
OG0000338	Syae.g_01876	Pran.g_01134
OG0000339	Syae.g_01869	Pran.g_01138
OG0000340	Syae.g_01855	Pran.g_01145
OG0000341	Syae.g_01853	Pran.g_01147
OG0000342	Syae.g_01852	Pran.g_01148
OG0000343	Syae.g_01848	Pran.g_01149
OG0000344	Syae.g_01843	Pran.g_01152
OG0000345	Syae.g_01833	Pran.g_01157
OG0000346	Syae.g_01828	Pran.g_01161
OG0000347	Syae.g_01805	Pran.g_01177
OG0000348	Syae.g_01781	Pran.g_01187
OG0000349	Syae.g_01763	Pran.g_01203
OG0000350	Syae.g_02047	Pran.g_01222
OG0000351	Syae.g_01684	Pran.g_01239
OG0000352	Syae.g_01685	Pran.g_01240
OG0000353	Syae.g_01711	Pran.g_01256
OG0000355	Syae.g_01713	Pran.g_01258
OG0000356	Syae.g_01714	Pran.g_01259
OG0000357	Syae.g_01715	Pran.g_01260
OG0000358	Syae.g_01719	Pran.g_01264
OG0000359	Syae.g_01721	Pran.g_01265
OG0000360	Syae.g_01722	Pran.g_01266
OG0000361	Syae.g_01723	Pran.g_01267
OG0000362	Syae.g_01725	Pran.g_01269
OG0000363	Syae.g_01727	Pran.g_00410
OG0000364	Syae.g_01728	Pran.g_00409
OG0000365	Syae.g_01737	Pran.g_00404
OG0000366	Syae.g_01738	Pran.g_00403
OG0000367	Syae.g_01739	Pran.g_00402
OG0000368	Syae.g_01741	Pran.g_00400
OG0000369	Syae.g_01742	Pran.g_00399
OG0000370	Syae.g_01743	Pran.g_00398
OG0000371	Syae.g_01751	Pran.g_00392
OG0000372	Syae.g_01756	Pran.g_00389
OG0000373	Syae.g_01757	Pran.g_00388
OG0000374	Syae.g_01758	Pran.g_00387
OG0000375	Syae.g_01759	Pran.g_00385
OG0000376	Syae.g_01761	Pran.g_00383
OG0000377	Syae.g_01561	Pran.g_00380
OG0000378	Syae.g_01553	Pran.g_00378
OG0000379	Syae.g_01550	Pran.g_00375
OG0000380	Syae.g_01281	Pran.g_00366
OG0000381	Syae.g_01285	Pran.g_00362
OG0000382	Syae.g_01322	Pran.g_00351
OG0000383	Syae.g_01324	Pran.g_00349
OG0000384	Syae.g_01325	Pran.g_00348
OG0000385	Syae.g_01326	Pran.g_00347
OG0000386	Syae.g_01327	Pran.g_00346
OG0000387	Syae.g_01354	Pran.g_00334
OG0000388	Syae.g_01358	Pran.g_00331
OG0000389	Syae.g_01362	Pran.g_00327
OG0000390	Syae.g_01378	Pran.g_00320
OG0000391	Syae.g_01383	Pran.g_00317
OG0000392	Syae.g_01389	Pran.g_00313
OG0000393	Syae.g_01392	Pran.g_00311
OG0000394	Syae.g_01393	Pran.g_00310
OG0000395	Syae.g_01394	Pran.g_00309
OG0000396	Syae.g_01397	Pran.g_00307
OG0000397	Syae.g_01400	Pran.g_00305
OG0000398	Syae.g_01405	Pran.g_00303
OG0000399	Syae.g_01406	Pran.g_00302
OG0000400	Syae.g_01407	Pran.g_00301
OG0000401	Syae.g_01408	Pran.g_00300
OG0000402	Syae.g_01410	Pran.g_00298
OG0000403	Syae.g_01411	Pran.g_00297
OG0000404	Syae.g_01412	Pran.g_00296
OG0000405	Syae.g_01426	Pran.g_00292
OG0000406	Syae.g_01430	Pran.g_00286
OG0000407	Syae.g_01431	Pran.g_00285
OG0000408	Syae.g_01433	Pran.g_00282
OG0000409	Syae.g_01435	Pran.g_00280
OG0000410	Syae.g_01436	Pran.g_00279
