Orthogroup	Syae	Syak
OG0000001	Syae.g_01416	Syak.g_02139
OG0000001	Syae.g_01417	Syak.g_02138
OG0000001	Syae.g_02055	Syak.g_00275, Syak.g_00579
OG0000004	Syae.g_00779	Syak.g_01219, Syak.g_00720
OG0000004	Syae.g_00042	Syak.g_00003
OG0000004	Syae.g_02231	Syak.g_02297
OG0000005	Syae.g_01179	Syak.g_02401
OG0000005	Syae.g_01143	Syak.g_02436
OG0000006	Syae.g_00096	Syak.g_00057
OG0000006	Syae.g_02030, Syae.g_02248	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syae.g_02328	Syak.g_02595
OG0000007	Syae.g_01163	Syak.g_02416
OG0000008	Syae.g_00753	Syak.g_00267
OG0000008	Syae.g_00752	Syak.g_00692
OG0000009	Syae.g_00100, Syae.g_01361	Syak.g_02194
OG0000010	Syae.g_02529	Syak.g_01119
OG0000011	Syae.g_00750	Syak.g_00960
OG0000012	Syae.g_00049	Syak.g_00010
OG0000013	Syae.g_02160	Syak.g_01270
OG0000013	Syae.g_02155	Syak.g_01275
OG0000014	Syae.g_01930	Syak.g_01505
OG0000014	Syae.g_01850	Syak.g_01582
OG0000015	Syae.g_01693	Syak.g_01813
OG0000015	Syae.g_00590	Syak.g_00358
OG0000016	Syae.g_01726	Syak.g_01780
OG0000016	Syae.g_00681	Syak.g_00818
OG0000017	Syae.g_02462	Syak.g_02730
OG0000017	Syae.g_02469	Syak.g_02738
OG0000018	Syae.g_02625	Syak.g_01072
OG0000019	Syae.g_02015	Syak.g_01413
OG0000021	Syae.g_01261, Syae.g_00481	Syak.g_00566
OG0000022	Syae.g_00144	Syak.g_00088
OG0000023	Syae.g_00439	Syak.g_00316
OG0000023	Syae.g_00930	Syak.g_00223
OG0000025	Syae.g_00833	Syak.g_00610
OG0000026	Syae.g_01748	Syak.g_01757
OG0000027	Syae.g_00814	Syak.g_00127
OG0000028	Syae.g_01916	Syak.g_01522
OG0000029	Syae.g_00136	Syak.g_00169, Syak.g_00178
OG0000030	Syae.g_01817	Syak.g_01684
OG0000030	Syae.g_01816	Syak.g_01685
OG0000031	Syae.g_01911	Syak.g_01630
OG0000032	Syae.g_02607	Syak.g_01092
OG0000033	Syae.g_01453	Syak.g_02101
OG0000034	Syae.g_00975, Syae.g_01424	Syak.g_00950, Syak.g_02133
OG0000035	Syae.g_02653	Syak.g_01041, Syak.g_01040
OG0000037	Syae.g_01367	Syak.g_02188
OG0000038	Syae.g_01571	Syak.g_01938
OG0000039	Syae.g_00822	Syak.g_00772
OG0000039	Syae.g_02495	Syak.g_01918
OG0000040	Syae.g_01653	Syak.g_01852
OG0000041	Syae.g_01042	Syak.g_02354
OG0000042	Syae.g_01821	Syak.g_00843, Syak.g_01681
OG0000043	Syae.g_00117	Syak.g_00335
OG0000044	Syae.g_00098	Syak.g_00767
OG0000044	Syae.g_01067	Syak.g_00153
OG0000045	Syae.g_00732	Syak.g_00317
OG0000046	Syae.g_02161	Syak.g_01269
OG0000046	Syae.g_02154	Syak.g_01276
OG0000047	Syae.g_02184	Syak.g_01147
OG0000048	Syae.g_01982	Syak.g_01446
OG0000050	Syae.g_00122	Syak.g_00106
OG0000052	Syae.g_01886	Syak.g_01549
OG0000053	Syae.g_02629	Syak.g_01068
OG0000054	Syae.g_00221	Syak.g_02321
OG0000055	Syae.g_00817	Syak.g_00766
OG0000057	Syae.g_00782	Syak.g_00724, Syak.g_01676
OG0000058	Syae.g_01905, Syae.g_01227	Syak.g_01530
OG0000059	Syae.g_02074	Syak.g_01355
OG0000060	Syae.g_02514	Syak.g_01138
OG0000060	Syae.g_02306	Syak.g_02572
OG0000060	Syae.g_00649	Syak.g_00844
OG0000061	Syae.g_00921	Syak.g_00898
OG0000062	Syae.g_01145	Syak.g_02434
OG0000063	Syae.g_01752	Syak.g_01752
OG0000064	Syae.g_01137	Syak.g_00983
OG0000064	Syae.g_01631	Syak.g_00254
OG0000064	Syae.g_00194	Syak.g_00164
OG0000065	Syae.g_00722	Syak.g_00282
OG0000067	Syae.g_00521	Syak.g_00434
OG0000068	Syae.g_02299	Syak.g_02565
OG0000070	Syae.g_00979	Syak.g_01174
OG0000071	Syae.g_00961	Syak.g_00936
OG0000072	Syae.g_01455	Syak.g_02099
OG0000073	Syae.g_02330	Syak.g_02597
OG0000075	Syae.g_01871	Syak.g_01564
OG0000076	Syae.g_01829	Syak.g_01650
OG0000077	Syae.g_01297	Syak.g_02243
OG0000078	Syae.g_02243	Syak.g_02310
OG0000079	Syae.g_02011	Syak.g_01417
OG0000081	Syae.g_02261	Syak.g_00115
OG0000082	Syae.g_02447	Syak.g_02711
OG0000084	Syae.g_00857, Syae.g_02656	Syak.g_01036
OG0000085	Syae.g_01152	Syak.g_02427
OG0000086	Syae.g_01333	Syak.g_02219
OG0000087	Syae.g_01414	Syak.g_02141
OG0000088	Syae.g_01449	Syak.g_02106
OG0000089	Syae.g_02219	Syak.g_01215
OG0000090	Syae.g_02374	Syak.g_02640
OG0000091	Syae.g_00082	Syak.g_00043
OG0000092	Syae.g_00884	Syak.g_01126
OG0000093	Syae.g_00537	Syak.g_00416
OG0000094	Syae.g_00430	Syak.g_00656
OG0000095	Syae.g_00793	Syak.g_00736
OG0000097	Syae.g_00683	Syak.g_00816
OG0000098	Syae.g_02384	Syak.g_02651
OG0000099	Syae.g_01913	Syak.g_01527
OG0000100	Syae.g_00489	Syak.g_00622
OG0000101	Syae.g_02125	Syak.g_01305
OG0000102	Syae.g_01824	Syak.g_01661
OG0000103	Syae.g_01694	Syak.g_01812
OG0000104	Syae.g_01708	Syak.g_01799
OG0000105	Syae.g_01977	Syak.g_01451
OG0000106	Syae.g_00272	Syak.g_00096
OG0000107	Syae.g_02032	Syak.g_01392
OG0000108	Syae.g_02309	Syak.g_02574
