Orthogroup	Syae	Prbd
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbd.g_01779
OG0000004	Syae.g_00779	Prbd.g_00549
OG0000004	Syae.g_00042, Syae.g_02231	Prbd.g_01007
OG0000005	Syae.g_01179	Prbd.g_01512
OG0000005	Syae.g_01143	Prbd.g_01612
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbd.g_00998
OG0000007	Syae.g_02328	Prbd.g_00745
OG0000007	Syae.g_01163	Prbd.g_01525
OG0000009	Syae.g_00561, Syae.g_00171	Prbd.g_01887, Prbd.g_01576
OG0000009	Syae.g_00100, Syae.g_01361	Prbd.g_01139
OG0000010	Syae.g_02529	Prbd.g_00348
OG0000011	Syae.g_00268	Prbd.g_01859
OG0000011	Syae.g_00750	Prbd.g_00534, Prbd.g_01867
OG0000012	Syae.g_00049, Syae.g_02397, Syae.g_02562	Prbd.g_00621
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbd.g_00912
OG0000014	Syae.g_01930	Prbd.g_00933
OG0000015	Syae.g_01693, Syae.g_00590	Prbd.g_00065, Prbd.g_00826
OG0000016	Syae.g_01726	Prbd.g_01224
OG0000017	Syae.g_02462, Syae.g_02469	Prbd.g_00646
OG0000018	Syae.g_02625	Prbd.g_00449
OG0000019	Syae.g_02015	Prbd.g_00990, Prbd.g_00082
OG0000021	Syae.g_01261, Syae.g_00481	Prbd.g_01546, Prbd.g_00874
OG0000022	Syae.g_00144	Prbd.g_00423
OG0000023	Syae.g_00439, Syae.g_00930	Prbd.g_00879
OG0000025	Syae.g_00833	Prbd.g_00908, Prbd.g_00137
OG0000026	Syae.g_01748	Prbd.g_01206, Prbd.g_00355
OG0000027	Syae.g_00103, Syae.g_00814	Prbd.g_00772, Prbd.g_01832
OG0000028	Syae.g_01916	Prbd.g_01864, Prbd.g_00919
OG0000029	Syae.g_00136	Prbd.g_00052, Prbd.g_00863
OG0000030	Syae.g_01817, Syae.g_01816	Prbd.g_01325
OG0000034	Syae.g_00975, Syae.g_01424	Prbd.g_01791
OG0000035	Syae.g_02653	Prbd.g_01689
OG0000037	Syae.g_01367	Prbd.g_01135
OG0000038	Syae.g_01571	Prbd.g_01283
OG0000039	Syae.g_00822, Syae.g_02495	Prbd.g_00558
OG0000040	Syae.g_01653	Prbd.g_00448
OG0000041	Syae.g_01042, Syae.g_00802	Prbd.g_01478
OG0000042	Syae.g_01821	Prbd.g_01328
OG0000047	Syae.g_02184	Prbd.g_00909
OG0000048	Syae.g_01982	Prbd.g_00439, Prbd.g_00864
OG0000050	Syae.g_00122	Prbd.g_01928
OG0000050	Syae.g_01023	Prbd.g_00375
OG0000053	Syae.g_02629	Prbd.g_01669
OG0000054	Syae.g_00014, Syae.g_00221	Prbd.g_00638
OG0000055	Syae.g_00817	Prbd.g_00083
OG0000057	Syae.g_00782	Prbd.g_00546
OG0000059	Syae.g_02074	Prbd.g_01439
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Prbd.g_00824
OG0000061	Syae.g_00921	Prbd.g_00468
OG0000062	Syae.g_01145	Prbd.g_01610
OG0000063	Syae.g_01752	Prbd.g_01204
OG0000065	Syae.g_01363, Syae.g_00722	Prbd.g_01137
OG0000066	Syae.g_02386	Prbd.g_00703
OG0000067	Syae.g_00521	Prbd.g_00102
OG0000068	Syae.g_02299	Prbd.g_01764
OG0000069	Syae.g_00458	Prbd.g_01575
OG0000070	Syae.g_00979	Prbd.g_00792
OG0000071	Syae.g_00961	Prbd.g_01801
OG0000072	Syae.g_01455	Prbd.g_01069
OG0000073	Syae.g_02330	Prbd.g_00743
OG0000074	Syae.g_00719	Prbd.g_00562
OG0000075	Syae.g_01871	Prbd.g_01359
OG0000076	Syae.g_01829	Prbd.g_01335
OG0000077	Syae.g_01297	Prbd.g_01166
OG0000078	Syae.g_02243	Prbd.g_01000
OG0000079	Syae.g_02011	Prbd.g_00987
OG0000081	Syae.g_02261	Prbd.g_00711
OG0000082	Syae.g_02447	Prbd.g_00658
OG0000084	Syae.g_00857, Syae.g_02656	Prbd.g_01693
OG0000085	Syae.g_01152	Prbd.g_01532
OG0000086	Syae.g_01333	Prbd.g_01156
OG0000087	Syae.g_01414	Prbd.g_01104, Prbd.g_01103
OG0000088	Syae.g_01449	Prbd.g_01074
OG0000089	Syae.g_02219	Prbd.g_00883
OG0000090	Syae.g_02374	Prbd.g_00709
OG0000091	Syae.g_00082	Prbd.g_00602
OG0000092	Syae.g_00884	Prbd.g_01193
OG0000093	Syae.g_00537	Prbd.g_00232
OG0000094	Syae.g_00430	Prbd.g_00321
OG0000095	Syae.g_00793, Syae.g_00259, Syae.g_01624	Prbd.g_00340
