Orthogroup	Syae	Prbb
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbb.g_01611
OG0000004	Syae.g_00779	Prbb.g_01450
OG0000004	Syae.g_00042, Syae.g_02231	Prbb.g_00288
OG0000005	Syae.g_01179	Prbb.g_01393
OG0000005	Syae.g_01143	Prbb.g_01766
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syae.g_02328	Prbb.g_00501
OG0000007	Syae.g_01163	Prbb.g_01823
OG0000008	Syae.g_00753	Prbb.g_01884
OG0000008	Syae.g_00752	Prbb.g_01885
OG0000010	Syae.g_02529	Prbb.g_01072
OG0000011	Syae.g_00268	Prbb.g_01229
OG0000011	Syae.g_00750	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbb.g_00378
OG0000014	Syae.g_01930	Prbb.g_00357
OG0000015	Syae.g_01693, Syae.g_00590	Prbb.g_01158
OG0000016	Syae.g_01726	Prbb.g_00014
OG0000016	Syae.g_00681, Syae.g_00233	Prbb.g_01919
OG0000018	Syae.g_02625	Prbb.g_01539
OG0000019	Syae.g_02015	Prbb.g_00761
OG0000021	Syae.g_00481	Prbb.g_01914, Prbb.g_00099
OG0000022	Syae.g_00144	Prbb.g_01258
OG0000023	Syae.g_00439, Syae.g_00930	Prbb.g_01411, Prbb.g_01373
OG0000025	Syae.g_00833	Prbb.g_00052, Prbb.g_00818
OG0000026	Syae.g_01748	Prbb.g_00032
OG0000027	Syae.g_00103, Syae.g_00814	Prbb.g_01375
OG0000028	Syae.g_01916	Prbb.g_01635
OG0000029	Syae.g_00136	Prbb.g_01800
OG0000030	Syae.g_01817, Syae.g_01816	Prbb.g_02073
OG0000031	Syae.g_01911	Prbb.g_00387
OG0000032	Syae.g_02607	Prbb.g_01723
OG0000033	Syae.g_01453	Prbb.g_00226
OG0000034	Syae.g_00975, Syae.g_01424	Prbb.g_01596
OG0000035	Syae.g_02653	Prbb.g_01686
OG0000037	Syae.g_01367	Prbb.g_00164
OG0000038	Syae.g_01571	Prbb.g_02129
OG0000039	Syae.g_00822, Syae.g_02495	Prbb.g_00692
OG0000041	Syae.g_01042, Syae.g_00802	Prbb.g_01868
OG0000042	Syae.g_01821	Prbb.g_02069
OG0000043	Syae.g_00117	Prbb.g_00909
OG0000044	Syae.g_00098, Syae.g_01067	Prbb.g_00079
OG0000045	Syae.g_00732	Prbb.g_01347
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbb.g_00379
OG0000047	Syae.g_02184	Prbb.g_00386, Prbb.g_00421
OG0000048	Syae.g_01982	Prbb.g_00325
OG0000050	Syae.g_00122	Prbb.g_01452
OG0000050	Syae.g_01023	Prbb.g_00116
OG0000052	Syae.g_01886	Prbb.g_00112
OG0000053	Syae.g_02629	Prbb.g_01705
OG0000054	Syae.g_00014, Syae.g_00221	Prbb.g_00607
OG0000057	Syae.g_00782	Prbb.g_01359, Prbb.g_00706
OG0000058	Syae.g_01905, Syae.g_01227	Prbb.g_00851
OG0000059	Syae.g_02074	Prbb.g_01946
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Prbb.g_01153
OG0000061	Syae.g_00921	Prbb.g_01517
OG0000062	Syae.g_01145	Prbb.g_01768
OG0000063	Syae.g_01752	Prbb.g_01921
OG0000065	Syae.g_01363, Syae.g_00722	Prbb.g_00162
OG0000066	Syae.g_02386	Prbb.g_00542
OG0000067	Syae.g_00521	Prbb.g_00783
OG0000068	Syae.g_02299	Prbb.g_01639
OG0000069	Syae.g_00458	Prbb.g_01324, Prbb.g_01729
OG0000070	Syae.g_00979	Prbb.g_00455
OG0000071	Syae.g_00961	Prbb.g_01586
OG0000072	Syae.g_01455	Prbb.g_00228
OG0000073	Syae.g_02330	Prbb.g_00503
OG0000074	Syae.g_00719	Prbb.g_01104
OG0000075	Syae.g_01871	Prbb.g_02036
OG0000076	Syae.g_01829	Prbb.g_02061
OG0000078	Syae.g_02243	Prbb.g_00297
OG0000079	Syae.g_02011	Prbb.g_00308
OG0000081	Syae.g_02261	Prbb.g_00534
OG0000082	Syae.g_02447	Prbb.g_01882
OG0000084	Syae.g_00857, Syae.g_02656	Prbb.g_01683
OG0000085	Syae.g_01152	Prbb.g_01816
OG0000086	Syae.g_01333	Prbb.g_00143
OG0000087	Syae.g_01414	Prbb.g_00196
OG0000088	Syae.g_01449	Prbb.g_00223
OG0000089	Syae.g_02219	Prbb.g_00416
OG0000090	Syae.g_02374	Prbb.g_00536
OG0000091	Syae.g_00082	Prbb.g_00643
OG0000092	Syae.g_00884	Prbb.g_00937
OG0000093	Syae.g_00537	Prbb.g_00768
OG0000094	Syae.g_00430	Prbb.g_00892
OG0000095	Syae.g_00793, Syae.g_00259	Prbb.g_01070
OG0000097	Syae.g_00683	Prbb.g_01470
OG0000098	Syae.g_02384, Syae.g_02058	Prbb.g_01608
OG0000099	Syae.g_01913, Syae.g_01226	Prbb.g_00388
OG0000100	Syae.g_00489	Prbb.g_01763
OG0000101	Syae.g_02125	Prbb.g_02001
OG0000102	Syae.g_01824	Prbb.g_02066
OG0000103	Syae.g_01694	Prbb.g_02174
OG0000104	Syae.g_01708	Prbb.g_02185
OG0000105	Syae.g_01977	Prbb.g_00327
OG0000106	Syae.g_00272	Prbb.g_01197, Prbb.g_01329
OG0000107	Syae.g_02032	Prbb.g_01923
OG0000108	Syae.g_02309	Prbb.g_00484, Prbb.g_00485
OG0000109	Syae.g_02324	Prbb.g_00498
OG0000110	Syae.g_02435	Prbb.g_00578
OG0000111	Syae.g_00783	Prbb.g_00707
OG0000112	Syae.g_00351	Prbb.g_00983
OG0000113	Syae.g_00494	Prbb.g_00807, Prbb.g_01218
OG0000114	Syae.g_00575	Prbb.g_00932
OG0000115	Syae.g_02631	Prbb.g_01780
OG0000116	Syae.g_00939	Prbb.g_01528
OG0000117	Syae.g_00647	Prbb.g_01399
OG0000118	Syae.g_02479	Prbb.g_01598
OG0000119	Syae.g_00904	Prbb.g_01632
OG0000120	Syae.g_01912	Prbb.g_00678
OG0000121	Syae.g_02649	Prbb.g_01688
OG0000122	Syae.g_00112	Prbb.g_01727
OG0000123	Syae.g_02131	Prbb.g_02008
OG0000125	Syae.g_01573	Prbb.g_02131
OG0000126	Syae.g_01706	Prbb.g_02183
OG0000127	Syae.g_00720	Prbb.g_01346
OG0000128	Syae.g_01724	Prbb.g_00012
OG0000129	Syae.g_01562	Prbb.g_00059
OG0000130	Syae.g_01284	Prbb.g_00124
OG0000131	Syae.g_01428	Prbb.g_00202
OG0000132	Syae.g_01447	Prbb.g_00221
OG0000133	Syae.g_00356	Prbb.g_00373
OG0000134	Syae.g_02222	Prbb.g_00418
OG0000135	Syae.g_01608	Prbb.g_01326
OG0000136	Syae.g_00989	Prbb.g_00446
OG0000137	Syae.g_02530	Prbb.g_00478
OG0000138	Syae.g_02325	Prbb.g_00499
OG0000139	Syae.g_02380	Prbb.g_00540
OG0000140	Syae.g_02383	Prbb.g_00541
OG0000141	Syae.g_00016	Prbb.g_00608
OG0000142	Syae.g_00074	Prbb.g_00636
OG0000143	Syae.g_00078	Prbb.g_00640
OG0000144	Syae.g_00261	Prbb.g_00653
OG0000145	Syae.g_02331	Prbb.g_01099
OG0000146	Syae.g_00350	Prbb.g_00982
OG0000147	Syae.g_00349	Prbb.g_00981
OG0000148	Syae.g_00500	Prbb.g_00801
OG0000149	Syae.g_00847	Prbb.g_00832
OG0000150	Syae.g_00017	Prbb.g_00840
OG0000151	Syae.g_00563	Prbb.g_00943
OG0000152	Syae.g_00360	Prbb.g_00991
OG0000153	Syae.g_00394	Prbb.g_01009
OG0000154	Syae.g_00420	Prbb.g_01040
OG0000155	Syae.g_00885	Prbb.g_01495
OG0000156	Syae.g_00945	Prbb.g_01575
OG0000157	Syae.g_00946	Prbb.g_01576
OG0000158	Syae.g_01858	Prbb.g_02044
OG0000160	Syae.g_02650	Prbb.g_01687
OG0000161	Syae.g_02644	Prbb.g_01693
OG0000162	Syae.g_02638	Prbb.g_01699
OG0000163	Syae.g_01092	Prbb.g_01735
OG0000164	Syae.g_01198	Prbb.g_01845
OG0000165	Syae.g_01021	Prbb.g_01853
OG0000166	Syae.g_02085	Prbb.g_01964
OG0000167	Syae.g_01874	Prbb.g_02034
OG0000168	Syae.g_01856	Prbb.g_02045
OG0000169	Syae.g_01841	Prbb.g_02055
OG0000170	Syae.g_01834	Prbb.g_02057
OG0000171	Syae.g_01810	Prbb.g_02078
OG0000172	Syae.g_01788	Prbb.g_02101
OG0000173	Syae.g_01770	Prbb.g_02116
OG0000174	Syae.g_01610	Prbb.g_02147
OG0000175	Syae.g_01679	Prbb.g_02165
