Orthogroup	Syae	Praj
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praj.g_01549
OG0000004	Syae.g_00779	Praj.g_01396
OG0000004	Syae.g_00042, Syae.g_02231	Praj.g_00271
OG0000005	Syae.g_01179	Praj.g_01349
OG0000005	Syae.g_01143	Praj.g_01712
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syae.g_02328	Praj.g_00489
OG0000007	Syae.g_01163	Praj.g_01768
OG0000008	Syae.g_00753	Praj.g_01829
OG0000008	Syae.g_00752	Praj.g_01830
OG0000010	Syae.g_02529	Praj.g_01026
OG0000011	Syae.g_00268	Praj.g_01187
OG0000011	Syae.g_00750	Praj.g_01158
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Praj.g_00362
OG0000014	Syae.g_01930	Praj.g_00341
OG0000014	Syae.g_01850	Praj.g_01609
OG0000015	Syae.g_01693, Syae.g_00590	Praj.g_01113
OG0000016	Syae.g_01726	Praj.g_00013
OG0000016	Syae.g_00681, Syae.g_00233	Praj.g_01865
OG0000018	Syae.g_02625	Praj.g_01482
OG0000019	Syae.g_02015	Praj.g_00747
OG0000021	Syae.g_00481	Praj.g_01859, Praj.g_00084
OG0000022	Syae.g_00144	Praj.g_01216
OG0000023	Syae.g_00439, Syae.g_00930	Praj.g_01365, Praj.g_01329
OG0000025	Syae.g_00833	Praj.g_00805
OG0000026	Syae.g_01748	Praj.g_00031
OG0000027	Syae.g_00103, Syae.g_00814	Praj.g_01331
OG0000028	Syae.g_01916	Praj.g_01571
OG0000029	Syae.g_00136	Praj.g_01745
OG0000030	Syae.g_01817, Syae.g_01816	Praj.g_02024
OG0000031	Syae.g_01911	Praj.g_00371
OG0000032	Syae.g_02607	Praj.g_01669
OG0000033	Syae.g_01453	Praj.g_00209
OG0000034	Syae.g_00975, Syae.g_01424	Praj.g_01538
OG0000035	Syae.g_02653	Praj.g_01632
OG0000037	Syae.g_01367	Praj.g_00147
OG0000038	Syae.g_01571	Praj.g_02089
OG0000039	Syae.g_00822, Syae.g_02495	Praj.g_00679
OG0000041	Syae.g_01042, Syae.g_00802	Praj.g_01813
OG0000042	Syae.g_01821	Praj.g_02020
OG0000043	Syae.g_00117	Praj.g_00864
OG0000045	Syae.g_00732	Praj.g_01303
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Praj.g_00363
OG0000047	Syae.g_02184	Praj.g_00370, Praj.g_00408
OG0000048	Syae.g_01982	Praj.g_00308
OG0000050	Syae.g_00122	Praj.g_01398
OG0000050	Syae.g_01023	Praj.g_00099
OG0000052	Syae.g_01886	Praj.g_00095
OG0000053	Syae.g_02629	Praj.g_01651
OG0000054	Syae.g_00014, Syae.g_00221	Praj.g_00594
OG0000057	Syae.g_00782	Praj.g_01313, Praj.g_00691
OG0000058	Syae.g_01905, Syae.g_01227	Praj.g_00839
OG0000059	Syae.g_02074	Praj.g_01892
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Praj.g_01108
OG0000061	Syae.g_00921	Praj.g_01461
OG0000062	Syae.g_01145	Praj.g_01714
OG0000063	Syae.g_01752	Praj.g_01867
OG0000065	Syae.g_01363, Syae.g_00722	Praj.g_00145
OG0000066	Syae.g_02386	Praj.g_00530
OG0000067	Syae.g_00521	Praj.g_00769
OG0000068	Syae.g_02299	Praj.g_01575
OG0000069	Syae.g_00458	Praj.g_01276, Praj.g_01675
OG0000070	Syae.g_00979	Praj.g_00444
OG0000071	Syae.g_00961	Praj.g_01528
OG0000072	Syae.g_01455	Praj.g_00211
