Orthogroup	Syae	Prbh
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbh.g_00001
OG0000004	Syae.g_00779	Prbh.g_00933
OG0000004	Syae.g_00042, Syae.g_02231	Prbh.g_00548
OG0000005	Syae.g_01143	Prbh.g_00182
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbh.g_00538
OG0000007	Syae.g_02328	Prbh.g_00334
OG0000007	Syae.g_01163	Prbh.g_01782
OG0000008	Syae.g_00753	Prbh.g_01406
OG0000008	Syae.g_00752	Prbh.g_01405
OG0000009	Syae.g_00561, Syae.g_00171	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Syae.g_02529	Prbh.g_00848, Prbh.g_01143
OG0000011	Syae.g_00750	Prbh.g_01835
OG0000012	Syae.g_00049	Prbh.g_01460
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbh.g_00452
OG0000014	Syae.g_01930	Prbh.g_00472
OG0000015	Syae.g_01693, Syae.g_00590	Prbh.g_00840, Prbh.g_01869
OG0000016	Syae.g_00681, Syae.g_00233	Prbh.g_01336
OG0000017	Syae.g_02462	Prbh.g_00232
OG0000017	Syae.g_02469	Prbh.g_00225
OG0000018	Syae.g_02625	Prbh.g_01305
OG0000019	Syae.g_02015	Prbh.g_00530, Prbh.g_01307
OG0000021	Syae.g_00481	Prbh.g_00203, Prbh.g_00938
OG0000023	Syae.g_00439, Syae.g_00930	Prbh.g_00833
OG0000025	Syae.g_00833	Prbh.g_00988
OG0000026	Syae.g_01748	Prbh.g_00749
OG0000028	Syae.g_01916	Prbh.g_00404, Prbh.g_00459
OG0000029	Syae.g_00136	Prbh.g_01885, Prbh.g_01691
OG0000030	Syae.g_01817, Syae.g_01816	Prbh.g_01570
OG0000031	Syae.g_01911	Prbh.g_00064
OG0000032	Syae.g_02607	Prbh.g_00138
OG0000034	Syae.g_00975, Syae.g_01424	Prbh.g_01383
OG0000035	Syae.g_02653	Prbh.g_00096, Prbh.g_00099
OG0000037	Syae.g_01367	Prbh.g_00674
OG0000038	Syae.g_01571	Prbh.g_01530
OG0000039	Syae.g_00822, Syae.g_02495	Prbh.g_00921
OG0000041	Syae.g_01042, Syae.g_00802	Prbh.g_01734
OG0000042	Syae.g_01821	Prbh.g_01573
OG0000043	Syae.g_00117	Prbh.g_01304
OG0000044	Syae.g_00098, Syae.g_01067	Prbh.g_01794
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbh.g_00451
OG0000047	Syae.g_02184	Prbh.g_00408
OG0000048	Syae.g_01982	Prbh.g_00508
OG0000050	Syae.g_00122	Prbh.g_01445, Prbh.g_00850
OG0000052	Syae.g_01886	Prbh.g_00727
OG0000053	Syae.g_02629	Prbh.g_00120, Prbh.g_01834
OG0000054	Syae.g_00014, Syae.g_00221	Prbh.g_00223
OG0000057	Syae.g_00782	Prbh.g_00936
OG0000059	Syae.g_02074	Prbh.g_01695
OG0000061	Syae.g_00921	Prbh.g_01283
OG0000062	Syae.g_01145	Prbh.g_00184
OG0000063	Syae.g_01752	Prbh.g_01401
OG0000064	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194	Prbh.g_00715
OG0000065	Syae.g_01363, Syae.g_00722	Prbh.g_00676
OG0000066	Syae.g_02386	Prbh.g_01856
OG0000067	Syae.g_00521	Prbh.g_00953
OG0000068	Syae.g_02299	Prbh.g_00009
OG0000069	Syae.g_00458	Prbh.g_00376
OG0000070	Syae.g_00979	Prbh.g_00382
OG0000071	Syae.g_00961	Prbh.g_01373
OG0000072	Syae.g_01455	Prbh.g_00611
OG0000073	Syae.g_02330	Prbh.g_00330
OG0000074	Syae.g_00719	Prbh.g_00828
OG0000075	Syae.g_01871	Prbh.g_01607
OG0000076	Syae.g_01829	Prbh.g_01581
OG0000077	Syae.g_01297	Prbh.g_00704
OG0000078	Syae.g_02243	Prbh.g_00540
OG0000079	Syae.g_02011	Prbh.g_00527
OG0000081	Syae.g_02261	Prbh.g_00298
OG0000082	Syae.g_02447	Prbh.g_01855
OG0000084	Syae.g_00857, Syae.g_02656	Prbh.g_00093
OG0000085	Syae.g_01152	Prbh.g_01408
OG0000086	Syae.g_01333	Prbh.g_00695
OG0000087	Syae.g_01414	Prbh.g_00642
OG0000088	Syae.g_01449	Prbh.g_00616
OG0000089	Syae.g_02219	Prbh.g_00415
OG0000090	Syae.g_02374	Prbh.g_00296
OG0000091	Syae.g_00082	Prbh.g_01211
OG0000093	Syae.g_00537	Prbh.g_01181
OG0000094	Syae.g_00430	Prbh.g_01130
OG0000095	Syae.g_00793, Syae.g_00259	Prbh.g_01031
OG0000097	Syae.g_00683	Prbh.g_01236
OG0000098	Syae.g_02384, Syae.g_02058	Prbh.g_01935
OG0000099	Syae.g_01913, Syae.g_01226	Prbh.g_00032
OG0000100	Syae.g_00489	Prbh.g_00179
OG0000101	Syae.g_02125	Prbh.g_01644
OG0000102	Syae.g_01824	Prbh.g_01576
OG0000103	Syae.g_01694	Prbh.g_01489
OG0000104	Syae.g_01708	Prbh.g_01480
OG0000105	Syae.g_01977	Prbh.g_00505
OG0000106	Syae.g_00272	Prbh.g_00821
OG0000107	Syae.g_02032	Prbh.g_01718
OG0000108	Syae.g_02309	Prbh.g_00351
OG0000109	Syae.g_02324	Prbh.g_00337
OG0000110	Syae.g_02435	Prbh.g_00254
OG0000111	Syae.g_00783	Prbh.g_00937
OG0000112	Syae.g_00351	Prbh.g_01078
OG0000113	Syae.g_00494	Prbh.g_00976
OG0000114	Syae.g_00575	Prbh.g_00878
OG0000115	Syae.g_02631	Prbh.g_01344
OG0000116	Syae.g_00939	Prbh.g_01294
OG0000117	Syae.g_00647	Prbh.g_01255
OG0000118	Syae.g_02479	Prbh.g_01385
OG0000119	Syae.g_00904	Prbh.g_01333, Prbh.g_00194
OG0000120	Syae.g_01912	Prbh.g_00031
OG0000121	Syae.g_02649	Prbh.g_00101
OG0000122	Syae.g_00112	Prbh.g_01347, Prbh.g_00143
OG0000123	Syae.g_02131	Prbh.g_01637
OG0000124	Syae.g_01809	Prbh.g_01564
OG0000125	Syae.g_01573	Prbh.g_01528
OG0000126	Syae.g_01706	Prbh.g_01481
OG0000127	Syae.g_00720	Prbh.g_01938
OG0000128	Syae.g_01724	Prbh.g_01953
OG0000129	Syae.g_01562	Prbh.g_00738
OG0000130	Syae.g_01284	Prbh.g_00713
OG0000131	Syae.g_01428	Prbh.g_00637
OG0000132	Syae.g_01447	Prbh.g_00618
OG0000133	Syae.g_00356	Prbh.g_00457
OG0000134	Syae.g_02222	Prbh.g_00413
OG0000135	Syae.g_01608	Prbh.g_01825
OG0000136	Syae.g_00989	Prbh.g_00391
OG0000137	Syae.g_02530	Prbh.g_00356
OG0000138	Syae.g_02325	Prbh.g_00336
OG0000139	Syae.g_02380	Prbh.g_00292
OG0000140	Syae.g_02383	Prbh.g_00291
OG0000141	Syae.g_00016	Prbh.g_00222
OG0000142	Syae.g_00074	Prbh.g_01218
OG0000143	Syae.g_00078	Prbh.g_01215
OG0000144	Syae.g_00261	Prbh.g_01201
OG0000145	Syae.g_02331	Prbh.g_01880
OG0000146	Syae.g_00350	Prbh.g_01077
OG0000147	Syae.g_00349	Prbh.g_01076
OG0000148	Syae.g_00500	Prbh.g_00970
OG0000149	Syae.g_00847	Prbh.g_01002
OG0000150	Syae.g_00017	Prbh.g_01012
OG0000151	Syae.g_00563	Prbh.g_00888
OG0000152	Syae.g_00360	Prbh.g_01086
OG0000153	Syae.g_00394	Prbh.g_01104
OG0000154	Syae.g_00420	Prbh.g_01121
OG0000155	Syae.g_00885	Prbh.g_01261
OG0000156	Syae.g_00945	Prbh.g_01362
OG0000157	Syae.g_00946	Prbh.g_01363
OG0000158	Syae.g_01858	Prbh.g_01599
OG0000160	Syae.g_02650	Prbh.g_00100
OG0000161	Syae.g_02644	Prbh.g_01288, Prbh.g_00106
OG0000162	Syae.g_02638	Prbh.g_00112
OG0000163	Syae.g_01092	Prbh.g_00151
OG0000164	Syae.g_01198	Prbh.g_01758
OG0000165	Syae.g_01021	Prbh.g_01750
OG0000166	Syae.g_02085	Prbh.g_01681
OG0000167	Syae.g_01874	Prbh.g_01609
OG0000168	Syae.g_01856	Prbh.g_01598
OG0000169	Syae.g_01841	Prbh.g_01588
OG0000170	Syae.g_01834	Prbh.g_01585
OG0000171	Syae.g_01810	Prbh.g_01565
OG0000172	Syae.g_01788	Prbh.g_01558
OG0000173	Syae.g_01770	Prbh.g_01543
OG0000174	Syae.g_01610	Prbh.g_01512
OG0000175	Syae.g_01679	Prbh.g_01500
OG0000176	Syae.g_01716	Prbh.g_01472
OG0000177	Syae.g_01717	Prbh.g_01471
OG0000178	Syae.g_01718	Prbh.g_01470
OG0000179	Syae.g_01733	Prbh.g_00764
OG0000180	Syae.g_01734	Prbh.g_00763
OG0000181	Syae.g_01735	Prbh.g_00762
OG0000182	Syae.g_01736	Prbh.g_00761
OG0000183	Syae.g_01740	Prbh.g_00757
OG0000184	Syae.g_01554	Prbh.g_00734
OG0000185	Syae.g_01551	Prbh.g_00731
OG0000186	Syae.g_01279	Prbh.g_00719
OG0000187	Syae.g_01280	Prbh.g_00718
OG0000188	Syae.g_01323	Prbh.g_00701
OG0000189	Syae.g_01350	Prbh.g_00687
OG0000190	Syae.g_01352	Prbh.g_00686
OG0000191	Syae.g_01384	Prbh.g_00664
OG0000192	Syae.g_01390	Prbh.g_00659
OG0000193	Syae.g_01429	Prbh.g_00636
OG0000194	Syae.g_01432	Prbh.g_00633
OG0000195	Syae.g_01434	Prbh.g_00631
OG0000196	Syae.g_01444	Prbh.g_00621
OG0000197	Syae.g_01445	Prbh.g_00620
OG0000198	Syae.g_01446	Prbh.g_00619
OG0000199	Syae.g_01454	Prbh.g_00612
OG0000200	Syae.g_01471	Prbh.g_00599
OG0000201	Syae.g_01487	Prbh.g_00590
OG0000202	Syae.g_01488	Prbh.g_00589
OG0000203	Syae.g_01489	Prbh.g_00588
OG0000204	Syae.g_01490	Prbh.g_00587
OG0000205	Syae.g_01497	Prbh.g_00580
OG0000206	Syae.g_01504	Prbh.g_00575
OG0000207	Syae.g_01506	Prbh.g_00573
OG0000208	Syae.g_01507	Prbh.g_00572
OG0000209	Syae.g_01528	Prbh.g_00563
OG0000210	Syae.g_01529	Prbh.g_00562
OG0000211	Syae.g_02234	Prbh.g_00547
OG0000212	Syae.g_02244	Prbh.g_00539
OG0000213	Syae.g_02003	Prbh.g_00521
OG0000214	Syae.g_01986	Prbh.g_00512
OG0000215	Syae.g_01955	Prbh.g_00485
OG0000216	Syae.g_01951	Prbh.g_00484
OG0000217	Syae.g_01947	Prbh.g_00481
OG0000218	Syae.g_01945	Prbh.g_00479
OG0000219	Syae.g_01944	Prbh.g_00478
OG0000220	Syae.g_01943	Prbh.g_00477
OG0000221	Syae.g_01937	Prbh.g_00476
OG0000222	Syae.g_01926	Prbh.g_00469
OG0000223	Syae.g_01904	Prbh.g_00456
OG0000224	Syae.g_01897	Prbh.g_00454
OG0000225	Syae.g_02208	Prbh.g_00426
OG0000226	Syae.g_02212	Prbh.g_00422
OG0000227	Syae.g_02214	Prbh.g_00420
OG0000228	Syae.g_02218	Prbh.g_00416
OG0000229	Syae.g_00994	Prbh.g_00396
OG0000230	Syae.g_00992	Prbh.g_00394
OG0000231	Syae.g_00980	Prbh.g_00383
OG0000232	Syae.g_02496	Prbh.g_00370
OG0000233	Syae.g_02504	Prbh.g_00365
OG0000234	Syae.g_02532	Prbh.g_00355
OG0000235	Syae.g_02308	Prbh.g_00352
OG0000236	Syae.g_02323	Prbh.g_00338
OG0000237	Syae.g_02340	Prbh.g_00324
OG0000238	Syae.g_02345	Prbh.g_00318
OG0000239	Syae.g_02360	Prbh.g_00305
OG0000240	Syae.g_02361	Prbh.g_00304
OG0000241	Syae.g_00065	Prbh.g_00299
OG0000242	Syae.g_02372	Prbh.g_00297
OG0000243	Syae.g_02391	Prbh.g_00287
OG0000244	Syae.g_02399	Prbh.g_00284
OG0000245	Syae.g_02401	Prbh.g_00282
OG0000246	Syae.g_02405	Prbh.g_00278
OG0000247	Syae.g_02416	Prbh.g_00267
OG0000248	Syae.g_02419	Prbh.g_00264
OG0000249	Syae.g_02421	Prbh.g_00262
OG0000250	Syae.g_02431	Prbh.g_00257
OG0000251	Syae.g_02455	Prbh.g_00239
OG0000252	Syae.g_02458	Prbh.g_00236
OG0000253	Syae.g_02459	Prbh.g_00235
OG0000254	Syae.g_00021	Prbh.g_00218
OG0000255	Syae.g_00041	Prbh.g_00212
OG0000256	Syae.g_00058	Prbh.g_01455
OG0000257	Syae.g_00064	Prbh.g_01223
OG0000258	Syae.g_00083	Prbh.g_01210
OG0000259	Syae.g_00608	Prbh.g_01193
OG0000260	Syae.g_00603	Prbh.g_01190
OG0000261	Syae.g_00600	Prbh.g_01187
OG0000262	Syae.g_00595	Prbh.g_01182
OG0000263	Syae.g_00671	Prbh.g_00915
OG0000264	Syae.g_00761	Prbh.g_00926
OG0000265	Syae.g_00932, Syae.g_00226	Prbh.g_00945
OG0000266	Syae.g_00457	Prbh.g_01163
OG0000267	Syae.g_00304	Prbh.g_01150
OG0000268	Syae.g_00308	Prbh.g_01149
OG0000269	Syae.g_00526	Prbh.g_00948
OG0000270	Syae.g_00523	Prbh.g_00951
OG0000271	Syae.g_00515	Prbh.g_00959
OG0000272	Syae.g_00514	Prbh.g_00960
OG0000273	Syae.g_00825	Prbh.g_00983
OG0000274	Syae.g_00826	Prbh.g_00984
OG0000275	Syae.g_00832	Prbh.g_00987
OG0000276	Syae.g_00839	Prbh.g_00993
OG0000277	Syae.g_00840	Prbh.g_00994
OG0000278	Syae.g_00843	Prbh.g_00997
OG0000279	Syae.g_00851	Prbh.g_01005
OG0000280	Syae.g_00877	Prbh.g_01006
OG0000281	Syae.g_02057	Prbh.g_01013
OG0000282	Syae.g_00573	Prbh.g_00880
OG0000283	Syae.g_00321	Prbh.g_01059
OG0000284	Syae.g_00327	Prbh.g_01064
OG0000285	Syae.g_00340	Prbh.g_01069
