Orthogroup	Syae	Prbk
OG0000001	Syae.g_01417	Prbk.g_00561, Prbk.g_02701
OG0000004	Syae.g_00779	Prbk.g_01760
OG0000004	Syae.g_00042, Syae.g_02231	Prbk.g_01134
OG0000005	Syae.g_01143	Prbk.g_00933
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbk.g_02695
OG0000007	Syae.g_01163	Prbk.g_00907
OG0000008	Syae.g_00753	Prbk.g_01819
OG0000008	Syae.g_00752	Prbk.g_01820
OG0000009	Syae.g_00100, Syae.g_01361	Prbk.g_01932, Prbk.g_00013
OG0000010	Syae.g_02529	Prbk.g_02112
OG0000011	Syae.g_00268	Prbk.g_01851
OG0000012	Syae.g_00049	Prbk.g_02610
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbk.g_00853
OG0000014	Syae.g_01930	Prbk.g_00454
OG0000015	Syae.g_01693, Syae.g_00590	Prbk.g_02558
OG0000017	Syae.g_02462	Prbk.g_01142
OG0000017	Syae.g_02469	Prbk.g_01150
OG0000018	Syae.g_02625	Prbk.g_01227
OG0000019	Syae.g_02015	Prbk.g_01004
OG0000021	Syae.g_00481	Prbk.g_01960, Prbk.g_01137
OG0000022	Syae.g_00144	Prbk.g_01667
OG0000023	Syae.g_00439, Syae.g_00930	Prbk.g_02448
OG0000025	Syae.g_00833	Prbk.g_02531
OG0000026	Syae.g_01748	Prbk.g_01617
OG0000028	Syae.g_01916	Prbk.g_00469
OG0000029	Syae.g_00136	Prbk.g_00833
OG0000030	Syae.g_01817	Prbk.g_01532
OG0000030	Syae.g_01816	Prbk.g_01533
OG0000031	Syae.g_01911	Prbk.g_00534, Prbk.g_00539
OG0000032	Syae.g_02607	Prbk.g_01209
OG0000033	Syae.g_01453	Prbk.g_00776
OG0000034	Syae.g_00975, Syae.g_01424	Prbk.g_01171
OG0000035	Syae.g_02653	Prbk.g_00259
OG0000037	Syae.g_01367	Prbk.g_00007
OG0000038	Syae.g_01571	Prbk.g_02164
OG0000039	Syae.g_02495	Prbk.g_00642
OG0000041	Syae.g_01042, Syae.g_00802	Prbk.g_01406
OG0000042	Syae.g_01821	Prbk.g_01495, Prbk.g_00140
OG0000044	Syae.g_00098	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Syae.g_00732	Prbk.g_01321
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbk.g_00854
OG0000047	Syae.g_02184	Prbk.g_01202, Prbk.g_02565
OG0000048	Syae.g_01982	Prbk.g_00405
OG0000052	Syae.g_01886	Prbk.g_00499
OG0000053	Syae.g_02629	Prbk.g_01230
OG0000054	Syae.g_00014, Syae.g_00221	Prbk.g_01153
OG0000057	Syae.g_00782	Prbk.g_01765
OG0000058	Syae.g_01905, Syae.g_01227	Prbk.g_00479
OG0000059	Syae.g_02074	Prbk.g_00992
OG0000060	Syae.g_02306	Prbk.g_02058
OG0000061	Syae.g_00921	Prbk.g_01019
OG0000062	Syae.g_01145	Prbk.g_00931
OG0000063	Syae.g_01752	Prbk.g_01613
OG0000066	Syae.g_02386	Prbk.g_01094
OG0000067	Syae.g_00521	Prbk.g_02468
OG0000068	Syae.g_02299	Prbk.g_02052
OG0000070	Syae.g_00979	Prbk.g_00310
OG0000071	Syae.g_00961	Prbk.g_01183
OG0000072	Syae.g_01455	Prbk.g_00778
OG0000073	Syae.g_02330	Prbk.g_01862
OG0000075	Syae.g_01871	Prbk.g_00514
OG0000076	Syae.g_01829	Prbk.g_00237
OG0000077	Syae.g_01297	Prbk.g_01308
OG0000078	Syae.g_02243	Prbk.g_01515
OG0000082	Syae.g_02447	Prbk.g_01122
OG0000084	Syae.g_00857, Syae.g_02656	Prbk.g_00255
OG0000085	Syae.g_01152	Prbk.g_00919
OG0000086	Syae.g_01333	Prbk.g_01295
OG0000087	Syae.g_01414	Prbk.g_00559
OG0000088	Syae.g_01449	Prbk.g_00773, Prbk.g_01836
OG0000089	Syae.g_02219	Prbk.g_00364
OG0000090	Syae.g_02374	Prbk.g_01080
OG0000091	Syae.g_00082	Prbk.g_02639
OG0000093	Syae.g_00537	Prbk.g_02444
OG0000094	Syae.g_00430	Prbk.g_02190
