Orthogroup	Syae	Praw
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praw.g_01000
OG0000004	Syae.g_00779	Praw.g_01827
OG0000004	Syae.g_00042, Syae.g_02231	Praw.g_01203
OG0000005	Syae.g_01179	Praw.g_00528
OG0000005	Syae.g_01143	Praw.g_00413
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Praw.g_01950
OG0000007	Syae.g_02328	Praw.g_00651
OG0000007	Syae.g_01163	Praw.g_00515
OG0000008	Syae.g_00753	Praw.g_00501
OG0000008	Syae.g_00752	Praw.g_00502
OG0000009	Syae.g_00561, Syae.g_00171	Praw.g_00447
OG0000009	Syae.g_00100, Syae.g_01361	Praw.g_01330
OG0000010	Syae.g_02529	Praw.g_01460
OG0000011	Syae.g_00268	Praw.g_00952
OG0000012	Syae.g_00049, Syae.g_02397, Syae.g_02562	Praw.g_00159
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Praw.g_00807
OG0000014	Syae.g_01930	Praw.g_00828
OG0000015	Syae.g_01693, Syae.g_00590	Praw.g_01738
OG0000016	Syae.g_00681	Praw.g_01415
OG0000016	Syae.g_00233	Praw.g_00484
OG0000017	Syae.g_02462, Syae.g_02469	Praw.g_01944
OG0000018	Syae.g_02625	Praw.g_00215
OG0000019	Syae.g_02015	Praw.g_00884, Praw.g_01717
OG0000021	Syae.g_01261, Syae.g_00481	Praw.g_00479, Praw.g_00767
OG0000022	Syae.g_00144	Praw.g_00197
OG0000023	Syae.g_00439, Syae.g_00930	Praw.g_00772
OG0000025	Syae.g_00833	Praw.g_00803, Praw.g_01664
OG0000026	Syae.g_01748	Praw.g_01397, Praw.g_01453
OG0000027	Syae.g_00103, Syae.g_00814	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syae.g_01916	Praw.g_00334, Praw.g_00814
OG0000029	Syae.g_00136	Praw.g_01755
OG0000030	Syae.g_01817, Syae.g_01816	Praw.g_00029
OG0000034	Syae.g_00975, Syae.g_01424	Praw.g_00991
OG0000035	Syae.g_02653	Praw.g_01081, Praw.g_01083
OG0000037	Syae.g_01367	Praw.g_01326
OG0000038	Syae.g_01571	Praw.g_01182
OG0000039	Syae.g_00822, Syae.g_02495	Praw.g_01836
OG0000040	Syae.g_01653	Praw.g_00214
OG0000041	Syae.g_01042, Syae.g_00802	Praw.g_00562
OG0000042	Syae.g_01821	Praw.g_00032
OG0000047	Syae.g_02184	Praw.g_00804
OG0000048	Syae.g_01982	Praw.g_00504, Praw.g_00758
OG0000050	Syae.g_01023	Praw.g_01432
OG0000051	Syae.g_00438	Praw.g_00955
OG0000052	Syae.g_01224	Praw.g_01071
OG0000053	Syae.g_02629	Praw.g_00357
OG0000054	Syae.g_00014, Syae.g_00221	Praw.g_00142
OG0000055	Syae.g_00817	Praw.g_01716
OG0000057	Syae.g_00782	Praw.g_01824
OG0000059	Syae.g_02074	Praw.g_01894
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Praw.g_01743
OG0000061	Syae.g_00921	Praw.g_00234
OG0000062	Syae.g_01145	Praw.g_00415
OG0000063	Syae.g_01752	Praw.g_01395
OG0000065	Syae.g_01363, Syae.g_00722	Praw.g_01328
OG0000066	Syae.g_02386	Praw.g_00609
OG0000067	Syae.g_00521	Praw.g_01697
OG0000068	Syae.g_02299	Praw.g_01016
OG0000069	Syae.g_00458	Praw.g_00448
OG0000070	Syae.g_00979	Praw.g_00697
OG0000071	Syae.g_00961	Praw.g_00981
OG0000072	Syae.g_01455	Praw.g_01264
OG0000073	Syae.g_02330	Praw.g_00649
OG0000074	Syae.g_00719	Praw.g_01840
OG0000075	Syae.g_01871	Praw.g_00064
OG0000076	Syae.g_01829	Praw.g_00039
OG0000077	Syae.g_01297	Praw.g_01356
OG0000078	Syae.g_02243	Praw.g_01196
OG0000081	Syae.g_02261	Praw.g_00617
OG0000082	Syae.g_02447	Praw.g_01932
OG0000084	Syae.g_00857, Syae.g_02656	Praw.g_01087
OG0000085	Syae.g_01152	Praw.g_00508
OG0000086	Syae.g_01333	Praw.g_01346
OG0000087	Syae.g_01414	Praw.g_01296
OG0000088	Syae.g_01449	Praw.g_01269
OG0000089	Syae.g_02219	Praw.g_00776
OG0000090	Syae.g_02374	Praw.g_00615
OG0000091	Syae.g_00082	Praw.g_01880
OG0000093	Syae.g_00537	Praw.g_01571
OG0000094	Syae.g_00430	Praw.g_01486
OG0000095	Syae.g_00793, Syae.g_00259, Syae.g_01624	Praw.g_01467
OG0000097	Syae.g_00683	Praw.g_00275
OG0000098	Syae.g_02384, Syae.g_02058	Praw.g_00997
OG0000099	Syae.g_01913, Syae.g_01226	Praw.g_01051
OG0000100	Syae.g_00489	Praw.g_00411
OG0000101	Syae.g_02125	Praw.g_00096
OG0000102	Syae.g_01824	Praw.g_00034
OG0000103	Syae.g_01694	Praw.g_01148
OG0000104	Syae.g_01708	Praw.g_01140
OG0000105	Syae.g_01977	Praw.g_00860
OG0000106	Syae.g_00272	Praw.g_00762
OG0000107	Syae.g_02032	Praw.g_00748
OG0000108	Syae.g_02309	Praw.g_00667
OG0000109	Syae.g_02324	Praw.g_00654
OG0000110	Syae.g_02435	Praw.g_01922
OG0000111	Syae.g_00783	Praw.g_01823
OG0000112	Syae.g_00351	Praw.g_01732
OG0000113	Syae.g_00494	Praw.g_01675
OG0000114	Syae.g_00575	Praw.g_01597
OG0000115	Syae.g_02631	Praw.g_00178
OG0000116	Syae.g_00939	Praw.g_00224
OG0000117	Syae.g_00647	Praw.g_00926
OG0000118	Syae.g_02479	Praw.g_00993
OG0000119	Syae.g_00904	Praw.g_01012
OG0000120	Syae.g_01912	Praw.g_01050
OG0000121	Syae.g_02649	Praw.g_01078
OG0000122	Syae.g_00112	Praw.g_00377
OG0000123	Syae.g_02131	Praw.g_00089
OG0000124	Syae.g_01809	Praw.g_00023
OG0000125	Syae.g_01573	Praw.g_01180
OG0000126	Syae.g_01706	Praw.g_01141
OG0000128	Syae.g_01724	Praw.g_01125
OG0000129	Syae.g_01562	Praw.g_01384
OG0000130	Syae.g_01284	Praw.g_01365
OG0000131	Syae.g_01428	Praw.g_01290
OG0000132	Syae.g_01447	Praw.g_01271
OG0000133	Syae.g_00356	Praw.g_00812
OG0000134	Syae.g_02222	Praw.g_00775
OG0000135	Syae.g_01608	Praw.g_00751
OG0000136	Syae.g_00989	Praw.g_00706
OG0000137	Syae.g_02530	Praw.g_00672
OG0000138	Syae.g_02325	Praw.g_00653
OG0000139	Syae.g_02380	Praw.g_00611
OG0000140	Syae.g_02383	Praw.g_00610
OG0000141	Syae.g_00016	Praw.g_00143
OG0000142	Syae.g_00074	Praw.g_01887
OG0000143	Syae.g_00078	Praw.g_01883
OG0000144	Syae.g_00261	Praw.g_01870
OG0000145	Syae.g_02331	Praw.g_01745
OG0000146	Syae.g_00350	Praw.g_01731
OG0000147	Syae.g_00349	Praw.g_01730
OG0000148	Syae.g_00500	Praw.g_01681
OG0000149	Syae.g_00847	Praw.g_01652
OG0000150	Syae.g_00017	Praw.g_01644
OG0000151	Syae.g_00563	Praw.g_01587
OG0000152	Syae.g_00360	Praw.g_01539
OG0000153	Syae.g_00394	Praw.g_01520
OG0000154	Syae.g_00420	Praw.g_01493
OG0000155	Syae.g_00885	Praw.g_00254
OG0000156	Syae.g_00945	Praw.g_00968
OG0000157	Syae.g_00946	Praw.g_00969
OG0000158	Syae.g_01858	Praw.g_01052
OG0000160	Syae.g_02650	Praw.g_01079, Praw.g_01080
OG0000161	Syae.g_02644	Praw.g_00344
OG0000162	Syae.g_02638	Praw.g_00350
OG0000163	Syae.g_01092	Praw.g_00384
OG0000164	Syae.g_01198	Praw.g_00539
OG0000165	Syae.g_01021	Praw.g_00546
OG0000166	Syae.g_02085	Praw.g_00132
OG0000167	Syae.g_01874	Praw.g_00066
OG0000168	Syae.g_01856	Praw.g_00056
OG0000169	Syae.g_01841	Praw.g_00046
OG0000170	Syae.g_01834	Praw.g_00044
OG0000171	Syae.g_01810	Praw.g_00024
OG0000172	Syae.g_01788	Praw.g_00016
OG0000173	Syae.g_01770	Praw.g_00001
OG0000174	Syae.g_01610	Praw.g_01166
OG0000175	Syae.g_01679	Praw.g_01156
OG0000176	Syae.g_01716	Praw.g_01132
OG0000177	Syae.g_01717	Praw.g_01131
OG0000178	Syae.g_01718	Praw.g_01130
OG0000179	Syae.g_01733	Praw.g_01412
OG0000180	Syae.g_01734	Praw.g_01411
OG0000181	Syae.g_01735	Praw.g_01410
OG0000182	Syae.g_01736	Praw.g_01409
OG0000183	Syae.g_01740	Praw.g_01405
OG0000184	Syae.g_01554	Praw.g_01382
OG0000185	Syae.g_01551	Praw.g_01379
OG0000186	Syae.g_01279	Praw.g_01370
OG0000187	Syae.g_01280	Praw.g_01369
OG0000188	Syae.g_01323	Praw.g_01352
OG0000189	Syae.g_01350	Praw.g_01339
OG0000190	Syae.g_01352	Praw.g_01338
OG0000191	Syae.g_01384	Praw.g_01318
OG0000192	Syae.g_01390	Praw.g_01314
OG0000193	Syae.g_01429	Praw.g_01289
OG0000194	Syae.g_01432	Praw.g_01286
OG0000195	Syae.g_01434	Praw.g_01284
OG0000196	Syae.g_01444	Praw.g_01274
OG0000197	Syae.g_01445	Praw.g_01273
OG0000198	Syae.g_01446	Praw.g_01272
OG0000199	Syae.g_01454	Praw.g_01265
OG0000200	Syae.g_01471	Praw.g_01251
OG0000201	Syae.g_01487	Praw.g_01243
OG0000202	Syae.g_01488	Praw.g_01242
OG0000203	Syae.g_01489	Praw.g_01241
OG0000204	Syae.g_01490	Praw.g_01240
OG0000205	Syae.g_01497	Praw.g_01233
OG0000206	Syae.g_01504	Praw.g_01228
OG0000207	Syae.g_01506	Praw.g_01226
OG0000208	Syae.g_01507	Praw.g_01225
OG0000209	Syae.g_01528	Praw.g_01216
OG0000210	Syae.g_01529	Praw.g_01215
OG0000211	Syae.g_02234	Praw.g_01202
OG0000212	Syae.g_02244	Praw.g_01195
OG0000213	Syae.g_02003	Praw.g_00876
OG0000214	Syae.g_01986	Praw.g_00867
OG0000215	Syae.g_01955	Praw.g_00842
OG0000216	Syae.g_01951	Praw.g_00840
OG0000217	Syae.g_01947	Praw.g_00837
OG0000218	Syae.g_01945	Praw.g_00835
OG0000219	Syae.g_01944	Praw.g_00834
OG0000220	Syae.g_01943	Praw.g_00833
OG0000221	Syae.g_01937	Praw.g_00832
OG0000222	Syae.g_01926	Praw.g_00824
OG0000223	Syae.g_01904	Praw.g_00811
OG0000224	Syae.g_01897	Praw.g_00809
OG0000225	Syae.g_02208	Praw.g_00786
OG0000226	Syae.g_02212	Praw.g_00782
OG0000227	Syae.g_02214	Praw.g_00780
OG0000228	Syae.g_02218	Praw.g_00777
OG0000229	Syae.g_00994	Praw.g_00711
OG0000230	Syae.g_00992	Praw.g_00709
OG0000231	Syae.g_00980	Praw.g_00698
OG0000232	Syae.g_02496	Praw.g_00689
OG0000233	Syae.g_02504	Praw.g_00684
OG0000234	Syae.g_02532	Praw.g_00671
OG0000235	Syae.g_02308	Praw.g_00668
OG0000236	Syae.g_02323	Praw.g_00655
OG0000237	Syae.g_02340	Praw.g_00642
