Orthogroup	Prae	Pram
OG0000000	Prae.g_01310	Pram.g_01561
OG0000000	Prae.g_01580	Pram.g_01511
OG0000001	Prae.g_01353	Pram.g_01954, Pram.g_01953
OG0000002	Prae.g_01361	Pram.g_00873, Pram.g_00879
OG0000002	Prae.g_00652	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Prae.g_00669	Pram.g_00789
OG0000004	Prae.g_00235	Pram.g_00219
OG0000005	Prae.g_01535	Pram.g_01295
OG0000006	Prae.g_00244	Pram.g_00229
OG0000007	Prae.g_00471	Pram.g_00433
OG0000007	Prae.g_01623	Pram.g_01632
OG0000009	Prae.g_01270	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Prae.g_00448	Pram.g_00410
OG0000010	Prae.g_01048	Pram.g_00704, Pram.g_01000
OG0000011	Prae.g_01245	Pram.g_01579
OG0000012	Prae.g_00597	Pram.g_00561
OG0000013	Prae.g_00328	Pram.g_00315
OG0000014	Prae.g_00307	Pram.g_00295
OG0000015	Prae.g_00769, Prae.g_01235	Pram.g_00696, Pram.g_01545
OG0000017	Prae.g_00572	Pram.g_00535, Pram.g_00542
OG0000018	Prae.g_00833	Pram.g_00837
OG0000018	Prae.g_01144	Pram.g_01162
OG0000019	Prae.g_00252	Pram.g_00237
OG0000019	Prae.g_00786	Pram.g_01164
OG0000021	Prae.g_01600, Prae.g_00364	Pram.g_01274, Pram.g_00794
OG0000022	Prae.g_00764	Pram.g_01287
OG0000023	Prae.g_00359	Pram.g_00689
OG0000024	Prae.g_00748	Pram.g_01004
OG0000024	Prae.g_00649	Pram.g_00765
OG0000025	Prae.g_00332, Prae.g_00840	Pram.g_00844
OG0000026	Prae.g_01056	Pram.g_00018
OG0000028	Prae.g_00321	Pram.g_00308
OG0000029	Prae.g_00755	Pram.g_01529
OG0000029	Prae.g_00375	Pram.g_01723
OG0000030	Prae.g_01825	Pram.g_01844
OG0000034	Prae.g_01339	Pram.g_01240
OG0000035	Prae.g_01459	Pram.g_01381, Pram.g_01378
OG0000037	Prae.g_00108	Pram.g_00093
OG0000038	Prae.g_01865	Pram.g_01884
OG0000039	Prae.g_00660	Pram.g_00777
OG0000040	Prae.g_01597	Pram.g_01599
OG0000041	Prae.g_01669	Pram.g_01680
OG0000042	Prae.g_01822	Pram.g_01841
OG0000043	Prae.g_00876	Pram.g_01161
OG0000048	Prae.g_00374	Pram.g_00259
OG0000053	Prae.g_01479	Pram.g_01357, Pram.g_01580
OG0000054	Prae.g_00580	Pram.g_00544
OG0000055	Prae.g_00787	Pram.g_01189, Pram.g_01617
OG0000057	Prae.g_00672	Pram.g_00792
OG0000058	Prae.g_01417	Pram.g_01447
OG0000059	Prae.g_01710	Pram.g_01719
OG0000061	Prae.g_01163	Pram.g_01140
OG0000062	Prae.g_01537	Pram.g_01293
OG0000065	Prae.g_00106	Pram.g_00091
OG0000066	Prae.g_00514	Pram.g_01558
OG0000067	Prae.g_00806	Pram.g_00809
