Orthogroup	Prae	Prap
OG0000000	Prae.g_01580	Prap.g_01862
OG0000001	Prae.g_01353	Prap.g_01925
OG0000002	Prae.g_01361	Prap.g_00720, Prap.g_00715
OG0000002	Prae.g_00652	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Prae.g_00669	Prap.g_00802
OG0000004	Prae.g_00235	Prap.g_01480
OG0000005	Prae.g_01535	Prap.g_00204
OG0000006	Prae.g_00244	Prap.g_01470
OG0000007	Prae.g_00471	Prap.g_01270
OG0000007	Prae.g_01623	Prap.g_01779
OG0000009	Prae.g_01270	Prap.g_00216
OG0000010	Prae.g_00448	Prap.g_01293
OG0000010	Prae.g_01048	Prap.g_00669, Prap.g_00318
OG0000011	Prae.g_00398	Prap.g_00619
OG0000012	Prae.g_00597	Prap.g_01145, Prap.g_00236
OG0000013	Prae.g_00328	Prap.g_01385
OG0000014	Prae.g_00307	Prap.g_01403
OG0000015	Prae.g_00769, Prae.g_01235	Prap.g_01840, Prap.g_01794
OG0000017	Prae.g_00572	Prap.g_01170, Prap.g_01163
OG0000018	Prae.g_00833	Prap.g_00755
OG0000018	Prae.g_01144	Prap.g_00478
OG0000019	Prae.g_00252	Prap.g_01462
OG0000019	Prae.g_00786	Prap.g_00480
OG0000021	Prae.g_01600, Prae.g_00364	Prap.g_00229, Prap.g_00797
OG0000022	Prae.g_00764	Prap.g_00212
OG0000023	Prae.g_00359	Prap.g_00029
OG0000024	Prae.g_00748	Prap.g_00322
OG0000024	Prae.g_00649	Prap.g_00826
OG0000025	Prae.g_00332, Prae.g_00840	Prap.g_00747
OG0000026	Prae.g_00031, Prae.g_01056	Prap.g_00923
OG0000027	Prae.g_00444, Prae.g_01311	Prap.g_01912, Prap.g_01860
OG0000029	Prae.g_00755	Prap.g_01899, Prap.g_01848
OG0000029	Prae.g_00375	Prap.g_01688
OG0000030	Prae.g_01825	Prap.g_01569
OG0000031	Prae.g_01402, Prae.g_01391	Prap.g_00080
OG0000033	Prae.g_01396	Prap.g_00087
OG0000034	Prae.g_01339	Prap.g_00572
OG0000035	Prae.g_01459	Prap.g_00121
OG0000037	Prae.g_00108	Prap.g_01067
OG0000038	Prae.g_01865	Prap.g_01530
OG0000039	Prae.g_00660	Prap.g_00814
OG0000041	Prae.g_01669	Prap.g_01731
OG0000042	Prae.g_01822	Prap.g_01572
OG0000043	Prae.g_00876	Prap.g_00477
OG0000048	Prae.g_00374	Prap.g_00548, Prap.g_01439
OG0000052	Prae.g_01416	Prap.g_00099
OG0000053	Prae.g_01479	Prap.g_00142, Prap.g_01834
OG0000054	Prae.g_00580	Prap.g_01161
OG0000055	Prae.g_00787	Prap.g_00505, Prap.g_01805
OG0000057	Prae.g_00672	Prap.g_00799
OG0000058	Prae.g_01417, Prae.g_01406	Prap.g_00081
OG0000059	Prae.g_01710	Prap.g_01691
OG0000061	Prae.g_01163	Prap.g_00456
OG0000062	Prae.g_01537	Prap.g_00206
OG0000065	Prae.g_00106	Prap.g_01069
OG0000066	Prae.g_00514	Prap.g_01230, Prap.g_01867
OG0000067	Prae.g_00806	Prap.g_00783
OG0000068	Prae.g_01368	Prap.g_00059
OG0000069	Prae.g_01573	Prap.g_01312
OG0000070	Prae.g_00424	Prap.g_01316
OG0000071	Prae.g_01329	Prap.g_00561
OG0000072	Prae.g_00174	Prap.g_00999
OG0000073	Prae.g_00473	Prap.g_01267
OG0000074	Prae.g_00656	Prap.g_00819, Prap.g_00658, Prap.g_00021
OG0000075	Prae.g_01791	Prap.g_01606
OG0000076	Prae.g_01815	Prap.g_01580
OG0000077	Prae.g_00078	Prap.g_01099
OG0000078	Prae.g_00242	Prap.g_01472
OG0000079	Prae.g_00255	Prap.g_01459
OG0000081	Prae.g_00505	Prap.g_01238
OG0000082	Prae.g_00559	Prap.g_01183, Prap.g_01790
OG0000084	Prae.g_01455	Prap.g_00118
OG0000085	Prae.g_01616	Prap.g_01917, Prap.g_01787
OG0000086	Prae.g_00088	Prap.g_01090
OG0000087	Prae.g_00139	Prap.g_01035
OG0000088	Prae.g_00169	Prap.g_01004
OG0000089	Prae.g_00355	Prap.g_01349
OG0000090	Prae.g_00508	Prap.g_01236
OG0000091	Prae.g_00616	Prap.g_00384
OG0000092	Prae.g_00913	Prap.g_00853
OG0000093	Prae.g_00933	Prap.g_00355
OG0000094	Prae.g_01021	Prap.g_00306
OG0000095	Prae.g_01040	Prap.g_00708
OG0000096	Prae.g_01110, Prae.g_01283	Prap.g_00010
OG0000097	Prae.g_01204	Prap.g_00410
OG0000098	Prae.g_01350	Prap.g_01928
OG0000099	Prae.g_01390	Prap.g_00082
OG0000100	Prae.g_01533	Prap.g_00200
OG0000101	Prae.g_01758	Prap.g_01642
OG0000102	Prae.g_01820	Prap.g_01575
OG0000103	Prae.g_01899	Prap.g_01491
OG0000104	Prae.g_01907	Prap.g_01869
OG0000105	Prae.g_01440	Prap.g_01436
OG0000106	Prae.g_00370	Prap.g_00591
OG0000107	Prae.g_00385	Prap.g_01714
OG0000108	Prae.g_00454	Prap.g_01287
OG0000109	Prae.g_00468	Prap.g_01273
OG0000110	Prae.g_00549	Prap.g_01194
OG0000111	Prae.g_00673	Prap.g_00798
OG0000112	Prae.g_00770	Prap.g_01121
OG0000113	Prae.g_00828	Prap.g_00760
OG0000114	Prae.g_00908	Prap.g_00858
OG0000115	Prae.g_01102	Prap.g_00525
OG0000116	Prae.g_01153	Prap.g_00467
OG0000117	Prae.g_01263	Prap.g_00429
OG0000118	Prae.g_01341	Prap.g_00574
OG0000119	Prae.g_01364	Prap.g_00510, Prap.g_00218
OG0000120	Prae.g_01389	Prap.g_00079
OG0000121	Prae.g_01461	Prap.g_00123
OG0000122	Prae.g_01499	Prap.g_00532, Prap.g_00164
OG0000123	Prae.g_01766	Prap.g_01635
OG0000124	Prae.g_01831	Prap.g_01563
OG0000125	Prae.g_01867	Prap.g_01528
OG0000126	Prae.g_01906	Prap.g_01870
OG0000128	Prae.g_00011	Prap.g_00043
OG0000129	Prae.g_00046	Prap.g_00910
OG0000130	Prae.g_00069	Prap.g_00881
OG0000131	Prae.g_00148	Prap.g_01026
OG0000132	Prae.g_00167	Prap.g_01006
OG0000133	Prae.g_00323	Prap.g_01389
OG0000134	Prae.g_00356	Prap.g_01347
OG0000135	Prae.g_00382	Prap.g_00543
OG0000136	Prae.g_00415	Prap.g_01325
OG0000137	Prae.g_00449	Prap.g_01292
OG0000138	Prae.g_00469	Prap.g_01272
OG0000139	Prae.g_00512	Prap.g_01232
OG0000140	Prae.g_00513	Prap.g_01231
OG0000141	Prae.g_00581	Prap.g_01160
OG0000142	Prae.g_00609	Prap.g_00392
OG0000143	Prae.g_00613	Prap.g_00388
OG0000144	Prae.g_00626	Prap.g_00374
OG0000145	Prae.g_00766	Prap.g_00545
OG0000146	Prae.g_00771	Prap.g_01122
OG0000147	Prae.g_00772	Prap.g_01123
OG0000148	Prae.g_00822	Prap.g_00766
OG0000149	Prae.g_00852	Prap.g_00734
OG0000150	Prae.g_00860	Prap.g_00724
OG0000151	Prae.g_00918	Prap.g_00848
OG0000152	Prae.g_00964	Prap.g_00257
OG0000153	Prae.g_00983	Prap.g_00276
OG0000154	Prae.g_01014	Prap.g_00296
OG0000155	Prae.g_01183	Prap.g_00435
OG0000156	Prae.g_01317	Prap.g_00550
OG0000157	Prae.g_01318	Prap.g_00551
OG0000158	Prae.g_01426	Prap.g_01598
OG0000160	Prae.g_01460	Prap.g_00122
OG0000161	Prae.g_01466	Prap.g_00128
OG0000162	Prae.g_01472	Prap.g_00134
OG0000163	Prae.g_01506	Prap.g_00173
OG0000164	Prae.g_01647	Prap.g_01754
