Orthogroup	Prae	Syag
OG0000001	Prae.g_01353	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prae.g_00669	Syag.g_00988
OG0000004	Prae.g_00235	Syag.g_00370, Syag.g_01790
OG0000005	Prae.g_01636	Syag.g_01708
OG0000005	Prae.g_01535	Syag.g_01667
OG0000006	Prae.g_00244	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prae.g_00471	Syag.g_01507
OG0000007	Prae.g_01623	Syag.g_01687
OG0000009	Prae.g_01270, Prae.g_01572	Syag.g_00220, Syag.g_00231
OG0000010	Prae.g_01048	Syag.g_01355
OG0000011	Prae.g_01245	Syag.g_01299
OG0000012	Prae.g_00597	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prae.g_00328	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prae.g_00307	Syag.g_02559
OG0000014	Prae.g_01401	Syag.g_02487
OG0000015	Prae.g_00769, Prae.g_01235	Syag.g_02252, Syag.g_00596
OG0000016	Prae.g_00013	Syag.g_02286
OG0000017	Prae.g_00572	Syag.g_00336, Syag.g_00344
OG0000018	Prae.g_01144	Syag.g_01387
OG0000019	Prae.g_00252, Prae.g_00786	Syag.g_02663
OG0000020	Prae.g_01107	Syag.g_00085
OG0000021	Prae.g_01600, Prae.g_00364	Syag.g_00229
OG0000022	Prae.g_01125	Syag.g_00458
OG0000023	Prae.g_00359	Syag.g_00261, Syag.g_00234
OG0000024	Prae.g_00748, Prae.g_00649	Syag.g_00455
OG0000025	Prae.g_00332, Prae.g_00840	Syag.g_00718
OG0000026	Prae.g_00031, Prae.g_01056	Syag.g_02309
OG0000027	Prae.g_00444, Prae.g_01311	Syag.g_00950, Syag.g_00165
OG0000028	Prae.g_00321	Syag.g_02540
OG0000029	Prae.g_00755, Prae.g_00375	Syag.g_00195
OG0000030	Prae.g_01825	Syag.g_02375, Syag.g_02374
OG0000031	Prae.g_01402	Syag.g_02486
OG0000033	Prae.g_01396	Syag.g_01978
OG0000034	Prae.g_01339	Syag.g_01225, Syag.g_01947
OG0000035	Prae.g_01459	Syag.g_01420, Syag.g_01421
OG0000037	Prae.g_00108	Syag.g_00173
OG0000038	Prae.g_01865	Syag.g_02130, Syag.g_02132
OG0000039	Prae.g_00660	Syag.g_01325, Syag.g_02155
OG0000040	Prae.g_01143	Syag.g_02215
OG0000041	Prae.g_01669	Syag.g_01750, Syag.g_00962
OG0000042	Prae.g_01822	Syag.g_01094, Syag.g_02378
OG0000045	Prae.g_00371	Syag.g_00223
OG0000047	Prae.g_00331	Syag.g_00768
OG0000048	Prae.g_00374	Syag.g_02611
OG0000051	Prae.g_01294	Syag.g_01026
OG0000052	Prae.g_01416	Syag.g_02491
OG0000053	Prae.g_01479	Syag.g_01391
OG0000054	Prae.g_00580	Syag.g_00350
OG0000055	Prae.g_00787	Syag.g_01799, Syag.g_00946
OG0000057	Prae.g_00672	Syag.g_00985
OG0000059	Prae.g_01710	Syag.g_02721
OG0000060	Prae.g_01238	Syag.g_01338, Syag.g_01530, Syag.g_02045, Syag.g_01095
OG0000061	Prae.g_01163	Syag.g_01141
OG0000062	Prae.g_01537	Syag.g_01669
OG0000063	Prae.g_00033	Syag.g_02313
OG0000065	Prae.g_00106	Syag.g_01885, Syag.g_00182
OG0000066	Prae.g_00514	Syag.g_01443
OG0000067	Prae.g_00806	Syag.g_00667
OG0000068	Prae.g_01368	Syag.g_01537
OG0000070	Prae.g_00424	Syag.g_00049
OG0000071	Prae.g_01329	Syag.g_01192
OG0000072	Prae.g_00174	Syag.g_01980, Syag.g_02859
OG0000073	Prae.g_00473	Syag.g_01505
OG0000075	Prae.g_01791	Syag.g_02434
OG0000076	Prae.g_01815	Syag.g_02393
OG0000077	Prae.g_00078	Syag.g_01831
OG0000078	Prae.g_00242	Syag.g_01778
OG0000079	Prae.g_00255	Syag.g_02659, Syag.g_02652
OG0000081	Prae.g_00505	Syag.g_00167
OG0000082	Prae.g_00559	Syag.g_00318
OG0000084	Prae.g_01455	Syag.g_00212, Syag.g_01425
OG0000085	Prae.g_01616	Syag.g_01676
OG0000086	Prae.g_00088	Syag.g_01853
OG0000087	Prae.g_00139	Syag.g_01939
OG0000088	Prae.g_00169	Syag.g_01974
OG0000089	Prae.g_00355	Syag.g_00005
OG0000090	Prae.g_00508	Syag.g_01454
OG0000091	Prae.g_00616	Syag.g_00418
OG0000093	Prae.g_00933	Syag.g_00649
OG0000094	Prae.g_01021	Syag.g_00881
OG0000095	Prae.g_01040	Syag.g_00974
OG0000097	Prae.g_01204	Syag.g_01065
OG0000098	Prae.g_01350	Syag.g_00578, Syag.g_01445
OG0000099	Prae.g_01390	Syag.g_02536
OG0000100	Prae.g_01533	Syag.g_00704
OG0000101	Prae.g_01758	Syag.g_02773
OG0000102	Prae.g_01820	Syag.g_02387
OG0000103	Prae.g_01899	Syag.g_02253
OG0000104	Prae.g_01907	Syag.g_02268
OG0000105	Prae.g_01440	Syag.g_02606
OG0000106	Prae.g_00370	Syag.g_00462
OG0000107	Prae.g_00385	Syag.g_02689
OG0000108	Prae.g_00454	Syag.g_01528
OG0000109	Prae.g_00468	Syag.g_01512
OG0000110	Prae.g_00549	Syag.g_00303
OG0000111	Prae.g_00673	Syag.g_00984
OG0000112	Prae.g_00770	Syag.g_00801
OG0000113	Prae.g_00828	Syag.g_00699
OG0000114	Prae.g_00908	Syag.g_00609
OG0000115	Prae.g_01102	Syag.g_01397
OG0000116	Prae.g_01153	Syag.g_01156
OG0000117	Prae.g_01263	Syag.g_01097
OG0000118	Prae.g_01341	Syag.g_01232
OG0000120	Prae.g_01389	Syag.g_02535
OG0000121	Prae.g_01461	Syag.g_01414
OG0000122	Prae.g_01499	Syag.g_00446
OG0000123	Prae.g_01766	Syag.g_02781
OG0000124	Prae.g_01831	Syag.g_02367, Syag.g_02485
OG0000125	Prae.g_01867	Syag.g_02136, Syag.g_02134
OG0000126	Prae.g_01906	Syag.g_02266
OG0000128	Prae.g_00011	Syag.g_02284
OG0000129	Prae.g_00046	Syag.g_02121
OG0000130	Prae.g_00069	Syag.g_01819
OG0000131	Prae.g_00148	Syag.g_01951
OG0000132	Prae.g_00167	Syag.g_01972
OG0000133	Prae.g_00323	Syag.g_00806
OG0000134	Prae.g_00356	Syag.g_00008
OG0000135	Prae.g_00382	Syag.g_02171
OG0000136	Prae.g_00415	Syag.g_00038
OG0000137	Prae.g_00449	Syag.g_01356
OG0000138	Prae.g_00469	Syag.g_01511
OG0000139	Prae.g_00512	Syag.g_01448
OG0000140	Prae.g_00513	Syag.g_01446
OG0000141	Prae.g_00581	Syag.g_00351
OG0000142	Prae.g_00609	Syag.g_00410
OG0000143	Prae.g_00613	Syag.g_00414
OG0000144	Prae.g_00626	Syag.g_00493
OG0000145	Prae.g_00766	Syag.g_01504
OG0000146	Prae.g_00771	Syag.g_00800
OG0000147	Prae.g_00772	Syag.g_00799
OG0000148	Prae.g_00822	Syag.g_00693
OG0000149	Prae.g_00852	Syag.g_00731
OG0000150	Prae.g_00860	Syag.g_00352
OG0000151	Prae.g_00918	Syag.g_00623
OG0000152	Prae.g_00964	Syag.g_00810
OG0000153	Prae.g_00983	Syag.g_00845
OG0000154	Prae.g_01014	Syag.g_00870
OG0000155	Prae.g_01183	Syag.g_01107
OG0000156	Prae.g_01317	Syag.g_01166
OG0000157	Prae.g_01318	Syag.g_01167
OG0000158	Prae.g_01426	Syag.g_02422
OG0000160	Prae.g_01460	Syag.g_01415
OG0000161	Prae.g_01466	Syag.g_01409
OG0000162	Prae.g_01472	Syag.g_01402
OG0000163	Prae.g_01506	Syag.g_00706, Syag.g_01618
OG0000164	Prae.g_01647	Syag.g_01725
OG0000165	Prae.g_01654	Syag.g_01733
OG0000166	Prae.g_01722	Syag.g_02733
OG0000167	Prae.g_01789	Syag.g_02437
OG0000168	Prae.g_01799	Syag.g_02417
OG0000169	Prae.g_01809	Syag.g_02405
OG0000170	Prae.g_01811	Syag.g_02398
OG0000171	Prae.g_01830	Syag.g_02368
OG0000172	Prae.g_01838	Syag.g_02360
OG0000173	Prae.g_01853	Syag.g_02337
OG0000174	Prae.g_01881	Syag.g_02175
OG0000175	Prae.g_01891	Syag.g_02240
OG0000176	Prae.g_00004	Syag.g_02276
OG0000177	Prae.g_00005	Syag.g_02277
OG0000178	Prae.g_00006	Syag.g_02278
OG0000179	Prae.g_00016	Syag.g_02293
OG0000180	Prae.g_00017	Syag.g_02294
OG0000181	Prae.g_00018	Syag.g_02295
OG0000182	Prae.g_00019	Syag.g_02296
OG0000183	Prae.g_00023	Syag.g_02300
OG0000184	Prae.g_00048	Syag.g_02110
OG0000185	Prae.g_00051	Syag.g_02092
OG0000186	Prae.g_00064	Syag.g_01815
OG0000187	Prae.g_00065	Syag.g_01816
OG0000188	Prae.g_00082	Syag.g_01839
OG0000189	Prae.g_00096	Syag.g_01872
OG0000190	Prae.g_00097	Syag.g_01874
OG0000191	Prae.g_00117	Syag.g_01909
OG0000192	Prae.g_00121	Syag.g_01915
OG0000193	Prae.g_00149	Syag.g_01952
OG0000194	Prae.g_00152	Syag.g_01955
OG0000195	Prae.g_00154	Syag.g_01957
OG0000196	Prae.g_00164	Syag.g_01968
OG0000197	Prae.g_00165	Syag.g_01969
OG0000198	Prae.g_00166	Syag.g_00108, Syag.g_01971
OG0000199	Prae.g_00173	Syag.g_01979
OG0000200	Prae.g_00187	Syag.g_01996
OG0000201	Prae.g_00195	Syag.g_02019, Syag.g_02023
OG0000202	Prae.g_00196	Syag.g_02024
OG0000203	Prae.g_00197	Syag.g_02025
OG0000204	Prae.g_00198	Syag.g_02020, Syag.g_02026
OG0000205	Prae.g_00205	Syag.g_02035
OG0000206	Prae.g_00210	Syag.g_02047
OG0000207	Prae.g_00212	Syag.g_02051
