Orthogroup	Prae	Syas
OG0000001	Prae.g_01353	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Prae.g_00669	Syas.g_00176
OG0000004	Prae.g_00235	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prae.g_01636	Syas.g_02665
OG0000005	Prae.g_01535	Syas.g_02704
OG0000006	Prae.g_00244	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prae.g_00471	Syas.g_01232
OG0000007	Prae.g_01623	Syas.g_02681
OG0000010	Prae.g_01048	Syas.g_01334
OG0000012	Prae.g_00597	Syas.g_00111, Syas.g_00827
OG0000013	Prae.g_00328	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prae.g_00307	Syas.g_01816
OG0000015	Prae.g_00769, Prae.g_01235	Syas.g_02007, Syas.g_00968
OG0000016	Prae.g_00013	Syas.g_02048
OG0000017	Prae.g_00572	Syas.g_00849, Syas.g_00856
OG0000018	Prae.g_01144	Syas.g_01290
OG0000019	Prae.g_00252, Prae.g_00786	Syas.g_01696
OG0000022	Prae.g_01125	Syas.g_02758
OG0000025	Prae.g_00332, Prae.g_00840	Syas.g_00231
OG0000026	Prae.g_00031, Prae.g_01056	Syas.g_02070
OG0000027	Prae.g_00444, Prae.g_01311	Syas.g_01480
OG0000028	Prae.g_00321	Syas.g_01793
OG0000030	Prae.g_01825	Syas.g_01644, Syas.g_01645
OG0000033	Prae.g_01396	Syas.g_02328
OG0000034	Prae.g_01339	Syas.g_02371, Syas.g_02838
OG0000035	Prae.g_01459	Syas.g_02814, Syas.g_02818
OG0000037	Prae.g_00108	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prae.g_01865	Syas.g_01885, Syas.g_01887
OG0000039	Prae.g_00660	Syas.g_02795
OG0000040	Prae.g_01597	Syas.g_02028
OG0000040	Prae.g_01143	Syas.g_01972
OG0000041	Prae.g_01669	Syas.g_00996, Syas.g_02585
OG0000042	Prae.g_01822	Syas.g_01121, Syas.g_02147
OG0000048	Prae.g_00374	Syas.g_01734
OG0000051	Prae.g_01602, Prae.g_01294	Syas.g_01445
OG0000053	Prae.g_01479	Syas.g_01287
OG0000054	Prae.g_00580	Syas.g_00961, Syas.g_00957
OG0000055	Prae.g_00787	Syas.g_00203
OG0000057	Prae.g_00672	Syas.g_01055, Syas.g_01038
OG0000058	Prae.g_01406	Syas.g_01151
OG0000059	Prae.g_01710	Syas.g_01639
OG0000060	Prae.g_01238	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975
OG0000061	Prae.g_01163	Syas.g_01184
OG0000062	Prae.g_01537	Syas.g_02702
OG0000063	Prae.g_00033	Syas.g_02074
OG0000065	Prae.g_00106	Syas.g_02420
OG0000066	Prae.g_00514	Syas.g_00094
OG0000067	Prae.g_00806	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prae.g_01368	Syas.g_00969, Syas.g_01261
OG0000069	Prae.g_01573	Syas.g_00779, Syas.g_00876
OG0000070	Prae.g_00424	Syas.g_00173
OG0000071	Prae.g_01329	Syas.g_02854
OG0000072	Prae.g_00174	Syas.g_02326, Syas.g_01524
OG0000073	Prae.g_00473	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Prae.g_01791	Syas.g_01921, Syas.g_02194
OG0000076	Prae.g_01815	Syas.g_02156
OG0000077	Prae.g_00078	Syas.g_02510
OG0000078	Prae.g_00242	Syas.g_02561, Syas.g_02308
OG0000079	Prae.g_00255	Syas.g_01699
OG0000081	Prae.g_00505	Syas.g_00391
OG0000082	Prae.g_00559	Syas.g_00837
OG0000085	Prae.g_01616	Syas.g_02695
OG0000086	Prae.g_00088	Syas.g_02470
OG0000087	Prae.g_00139	Syas.g_02374
OG0000089	Prae.g_00355	Syas.g_01512
OG0000090	Prae.g_00508	Syas.g_00062
OG0000091	Prae.g_00616	Syas.g_00907, Syas.g_00146
OG0000094	Prae.g_01021	Syas.g_00208, Syas.g_01716
OG0000095	Prae.g_01040	Syas.g_01021
OG0000097	Prae.g_01204	Syas.g_00114, Syas.g_01443
OG0000098	Prae.g_01350	Syas.g_00091
OG0000099	Prae.g_01390	Syas.g_01826
OG0000100	Prae.g_01533	Syas.g_00567
OG0000101	Prae.g_01758	Syas.g_01589
OG0000102	Prae.g_01820	Syas.g_02152, Syas.g_01395
OG0000103	Prae.g_01899	Syas.g_02009
OG0000104	Prae.g_01907	Syas.g_02027, Syas.g_02026
OG0000105	Prae.g_01440	Syas.g_01739
OG0000106	Prae.g_00370	Syas.g_01451
OG0000107	Prae.g_00385	Syas.g_01669
OG0000108	Prae.g_00454	Syas.g_01253
OG0000109	Prae.g_00468	Syas.g_01236
OG0000110	Prae.g_00549	Syas.g_00359, Syas.g_00818
OG0000111	Prae.g_00673	Syas.g_01037
OG0000112	Prae.g_00770	Syas.g_00452
OG0000113	Prae.g_00828	Syas.g_00571
OG0000114	Prae.g_00908	Syas.g_00252, Syas.g_00674
OG0000115	Prae.g_01102	Syas.g_02548, Syas.g_01285
OG0000116	Prae.g_01153	Syas.g_01198, Syas.g_00317
OG0000117	Prae.g_01263	Syas.g_01122
OG0000118	Prae.g_01341	Syas.g_02835
OG0000120	Prae.g_01389	Syas.g_01828
OG0000121	Prae.g_01461	Syas.g_02821
OG0000122	Prae.g_01499	Syas.g_00393
OG0000123	Prae.g_01766	Syas.g_01582
OG0000124	Prae.g_01831	Syas.g_02137
OG0000125	Prae.g_01867	Syas.g_01889
OG0000126	Prae.g_01906	Syas.g_01992
OG0000128	Prae.g_00011	Syas.g_02046
OG0000129	Prae.g_00046	Syas.g_01880
OG0000130	Prae.g_00069	Syas.g_02522
OG0000131	Prae.g_00148	Syas.g_02367
OG0000132	Prae.g_00167	Syas.g_02334
OG0000133	Prae.g_00323	Syas.g_00457
OG0000134	Prae.g_00356	Syas.g_01509
OG0000135	Prae.g_00382	Syas.g_01938
OG0000136	Prae.g_00415	Syas.g_02740
OG0000137	Prae.g_00449	Syas.g_01333
OG0000138	Prae.g_00469	Syas.g_01235
OG0000139	Prae.g_00512	Syas.g_00069
OG0000140	Prae.g_00513	Syas.g_00090
OG0000141	Prae.g_00581	Syas.g_00875
OG0000142	Prae.g_00609	Syas.g_00746
OG0000143	Prae.g_00613	Syas.g_00742
OG0000144	Prae.g_00626	Syas.g_00718
OG0000145	Prae.g_00766	Syas.g_00948
OG0000146	Prae.g_00771	Syas.g_00451
OG0000147	Prae.g_00772	Syas.g_00450
OG0000148	Prae.g_00822	Syas.g_00577
OG0000149	Prae.g_00852	Syas.g_00282
OG0000150	Prae.g_00860	Syas.g_00874
OG0000151	Prae.g_00918	Syas.g_00148, Syas.g_00659
OG0000152	Prae.g_00964	Syas.g_00461
OG0000153	Prae.g_00983	Syas.g_00543
OG0000154	Prae.g_01014	Syas.g_00219
OG0000155	Prae.g_01183	Syas.g_01131
OG0000156	Prae.g_01317	Syas.g_01206
OG0000157	Prae.g_01318	Syas.g_01207
OG0000158	Prae.g_01426	Syas.g_02185
OG0000160	Prae.g_01460	Syas.g_02820
OG0000161	Prae.g_01466	Syas.g_02826
OG0000162	Prae.g_01472	Syas.g_02751
OG0000163	Prae.g_01506	Syas.g_01488
OG0000164	Prae.g_01647	Syas.g_02648
OG0000165	Prae.g_01654	Syas.g_02609
OG0000166	Prae.g_01722	Syas.g_01629
OG0000167	Prae.g_01789	Syas.g_01449
OG0000168	Prae.g_01799	Syas.g_02184
OG0000169	Prae.g_01809	Syas.g_02170
OG0000170	Prae.g_01811	Syas.g_02161
OG0000171	Prae.g_01830	Syas.g_02139
OG0000172	Prae.g_01838	Syas.g_02110
OG0000173	Prae.g_01853	Syas.g_02092
OG0000174	Prae.g_01881	Syas.g_01940
OG0000175	Prae.g_01891	Syas.g_01994
OG0000176	Prae.g_00004	Syas.g_02038
OG0000177	Prae.g_00005	Syas.g_02039
OG0000178	Prae.g_00006	Syas.g_02040
OG0000179	Prae.g_00016	Syas.g_02054
