Orthogroup	Prae	Syaq
OG0000001	Prae.g_01353	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prae.g_00669	Syaq.g_02603
OG0000004	Prae.g_00235	Syaq.g_02042, Syaq.g_01567
OG0000005	Prae.g_01636	Syaq.g_01658
OG0000005	Prae.g_01535	Syaq.g_01692
OG0000006	Prae.g_00244	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prae.g_00471	Syaq.g_01793
OG0000007	Prae.g_01623	Syaq.g_01673
OG0000010	Prae.g_01048	Syaq.g_00443
OG0000011	Prae.g_01245	Syaq.g_01038
OG0000012	Prae.g_00597	Syaq.g_02059, Syaq.g_00077
OG0000013	Prae.g_00328	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prae.g_00307	Syaq.g_00862
OG0000015	Prae.g_00769, Prae.g_01235	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prae.g_00013	Syaq.g_01136
OG0000017	Prae.g_00572	Syaq.g_01992, Syaq.g_01999
OG0000018	Prae.g_01144	Syaq.g_00401
OG0000019	Prae.g_00252, Prae.g_00786	Syaq.g_00717
OG0000022	Prae.g_01125	Syaq.g_02126
OG0000023	Prae.g_00359	Syaq.g_02540
OG0000025	Prae.g_00332, Prae.g_00840	Syaq.g_02381
OG0000026	Prae.g_00031, Prae.g_01056	Syaq.g_01114
OG0000028	Prae.g_00321	Syaq.g_00878
OG0000030	Prae.g_01825	Syaq.g_01047, Syaq.g_01048
OG0000033	Prae.g_01396	Syaq.g_01399
OG0000034	Prae.g_01339	Syaq.g_00312, Syaq.g_01431
OG0000035	Prae.g_01459	Syaq.g_00372, Syaq.g_00371
OG0000037	Prae.g_00108	Syaq.g_01483
OG0000038	Prae.g_01865	Syaq.g_01260, Syaq.g_01258
OG0000039	Prae.g_00660	Syaq.g_01601, Syaq.g_01241
OG0000041	Prae.g_01669	Syaq.g_02688, Syaq.g_01612
OG0000042	Prae.g_01822	Syaq.g_00200, Syaq.g_01044
OG0000045	Prae.g_00371	Syaq.g_02047
OG0000048	Prae.g_00374	Syaq.g_00749
OG0000052	Prae.g_01416	Syaq.g_00935
OG0000053	Prae.g_01479	Syaq.g_00397
OG0000054	Prae.g_00580	Syaq.g_02005
OG0000055	Prae.g_00787	Syaq.g_02700
OG0000057	Prae.g_00672	Syaq.g_02541, Syaq.g_02605
OG0000059	Prae.g_01710	Syaq.g_00657
OG0000060	Prae.g_01238	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201
OG0000061	Prae.g_01163	Syaq.g_00249
OG0000062	Prae.g_01537	Syaq.g_01690
OG0000063	Prae.g_00033	Syaq.g_01110
OG0000065	Prae.g_00106	Syaq.g_01487, Syaq.g_01908
OG0000066	Prae.g_00514	Syaq.g_01851
OG0000067	Prae.g_00806	Syaq.g_02340, Syaq.g_02560
OG0000068	Prae.g_01368	Syaq.g_01763
OG0000070	Prae.g_00424	Syaq.g_00484
OG0000071	Prae.g_01329	Syaq.g_00297
OG0000072	Prae.g_00174	Syaq.g_01397
OG0000073	Prae.g_00473	Syaq.g_01795
OG0000075	Prae.g_01791	Syaq.g_00986
OG0000076	Prae.g_01815	Syaq.g_01028
OG0000077	Prae.g_00078	Syaq.g_01547
OG0000078	Prae.g_00242	Syaq.g_01585
OG0000079	Prae.g_00255	Syaq.g_00721
OG0000081	Prae.g_00505	Syaq.g_01893
OG0000082	Prae.g_00559	Syaq.g_01975
OG0000084	Prae.g_01455	Syaq.g_00367
OG0000085	Prae.g_01616	Syaq.g_01683
OG0000086	Prae.g_00088	Syaq.g_01525
OG0000087	Prae.g_00139	Syaq.g_01438
OG0000088	Prae.g_00169	Syaq.g_01402
OG0000089	Prae.g_00355	Syaq.g_00529
OG0000090	Prae.g_00508	Syaq.g_01838
OG0000091	Prae.g_00616	Syaq.g_02090
OG0000093	Prae.g_00933	Syaq.g_02323
OG0000094	Prae.g_01021	Syaq.g_00056, Syaq.g_02554
OG0000095	Prae.g_01040	Syaq.g_02679
OG0000097	Prae.g_01204	Syaq.g_00167
OG0000098	Prae.g_01350	Syaq.g_02221, Syaq.g_01849
OG0000099	Prae.g_01390	Syaq.g_00882
OG0000100	Prae.g_01533	Syaq.g_02371
OG0000101	Prae.g_01758	Syaq.g_00607
OG0000102	Prae.g_01820	Syaq.g_01033
OG0000103	Prae.g_01899	Syaq.g_01170
OG0000104	Prae.g_01907	Syaq.g_01154
OG0000105	Prae.g_01440	Syaq.g_00754
OG0000106	Prae.g_00370	Syaq.g_01863
OG0000107	Prae.g_00385	Syaq.g_00694
OG0000108	Prae.g_00454	Syaq.g_01772
OG0000109	Prae.g_00468	Syaq.g_01788
OG0000110	Prae.g_00549	Syaq.g_01962
OG0000111	Prae.g_00673	Syaq.g_02606
OG0000112	Prae.g_00770	Syaq.g_02476
OG0000114	Prae.g_00908	Syaq.g_02269
OG0000115	Prae.g_01102	Syaq.g_00395
OG0000116	Prae.g_01153	Syaq.g_00263
OG0000117	Prae.g_01263	Syaq.g_00203
OG0000118	Prae.g_01341	Syaq.g_00325, Syaq.g_00316
