Orthogroup	Prbj	Pras
OG0000000	Prbj.g_00164	Pras.g_00470
OG0000000	Prbj.g_00166	Pras.g_00469, Pras.g_00117
OG0000001	Prbj.g_02517	Pras.g_00243
OG0000001	Prbj.g_00030	Pras.g_01554
OG0000002	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Pras.g_00235
OG0000004	Prbj.g_00165	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000005	Prbj.g_00697, Prbj.g_00073	Pras.g_01638
OG0000008	Prbj.g_01610	Pras.g_01375
OG0000008	Prbj.g_00857	Pras.g_00550
OG0000009	Prbj.g_00789, Prbj.g_00208, Prbj.g_02698, Prbj.g_00201, Prbj.g_00790, Prbj.g_02533	Pras.g_00881
OG0000009	Prbj.g_00371	Pras.g_00191
OG0000010	Prbj.g_01349	Pras.g_01681, Pras.g_01101
OG0000011	Prbj.g_00378	Pras.g_01228, Pras.g_01653
OG0000013	Prbj.g_01300, Prbj.g_00618	Pras.g_00463, Pras.g_00956
OG0000015	Prbj.g_02509	Pras.g_01263
OG0000015	Prbj.g_00666	Pras.g_01182
OG0000016	Prbj.g_02502	Pras.g_00127
OG0000018	Prbj.g_01769, Prbj.g_01761	Pras.g_01474
OG0000020	Prbj.g_00740, Prbj.g_00778	Pras.g_00246
OG0000021	Prbj.g_00638	Pras.g_00886
OG0000022	Prbj.g_02699	Pras.g_01093, Pras.g_00148
OG0000023	Prbj.g_01774	Pras.g_00507, Pras.g_01218
OG0000024	Prbj.g_00731	Pras.g_00175
OG0000025	Prbj.g_00773	Pras.g_01645
OG0000027	Prbj.g_00928	Pras.g_01548
OG0000031	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010	Pras.g_00750
OG0000032	Prbj.g_01208	Pras.g_00875
OG0000034	Prbj.g_01056	Pras.g_00350
OG0000037	Prbj.g_00705	Pras.g_00179, Pras.g_00508
OG0000038	Prbj.g_01522, Prbj.g_01527	Pras.g_00331
OG0000040	Prbj.g_00897	Pras.g_00176, Pras.g_01289
OG0000041	Prbj.g_02552	Pras.g_01499
OG0000045	Prbj.g_01789	Pras.g_01462
OG0000046	Prbj.g_00050, Prbj.g_01572	Pras.g_01662
OG0000047	Prbj.g_00971	Pras.g_00056
OG0000048	Prbj.g_01487	Pras.g_00096
OG0000049	Prbj.g_01467	Pras.g_00291, Pras.g_00290
OG0000050	Prbj.g_00912, Prbj.g_00521	Pras.g_01017
OG0000051	Prbj.g_02392	Pras.g_01213
OG0000053	Prbj.g_00913, Prbj.g_02178	Pras.g_01606
OG0000054	Prbj.g_00869	Pras.g_00543
OG0000055	Prbj.g_01598	Pras.g_00883, Pras.g_00743
OG0000056	Prbj.g_01204	Pras.g_00873
OG0000057	Prbj.g_00530	Pras.g_01008
OG0000058	Prbj.g_00875	Pras.g_01223
OG0000059	Prbj.g_02141	Pras.g_01416
OG0000061	Prbj.g_01324	Pras.g_01656
OG0000062	Prbj.g_02437	Pras.g_01723
OG0000063	Prbj.g_00227	Pras.g_00011
OG0000066	Prbj.g_00128	Pras.g_01353
OG0000067	Prbj.g_00758	Pras.g_01574
OG0000070	Prbj.g_01838	Pras.g_01934
OG0000071	Prbj.g_01915	Pras.g_00150
OG0000072	Prbj.g_01728	Pras.g_00209
OG0000074	Prbj.g_01465	Pras.g_00272, Pras.g_00273, Pras.g_00271, Pras.g_00330
OG0000075	Prbj.g_00415, Prbj.g_00981	Pras.g_00687
OG0000076	Prbj.g_00659, Prbj.g_01468	Pras.g_00326
OG0000077	Prbj.g_02085	Pras.g_00853
OG0000078	Prbj.g_01460	Pras.g_01174
OG0000079	Prbj.g_02004	Pras.g_01236
OG0000080	Prbj.g_00824	Pras.g_01545
OG0000081	Prbj.g_00933	Pras.g_01567
OG0000082	Prbj.g_02419	Pras.g_01708
OG0000084	Prbj.g_02268	Pras.g_01859
OG0000085	Prbj.g_02066	Pras.g_01982
OG0000086	Prbj.g_01990	Pras.g_00023
OG0000090	Prbj.g_01464	Pras.g_00294
OG0000091	Prbj.g_01072	Pras.g_00358
OG0000092	Prbj.g_01678	Pras.g_00477
OG0000093	Prbj.g_01029	Pras.g_00637
OG0000094	Prbj.g_00985	Pras.g_00684
OG0000095	Prbj.g_01500	Pras.g_00717
OG0000096	Prbj.g_01218	Pras.g_00789
OG0000097	Prbj.g_01999	Pras.g_00131
OG0000098	Prbj.g_02076	Pras.g_00845
OG0000099	Prbj.g_01195	Pras.g_00865
OG0000101	Prbj.g_01921	Pras.g_00902
OG0000102	Prbj.g_01551	Pras.g_00964
OG0000103	Prbj.g_01566	Pras.g_00972
OG0000104	Prbj.g_01547	Pras.g_00990
OG0000105	Prbj.g_00517	Pras.g_01021
OG0000106	Prbj.g_01138	Pras.g_01035
OG0000107	Prbj.g_01157	Pras.g_01043
OG0000108	Prbj.g_01167	Pras.g_01053
OG0000109	Prbj.g_02614	Pras.g_01091
OG0000110	Prbj.g_01352	Pras.g_01103
OG0000111	Prbj.g_01397	Pras.g_01126
OG0000113	Prbj.g_01426	Pras.g_01148
OG0000114	Prbj.g_01480	Pras.g_01177
OG0000115	Prbj.g_00129	Pras.g_01352
OG0000116	Prbj.g_00127	Pras.g_01354
OG0000117	Prbj.g_01630	Pras.g_01358
OG0000118	Prbj.g_01608	Pras.g_01377
OG0000119	Prbj.g_02125	Pras.g_01409
OG0000120	Prbj.g_02127	Pras.g_01410
OG0000121	Prbj.g_02668	Pras.g_01420
OG0000122	Prbj.g_01866	Pras.g_01429
OG0000123	Prbj.g_01790	Pras.g_01461
OG0000124	Prbj.g_00792	Pras.g_01527
OG0000125	Prbj.g_00793	Pras.g_01528
OG0000126	Prbj.g_00794	Pras.g_01529
OG0000127	Prbj.g_00429	Pras.g_01562
OG0000128	Prbj.g_02181	Pras.g_01608, Pras.g_00302
OG0000129	Prbj.g_02314	Pras.g_01628
OG0000130	Prbj.g_00023	Pras.g_01686
OG0000131	Prbj.g_02410	Pras.g_01699
OG0000132	Prbj.g_02474	Pras.g_01734
OG0000133	Prbj.g_02382	Pras.g_01818
OG0000134	Prbj.g_02388	Pras.g_01827
OG0000135	Prbj.g_02260	Pras.g_01863
OG0000136	Prbj.g_01841	Pras.g_01931
OG0000137	Prbj.g_01992	Pras.g_00026
OG0000139	Prbj.g_00843	Pras.g_00062
OG0000140	Prbj.g_00020	Pras.g_00114
OG0000141	Prbj.g_01848	Pras.g_00122
OG0000142	Prbj.g_01742	Pras.g_00221, Pras.g_00222
OG0000143	Prbj.g_01639	Pras.g_00250
OG0000144	Prbj.g_01040	Pras.g_00337
OG0000145	Prbj.g_01057	Pras.g_00351
OG0000146	Prbj.g_00656	Pras.g_00388
OG0000147	Prbj.g_00882	Pras.g_00430
OG0000148	Prbj.g_00881	Pras.g_00431
OG0000149	Prbj.g_00863	Pras.g_00548
OG0000150	Prbj.g_00461	Pras.g_00586
OG0000151	Prbj.g_00458	Pras.g_00589
OG0000152	Prbj.g_00425	Pras.g_00609
