Orthogroup	Prbj	Pray
OG0000000	Prbj.g_00164	Pray.g_01603
OG0000000	Prbj.g_00166	Pray.g_00003, Pray.g_01604
OG0000001	Prbj.g_02517	Pray.g_01836
OG0000001	Prbj.g_00030	Pray.g_01085
OG0000002	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Pray.g_01844
OG0000004	Prbj.g_00165	Pray.g_01890, Pray.g_01602
OG0000005	Prbj.g_00697, Prbj.g_00073	Pray.g_00284
OG0000008	Prbj.g_01610	Pray.g_00988, Pray.g_00987
OG0000008	Prbj.g_00857	Pray.g_01559
OG0000009	Prbj.g_00789, Prbj.g_00208, Prbj.g_02698, Prbj.g_00201, Prbj.g_00790, Prbj.g_02533	Pray.g_01942
OG0000010	Prbj.g_01349	Pray.g_00328, Pray.g_00730
OG0000011	Prbj.g_00378	Pray.g_00853, Pray.g_00296
OG0000013	Prbj.g_01300, Prbj.g_00618	Pray.g_01610, Pray.g_00184
OG0000015	Prbj.g_02509	Pray.g_00897
OG0000015	Prbj.g_00666	Pray.g_00808
OG0000016	Prbj.g_02502	Pray.g_00309
OG0000018	Prbj.g_01769, Prbj.g_01761	Pray.g_01165
OG0000020	Prbj.g_00740, Prbj.g_00778	Pray.g_01833
OG0000022	Prbj.g_02699	Pray.g_00722
OG0000023	Prbj.g_01774	Pray.g_01578, Pray.g_00842
OG0000024	Prbj.g_00731	Pray.g_01898
OG0000025	Prbj.g_00773	Pray.g_00289
OG0000027	Prbj.g_00928	Pray.g_01091
OG0000028	Prbj.g_00929	Pray.g_01931
OG0000031	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010	Pray.g_01371
OG0000032	Prbj.g_01208	Pray.g_01495
OG0000034	Prbj.g_01056	Pray.g_01722
OG0000037	Prbj.g_00705	Pray.g_01894
OG0000038	Prbj.g_01522, Prbj.g_01527	Pray.g_01806
OG0000040	Prbj.g_00897	Pray.g_01897, Pray.g_00884
OG0000041	Prbj.g_02552	Pray.g_01140
OG0000045	Prbj.g_01789	Pray.g_01177
OG0000046	Prbj.g_00050, Prbj.g_01572	Pray.g_00304
OG0000047	Prbj.g_00971	Pray.g_00064
OG0000049	Prbj.g_01467	Pray.g_01786
OG0000050	Prbj.g_00912, Prbj.g_00521	Pray.g_00647
OG0000051	Prbj.g_02392	Pray.g_00838
OG0000053	Prbj.g_00913, Prbj.g_02178	Pray.g_01040
OG0000054	Prbj.g_00869	Pray.g_01566
OG0000055	Prbj.g_01598	Pray.g_01364
OG0000056	Prbj.g_01204	Pray.g_01493
OG0000057	Prbj.g_00530	Pray.g_00638
OG0000058	Prbj.g_00875	Pray.g_00848
OG0000059	Prbj.g_02141	Pray.g_01222
OG0000061	Prbj.g_01324	Pray.g_00299
OG0000062	Prbj.g_02437	Pray.g_00370
OG0000063	Prbj.g_00227	Pray.g_00110
OG0000066	Prbj.g_00128	Pray.g_00965
OG0000067	Prbj.g_00758	Pray.g_01065
OG0000070	Prbj.g_01838	Pray.g_00584
OG0000071	Prbj.g_01915	Pray.g_01927
OG0000072	Prbj.g_01728	Pray.g_01870
OG0000074	Prbj.g_01465	Pray.g_01808
OG0000075	Prbj.g_00415, Prbj.g_00981	Pray.g_01306
OG0000076	Prbj.g_00659, Prbj.g_01468	Pray.g_01782
OG0000077	Prbj.g_02085	Pray.g_01473
OG0000078	Prbj.g_01460	Pray.g_00800
OG0000079	Prbj.g_02004	Pray.g_00861
OG0000080	Prbj.g_00824	Pray.g_01094
OG0000081	Prbj.g_00933	Pray.g_01072
OG0000082	Prbj.g_02419	Pray.g_00355
OG0000084	Prbj.g_02268	Pray.g_00511
OG0000085	Prbj.g_02066	Pray.g_00632
OG0000086	Prbj.g_01990	Pray.g_00097
OG0000090	Prbj.g_01464	Pray.g_01788
OG0000091	Prbj.g_01072	Pray.g_01714
OG0000092	Prbj.g_01678	Pray.g_01595
OG0000093	Prbj.g_01029	Pray.g_01258
OG0000094	Prbj.g_00985	Pray.g_01303
OG0000095	Prbj.g_01500	Pray.g_01337
OG0000096	Prbj.g_01218	Pray.g_01409
OG0000098	Prbj.g_02076	Pray.g_01464
OG0000099	Prbj.g_01195	Pray.g_01485
OG0000101	Prbj.g_01921	Pray.g_00234
OG0000102	Prbj.g_01551	Pray.g_00176
OG0000103	Prbj.g_01566	Pray.g_00168
OG0000104	Prbj.g_01547	Pray.g_00150
OG0000105	Prbj.g_00517	Pray.g_00651
OG0000106	Prbj.g_01138	Pray.g_00665
OG0000107	Prbj.g_01157	Pray.g_00673
OG0000108	Prbj.g_01167	Pray.g_00683
OG0000109	Prbj.g_02614	Pray.g_00720
OG0000110	Prbj.g_01352	Pray.g_00732
OG0000111	Prbj.g_01397	Pray.g_00753
OG0000113	Prbj.g_01426	Pray.g_00775
OG0000114	Prbj.g_01480	Pray.g_00803
OG0000115	Prbj.g_00129	Pray.g_00964
OG0000116	Prbj.g_00127	Pray.g_00966
OG0000117	Prbj.g_01630	Pray.g_00970
OG0000118	Prbj.g_01608	Pray.g_00990
OG0000119	Prbj.g_02125	Pray.g_01023
OG0000120	Prbj.g_02127	Pray.g_01024, Pray.g_01228
OG0000121	Prbj.g_02668	Pray.g_01218
OG0000122	Prbj.g_01866	Pray.g_01209
OG0000123	Prbj.g_01790	Pray.g_01178
OG0000124	Prbj.g_00792	Pray.g_01112
OG0000125	Prbj.g_00793	Pray.g_01111
OG0000126	Prbj.g_00794	Pray.g_01110
OG0000127	Prbj.g_00429	Pray.g_01077
OG0000128	Prbj.g_02181	Pray.g_01038
OG0000129	Prbj.g_02314	Pray.g_00275
OG0000130	Prbj.g_00023	Pray.g_00333
OG0000131	Prbj.g_02410	Pray.g_00346
OG0000132	Prbj.g_02474	Pray.g_00382
OG0000133	Prbj.g_02382	Pray.g_00469
OG0000134	Prbj.g_02388	Pray.g_00479
OG0000135	Prbj.g_02260	Pray.g_00515
OG0000136	Prbj.g_01841	Pray.g_00581
OG0000137	Prbj.g_01992	Pray.g_00094
OG0000139	Prbj.g_00843	Pray.g_00057
OG0000140	Prbj.g_00020	Pray.g_00006
OG0000141	Prbj.g_01848	Pray.g_00250
OG0000142	Prbj.g_01742	Pray.g_01858
OG0000143	Prbj.g_01639	Pray.g_01829
OG0000144	Prbj.g_01040	Pray.g_01735
OG0000145	Prbj.g_01057	Pray.g_01721
OG0000146	Prbj.g_00656	Pray.g_01685
OG0000147	Prbj.g_00882	Pray.g_01645
OG0000148	Prbj.g_00881	Pray.g_01644
OG0000149	Prbj.g_00863	Pray.g_01561
OG0000150	Prbj.g_00461	Pray.g_01523
OG0000151	Prbj.g_00458	Pray.g_01520
OG0000152	Prbj.g_00425	Pray.g_01229
OG0000153	Prbj.g_01024	Pray.g_01265
OG0000154	Prbj.g_00987	Pray.g_01301
OG0000155	Prbj.g_00400	Pray.g_01319
OG0000156	Prbj.g_01516	Pray.g_01348
OG0000157	Prbj.g_01280	Pray.g_01381
OG0000158	Prbj.g_02047	Pray.g_01444
OG0000160	Prbj.g_02074	Pray.g_01462
OG0000161	Prbj.g_02075	Pray.g_01463
OG0000162	Prbj.g_02077	Pray.g_01465
OG0000163	Prbj.g_02078	Pray.g_01467
OG0000164	Prbj.g_02079	Pray.g_01468
OG0000165	Prbj.g_02080	Pray.g_01469
OG0000166	Prbj.g_02082	Pray.g_01470
OG0000167	Prbj.g_02083	Pray.g_01471
OG0000168	Prbj.g_02084	Pray.g_01472
OG0000169	Prbj.g_02086	Pray.g_01474
OG0000170	Prbj.g_01182	Pray.g_01476
OG0000171	Prbj.g_01183	Pray.g_01477
OG0000172	Prbj.g_01188	Pray.g_01478
OG0000173	Prbj.g_01189	Pray.g_01479
OG0000174	Prbj.g_01190	Pray.g_01480
OG0000175	Prbj.g_01191	Pray.g_01481
OG0000176	Prbj.g_01192	Pray.g_01482
OG0000177	Prbj.g_01193	Pray.g_01483
OG0000178	Prbj.g_01194	Pray.g_01484
OG0000179	Prbj.g_01196	Pray.g_01486
OG0000180	Prbj.g_01197	Pray.g_01487
OG0000181	Prbj.g_01198	Pray.g_01488
OG0000182	Prbj.g_01199	Pray.g_01489
OG0000183	Prbj.g_01200	Pray.g_01490
OG0000184	Prbj.g_01202	Pray.g_01491
OG0000185	Prbj.g_01207	Pray.g_01494
OG0000186	Prbj.g_01212	Pray.g_01497
OG0000187	Prbj.g_01213	Pray.g_01498
OG0000188	Prbj.g_01214	Pray.g_01499
OG0000189	Prbj.g_01215	Pray.g_00243
OG0000190	Prbj.g_01217	Pray.g_00241
OG0000191	Prbj.g_01953	Pray.g_00240
OG0000192	Prbj.g_01951	Pray.g_00239
OG0000193	Prbj.g_01950	Pray.g_00238
OG0000194	Prbj.g_01943	Pray.g_00237
OG0000195	Prbj.g_01936	Pray.g_00236
OG0000196	Prbj.g_01928	Pray.g_00235
OG0000197	Prbj.g_01920	Pray.g_00233
OG0000198	Prbj.g_01919	Pray.g_00232
OG0000199	Prbj.g_01918	Pray.g_00231
OG0000200	Prbj.g_00558	Pray.g_00225
OG0000201	Prbj.g_00560	Pray.g_00224
OG0000202	Prbj.g_00561	Pray.g_00223
OG0000203	Prbj.g_00564	Pray.g_00220
OG0000204	Prbj.g_00565	Pray.g_00219
OG0000205	Prbj.g_00569	Pray.g_00216
OG0000206	Prbj.g_00571	Pray.g_00214
OG0000207	Prbj.g_00575	Pray.g_00212
OG0000208	Prbj.g_00576	Pray.g_00211
OG0000209	Prbj.g_00047	Pray.g_00210
OG0000210	Prbj.g_00577	Pray.g_00209
OG0000211	Prbj.g_00580	Pray.g_00208
OG0000212	Prbj.g_00581	Pray.g_00207
OG0000213	Prbj.g_00582	Pray.g_00206
OG0000214	Prbj.g_00583	Pray.g_00205
OG0000215	Prbj.g_00584	Pray.g_00204
OG0000216	Prbj.g_00585	Pray.g_00203
OG0000217	Prbj.g_00589	Pray.g_00201
