Orthogroup	Prbj	Prac
OG0000000	Prbj.g_00164	Prac.g_00292
OG0000000	Prbj.g_00166	Prac.g_00926, Prac.g_00293
OG0000001	Prbj.g_02517	Prac.g_00210
OG0000001	Prbj.g_00030	Prac.g_00693
OG0000002	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Prac.g_00202
OG0000004	Prbj.g_00165	Prac.g_00157, Prac.g_00290
OG0000005	Prbj.g_00697, Prbj.g_00073	Prac.g_01529
OG0000008	Prbj.g_01610	Prac.g_00874
OG0000008	Prbj.g_00857	Prac.g_00625
OG0000010	Prbj.g_01349	Prac.g_01496, Prac.g_01681
OG0000011	Prbj.g_00378	Prac.g_01158
OG0000013	Prbj.g_01300, Prbj.g_00618	Prac.g_00301, Prac.g_01826
OG0000014	Prbj.g_01442	Prac.g_01625
OG0000015	Prbj.g_02509	Prac.g_01127
OG0000015	Prbj.g_00666	Prac.g_01601
OG0000016	Prbj.g_02502	Prac.g_00898
OG0000018	Prbj.g_01769, Prbj.g_01761	Prac.g_00773
OG0000020	Prbj.g_00740, Prbj.g_00778	Prac.g_00213
OG0000021	Prbj.g_00638	Prac.g_01901
OG0000022	Prbj.g_02699	Prac.g_01689
OG0000023	Prbj.g_01774	Prac.g_01169
OG0000024	Prbj.g_00731	Prac.g_00151
OG0000025	Prbj.g_00773	Prac.g_01525
OG0000027	Prbj.g_00928	Prac.g_00699
OG0000028	Prbj.g_00929	Prac.g_00904
OG0000031	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010	Prac.g_00048
OG0000032	Prbj.g_01208	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000034	Prbj.g_01056	Prac.g_00411
OG0000036	Prbj.g_00046	Prac.g_00906
OG0000038	Prbj.g_01522, Prbj.g_01527	Prac.g_00249
OG0000040	Prbj.g_00897	Prac.g_00152
OG0000041	Prbj.g_02552	Prac.g_00748
OG0000045	Prbj.g_01789	Prac.g_00788
OG0000046	Prbj.g_00050, Prbj.g_01572	Prac.g_01510
OG0000047	Prbj.g_00971	Prac.g_00985
OG0000049	Prbj.g_01467	Prac.g_00258, Prac.g_00434
OG0000050	Prbj.g_00912, Prbj.g_00521	Prac.g_01764
