Orthogroup	Prbj	Pral
OG0000000	Prbj.g_00164	Pral.g_00037
OG0000000	Prbj.g_00166	Pral.g_01333, Pral.g_00038
OG0000001	Prbj.g_02517	Pral.g_01549, Pral.g_01554
OG0000001	Prbj.g_00030	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Pral.g_01236
OG0000004	Prbj.g_00165	Pral.g_00040, Pral.g_01332
OG0000005	Prbj.g_00697, Prbj.g_00073	Pral.g_01898
OG0000008	Prbj.g_01610	Pral.g_00593
OG0000008	Prbj.g_00857	Pral.g_00107
OG0000009	Prbj.g_00789, Prbj.g_00208, Prbj.g_02698, Prbj.g_00201, Prbj.g_00790, Prbj.g_02533	Pral.g_01041
OG0000010	Prbj.g_01349	Pral.g_01344, Pral.g_00790
OG0000011	Prbj.g_00378	Pral.g_01890
OG0000012	Prbj.g_01393	Pral.g_00768
OG0000013	Prbj.g_01300, Prbj.g_00618	Pral.g_01065, Pral.g_01163
OG0000014	Prbj.g_01442	Pral.g_00732
OG0000015	Prbj.g_02509	Pral.g_00672
OG0000018	Prbj.g_01769	Pral.g_00491
OG0000018	Prbj.g_01761	Pral.g_00484
OG0000020	Prbj.g_00740	Pral.g_01861
OG0000020	Prbj.g_00778	Pral.g_01063
OG0000021	Prbj.g_00638	Pral.g_00066, Pral.g_01139
OG0000022	Prbj.g_02699	Pral.g_00797
OG0000023	Prbj.g_01774	Pral.g_01738
OG0000024	Prbj.g_00731	Pral.g_00046
OG0000025	Prbj.g_00773	Pral.g_01895
OG0000027	Prbj.g_00928	Pral.g_00021
OG0000028	Prbj.g_00929	Pral.g_00020
OG0000031	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010	Pral.g_00313
OG0000032	Prbj.g_01208	Pral.g_00435
OG0000034	Prbj.g_01056	Pral.g_01165, Pral.g_01161
OG0000036	Prbj.g_00046	Pral.g_00443, Pral.g_01883
OG0000037	Prbj.g_00705	Pral.g_00095
OG0000041	Prbj.g_02552	Pral.g_00015
OG0000042	Prbj.g_01963	Pral.g_00358
OG0000045	Prbj.g_01789	Pral.g_00057
OG0000046	Prbj.g_00050, Prbj.g_01572	Pral.g_00044
OG0000047	Prbj.g_00971	Pral.g_01367
OG0000048	Prbj.g_01487	Pral.g_00987
OG0000049	Prbj.g_01467	Pral.g_01202
OG0000050	Prbj.g_00912, Prbj.g_00521	Pral.g_00878
OG0000051	Prbj.g_02392	Pral.g_01687
OG0000053	Prbj.g_00913, Prbj.g_02178	Pral.g_01729
OG0000054	Prbj.g_00869	Pral.g_00099
OG0000055	Prbj.g_01598	Pral.g_00305
OG0000056	Prbj.g_01204	Pral.g_01012
OG0000057	Prbj.g_00530	Pral.g_00887
OG0000058	Prbj.g_00875	Pral.g_01859
OG0000059	Prbj.g_02141	Pral.g_00551
OG0000060	Prbj.g_02192	Pral.g_01716
OG0000061	Prbj.g_01324	Pral.g_00043
OG0000062	Prbj.g_02437	Pral.g_01511
OG0000063	Prbj.g_00227	Pral.g_00019
OG0000066	Prbj.g_00128	Pral.g_00617
OG0000067	Prbj.g_00758	Pral.g_01740
OG0000070	Prbj.g_01838	Pral.g_01561
OG0000071	Prbj.g_01915	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000072	Prbj.g_01728	Pral.g_01281
OG0000074	Prbj.g_01465	Pral.g_00702
OG0000075	Prbj.g_00415, Prbj.g_00981	Pral.g_00243
OG0000076	Prbj.g_00659	Pral.g_01121
OG0000077	Prbj.g_02085	Pral.g_00421
OG0000078	Prbj.g_01460	Pral.g_00717
OG0000079	Prbj.g_02004	Pral.g_01034
OG0000080	Prbj.g_00824	Pral.g_01471
OG0000081	Prbj.g_00933	Pral.g_01750
OG0000082	Prbj.g_02419	Pral.g_01495
OG0000084	Prbj.g_02268	Pral.g_01627
OG0000085	Prbj.g_02066	Pral.g_01316
OG0000086	Prbj.g_01990	Pral.g_00078, Pral.g_00056
