Orthogroup	Prbm	Pram
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Pram.g_01561
OG0000000	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384	Pram.g_01513, Pram.g_01176
OG0000000	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436	Pram.g_01511
OG0000000	Prbm.g_01119	Pram.g_01512
OG0000000	Prbm.g_01404	Pram.g_01512
OG0000000	Prbm.g_01810	Pram.g_01512
OG0000000	Prbm.g_01141	Pram.g_01556
OG0000001	Prbm.g_01633	Pram.g_01954, Pram.g_01953
OG0000001	Prbm.g_00496, Prbm.g_01940	Pram.g_00719
OG0000002	Prbm.g_00874	Pram.g_00873
OG0000002	Prbm.g_01578	Pram.g_01170
OG0000002	Prbm.g_01577	Pram.g_01471, Pram.g_01168
OG0000002	Prbm.g_01582, Prbm.g_01576	Pram.g_01174
OG0000002	Prbm.g_01581	Pram.g_01278
OG0000002	Prbm.g_00712	Pram.g_00768
OG0000004	Prbm.g_01483	Pram.g_00789
OG0000004	Prbm.g_00291	Pram.g_00219
OG0000005	Prbm.g_01790	Pram.g_01295
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Pram.g_00229
OG0000007	Prbm.g_00522	Pram.g_00433
OG0000007	Prbm.g_01841	Pram.g_01632
OG0000008	Prbm.g_01907	Pram.g_01263
OG0000008	Prbm.g_01908	Pram.g_01262
OG0000009	Prbm.g_01235, Prbm.g_01400	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Prbm.g_00499	Pram.g_00410
OG0000010	Prbm.g_01066	Pram.g_00704, Pram.g_01000
OG0000011	Prbm.g_01174	Pram.g_01579
OG0000013	Prbm.g_00382	Pram.g_00315
OG0000014	Prbm.g_00362	Pram.g_00295
OG0000015	Prbm.g_01427, Prbm.g_01149	Pram.g_00696, Pram.g_01545
OG0000016	Prbm.g_01944	Pram.g_01193
OG0000018	Prbm.g_00843	Pram.g_00837
OG0000018	Prbm.g_01571	Pram.g_01162
OG0000019	Prbm.g_00792	Pram.g_01164
OG0000020	Prbm.g_01156	Pram.g_01516
OG0000021	Prbm.g_01939	Pram.g_01274
OG0000022	Prbm.g_01204	Pram.g_01287
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Pram.g_00689
OG0000024	Prbm.g_01151	Pram.g_01004
OG0000024	Prbm.g_00709	Pram.g_00765
OG0000025	Prbm.g_00849	Pram.g_00844
OG0000026	Prbm.g_00031	Pram.g_00018
OG0000028	Prbm.g_01656	Pram.g_00363
OG0000029	Prbm.g_01823	Pram.g_01529
OG0000030	Prbm.g_02105	Pram.g_01844
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Pram.g_01413
OG0000032	Prbm.g_01747	Pram.g_01339
OG0000033	Prbm.g_00228	Pram.g_00154
OG0000034	Prbm.g_01620	Pram.g_01240
OG0000035	Prbm.g_01710	Pram.g_01381, Pram.g_01378
OG0000037	Prbm.g_00166	Pram.g_00093
OG0000038	Prbm.g_02174	Pram.g_01884
OG0000039	Prbm.g_00723	Pram.g_00777
OG0000040	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813	Pram.g_01599
OG0000041	Prbm.g_01886	Pram.g_01680
OG0000042	Prbm.g_02102	Pram.g_01841
OG0000043	Prbm.g_01173, Prbm.g_00906	Pram.g_01161
OG0000044	Prbm.g_00478	Pram.g_01620
OG0000045	Prbm.g_01088	Pram.g_01184
OG0000046	Prbm.g_00383	Pram.g_00316
OG0000047	Prbm.g_00428	Pram.g_00359
OG0000048	Prbm.g_00329	Pram.g_00259
OG0000050	Prbm.g_01485	Pram.g_00576
OG0000052	Prbm.g_00114	Pram.g_00040
OG0000053	Prbm.g_01729	Pram.g_01357, Pram.g_01580
OG0000054	Prbm.g_00637	Pram.g_00544
OG0000055	Prbm.g_01921	Pram.g_01617
OG0000056	Prbm.g_00477	Pram.g_01611
OG0000057	Prbm.g_00735	Pram.g_00792
OG0000059	Prbm.g_01973	Pram.g_01719
OG0000061	Prbm.g_01549	Pram.g_01140
OG0000062	Prbm.g_01792	Pram.g_01293
OG0000063	Prbm.g_01947	Pram.g_01258
OG0000065	Prbm.g_00164	Pram.g_00091
OG0000066	Prbm.g_00572	Pram.g_01558
OG0000067	Prbm.g_00814	Pram.g_00809
OG0000068	Prbm.g_01660	Pram.g_01468
OG0000069	Prbm.g_01753	Pram.g_00391
OG0000070	Prbm.g_00460	Pram.g_00385
OG0000071	Prbm.g_00468, Prbm.g_01611	Pram.g_01230
OG0000072	Prbm.g_00230	Pram.g_00156
OG0000073	Prbm.g_00533	Pram.g_00437
OG0000074	Prbm.g_00912	Pram.g_00715
OG0000074	Prbm.g_01099	Pram.g_00684
OG0000075	Prbm.g_02069	Pram.g_01807
OG0000076	Prbm.g_02094	Pram.g_01833
OG0000077	Prbm.g_00135	Pram.g_00063
OG0000078	Prbm.g_00300	Pram.g_00227
OG0000079	Prbm.g_00311	Pram.g_00240
OG0000081	Prbm.g_00564	Pram.g_00469
