Orthogroup	Prbm	Praw
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000001	Prbm.g_01905, Prbm.g_01906	Praw.g_00500
OG0000001	Prbm.g_01633	Praw.g_01000
OG0000001	Prbm.g_01426	Praw.g_01739, Praw.g_01951
OG0000002	Prbm.g_00874	Praw.g_01009
OG0000002	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Praw.g_01844
OG0000004	Prbm.g_01483	Praw.g_01827
OG0000004	Prbm.g_00291	Praw.g_01203
OG0000005	Prbm.g_01790	Praw.g_00413
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Praw.g_01950
OG0000007	Prbm.g_00522	Praw.g_00651
OG0000007	Prbm.g_01841	Praw.g_00515
OG0000008	Prbm.g_01907	Praw.g_00501
OG0000008	Prbm.g_01908	Praw.g_00502
OG0000010	Prbm.g_00499	Praw.g_00673
OG0000010	Prbm.g_01066	Praw.g_01460
OG0000011	Prbm.g_01202	Praw.g_00952
OG0000012	Prbm.g_01106	Praw.g_00159
OG0000013	Prbm.g_00382	Praw.g_00807
OG0000014	Prbm.g_00362	Praw.g_00828
OG0000015	Prbm.g_01427, Prbm.g_01149	Praw.g_01738
OG0000016	Prbm.g_01944	Praw.g_01415, Praw.g_00484
OG0000017	Prbm.g_00628, Prbm.g_00635	Praw.g_01944
OG0000018	Prbm.g_00843	Praw.g_01670
OG0000018	Prbm.g_01571	Praw.g_00215
OG0000019	Prbm.g_00792	Praw.g_01717
OG0000020	Prbm.g_01156	Praw.g_00483
OG0000021	Prbm.g_01939	Praw.g_00479, Praw.g_00767
