Orthogroup	Prbm	Syak
OG0000001	Prbm.g_01633	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbm.g_01483	Syak.g_01219, Syak.g_00720
OG0000004	Prbm.g_00291	Syak.g_00003, Syak.g_02297
OG0000005	Prbm.g_01790	Syak.g_02436
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbm.g_00522	Syak.g_02595
OG0000007	Prbm.g_01841	Syak.g_02416
OG0000008	Prbm.g_01907	Syak.g_00267
OG0000008	Prbm.g_01908	Syak.g_00692
OG0000010	Prbm.g_01066	Syak.g_01119
OG0000011	Prbm.g_01174, Prbm.g_01134	Syak.g_00960
OG0000013	Prbm.g_00382	Syak.g_01270, Syak.g_01275
OG0000014	Prbm.g_00362	Syak.g_01505
OG0000014	Prbm.g_02126	Syak.g_01582
OG0000015	Prbm.g_01427, Prbm.g_01149	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbm.g_00013	Syak.g_01780
OG0000016	Prbm.g_01944	Syak.g_00818
OG0000018	Prbm.g_01571	Syak.g_01072
OG0000019	Prbm.g_00792	Syak.g_01413
OG0000021	Prbm.g_01939	Syak.g_00566
OG0000022	Prbm.g_01324	Syak.g_00088
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syak.g_00316, Syak.g_00223
OG0000025	Prbm.g_00849	Syak.g_00610
OG0000026	Prbm.g_00031	Syak.g_01757
OG0000028	Prbm.g_01656	Syak.g_01522
OG0000029	Prbm.g_01823	Syak.g_00169, Syak.g_00178
OG0000030	Prbm.g_02105	Syak.g_01684, Syak.g_01685
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syak.g_01630
OG0000032	Prbm.g_01747	Syak.g_01092
OG0000033	Prbm.g_00228	Syak.g_02101
OG0000034	Prbm.g_01620	Syak.g_00950, Syak.g_02133
OG0000035	Prbm.g_01710	Syak.g_01041, Syak.g_01040
OG0000037	Prbm.g_00166	Syak.g_02188
OG0000038	Prbm.g_02174	Syak.g_01938, Syak.g_01936
OG0000039	Prbm.g_00723	Syak.g_00772, Syak.g_01918
OG0000041	Prbm.g_01886	Syak.g_02354, Syak.g_00752
OG0000042	Prbm.g_02102	Syak.g_00843, Syak.g_01681
OG0000043	Prbm.g_01173, Prbm.g_00906	Syak.g_00335
