Orthogroup	Prbm	Syat
OG0000001	Prbm.g_01633	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prbm.g_01790	Syat.g_03105
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prbm.g_00522	Syat.g_03191
OG0000007	Prbm.g_01841	Syat.g_03124
OG0000008	Prbm.g_01907	Syat.g_02626
OG0000008	Prbm.g_01908	Syat.g_02627
OG0000010	Prbm.g_01066	Syat.g_01372
OG0000012	Prbm.g_01106	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prbm.g_00382	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbm.g_00362	Syat.g_02104
OG0000014	Prbm.g_02126	Syat.g_02250
OG0000015	Prbm.g_01427, Prbm.g_01149	Syat.g_00775, Syat.g_01677
OG0000016	Prbm.g_00013	Syat.g_02329
OG0000016	Prbm.g_01944	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Prbm.g_00635	Syat.g_00015
OG0000018	Prbm.g_01571	Syat.g_01334
OG0000019	Prbm.g_00792	Syat.g_01876
OG0000021	Prbm.g_01939	Syat.g_00964
OG0000022	Prbm.g_01324	Syat.g_00210
OG0000024	Prbm.g_01151, Prbm.g_00709	Syat.g_03394
OG0000025	Prbm.g_00849	Syat.g_00719
OG0000026	Prbm.g_00031	Syat.g_02306
OG0000028	Prbm.g_01656	Syat.g_02126
OG0000030	Prbm.g_02105	Syat.g_00307, Syat.g_00308
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prbm.g_01747	Syat.g_01354
OG0000033	Prbm.g_00228	Syat.g_02858
OG0000034	Prbm.g_01620	Syat.g_01165, Syat.g_02902
OG0000035	Prbm.g_01710	Syat.g_01227, Syat.g_01226
OG0000037	Prbm.g_00166	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prbm.g_02174	Syat.g_02688, Syat.g_02686
OG0000039	Prbm.g_00723	Syat.g_01278
OG0000041	Prbm.g_01886	Syat.g_00785, Syat.g_03006
OG0000042	Prbm.g_02102	Syat.g_00223, Syat.g_02222
OG0000044	Prbm.g_00478, Prbm.g_01281	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbm.g_01088	Syat.g_00935
OG0000046	Prbm.g_00383	Syat.g_01626, Syat.g_01026
OG0000048	Prbm.g_00329	Syat.g_02046
OG0000052	Prbm.g_00114	Syat.g_02140
OG0000053	Prbm.g_01729	Syat.g_01330
OG0000054	Prbm.g_00637	Syat.g_00987, Syat.g_03390
OG0000055	Prbm.g_01921	Syat.g_00693
OG0000057	Prbm.g_00735	Syat.g_00817, Syat.g_02055
OG0000058	Prbm.g_00881	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Prbm.g_01973	Syat.g_01832
OG0000060	Prbm.g_01422	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Prbm.g_01549	Syat.g_03260
OG0000062	Prbm.g_01792	Syat.g_03107
OG0000063	Prbm.g_01947	Syat.g_02303
OG0000065	Prbm.g_00164	Syat.g_01571
OG0000066	Prbm.g_00572	Syat.g_03283
OG0000067	Prbm.g_00814	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prbm.g_01660	Syat.g_00085, Syat.g_01295
OG0000069	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772	Syat.g_00090, Syat.g_00879
OG0000070	Prbm.g_00460	Syat.g_01032, Syat.g_01040
OG0000071	Prbm.g_00468, Prbm.g_01611	Syat.g_01153
OG0000072	Prbm.g_00230	Syat.g_02856, Syat.g_01597
OG0000073	Prbm.g_00533	Syat.g_03201
OG0000075	Prbm.g_02069	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbm.g_02094	Syat.g_02206
OG0000077	Prbm.g_00135	Syat.g_01481
OG0000078	Prbm.g_00300	Syat.g_00184
OG0000079	Prbm.g_00311	Syat.g_01879
OG0000081	Prbm.g_00564	Syat.g_00980
OG0000082	Prbm.g_01900	Syat.g_00035
OG0000085	Prbm.g_01834	Syat.g_03113
OG0000086	Prbm.g_00145	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbm.g_00198	Syat.g_02912
OG0000088	Prbm.g_00225	Syat.g_02862
OG0000089	Prbm.g_00423	Syat.g_02953
OG0000090	Prbm.g_00566	Syat.g_03270
OG0000091	Prbm.g_00673	Syat.g_00939, Syat.g_00862
OG0000092	Prbm.g_00934	Syat.g_00825
OG0000094	Prbm.g_00888	Syat.g_00698, Syat.g_01034
OG0000095	Prbm.g_01064	Syat.g_00808
OG0000097	Prbm.g_01502	Syat.g_00907, Syat.g_00535
OG0000098	Prbm.g_01630	Syat.g_03281
OG0000099	Prbm.g_00394	Syat.g_02130
OG0000100	Prbm.g_01787	Syat.g_00517
OG0000101	Prbm.g_02033	Syat.g_01661
OG0000102	Prbm.g_02099	Syat.g_00974
OG0000103	Prbm.g_02218	Syat.g_02399
OG0000104	Prbm.g_02229	Syat.g_02385
OG0000105	Prbm.g_00331	Syat.g_02052
OG0000106	Prbm.g_01172, Prbm.g_01237	Syat.g_00957
OG0000107	Prbm.g_01949	Syat.g_02009, Syat.g_01862
OG0000108	Prbm.g_00506	Syat.g_03170
OG0000109	Prbm.g_00519	Syat.g_03187
OG0000110	Prbm.g_00607	Syat.g_00049
OG0000111	Prbm.g_00736	Syat.g_00816
OG0000112	Prbm.g_00980	Syat.g_00593
OG0000113	Prbm.g_00838, Prbm.g_01191	Syat.g_00509
OG0000114	Prbm.g_00929	Syat.g_00426
OG0000115	Prbm.g_01803	Syat.g_01328
OG0000116	Prbm.g_01560	Syat.g_02641
OG0000117	Prbm.g_01522	Syat.g_00224
OG0000118	Prbm.g_01622	Syat.g_01168
OG0000119	Prbm.g_01653	Syat.g_00309
OG0000120	Prbm.g_00707	Syat.g_02132
OG0000121	Prbm.g_01712	Syat.g_01223
OG0000123	Prbm.g_02040	Syat.g_01653
OG0000124	Prbm.g_02111	Syat.g_02231
OG0000125	Prbm.g_02176	Syat.g_02684
OG0000126	Prbm.g_02228	Syat.g_00976
OG0000128	Prbm.g_00011	Syat.g_02331
OG0000129	Prbm.g_00053	Syat.g_02693, Syat.g_02694
OG0000130	Prbm.g_00126	Syat.g_01469
OG0000131	Prbm.g_00204	Syat.g_02898
OG0000132	Prbm.g_00223	Syat.g_02864
OG0000133	Prbm.g_00377	Syat.g_00588
OG0000134	Prbm.g_00425	Syat.g_02956
OG0000135	Prbm.g_01389	Syat.g_02501
OG0000136	Prbm.g_00451	Syat.g_01292
OG0000137	Prbm.g_00500	Syat.g_01371
OG0000138	Prbm.g_00520	Syat.g_03188
OG0000139	Prbm.g_00570	Syat.g_03276
OG0000140	Prbm.g_00571	Syat.g_03280
OG0000141	Prbm.g_00638	Syat.g_03398
OG0000142	Prbm.g_00666	Syat.g_00117
OG0000143	Prbm.g_00670	Syat.g_00130
OG0000144	Prbm.g_00683	Syat.g_00369
OG0000145	Prbm.g_01094	Syat.g_03202
OG0000146	Prbm.g_00979	Syat.g_00594
OG0000147	Prbm.g_00978	Syat.g_00595
OG0000148	Prbm.g_00832	Syat.g_00503
OG0000149	Prbm.g_00862	Syat.g_00747
OG0000150	Prbm.g_00870	Syat.g_03399
OG0000151	Prbm.g_00940	Syat.g_00801, Syat.g_00440
OG0000152	Prbm.g_00988	Syat.g_00578
OG0000153	Prbm.g_01006	Syat.g_00542
OG0000154	Prbm.g_01035	Syat.g_00708
OG0000155	Prbm.g_01527	Syat.g_00287
OG0000156	Prbm.g_01600	Syat.g_03228
OG0000157	Prbm.g_01601	Syat.g_02012, Syat.g_03227
OG0000158	Prbm.g_02077	Syat.g_02163
OG0000160	Prbm.g_01711	Syat.g_01224
OG0000161	Prbm.g_01717	Syat.g_01180
OG0000162	Prbm.g_01723	Syat.g_01281
OG0000163	Prbm.g_01759	Syat.g_02979
OG0000164	Prbm.g_01863	Syat.g_03040
OG0000165	Prbm.g_01871	Syat.g_03033
OG0000166	Prbm.g_01996	Syat.g_01822
OG0000167	Prbm.g_02067	Syat.g_02148
OG0000168	Prbm.g_02078	Syat.g_02164
OG0000169	Prbm.g_02088	Syat.g_02192
OG0000170	Prbm.g_02090	Syat.g_02201
OG0000171	Prbm.g_02110	Syat.g_02230
OG0000172	Prbm.g_02146	Syat.g_02260
OG0000173	Prbm.g_02161	Syat.g_02284
OG0000174	Prbm.g_02192	Syat.g_02504
OG0000175	Prbm.g_02209	Syat.g_02416
OG0000176	Prbm.g_00004	Syat.g_02372
OG0000177	Prbm.g_00005	Syat.g_02338
OG0000178	Prbm.g_00006	Syat.g_02337
OG0000179	Prbm.g_00016	Syat.g_02322
OG0000180	Prbm.g_00017	Syat.g_02321
OG0000181	Prbm.g_00018	Syat.g_02320
OG0000182	Prbm.g_00019	Syat.g_02319
OG0000183	Prbm.g_00023	Syat.g_02315
OG0000184	Prbm.g_00055	Syat.g_02704
OG0000185	Prbm.g_00058	Syat.g_02719
OG0000186	Prbm.g_00121	Syat.g_01463
OG0000187	Prbm.g_00122	Syat.g_01467
OG0000188	Prbm.g_00139	Syat.g_01489
OG0000189	Prbm.g_00153	Syat.g_00386, Syat.g_01557
OG0000190	Prbm.g_00154	Syat.g_00330
OG0000191	Prbm.g_00177	Syat.g_03344, Syat.g_02939
OG0000192	Prbm.g_00181	Syat.g_02933
OG0000193	Prbm.g_00205	Syat.g_02897
OG0000194	Prbm.g_00208	Syat.g_02894
OG0000195	Prbm.g_00210	Syat.g_02892
OG0000196	Prbm.g_00220	Syat.g_02867
OG0000197	Prbm.g_00221	Syat.g_02866
OG0000198	Prbm.g_00222	Syat.g_02865
OG0000199	Prbm.g_00229	Syat.g_02857
OG0000200	Prbm.g_00243	Syat.g_02840
OG0000201	Prbm.g_00252	Syat.g_02821
OG0000202	Prbm.g_00253	Syat.g_02820
OG0000203	Prbm.g_00254	Syat.g_02819
OG0000204	Prbm.g_00255	Syat.g_02818
OG0000205	Prbm.g_00262	Syat.g_02809
OG0000206	Prbm.g_00266	Syat.g_02785
OG0000207	Prbm.g_00268	Syat.g_02778
OG0000208	Prbm.g_00269	Syat.g_02777
OG0000209	Prbm.g_00278	Syat.g_02735
OG0000210	Prbm.g_00279	Syat.g_02734
OG0000211	Prbm.g_00293	Syat.g_01452
OG0000212	Prbm.g_00301	Syat.g_01442
OG0000213	Prbm.g_00317	Syat.g_01889
OG0000214	Prbm.g_00325	Syat.g_02042
OG0000215	Prbm.g_00349	Syat.g_02075
OG0000216	Prbm.g_00350	Syat.g_02079
OG0000217	Prbm.g_00353	Syat.g_02085
OG0000218	Prbm.g_00355	Syat.g_02087
OG0000219	Prbm.g_00356	Syat.g_02088
OG0000220	Prbm.g_00357	Syat.g_02089
OG0000221	Prbm.g_00358	Syat.g_02095
OG0000222	Prbm.g_00366	Syat.g_02109
OG0000223	Prbm.g_00378	Syat.g_02570
OG0000224	Prbm.g_00380	Syat.g_02139
OG0000225	Prbm.g_00411	Syat.g_01595
OG0000226	Prbm.g_00415	Syat.g_01588
OG0000228	Prbm.g_00422	Syat.g_02952
OG0000229	Prbm.g_00446	Syat.g_02970
OG0000230	Prbm.g_00448	Syat.g_02972
OG0000231	Prbm.g_00459	Syat.g_01283
OG0000232	Prbm.g_00484	Syat.g_01313
OG0000233	Prbm.g_00492	Syat.g_01407
OG0000234	Prbm.g_00501	Syat.g_01369
OG0000235	Prbm.g_00505	Syat.g_03169
OG0000236	Prbm.g_00518	Syat.g_03186
OG0000237	Prbm.g_00540	Syat.g_03214
OG0000238	Prbm.g_00546	Syat.g_03219
OG0000239	Prbm.g_00558	Syat.g_01105
OG0000240	Prbm.g_00559	Syat.g_01104
OG0000241	Prbm.g_00563	Syat.g_00111
OG0000242	Prbm.g_00565	Syat.g_01077
OG0000243	Prbm.g_00576	Syat.g_00092
OG0000244	Prbm.g_00579	Syat.g_00082
OG0000245	Prbm.g_00581	Syat.g_00080
OG0000246	Prbm.g_00585	Syat.g_00076
OG0000247	Prbm.g_00595	Syat.g_00065
OG0000248	Prbm.g_00597	Syat.g_00062
OG0000249	Prbm.g_00599	Syat.g_00060
OG0000250	Prbm.g_00604	Syat.g_00053
OG0000251	Prbm.g_00620	Syat.g_00027
OG0000252	Prbm.g_00623	Syat.g_00022
OG0000253	Prbm.g_00625	Syat.g_00021
OG0000254	Prbm.g_00642	Syat.g_03407
OG0000255	Prbm.g_00648	Syat.g_02405
OG0000256	Prbm.g_00658	Syat.g_03306
OG0000257	Prbm.g_00661	Syat.g_00109
OG0000258	Prbm.g_00674	Syat.g_00382
OG0000259	Prbm.g_00691	Syat.g_00342
OG0000260	Prbm.g_00694	Syat.g_00392
OG0000261	Prbm.g_00697	Syat.g_00400
OG0000262	Prbm.g_00702	Syat.g_00407
OG0000263	Prbm.g_00716	Syat.g_00200
OG0000266	Prbm.g_00752	Syat.g_00671
OG0000267	Prbm.g_00765	Syat.g_00636
OG0000268	Prbm.g_00766	Syat.g_00634
OG0000269	Prbm.g_00809	Syat.g_00474, Syat.g_00126
OG0000270	Prbm.g_00812	Syat.g_00477
OG0000271	Prbm.g_00820	Syat.g_00485
OG0000272	Prbm.g_00821	Syat.g_00486
OG0000273	Prbm.g_00845	Syat.g_00520
OG0000274	Prbm.g_00846	Syat.g_00521
OG0000275	Prbm.g_00848	Syat.g_00718
OG0000276	Prbm.g_00854	Syat.g_00725
OG0000277	Prbm.g_00855	Syat.g_00738
OG0000278	Prbm.g_00858	Syat.g_00741
OG0000279	Prbm.g_00865	Syat.g_00755
OG0000281	Prbm.g_00871	Syat.g_00960
OG0000282	Prbm.g_00931	Syat.g_00431
OG0000283	Prbm.g_00962	Syat.g_00620
OG0000284	Prbm.g_00967	Syat.g_00614
OG0000285	Prbm.g_00972	Syat.g_00607
OG0000286	Prbm.g_00987	Syat.g_00579
OG0000287	Prbm.g_00102	Syat.g_00550
OG0000288	Prbm.g_01034	Syat.g_00709
OG0000289	Prbm.g_01045	Syat.g_00695
OG0000290	Prbm.g_01061	Syat.g_00805
OG0000291	Prbm.g_01063	Syat.g_00807
OG0000292	Prbm.g_01210	Syat.g_02388
OG0000293	Prbm.g_01559	Syat.g_03241
OG0000294	Prbm.g_01558	Syat.g_03248
