Orthogroup	Prbm	Syai
OG0000001	Prbm.g_01633	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Syai.g_01728
OG0000004	Prbm.g_01483	Syai.g_01994
OG0000004	Prbm.g_00291	Syai.g_01062, Syai.g_00530
OG0000005	Prbm.g_01790	Syai.g_02356
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbm.g_00522	Syai.g_00657
OG0000007	Prbm.g_01841	Syai.g_02378
OG0000008	Prbm.g_01907	Syai.g_01956
OG0000008	Prbm.g_01908	Syai.g_01955
OG0000009	Prbm.g_01235, Prbm.g_01400	Syai.g_01626
OG0000010	Prbm.g_01066	Syai.g_00864
OG0000011	Prbm.g_01202	Syai.g_01894, Syai.g_00582
OG0000011	Prbm.g_01174, Prbm.g_01134	Syai.g_01952
OG0000013	Prbm.g_00382	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbm.g_00362	Syai.g_00220
OG0000015	Prbm.g_01427, Prbm.g_01149	Syai.g_01246, Syai.g_01245
OG0000016	Prbm.g_00013	Syai.g_00014
OG0000016	Prbm.g_01944	Syai.g_01785, Syai.g_01632
OG0000018	Prbm.g_01571	Syai.g_00915
OG0000019	Prbm.g_00792	Syai.g_00304
OG0000020	Prbm.g_01156	Syai.g_00476
OG0000021	Prbm.g_01939	Syai.g_00556
OG0000022	Prbm.g_01324	Syai.g_01159
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbm.g_01151, Prbm.g_00709	Syai.g_01951
OG0000025	Prbm.g_00849	Syai.g_02044
OG0000026	Prbm.g_00031	Syai.g_00038
OG0000028	Prbm.g_01656	Syai.g_00205
OG0000029	Prbm.g_01823	Syai.g_01035, Syai.g_01584
OG0000030	Prbm.g_02105	Syai.g_00096, Syai.g_00095
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syai.g_00197
OG0000032	Prbm.g_01747	Syai.g_00895
OG0000033	Prbm.g_00228	Syai.g_02634
OG0000034	Prbm.g_01620	Syai.g_02192, Syai.g_02604
OG0000035	Prbm.g_01710	Syai.g_00955
OG0000037	Prbm.g_00166	Syai.g_02544, Syai.g_02815
OG0000038	Prbm.g_02174	Syai.g_02780
OG0000039	Prbm.g_00723	Syai.g_02034
OG0000041	Prbm.g_01886	Syai.g_02265, Syai.g_02016
OG0000042	Prbm.g_02102	Syai.g_00099
OG0000043	Prbm.g_00906	Syai.g_01599
OG0000044	Prbm.g_00478, Prbm.g_01281	Syai.g_00833
OG0000046	Prbm.g_00383	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbm.g_00390, Prbm.g_00428	Syai.g_00462
OG0000048	Prbm.g_00329	Syai.g_00272
OG0000050	Prbm.g_01485	Syai.g_01893
OG0000050	Prbm.g_00118	Syai.g_01332
OG0000052	Prbm.g_00114	Syai.g_00176
OG0000053	Prbm.g_01729	Syai.g_00930
OG0000054	Prbm.g_00637	Syai.g_01040
OG0000057	Prbm.g_00735	Syai.g_01997
OG0000058	Prbm.g_00881	Syai.g_00195
OG0000059	Prbm.g_01973	Syai.g_00351
OG0000060	Prbm.g_01422	Syai.g_00635, Syai.g_01758
OG0000061	Prbm.g_01549	Syai.g_02144
OG0000062	Prbm.g_01792	Syai.g_02358
OG0000063	Prbm.g_01947	Syai.g_00042
OG0000066	Prbm.g_00572	Syai.g_01709, Syai.g_00719
OG0000067	Prbm.g_00814	Syai.g_01321
