Orthogroup	Prat	Prbk
OG0000000	Prat.g_00977	Prbk.g_02574
OG0000000	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462	Prbk.g_01649
OG0000001	Prat.g_01549	Prbk.g_00165
OG0000002	Prat.g_01285, Prat.g_01286	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prat.g_01190	Prbk.g_00166
OG0000004	Prat.g_00824	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prat.g_01592	Prbk.g_00907
OG0000007	Prat.g_00376	Prbk.g_01819
OG0000007	Prat.g_00377	Prbk.g_01820
OG0000009	Prat.g_01180, Prat.g_00255	Prbk.g_01004
OG0000011	Prat.g_00374	Prbk.g_02565
OG0000012	Prat.g_00567	Prbk.g_01150
OG0000013	Prat.g_00701	Prbk.g_02558
OG0000016	Prat.g_00647	Prbk.g_01746
OG0000016	Prat.g_01452	Prbk.g_01786
OG0000017	Prat.g_01375	Prbk.g_01230
OG0000018	Prat.g_00248	Prbk.g_02695
OG0000019	Prat.g_00461	Prbk.g_01137
OG0000020	Prat.g_00278	Prbk.g_00405
OG0000024	Prat.g_00314	Prbk.g_00454
OG0000026	Prat.g_01516	Prbk.g_01613
OG0000028	Prat.g_01353	Prbk.g_00259
OG0000034	Prat.g_00058	Prbk.g_00499
OG0000036	Prat.g_01507	Prbk.g_01122
OG0000037	Prat.g_00586	Prbk.g_02610
OG0000038	Prat.g_01192, Prat.g_01448	Prbk.g_01667, Prbk.g_00212
OG0000039	Prat.g_00166	Prbk.g_01836, Prbk.g_00773
OG0000040	Prat.g_00834	Prbk.g_02448
OG0000042	Prat.g_00788	Prbk.g_01835, Prbk.g_00619
OG0000043	Prat.g_00856	Prbk.g_01644, Prbk.g_01642
OG0000044	Prat.g_01156	Prbk.g_01019
OG0000045	Prat.g_01311	Prbk.g_00479
OG0000046	Prat.g_01584	Prbk.g_00919
OG0000047	Prat.g_01788	Prbk.g_00237
OG0000048	Prat.g_01796	Prbk.g_00140, Prbk.g_01495
OG0000050	Prat.g_00033	Prbk.g_01617
OG0000051	Prat.g_00157	Prbk.g_00764
OG0000052	Prat.g_00637	Prbk.g_00925
OG0000053	Prat.g_01499	Prbk.g_01094
